tweet,retweetsCount,favoritesCount,timestamp
"RT @JAXA_jp: [採用情報] 平成27年度 事務支援職員採用、招聘職員採用 http://t.co/NCjciUsepo",33,0,2015-04-12 03:47:01
"RT @Astro_Kimiya: 先週日本の桜のニュースを聞いて「久しぶりに桜を見たいなあ」と思っていたら、今日は雪のニュースを聞きました。桜の花にとっては少し大変でしょうが、きっと美しかった事でしょうね。今そんな景色をみたら、涙を流してしまう自信があります。最近は、道端に咲…",57,0,2015-04-12 03:44:20
"RT @AstroTerry: Aurora rainbow over #Alaska and #Anchorage. http://t.co/a87J2FGOzU",667,0,2015-04-12 03:44:06
"RT @StationCDRKelly: Looks messy, but it's functional. Our #food table on the @space station. What's for breakfast? #YearInSpace http://t.c…",442,0,2015-04-12 03:43:22
"RT @Thom_astro: Not having much imagination, I need all the help I can get to #NameThatMission! (and a new haircut too :)) https://t.co/FCI…",23,0,2015-04-12 03:42:27
"RT @StationCDRKelly: #Patagonia never disappoints. #YearInSpace http://t.co/i5oiQqEabK",463,0,2015-04-12 03:40:27
"RT @Space_Station: 1st items 3D printed in space are returned to Earth and unboxed at @NASA_Marshall. Watch: http://t.co/tAVAUglMo3 http://…",168,0,2015-04-12 03:39:41
"RT @AstroSamantha: An #aurora in the distance and the Space Station bathed in moonlight. #CalmBeauty http://t.co/rXc7wiqHsk",935,0,2015-04-12 03:39:24
"RT @Astro_Jeremy: Office 2day is #ISS simulator.Working w/ mission control 2 tackle emergencies. Ex. hole punched in #ISS by space junk htt…",20,0,2015-04-12 03:39:15
"RT @NASA_NEEMO: Great article in Embry-Riddle's Lift Magazine about #NEEMO19! Keep your eye out for more! http://t.co/eS04if3M9d",19,0,2015-04-12 03:39:00
"RT @Astro_Kimiya: 私もこれまでの人生で、どれだけ多くの事を途中で諦めようとした事か…どれだけ多くの困難から逃げようとした事か…その度に私の周囲にいる人達が、私の気持ちを支えてくれました。物理的な限界に行き着く前に存在する心の限界…これを自分一人で突破するのは難…",164,0,2015-04-12 03:38:29
"RT @Astro_Kimiya: ドイツでの最終訓練も順調に進んでいます。料理も美味しいし「ビールで乾杯！」といきたいところですが、勉強したい事もあるので、じっと我慢です(笑)！ドイツの街は、とても綺麗で清潔ですね。建物にも風情があり、散歩が楽しみになります。唯一の難点は言葉…",36,0,2015-04-12 03:38:21
"RT @AstroTerry: Earth http://t.co/DUmAp1tFB3",4699,0,2015-04-02 15:48:01
"RT @AstroSamantha: A silver snake... maybe it was frozen in this harsh North American winter? #HelloEarth http://t.co/JJGX1CpyCs",278,0,2015-04-02 15:47:50
"RT @astro_timpeake: You know things are starting to get serious when your face appears on a poster :) http://t.co/yW5BO09Yt2",210,0,2015-04-02 15:47:40
"RT @Astro_Wakata: 1st Orbit 2 Capcom shift.  Great to learn from Flight Director Greg Whitney and my mentor Marc Reagan. http://t.co/A9X5W5…",57,0,2015-04-02 15:47:28
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 「きぼう」の利用状況と今後の予定 http://t.co/7UtElJdRRM",15,0,2015-04-02 15:47:00
"RT @JAXA_jp: [「はやぶさ2」特設サイト] “L＋119” それぞれの役割が目指す先 #hayabusa2 http://t.co/fV0B4SwSaJ",28,0,2015-04-02 15:46:58
"RT @Astro_Kimiya: 終日、船外活動準備の為の手順を復習しました。実際の流れに沿って手順を確認すると、あっという間に数時間経ってしまいます。実際の船外活動は、これらの準備の後に始まり、6時間休み無く続きます。そして、作業が終わり、エアロックに戻ってからも、沢山の手…",45,0,2015-04-02 15:45:24
"RT @Space_Station: Super typhoon #Maysak captured from @Space_Station with rainfall exceeding 50mm/2in per hour. https://t.co/YFlfOgtDFV",1394,0,2015-04-02 15:45:01
"RT @Space_Station: Astronauts often lose their balance when they come back from space. But why? Watch: https://t.co/kGlLHxADqp",63,0,2015-04-02 15:44:50
"RT @TKSC_JAXA: 【4/18筑波宇宙センター特別公開】事前申込イベントの受付を終了させていただきました。たくさんのご応募ありがとうございました！当日は事前申込不要のイベントも数多くご用意しておりますので、どうぞお楽しみに。http://t.co/TVpP71KS7O",24,0,2015-04-02 02:28:54
"RT @amikokauderer: 'This is one crew and one Space Station. The international partnership is one of the things that makes it a success.'~@S…",18,0,2015-04-01 15:39:32
"RT @AstroSamantha: Good night from #space. Buona notte dalla spazio. http://t.co/V1ABgSkeEx",2317,0,2015-04-01 15:39:00
"RT @NASA_Johnson: Mmm...What's for dinner? At JSC Food Lab soup, ravioli, chocolate pudding cake &amp; waffles top the list http://t.co/ZTU70Si…",78,0,2015-04-01 15:38:48
"RT @Astro_Kimiya: ヒューストンでの訓練の最終週です。ISSで使用する数々のカメラの使用方法について復習すると共に、良い写真を撮るためのポイントを再確認しました。宇宙からの写真を楽しみにしていて下さいね！ http://t.co/3BpZQrLVFC",233,0,2015-04-01 15:38:35
"RT @JAXA_jp: 2014年冬から、2015年春にかけてのJAXAの主な動きです。 http://t.co/hirB8mR55r",37,0,2015-04-01 15:38:29
"RT @Space_Station: Kelly brothers (1 in space, 1 on ground) work Twins study. @AstroTerry packs @SpaceX gear... http://t.co/yvW8X8icCZ http…",201,0,2015-04-01 15:37:39
"RT @Astro_Kimiya: 終日、各種実験の為のデータを取得しました。運動能力、バランス能力等の基本的なデータの他、MRIを使用したものも…様々な課題を実施し、MRIで脳の活動領域などを調べていました。隅々迄調べられてしまい、私には秘密はありませんね(笑)。 http:…",38,0,2015-04-01 15:37:12
"RT @JAXA_jp: [国立研究開発法人として新たな一歩を] 2015年4月、JAXAは国立研究開発法人として新たな一歩を踏み出しました。 http://t.co/AavM7hNOFI",79,0,2015-04-01 15:37:01
"RT @JAXA_jp: 「新たな空へ 夢をかたちに」を公開しました。 http://t.co/k4DfSbfqiW",21,0,2015-04-01 14:00:44
"RT @JAXA_jp: [宇宙教育センター] 【公開】 JAXAホンモノ体験2015 夏季開催スケジュール http://t.co/aRFIAVKpJ5",24,0,2015-04-01 14:00:25
"RT @JAXA_jp: [航空技術部門] [DREAMS] 気象庁と共同開発してきた「ALWIN」、実用化へ http://t.co/Fzp4JqFo60",23,0,2015-04-01 14:00:21
"RT @JAXA_jp: [研究開発部門] JAXAとラジオ日本のコラボ番組「ディープな宇宙をつまみぐい」。 4月3日27時スタート！ http://t.co/EcsK57ru1c",38,0,2015-04-01 14:00:13
"RT @JAXA_jp: [航空技術部門] [ビデオライブラリ] 新たな空へ 夢をかたちに http://t.co/v7rMxqlhPd",14,0,2015-04-01 14:00:00
"RT @JAXA_jp: [相模原キャンパス] JAXA相模原キャンパス特別公開2015 http://t.co/BwoNDe3iOr",91,0,2015-04-01 13:59:47
"RT @AstroTerry: Looking down into the eye - by far the widest one I’ve seen.  It seemed like a black hole from a Sci-Fi movie #Maysak http:…",5392,0,2015-04-01 13:59:30
"RT @AstroTerry: More views of the eye- this was about 12 hours ago at sunrise, local time. Unbelievable. #Maysak http://t.co/9Z6obnSVjh",4265,0,2015-04-01 13:59:25
"RT @AstroSamantha: Commands respect even from #space: we just flew over typhoon #Maysak. http://t.co/w86GnxmaO2",6572,0,2015-04-01 13:58:54
"RT @JAXA_jp: 2015年3月19日（日本時間）、油井飛行士は、NASAジョンソン宇宙センターでISS長期滞在でチームを組むロシアのコノネンコ飛行士（中央）とNASAのリングリン飛行士（右）と記者会見を行いました。3人のチームワークはばっちりです！ http://t.…",103,0,2015-03-19 14:51:08
"RT @AstroSamantha: RT @Paxi_ESAKids: Getting ready for a very special event tomorrow! #SolarEclipse http://t.co/Frp8Tz5oHP http://t.co/G2Wh…",924,0,2015-03-19 14:50:33
"RT @CommanderMLA: AND the first man to walk in space  Алексей Леонов #spacewalk50 @CommanderMLA http://t.co/cjB7YKSHQU",15,0,2015-03-19 14:49:48
"RT @StationCDRKelly: Last time I see @astro_kjell until he comes through the hatch on ISS. Can't wait to introduce him to space! http://t.c…",82,0,2015-03-19 14:49:44
