tweet,retweetsCount,favoritesCount,timestamp
"Поздравляю родной Севастополь, где в самом космическом районе (Гагаринском) находится школа№54 им.первого космонавта! http://t.co/zMhRcXGX3G",122,105,2015-04-12 13:38:16
"Поздравляем всех землян с Днём космонавтики: http://t.co/ujrD6NaD1W // Congratulations on Cosmonautics Day! http://t.co/SanWD6cvBs",151,143,2015-04-12 13:15:40
"Облачность над островами #Кергелен. #Индийский #океан // Clouds above The #Kerguelen #Islands. #Indian #Ocean http://t.co/VsAIdHcFHg",75,108,2015-04-08 13:16:57
"#Lake #Balkhash is one of the largest continental lakes in the world. #Kazakhstan #ISS http://t.co/42KMhYWLKX",202,404,2015-04-03 08:16:07
"#Озеро #Балхаш - одно из крупнейших внутриконтинентальных бессточных водоемов Земли. #Казахстан #МКС http://t.co/fMMUzYzn5Q",33,56,2015-04-03 08:10:04
"Сделал новую запись в блоге: http://t.co/9UMzhOXdue // My new post in 'The ISS Mailbox' blog: http://t.co/HxAjDwv9h3 http://t.co/LDzN4hF7kp",58,86,2015-04-02 18:40:18
"Супертайфун 'Майсак', бушующий в Тихом океане // Super Typhoon Maysak swirling in the Pacific Ocean http://t.co/HsOT5gVlz8",207,165,2015-04-01 11:56:17
"The 4th educational quarter has been started in all schools of the country. I wish to all schoolchildrens good marks http://t.co/qO2gS8y9yw",36,82,2015-04-01 08:26:04
"Началась 4 учебная четверть!Всем школьникам хороших отметок и твердых знаний! На фото символы школы Звездного городка http://t.co/eiywImkumc",29,39,2015-04-01 08:23:38
"Congratulations to graduates of native Chernigov flight school with the anniversary of the foundation! http://t.co/kMKQzu2zNu",39,76,2015-03-31 15:07:39
"Поздравляю с приближающейся годовщиной основания родного Черниговского летного училища всех выпускников! http://t.co/qaUULOaXGE",46,50,2015-03-31 14:57:29
"Ждем открытия люков и встречи с коллегами! // Waiting for our colleagues - Gennady, Mikhail and Scott http://t.co/vdXOqxGK6l",162,326,2015-03-28 03:22:05
"RT @RT_russian: Космонавт Антон Шкаплеров рассказал RT о жизни на МКС (ВИДЕО) http://t.co/9fADt85KWR http://t.co/nHvaLg4tna",59,0,2015-03-20 14:21:15
"Пролетаем над величайшим архитектурным памятником древнего Египта- Пирамидами Гизы//The ISS over the Pyramids of Giza http://t.co/gaIly23uVQ",145,145,2015-03-19 19:11:25
"RT @AstroTerry: A final 'green' tribute to #StPatrick. Expedition 43 crew wearing the appropriate color, but not patch! #Exp43 http://t.co/…",103,0,2015-03-19 19:07:51
"Алексей Леонов первым совершил шаг в неизведанное!Горжусь его подвигом и тем,что смог немного приблизиться к нему http://t.co/hF6NAgVpwI",92,114,2015-03-18 19:01:24
"Today my colleague cosmonaut Alexander Samokutyaev celebrates Birthday! Congrats and wish all the best! http://t.co/J8efKPri1N",43,105,2015-03-13 19:08:02
"У Александра Самокутяева два праздника подряд - вчера вернулся домой на Землю, а сегодня празднует юбилей!Поздравляю! http://t.co/dXLg0miilU",23,43,2015-03-13 19:04:53
"Чудесные, красивые, особенные космические леди #ЕленаСерова и @AstroSamantha http://t.co/ldMXNAPKHf",75,125,2015-03-08 08:43:00
"Wonderful, beautiful, special cosmic ladies #ElenaSerova and @AstroSamantha http://t.co/pbwEf1veHN",147,233,2015-03-08 08:41:14
"Dear #ElenaSerova,@AstroSamantha and all the women of the world,congratulations on March 8 –international women’s day http://t.co/dwafDvXgsE",488,653,2015-03-08 08:36:45
"Поздравляю Елену Серову, @AstroSamantha и всех женщин на Земле с 8 марта - счастья, красоты и прекрасного настроения! http://t.co/YyzRwFPe66",93,84,2015-03-08 08:32:41
"#Moscow The most beautiful view of the Russian capital from the #space http://t.co/hKPdynjZU8",147,220,2015-03-06 15:19:59
"#Москва Лучший вид на столицу нашей Родины открывается именно из космоса http://t.co/Q14mAyhMsT",189,162,2015-03-06 15:03:22
"Flying above @AstroSamantha house. #Italy from the height of the #ISS http://t.co/OqrkOOet0s",91,154,2015-03-05 14:50:04
"Пролетаем над домом @AstroSamantha #Италия с борта #МКС http://t.co/r50tenvlH3",28,67,2015-03-05 14:43:38
"Вместе с @AstroSamantha помогали @AstroTerry и #AstroButch подготовиться к выходу в открытый космос http://t.co/f0u6txaExU",39,96,2015-02-21 16:25:47
"@AstroSamantha &amp; me were assist to suit up @AstroTerry &amp; #AstroButch before their more than six-hour spacewalk http://t.co/3mGTbLSSly",337,771,2015-02-21 16:10:51
"Перед выходом обязательно нужно пройти десатурацию - дышать чистым кислородом для выведение из организма азота http://t.co/GULqiwXlEW",32,64,2015-02-21 15:48:10
"The desaturation procedure - @AstroTerry &amp; #AstroButch breathe pure oxygen to remove nitrogen from bodies http://t.co/WhP3AsvHiL",64,131,2015-02-21 15:45:25
"While @AstroTerry &amp; #AstroButch are outside the #ISS, I share pictures of preparation http://t.co/r029C1hnGu",61,127,2015-02-21 15:34:19
"Пока ждем @AstroTerry и Барри с «прогулки» в открытом космосе, публикую несколько фото подготовки! #космоселфи http://t.co/4IAc881Ewf",34,81,2015-02-21 15:22:18
"South #Pacific #Ocean from the height of the #ISS. The two main islands of #Samoa are #Upolu and #Savaii http://t.co/yeHJj6XoXu",60,115,2015-02-17 08:32:52
"Южная часть Тихого океана c высоты #МКС. Самые крупные острова государства #Самоа - #Савайи и #Уполу http://t.co/ppw0hOmycV",16,39,2015-02-17 08:32:03
"Cape Cod (#USA) is the place of residence of my first American workmate Daniel Burbank http://t.co/0UFEuOu9vt",74,152,2015-02-15 15:22:24
"Место жительство моего первого американского напарника Дена Бёрбенка – Кейп-Код, США. http://t.co/TZPEPZlwWF",24,53,2015-02-15 15:20:44
"Полёт 'космического Дракона' http://t.co/ElhFgsNy2V",30,57,2015-02-10 20:53:43
"The 'Space Dragon's' flight http://t.co/lNX46GYcGH",212,359,2015-02-10 20:52:29
"Two cargo ships: Russian and US http://t.co/PyrfXwxZ1x",174,234,2015-02-10 20:17:31
"Два космических грузовика: российский и американский http://t.co/bg0xk873Qv",50,72,2015-02-10 20:12:46
"The Dragon is getting ready for undocking by the Canadarm http://t.co/oUhGXQZXFv",23,80,2015-02-10 20:06:21
"Манипулятор отпускает Dragon в обратный полет http://t.co/g2ZBegrfAf",24,42,2015-02-10 20:00:40
"Сегодня Dragon возвращается на Землю. @AstroSamantha и Буч у дублирующей рабочей станции по управлению манипулятором http://t.co/a1J83zuixX",22,54,2015-02-10 19:38:25
"@AstroSamantha и Буч у дублирующей рабочей станции по управлению канадским манипулятором.Dragon возвращается на Землю http://t.co/8DIRYzIg5T",19,40,2015-02-10 19:34:26
"Мое первое видео с МКС// My first video from the ISS: http://t.co/3deWo5dfaU",46,72,2015-02-10 08:41:11
"The #ISS over the Republic of #Mali, #Африка More pictyres in my Instagram account: http://t.co/4fzB4bOIiQ http://t.co/k87s4Blgeq",28,77,2015-02-09 12:44:57
"Пролетаем над Республикой #Мали. #Африка #МКС Больше моих фотографий можно найти здесь: http://t.co/4fzB4bOIiQ http://t.co/9CY6TlbPFp",13,33,2015-02-09 12:43:28
"The white dots in the blue water are a group of South Atlantic icebergs http://t.co/HPmk0W6qNi",92,144,2015-02-09 10:10:08
"Видите белые точки? Так с высоты #МКС выглядит группа айсбергов на юге Атлантического океана http://t.co/8KJceDa677",39,42,2015-02-09 10:09:32
"#Budapest often called the Pearl of the Danube. It's one of the world's most beautiful cities... even from space! http://t.co/YDo1Z3cUES",207,277,2015-02-04 21:58:17
"Столицу Венгрии не зря называют 'жемчужиной Дуная'. #Будапешт -удивительно красивый город, это видно даже из космоса! http://t.co/kUJyF2onVp",34,62,2015-02-04 21:51:32
"Для моей старшей дочери Кристины – студентки РГУ нефти и газа им. И.М. Губкина http://t.co/BZ5KDKHbc5",15,49,2015-02-02 13:42:25
"It looks like I am a ghostbuster, but I am just working on scientific experiment 'Ecosphere' http://t.co/qLlnjR7R4y",111,254,2015-02-02 12:55:23
"Может показаться, что я охочусь за привидениями, но нет - выполняю эксперимент Экосфера http://t.co/CZMhHzggs0",25,56,2015-02-02 12:53:59
"Город Санкт-Петербург, но находится он не в России, а во Флориде, США // City of St. Petersburg, #Florida #USA http://t.co/Z1z0UZjcnB",61,90,2015-01-30 13:25:48
"Как и обещал ребятам из детского центра #Орленок (лагерь Штормовой), открытку и гюйс взял с собой! http://t.co/k1qowFgeGC",24,53,2015-01-30 12:09:13
"The ISS over Mauritania. Eye of the Sahara (The Richat Structure) is easy to see even from the space. http://t.co/cpxZU6VrmW",128,224,2015-01-27 12:17:14
"Пролетаем над Мавританией. Глаз Сахары (структура Ришат) прекрасно виден из космоса http://t.co/2n8VsbUqp8",49,76,2015-01-27 11:16:32
"View from a window of my cabin. That is my first #sunrise from today http://t.co/nfzjZVTqWR",351,553,2015-01-27 09:22:04
"Вид из иллюминатора моей каюты. Первый рассвет за сегодняшний день http://t.co/2SaDohtXO0",106,81,2015-01-27 09:18:12
"Amazing night view of #Mecca and #Medina from the #ISS http://t.co/gw4rxu73fq",7569,3890,2015-01-26 15:23:45
"Удалось сфотографировать Мекку и Медину ночью. Удивительно красиво! #МКС #Мекка #Медина http://t.co/bBfFCPm9P2",134,123,2015-01-26 15:21:18
"I am installing a new remote control for the Russian treadmill. http://t.co/pRPjQA1HHN",39,104,2015-01-21 15:12:08
"Устанавливаю новый пульт управления для российской беговой дорожки. http://t.co/fBWEWFWcTc",21,30,2015-01-21 15:09:45
"There is an example of area behind the panel in the Russian segment of the ISS. http://t.co/npdBTYeqTn",42,94,2015-01-21 15:08:01
"Пример запанельного пространства в служебном модуле российского сегмента. http://t.co/u3E35BnlLw",17,29,2015-01-21 15:07:38
"#Озеро Чад в центральной Африке // #Lake #Chad in central #Africa http://t.co/jTQLxSBMuE",41,98,2015-01-19 16:00:06
"Вид на Землю через визир. Этот прибор может использоваться в нештатных ситуациях для управления станцией. http://t.co/eRmJAL8fhS",73,96,2015-01-19 14:52:21
"View of the Earth from the optical sight. This device could be used in off-nominal situation to control the station. http://t.co/4MRUsjB1sD",407,375,2015-01-19 14:50:16
"Над Европой сплошная облачность, принесшая обильные снегопады/Cloudiness above Europe, it brought powerful snowstorms http://t.co/HBcOC0zPuE",69,124,2015-01-13 15:27:17
"I continue to cover a life on the ISS,we have opened the hatch of the Dragon http://t.co/VuZnEnb0mm http://t.co/kMyUpuKGo9",90,117,2015-01-13 13:49:12
"Продолжаю освещать жизнь на МКС,открыли люк Дракона и начали разгрузку http://t.co/XO7T7DPw46, http://t.co/4fzB4cFvH2 http://t.co/JMJkI5iiDs",40,43,2015-01-13 13:44:19
"Есть захват! // #Dragon has been captured by the #ISS #МКС http://t.co/7enLuaK8Yh",90,177,2015-01-12 12:08:34
"Dragon успешно пристыковался к станции! +1 корабль в составе #МКС // #Dragon has successfully docked with the #ISS http://t.co/NHYtNjNkoD",138,177,2015-01-12 11:00:57
"Дракон готовится к захвату манипулятором // #Dragon is getting ready to be captured http://t.co/3OD8OY3eC4",70,106,2015-01-12 10:39:47
"Грузовой корабль Dragon причаливает к МКС // #Dragon is docking to the #ISS http://t.co/sGLSGWJTqh",135,192,2015-01-12 10:34:33
