tweet,retweetsCount,favoritesCount,timestamp
"RT @HMC_Qatar: Join @donberwick @maureenbis @GBMCHealthcare's CEO @_markgallagher @devoschildrens' VP @AstroDaveMD at #HamadQuality http://…",2,0,2015-04-14 16:37:15
"RT @digg: Astronauts are getting an Italian espresso machine on the ISS: http://t.co/TCYJ54vajn http://t.co/OiPLhvKcj7",9,0,2015-04-13 23:01:31
"RT @APACForum: #APACForum programme details available online now: //apacforum.com/programme/ 130 world-class speakers, over 42 sessions. Si…",5,0,2015-04-13 22:59:47
"@Space_Lectures @Cmdr_Hadfield - I'm looking forward to seeing another Canadian break my record - perhaps while exploring Moon or Mars..",1,3,2015-04-13 19:33:02
"RT @SunViewer: WOW! Awesome #GIF of the International Space Station #ISS over France.  By Sylvain Weiller on April 12. http://t.co/Z6eR8vCG…",63,0,2015-04-13 17:28:34
"RT @StationCDRKelly: This #butterfly caught my eye while flying high above the #gulfofmexico. #YearInSpace http://t.co/uvfjybUAtp",956,0,2015-04-13 17:27:34
"RT @wef: Video: How are #space technologies changing life on Earth? http://t.co/vc3G2D2Pwy http://t.co/qM6wpli0ku",47,0,2015-04-13 17:20:24
"RT @foreman_mike: From Shuttle to Hubble: An Interview with Dr. Story Musgrave http://t.co/6hNg5en8Er via @americaspace",6,0,2015-04-13 17:20:09
"@andresdavid @FailedProtostar @Space_Lectures @DanSpace77 - Fantastic! It brings back lots of great memories!!",0,3,2015-04-13 17:19:02
"@Space_Lectures @DanSpace77 - Took this one while riding Canadarm on STS118 2nd spacewalk. http://t.co/YmeexJg2IV",8,13,2015-04-13 15:44:37
"RT @hackaday: A #HackadayPrize entry for wearable health monitors and an app to send any needed alerts. https://t.co/BPRAcDLgSJ http://t.co…",7,0,2015-04-13 15:40:16
"@Space_Lectures @DanSpace77 - Great photo!",0,2,2015-04-13 15:40:04
"RT @StationCDRKelly: Honored to celebrate the anniversaries of the 1st human in space &amp; 1st #spaceshuttle mission while aboard #ISS today. …",737,0,2015-04-13 15:37:40
"RT @AstroTerry: 'Starry Night,' it's not quite Van Gogh, but a pretty cool perspective from up here in space. http://t.co/TcAAiiAOQ5",1130,0,2015-04-13 15:37:32
"RT @Space_Lectures: #HappyBirthday @astro_tim Kopra,  Space missions: STS-127, STS-128, member of Exp 45 launching #ISS in Nov. 2015! http:…",2,0,2015-04-09 17:32:03
"RT @nss: Hello followers! Please follow @ISDC for news &amp; updates on #ISDC2015 in Toronto, co-hosted by @CanadianSpace. http://t.co/tpKbL6U5…",1,0,2015-04-09 17:31:23
"RT @wef: How can we meet the #healthcare needs of 9 billion people? http://t.co/bYCtxA4bFs #globalhealth http://t.co/aUDjhpckm5",62,0,2015-04-09 17:30:39
"RT @CanGeo: Andrew Stirling on finding the rusted remains that led to the discovery of #Erebus http://t.co/tg8mQof7U0 http://t.co/XNEWZp7CJP",2,0,2015-04-09 17:28:11
"RT @Astro_Clay: #TBT Five years ago, I was doing this...! http://t.co/ofFnwRPWPd",20,0,2015-04-09 17:25:11
"RT @industrycanada: 30 Meter Telescope ensures Canada continues to attract the best astronomers &amp; astrophysicists http://t.co/8YqciBwNfd",11,0,2015-04-08 01:01:20
