tweet,retweetsCount,favoritesCount,timestamp
"RT @Space_Station: #Soyuz Commander G. Padalka and #YearInSpace crew members @StationCDRKelly &amp; M. Kornienko walk to launch pad. http://t.c…",252,0,2015-03-27 21:25:57
"@StationCDRKelly and crew about to leave to get spacesuits on and head to the launch pad. Launch in 6.25 hours! http://t.co/9Vz8fwtSAD",46,85,2015-03-27 13:26:52
"RT @NASA: Get ready! @StationCDRKelly &amp; his Russian crewmate launch for a #YearInSpace tomorrow. More: http://t.co/DgkEdVvS1p http://t.co/Y…",835,0,2015-03-27 02:48:52
"@StationCDRKelly eloquently explaining #YearInSpace   Interview will be on NASA TV later today! @NASA. http://t.co/daVV9523XX",27,51,2015-03-26 12:35:25
"In Kazakhstan with @StationCDRKelly at press conference. Launch in 31 hours!  #StationCDRKelly http://t.co/br3hX20Pxh",63,176,2015-03-26 12:23:21
"Sad to hear of Leonard Nimoy's passing. We will honor his memory by boldly exploring.  https://t.co/PPE7yi1bKr",177,319,2015-02-27 22:09:13
"@raconteur No, unfortunately.  But I am in the mission control center working with our great ISS crew.",1,2,2015-01-28 17:25:33
"@raconteur Fire is the greatest invention.  It makes rockets go!",1,3,2015-01-28 15:53:49
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7140,0,2015-01-28 15:53:09
"Check out the NASA Commercial Crew Press Conference Tomorrow: http://t.co/pYUKS69J2a",10,7,2015-01-25 23:05:48
"RT @NASA: .@SpaceX selects Sat., Jan 10 at 4:47a ET to launch #ISScargo mission to the @Space_Station: http://t.co/wX1aF5huOT http://t.co/W…",705,0,2015-01-07 21:09:02
"@WIRED talks about space AND time travel.   Apparently I am 0.0093 seconds more youthful due to being in orbit! http://t.co/0ySskT2ytV",9,11,2015-01-07 04:27:16
"RT @NASA: The @USGAO decision allows us to continue @Commercial_Crew work with @BoeingDefense &amp; @SpaceX: http://t.co/lygKZrTX0z http://t.co…",183,0,2015-01-05 21:24:55
"RT @NASA: Launch of @SpaceX's #ISScargo mission is set for 6:20am ET Tuesday. Weather is 70% 'go.' http://t.co/MLe1i963k7 http://t.co/XDTH5…",530,0,2015-01-05 18:03:11
