tweet,retweetsCount,favoritesCount,timestamp
"Congrats @SpaceX on great launch of #Dragon! Loved live view of red hot engine bell looking back at Earth.",28,88,2015-04-14 20:27:59
"I was never able to get a good, cloudless view of Scandinavia when I was on ISS. This is great! #norwegianheritage https://t.co/BXoypZfiLf",48,99,2015-04-13 16:17:08
"Happy #NationalSiblingsDay and a step back to 1972, the last year we sent humans to the moon.  I was three. http://t.co/355Nk039kZ",16,72,2015-04-10 21:02:25
"Lovely #EarthArt from space. @AstroTerry: Intricate details in this system of fjords. http://t.co/BixUIRONJB",37,63,2015-04-09 17:42:12
"Looking forward to #NCAA #FrozenFour this week! @UNDmhockey vs. @TerrierHockey semifinal Thursday night. http://t.co/8vfAnidYlK",160,238,2015-04-08 20:53:29
"Wonderful shot, Sam! https://t.co/jMgosIehPq",11,39,2015-04-07 22:26:25
"@JocelyneUSA17 Congrats!!",1,1,2015-04-04 18:41:02
"Have always found these views the most striking. So beautiful! @AstroTerry: Clouds dominate the skies. http://t.co/80WWgdt1pD",48,99,2015-04-04 16:42:45
"RT @StationCDRKelly: Good morning #Texas from the #ISS. Looks like #Houston and #Austin have some #weather headed your way. #YearInSpace ht…",3279,0,2015-04-04 14:09:59
"#tbt to 2010. Our little guy sporting a special onesie at 2 mths old. @Astro_Doug http://t.co/33AfeIxZSW",36,117,2015-04-02 14:25:53
"RT @LetsGetCrafting: Pretty much the coolest thing we've seen. NASA astronaut @AstroKarenN crafting in space! https://t.co/cbbxeC9t0d http:…",84,0,2015-03-31 13:24:21
"@UNDmhockey Congratulations! Good luck and have fun in the Frozen Four!",17,30,2015-03-29 03:57:32
"Less than 30 min to Soyuz launch of @StationCDRKelly, Mikhail Kornienko &amp; Gennady Padalka! #YearInSpace Watch here: http://t.co/muP6L1ntGO",54,67,2015-03-27 19:15:11
"Enjoy the ride &amp; the #YearInSpace! @StationCDRKelly: Rocket set to launch out the other side of the sky at T-8 hours. http://t.co/QKwAmeIGNp",12,34,2015-03-27 12:54:11
"Imagine this view every day for a year! Crew launches tomorrow 3:42pm edt for 1 yr in space. http://t.co/rQISBsHrnp http://t.co/Zggu1pBp07",1098,1769,2015-03-27 01:50:09
"Here's to our little Leo on #NationalPuppyDay. If only we could take him to LEO! http://t.co/pjJkBmLejS",17,95,2015-03-24 01:32:47
"So very cool.  MT @AstroSamantha: The umbra. Looking aft on flightpath around max obscuration time. #SolarEclipse http://t.co/TPQgbNuvQq",46,89,2015-03-21 01:13:04
"Good night, #ISS! @AstroSamantha: Good night from #space. Buona notte dallo spazio. http://t.co/tHEBTiLt8v",74,135,2015-03-16 23:46:17
"Beautiful time lapse. '@Space_Station: 'Winter wonderland blanketed by glimmering #aurora.' #AstroButch https://t.co/LWeoU7MBS2'",99,111,2015-03-09 20:21:01
"@nancyredd @HuffPostLive @sesamestreet @6Gems Thanks for having me!! So fun. Abby Cadabby is a gem.  =)",0,3,2015-03-09 20:02:45
"Join me today at 3 pm ET as I Hangout with @sesamestreet to celebrate #IWD2015!  http://t.co/43YGf3W5Yn",11,34,2015-03-09 17:19:01
"RT @kristinayates: @AstroKarenN of @NASA on @PowerLunch in 4 minutes. #CNBC, #igetpaidforthis? For more: http://t.co/pi3MFdjvEt.",6,0,2015-03-05 19:25:06
"Congrats @AstroTerry #AstroButch &amp; @NASA team! 3 successful spacewalks complete to prep ISS for future space vehicles http://t.co/AdiFVyQSWw",63,137,2015-03-01 17:56:42
"Great job, Terry! @AstroTerry: On way inside at end of long &amp; successful #spacewalk-thanks #AstroButch for great pic! http://t.co/MSOmPt6vdS",82,187,2015-02-22 03:12:19
"Have seen it w/ my own eyes, yet still amazed w/ every photo/video. “#Aurora drifts over a cold tundra.” #AstroButch https://t.co/vDFykc1Sqy",235,262,2015-02-17 18:49:13
"Remembering #Columbia. “@AstroTerry: http://t.co/SEsCks4SY3”",69,123,2015-02-01 16:09:54
"Ending the evening w/ inevitable awe, from friends on ISS... '@AstroSamantha: Good night from #space. http://t.co/j93cpqEp0D'",108,201,2015-01-31 02:05:52
"Congrats @SpaceX @NASA teams on today's great capture of Dragon! @AstroTerry: #Dragon as viewed from #ISS-range 300m http://t.co/EJEnfc78Lp",35,82,2015-01-12 18:42:48
"Cheers to our next lap around the sun. Happy New Year!! http://t.co/1DHJ6NDqPp",519,833,2015-01-01 06:09:31
"@spasmunkey @JohnRSports I've been warned. But I think the 5 yr old will like them &amp; that's what matters.  =)",0,6,2014-12-31 16:49:55
"Confession. Just watched Star Wars for 1st time. Late to game but happy to share it with the little guy! Moving on to Empire Strikes Back...",31,240,2014-12-31 03:25:04
"Our little guy is having fun coloring this pic from @Commercial_Crew while singing 'Jingle Bells'! http://t.co/yLRT6bm2kY",18,63,2014-12-24 15:45:33
"Happiness is a new puppy.  Meet Leo! http://t.co/MO3XxLp24U",40,259,2014-12-19 20:15:43
"This captures the intensity of the sun from ISS. @AstroTerry: #Sunset on #ISS http://t.co/rFtYXxGNoM",73,122,2014-12-16 19:06:27
