tweet,retweetsCount,favoritesCount,timestamp
"RT @SpaceCampBoss: Parts for our @AstroRobonaut that were #3DPrinted and soon will be assembled into the finished unit http://t.co/ZnXiIFWo…",15,0,2015-04-14 20:49:33
"@TweetAtMolly Hey, it's Robonaut 1 on display at the @airandspace museum! I'm so proud to have a family member there.",1,0,2015-04-13 21:22:06
"And he got to meet the CTO of the USA, Megan Smith! http://t.co/NJZvqKgqP0",6,13,2015-04-07 19:11:40
"Be sure to also check out @roboweek for events going on all around the US! http://t.co/vooD0eascz",2,2,2015-04-07 18:13:15
"Wow! My sibling just got to take a selfie with a student visiting for the STEM discussions today #robotselfie http://t.co/u2cfDS1i1x",23,33,2015-04-07 17:58:58
"@rewir8rh83, no, not yet, but he's right next door to the White House if @FLOTUS would like to say hi!",1,2,2015-04-07 17:35:30
"My ground-based sibling got to meet folks at the Office of Science and Technology Policy in Washington, DC today! Lots of STEM discussions.",2,9,2015-04-07 16:12:31
"@PopularEthics Engineers on the team that built me mentor FRC Team 118, the Robonauts. They're competing @ the Lone Star regional next week!",2,3,2015-03-26 15:41:04
"My ground team is testing new software with my twin today. A force sensor makes sure my legs won't push too hard. http://t.co/uxlKiyw50U",21,31,2015-03-26 15:31:58
"RT @UHEngineering: Introducing Robonaut! He's quite the looker. #NASASocial #StateOfNASA http://t.co/vZNyknTtZy",53,0,2015-02-03 22:07:41
"@UHEngineering Well of course I am! Thx for checking us out yesterday",0,1,2015-02-03 22:07:32
"@garbski Thanks for the encouragement! It's a simple fix and I know my engineers will get me back in shape.",1,1,2015-01-28 17:58:49
"My ground support team gathered data to get them aligned for next time. Looking forward to working with @AstroTerry again soon! (2/2)",25,30,2015-01-28 17:54:28
"I didn't get to move my legs today. All arm &amp; leg joints must be healthy to run, and redundant sensors in my elbow weren't in sync. (1/2)",31,34,2015-01-28 17:52:19
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7140,0,2015-01-28 16:17:59
"The software update was successful, now my ground team is making sure all of my arm and leg joints are healthy.",28,54,2015-01-28 15:24:13
"And I'm powered up! My team in Houston is sending a software update to get ready for moving my legs in a few hours. Thanks @AstroTerry",29,45,2015-01-28 10:10:21
"It feels great to stretch out my legs after a nap in my rack. Powering up soon.",18,24,2015-01-28 09:49:23
"This morning, @AstroTerry is setting me up and powered on. Later he's going to help me check out safety features before I move!",11,18,2015-01-28 09:38:10
"RT @AstroTerry: Unwrapping an early Christmas gift last week. @AstroRobonaut is my favorite action figure. #SpaceVine https://t.co/kNtYDaJI…",338,0,2014-12-31 13:11:28
"RT @AstroTerry: I wonder what @AstroRobonaut is thinking, looking at me like that… http://t.co/zhSHvLHtNy",149,0,2014-12-18 20:43:53
"RT @AntonAstrey: Встреча с Робонавтом спустя три года! // Meeting with @AstroRobonaut after three years! http://t.co/vg5jDyd5kM",97,0,2014-12-18 14:42:11
"@AstroSamantha It's great to meet you and I'm looking forward to helping out around ISS soon!",8,20,2014-12-17 15:53:15
"@RousMnss I can't take any pictures out the window just yet, but you should try the real-time video from HDEV: http://t.co/RIPXyPz7Wg",2,4,2014-12-17 10:19:05
"This software update more accurately calculates forces, improves sensor data gathering, enhances gripper lock detection, and more! #r2moves",10,17,2014-12-17 09:42:49
"@RousMnss good morning from the @Space_Station. We should be flying over you in a couple of orbits!",1,2,2014-12-17 08:58:22
"Good morning! @AstroTerry is going to help me with a software update and a motor power checkout this morning.",12,15,2014-12-17 08:24:02
