tweet,retweetsCount,favoritesCount,timestamp
"We watched live! Amazing to think that in 3 days #Dragon will be knocking on our door. #HomeDeliveryFromPlanetEarth https://t.co/Jm1MgZpHdi",288,488,2015-04-14 20:34:51
"While we wait for #Dragon, looking back at #Italy after a beautiful night pass a few days ago. http://t.co/k5VfNcyTMB",484,872,2015-04-14 20:04:06
"Mount Etna still covered in snow a couple of days ago!  #Italy L'Etna ancora innevato qualche giorno fa. http://t.co/SYaOq6Jw7c",988,1478,2015-04-14 17:38:22
"RT @NASA: It's launch day! @SpaceX #Dragon is set to liftoff at 4:10pm ET. Weather is now 60% 'go.' http://t.co/JXXZTcAevD http://t.co/B5fC…",835,0,2015-04-14 15:45:19
"Our giant solar arrays. Feeding the planet also means creating sustainable energy. @Expo2015Milano http://t.co/9SnIzJUcgF",362,656,2015-04-14 13:08:45
"(IT) I nostri pannelli solari. Nutrire il pianeta significa anche creare energia in modo sostenibile @Expo2015Milano http://t.co/lQJpHQYLyM",224,481,2015-04-14 13:07:47
"(IT) La Penisola Arabica: fantastico come le strade siano fili continui di luce. http://t.co/rt1GwzKIHv",183,516,2015-04-14 10:10:59
"The #Arabian Peninsula. Amazing how the streets here are continuous lines of light. #HelloEarth http://t.co/lbw6Gx24rq",306,602,2015-04-14 10:09:24
"@svevanax  Continua a studiare e un giorno ci aiuterai a rendere i viaggi nello spazio più semplici e adatti anche alle bambine di 8 anni!",11,27,2015-04-14 07:51:12
"@svevanax No, la TV non mi manca: ti svelo un segreto, non ce l’ho nemmeno sulla terra...",15,36,2015-04-14 07:50:20
"@svevanax Certo che mi diverto, fluttuare senza peso e’ meraviglioso! Ho portato cioccolata fondente, tanto cacao e poco zucchero :-)",8,23,2015-04-14 07:49:52
"Good night from #space. Buona notte dallo spazio. http://t.co/zHew0c1YBO",2521,5014,2015-04-14 01:34:29
"RT @ISS_Research: Awesome new #science headed to @Space_Station today! http://t.co/bKWQedm06R #NASASocial",126,0,2015-04-13 14:39:18
"(IT) La delicata struttura di supporto dei nostri pannelli solari. http://t.co/PBCgqVQ2Nt",125,387,2015-04-13 11:33:37
"The delicate supporting structure of our solar panels. #OurOutpostInSpace #HelloEarth http://t.co/0d5lWRnDoB",271,600,2015-04-13 11:33:18
"Greetings to @WWViews, a global consultation on #climate energy: we are all active citizens of this planet. http://t.co/dCVFnDSAn3",64,152,2015-04-13 08:37:25
".@Thom_Astro You’re learning, proud of you! Repeat after me: #42IsTheAnswer. Thought you might like #France by night http://t.co/tFWmzOqk70",332,712,2015-04-13 07:54:08
"Good night from #space. Buona notte dallo spazio. http://t.co/2Z06FkuOjw",1347,2724,2015-04-13 01:19:56
"Amazing! great job, thanks for taking our photo. https://t.co/gIIjgx0DA5",110,298,2015-04-12 22:29:59
"Last glow of the Sun before orbital sunset. L'ultimo bagliore del Sole prima del tramonto in orbita. http://t.co/07AVp5YlnB",380,775,2015-04-12 22:13:40
"The dance of the aurora in the distance. La danza dell'aurora all'orizzonte. #HelloEarth http://t.co/a7bWRxBfEX",753,1293,2015-04-12 19:49:07
"Happy #CosmonauticsDay and happy @YurisNight everyone! Recognize these crystals? Tiuterra https://t.co/spoRPKnFmA http://t.co/Ce5S0KXUVw",615,1119,2015-04-12 18:15:50
"RT @DaveAtCOGS: 5 months in; 1 to go: map http://t.co/1c54Wmhw4X has 1150 pins. 696 w/ hi-res, 18 vids, 55 #WorldHeritage http://t.co/4LAHV…",79,0,2015-04-12 14:02:16
"(IT) Ciao Ciad! Riforniti da falde acquifere nell'arido deserto, i Laghi di Ounianga sono patrimonio mondiale #UNESCO http://t.co/k7pombeYzE",146,431,2015-04-12 09:35:35
"Hello #Chad! Supplied by groundwater in a hyperarid desert region, the Lakes of Ounianga are a #WorldHeritage site. http://t.co/dIPRZq3m2w",165,434,2015-04-12 09:34:30
"Good night from #space. Buona notte dallo spazio. http://t.co/UCTaw0ZF4q",1975,3787,2015-04-12 01:15:53
"Some more #ColorsOfTheEarth! http://t.co/txct9XuEqZ",682,1231,2015-04-11 23:40:02
"@rfilby_73 :-)",3,12,2015-04-11 21:13:46
".@fabfazio Un po’ confusa? Scherzi a parte, mi manchera’ moltissimo la mia casa spaziale con vista pianeta Terra. http://t.co/AWSJOM6jXe",557,1492,2015-04-11 20:08:50
"Moonglint over the Mediterranean. Il riflesso della luna sul Mediterraneo. #HelloEarth http://t.co/Bwv5TbUPa7",1556,2229,2015-04-11 15:07:17
