tweet,retweetsCount,favoritesCount,timestamp
"Waning moon waving goodnight. #SpaceVine https://t.co/piNmDQR3JQ",1485,1934,2015-04-14 22:55:14
"An atoll is a ring shaped coral reef, which often sits atop the rim of an extinct and eroding volcano. http://t.co/Ct3DBidZCR",194,444,2015-04-14 19:29:12
"Ocean Clouds. Black and White. http://t.co/V9qB3sEMQw",143,381,2015-04-14 17:03:18
"Amazing view of Patagonia glaciers, lakes, and fjords on a clear fall day. http://t.co/ZW3D7pxtst",349,649,2015-04-14 14:12:54
"Remnants of #Joalane still churning away in the moonlit Southern Indian Ocean, with the Milky Way rising behind it. http://t.co/fYhTD9ZOjM",1154,1939,2015-04-14 00:38:55
"RT @Space_Station: Home of the @SFGiantsFans looks beautiful from space. Click to guess which image is #SanFrancisco and #ISSPlayBall. http…",107,0,2015-04-13 22:15:51
"My first good night pass over #Scandinavia. What an incredible display of light! #spacevine https://t.co/yH2A6rIJ3h",727,891,2015-04-13 20:04:34
"Clouds through a fisheye lens. http://t.co/KaujL0DxO5",322,579,2015-04-13 18:39:06
"Most of Scandinavia seen at night. #Norway, #Sweden, #Denmark, and my former home #Finland in the distance. http://t.co/0HCtqalsIH",999,1372,2015-04-13 15:03:38
"'Starry Night,' it's not quite Van Gogh, but a pretty cool perspective from up here in space. http://t.co/TcAAiiAOQ5",1122,1788,2015-04-13 13:15:51
"#masters2015 from space- #JordanSpieth , #PhilMickelson and the others are looking good, but the view is a bit cloudy http://t.co/pcFJwbDsbK",240,470,2015-04-12 22:09:23
"And the anniversary of the first Space Shuttle flight #OTD 1981 http://t.co/WUhsE0VWpM",354,581,2015-04-12 19:17:55
"Today is the anniversary of the first human flight into space- Yuri Gagarin, #OTD 1961. http://t.co/A9Az8Tv3zr",623,665,2015-04-12 17:58:48
"A touch of everything #SpaceVine. https://t.co/DjBg6F57ki",1124,1189,2015-04-12 13:27:10
"A touch of everything. Kuala Lumpur and Singapore night lights, Indonesia #lightning, and #sunrise clouds. http://t.co/fK9IFyyS4k",1255,987,2015-04-12 13:16:11
"Moonlit clouds make #Warsaw #Poland appear to be surrounded by snow. http://t.co/d48ScVHSds",361,660,2015-04-11 20:28:48
"Fall begins to settle on the Andes mountains in the southern hemisphere. http://t.co/NDkZrz9BSf",191,381,2015-04-11 17:31:40
"Beautiful #aurora over the rockies, #NorthDakota and central #Canada. https://t.co/6C9W9IAf72",461,533,2015-04-11 12:31:19
"Baja with Mexico beyond. The Earth is truly an amazing blue planet. http://t.co/hKlidya6AV",519,799,2015-04-11 12:24:15
"RT @Space_Station: This city is the home of the @Padres. Follow #ISSPlayBall for every @MLB city from space: http://t.co/OKXaex69Iu http://…",144,0,2015-04-11 12:16:55
"Tropical Cyclone #Joalane.  I took this one tonight. http://t.co/QvTwveNgg0",527,813,2015-04-11 01:13:16
"Tropical Cyclone #Joalane in the Indian Ocean earlier today. This storm is huge. http://t.co/xV3wZEwRHt",340,513,2015-04-11 00:55:45
"Think you can find my hometown? #ISSPlayBall fans, click to guess which image is #Baltimore. http://t.co/Az1DLo9vgT",82,216,2015-04-10 21:07:25
"#Namibia, in southwestern Africa, home to the tallest sand dunes on earth. http://t.co/OMI7419JFR",297,548,2015-04-10 16:31:45
"You get a sense of the height from the length of the shadows, seen from space. http://t.co/LVcfM9SV5n",168,431,2015-04-10 16:29:46
