tweet,retweetsCount,favoritesCount,timestamp
"#Water will be the gold of the our century. Irrigation system in the Mid-Western #USA https://t.co/2nENR8k4WV http://t.co/HTWs1qeDzd",82,149,2015-04-14 14:35:20
"Clouds but no rain. Sahara #desert / Wolken ohne Regen. (#Sahara) https://t.co/UMzDuYuDdB #BlueDot archive http://t.co/Pt3cbt4Vh1",64,179,2015-04-13 08:44:41
"So stelle ich mir das #holodeck der #Enterprise bei Stromausfall vor ;) Danke an @ZDFheute für diesen Einblick! http://t.co/OufPwC5m4q",91,338,2015-04-06 19:21:02
"RT @DLR_de: „Das ist grandios, das kann einen umhauen!“ @Astro_Alex erklärt die #ISS-Aussichtsplattform #Cupola. https://t.co/3yiKAYc571 (F…",48,0,2015-04-02 10:36:51
"Neue ISS Crew für 1 Jahr. Lernen für Mars, Zukunft d. Raumfahrt. Jetzt darf D &amp; Europa den Anschluss nicht verpassen! http://t.co/i7kp1UULuk",45,122,2015-03-28 10:52:25
"Awesome: #SolarEclipse from #ISS - MT “@AstroSamantha: I think this is it: Looking aft on our flightpath.  http://t.co/EYHqdu0gKP”",98,201,2015-03-20 16:28:12
"RT @esa: ESA views the #SolarEclipse from #space and Earth. Image gallery http://t.co/BwWKj66vGg http://t.co/AiMVfFdK1v",557,0,2015-03-20 16:06:36
"Heute in Berlin für #EarthGuardian - Tolle Schülerprojekte für den Erhalt unseres #BlueDot @DLR_de @ESA__Education http://t.co/FB4OStKWlN",25,69,2015-03-20 16:06:07
"@extraairtime Tach Alex! Musste ich in den letzten Wochen oft dran denken - war ein toller Trip! Gruß an die anderen beiden!",1,5,2015-03-12 12:34:41
"@CommanderMLA yep. @astro_reid",4,11,2015-03-12 02:29:57
"RT @ISS101: TOUCHDOWN! The crew of #ISS Expedition 41/42 returns to Earth after a memorable 167-day mission to Space! http://t.co/NJYmBS8kOM",146,0,2015-03-12 02:14:45
"RT @ISS_Research: Want to know more about the @iss_research #AstroButch &amp; his crewmates did on #ISS? Check out http://t.co/13PaGvWXFb http:…",45,0,2015-03-12 01:48:01
"Amazing. Just saw #ISS &amp; #Soyuz #TMA-14M fly in tandem over Puerto Natales, Chile. Final orbit for #AstroButch, Sash &amp; Elena. Godspeed!",63,182,2015-03-12 01:16:32
"#awesome! “@astro_reid: Video from our re-entry last year @astro_alex @msuraev.  Godspeed #AstroButch https://t.co/YHcO0oMj3V”",61,149,2015-03-12 00:06:34
"RT @AstroSamantha: #HelloEarth Three good friends are heading back home tonight. A soft landing will be best welcome present! #DontPanic ht…",941,0,2015-03-11 20:44:00
"Have a great ride home #AstroButch, Elena and Sasha! Looking forward to having you back on this planet. Enjoy the lasts views... #Soyuz",37,133,2015-03-11 14:31:16
"1 hour work to get into that seat. “@Astro_Nicole: Look who's on Twitter login page @Astro_Alex @Msuraev @astro_reid http://t.co/QdlaZZa0LK”",45,134,2015-03-11 14:23:55
"Danke @swish41! Freue mich, Teil des #Unicef-Teams zu sein. @UNICEFgermany",9,54,2015-03-11 12:52:05
"Thanks @swish41! I am happy to be part of the team #Unicef. @UNICEFgermany",13,58,2015-03-11 12:51:27
