tweet,retweetsCount,favoritesCount,timestamp
"RT @BoSchwartz: @experimentarium @Astro_Andreas lille korrektion :) http://t.co/uGHyUBPOi2",2,0,2015-04-14 07:57:18
"RT @experimentarium: Kan du løse denne matematiske skoleopgave, som blev stillet til 10-årige børn i Singapore? http://t.co/toMzWn23Ge http…",4,0,2015-04-13 14:38:38
"RT @UFM_FI: . @Astro_Andreas : Det er mit ansvar at inspirere unge http://t.co/qj6SSOFz96 via @videnskabdk #forskning #dkvid",2,0,2015-04-13 14:24:27
"Pretty cool! “@JPMajor: This is Rosetta's shadow on the surface of comet 67P  http://t.co/Xta8chRZDq http://t.co/zufbiNv9p2”",37,59,2015-04-13 05:12:44
"@Roerbye Jeg flyver op i et nyt Soyuz, som jeg efterlader på ISS og lander tilbage på jorden i det gamle Soyuz ti dage senere (3)",0,0,2015-04-10 16:01:22
"@Roerbye Men Soyuz rumskibet kan kun være i rummet i 6 måneder. Derfor behov for at udskifte Soyuz halvvejs igennem et års missionen (2)",0,0,2015-04-10 15:59:28
"@Roerbye Kræver langt svar...normalt er alle missioner 6 måneder, men for første gang i år skal to astronauter være på ISS i et helt år (1)",0,0,2015-04-10 15:58:00
"RT @rumrejsen2015: Snart lift-off: Sådan er det at være Danmarks første astronaut  http://t.co/BgvdJBchHf",8,0,2015-04-10 14:28:09
"RT @ISS_Research: #AstronautProblems @midnight http://t.co/73kTEBwIBw",118,0,2015-04-10 13:51:59
"RT @videnskabdk: Danske forskere arbejder på at skabe ilt på Mars http://t.co/F8JUKFIQws #dkvid #Mars2020 http://t.co/DAIHMIzbTf",4,0,2015-04-10 10:49:39
"RT @DTUtweet: Vægtløse forsøg sikrer mod ildebrand i rummet: http://t.co/mqrNWD2xeR #DTUByg #dkvid",2,0,2015-04-10 09:44:15
"Astro trainer Elisabeth @ESA_EAC teaches me all about endothelial cells for @ISS_Research in this vlog https://t.co/dfhF65piv3 #iriss",31,43,2015-04-09 14:42:21
"@astrojetgirl @Thom_astro but none contain 'ISS' which is preferable ;-)",0,0,2015-04-08 13:46:31
"@Thom_astro @astrojetgirl Wikipedia: In 1682, Cavelier, La Salle and de Tonti claimed the entire Mississippi River Valley for France",0,2,2015-04-08 13:41:04
".@frazsazsa @Thom_astro @esa The more 'ISS' combos you can include in the name, the better! Winning entry right now is 'Mississippi'",5,22,2015-04-08 13:37:03
"RT @ScienceblogDK: Juraprofessor: egoistisk ikke at vaccinere; en borgerpligt på linje med skolegang. Forældre opretter smittegruppe http:/…",5,0,2015-04-08 10:08:59
"RT @NASA_NEEMO: Great article in Embry-Riddle's Lift Magazine about #NEEMO19! Keep your eye out for more! http://t.co/eS04if3M9d",19,0,2015-04-08 05:10:55
"It's not the size of the rocket that matters...well maybe not. @Thom_astro @CERuge @LEGOIdeas",0,9,2015-04-07 16:01:23
"RT @Planetariet: LEGO-Byggedagene på @Planetariet er begyndt! Der er blevet fortalt mange historier om @Astro_Andreas. @Rumrejsen2015 http:…",5,0,2015-04-07 14:22:21
".@CERuge @LEGOIdeas Now my #IRISS LEGO astronauts might finally have a home ! http://t.co/lQ4J5Nj6bJ",45,91,2015-04-07 13:44:47
"RT @CERuge: @Astro_Andreas @esa Thanks for your support! We have reached 10 000 votes for this project! Now it's up to @LEGOIdeas to decide…",3,0,2015-04-07 13:43:08
"RT @esa: Deadline extended! Apply now for ESA Summer Teachers Workshop with @ESA__Education #STEM  http://t.co/EsV9or095W http://t.co/hU4bA…",46,0,2015-04-07 13:35:23
"RT @DTUtweet: Why space probe @NASAJuno took photos of Earth and the Moon http://t.co/JA3ZVE9pcU",1,0,2015-04-07 13:32:35
"@AstroFruitFlies Yes, at ESA's technology and research center ESTEC in the Netherlands",0,3,2015-04-06 20:19:46
"What the Interact Centaur rover will look like, that I'll control from space. Built by @ESATelerobotics and @tudelft http://t.co/ioHzRtA0Jo",102,135,2015-04-06 15:03:32
"@Astro_Mike @StationCDRKelly Wow, that's a big class! Different times back then...wonder if we will see that again",1,4,2015-03-27 16:44:38
"@sacscience @AarhusUni Maybe an older version of me in a few years time ;-)",1,2,2015-03-27 13:23:18
"RT @rumrejsen2015: I aften opsendes det Soyuz-fartøj, som @Astro_Andreas skal rejse hjem i til september. Læse mere på #rumrejsendk http://…",6,0,2015-03-27 13:21:34
"@hermansenmartin @videnskabdk Polyakov tilbragte 437(!) dage ombord på Mir i 1994-1995",0,4,2015-03-27 13:20:58
"Good luck to @StationCDRKelly and crew launching tonight. Take good care of Soyuz. It's my ride home in September. See you on ISS. #iriss",23,52,2015-03-27 13:19:23
"Længste på ISS ;-) MT @videnskabdk: Historiens længste ophold i rummet starter i aften http://t.co/C2Jaq4NQA1 http://t.co/UHu817v003",9,19,2015-03-27 08:27:32
"RT @SalomonsenJonas: 10... 9... 8... I aften sendes @Astro_Andreas' retur-fartøj op! Se opsendelsen live her: http://t.co/YfzaYrFCUN #dkvid",3,0,2015-03-27 08:25:40
"Muscle atrophy or medieval torture? Training today at @ESA_EAC on MARES experiment http://t.co/QbpeLc4oVb #iriss http://t.co/KlYYwiBYqW",38,64,2015-03-26 09:14:58
"@Ian_Benecken I know, I just don't understand why GEMA is allowed to wield so much power. They're a nuisance.",1,6,2015-03-23 20:18:29
"Why is every Danish song that I want to listen to on @YouTube blocked in Germany?",10,14,2015-03-23 20:11:06
"Finished great week in Denmark with Thorsten Schmidt, who is preparing Danish space meal for #IRISS mission http://t.co/CcFeGF541m",13,31,2015-03-22 09:17:44
"RT @SalomonsenJonas: @Astro_Andreas fortæller naturfagslærere om sin kommende rejse til ISS #bbdk15 #dkvid http://t.co/HZ1AJ043uO",4,0,2015-03-20 18:24:51
"RT @rumrejsen2015: Der er fysik i alt - også når @sofiecn og @Astro_Andreas laver lagdelte drinks med @Soeren_Storm #bbdk15 http://t.co/pQj…",3,0,2015-03-20 17:29:43
