tweet,retweetsCount,favoritesCount,timestamp
"RT @bethbeck: Local winners @SpaceAppsNYC with @astro_cady #spaceapps http://t.co/LjUuvwRDUm",8,0,2015-04-13 16:42:42
"RT @SpaceArtAl: The Force is strong in these Yuri Night participants. @SpaceFoundation. http://t.co/yw99agHAI0",7,0,2015-04-13 05:29:26
"Jeff 'Bones' Ashby, 3 time space shuttle Pilot/Commander, was also at Yuri's night in C Springs and gave a great talk http://t.co/TjaTpySxIX",6,12,2015-04-13 03:47:27
"Inspirational talk by astronaut Kathy Thorton at Yuri's Night celebration, Space Foundation HQ, Colorado Springs, CO. http://t.co/X8urmT53aT",1,7,2015-04-13 03:41:49
"RT @ISS_CASIS: Get details on the #SpaceX6 mission + learn about the science launching to the @Space_Station: http://t.co/0JMPvssHqY http:/…",21,0,2015-04-08 22:09:23
"RT @NASA: Want to be a @NASA intern? Now is the time to apply for Fall semester! Apply here: http://t.co/CzEmTzMSVo http://t.co/zAoNiHNflx",616,0,2015-04-04 18:45:27
"RT @Space_Station: #Soyuz Commander G. Padalka and #YearInSpace crew members @StationCDRKelly &amp; M. Kornienko walk to launch pad. http://t.c…",252,0,2015-03-28 02:34:14
"RT @krmiller28: Please RT?? My son won a partial scholarship to SpaceCamp. He's looking for sponsors to help. http://t.co/fZEjQFRYFY Please…",7,0,2015-03-18 18:55:50
"RT @HumanoidHistory: #Onthisday in 2008, the #Space Shuttle Endeavour viewed from the #ISS prior to docking. http://t.co/xsnX02zySF",24,0,2015-03-14 00:16:45
"RT @foreman_mike: “@astro_g_dogg: @Chief_Astronaut @foreman_mike @Astro_Box feels like yesterday we were on Endeavour getting ready to come…",3,0,2015-03-14 00:13:56
"Banana Creek viewing site.  Magnetospheric Multiscale (MMS) mission is poised for launch!  GO for launch. http://t.co/mnXwMx4sXy",2,6,2015-03-13 02:41:53
"RT @AstroGingerSnap: You all and every one who contributes to @SpaceWalkofFame are the future of the space program and the future of #STEM.…",10,0,2015-01-30 03:28:11
"Fun gathering of former Apollo/shuttle astronauts at a dinner supporting and promoting space exploration and STEM. http://t.co/meXLuq1PpM",10,23,2015-01-30 03:25:33
"Great getting together for dinner with a majority of our STS-134 crew. Hard to get everyone together in one city! http://t.co/Rm0DaunTok",10,22,2015-01-23 03:24:13
"RT @Astro_Flow: “@Astro_Box: Appreciate Leland Melvin  @ISS_CASIS STEM summit. Thx!http://t.co/MIl86wR89U” Box It was great to work w/ the …",8,0,2015-01-12 02:49:55
"Appreciate Leland Melvin @Astro_Flow at the @ISS_CASIS STEM summit. He wowed the crowd today! Thanks!!! http://t.co/8wqHb3gue8",3,8,2015-01-10 00:43:42
