tweet,retweetsCount,favoritesCount,timestamp
"@SpaceX #Dragon on its way to #ISS! I'll be Capcom for capture by @AstroSamantha and @AstroTerry  Friday 0700 ET! http://t.co/MZx1FUwn0T",37,64,2015-04-14 20:34:50
"#Falcon9 on its way to #ISS Rocket engine glowing hot! http://t.co/JNVkHWK5Ca",48,80,2015-04-14 20:17:11
"Launch!!! Go @spacex! http://t.co/S5ELtJvQhY",44,80,2015-04-14 20:15:07
"Launch of @spacex cargo spacecraft in 3min live of http://t.co/QJCGIndwoA! Exciting!",3,6,2015-04-14 20:08:04
"RT @csa_asc: Lights out in less than 5 minutes! Take the opportunity to look up at the night sky!  #EarthHour #lightpollution",28,0,2015-03-29 02:04:01
"RT @asc_csa: Une heure pour la Terre : fermez vos lumières et profitez-en pour observer le ciel étoilé! #EarthHour #pollutionlumineuse",2,0,2015-03-29 02:03:58
"Soyuz hatch open and the new ISS crew floats through! Welcome aboard! http://t.co/SOYMJcQErP",70,121,2015-03-28 03:41:19
"@AstroTerry waiting for opening of Soyuz hatch! http://t.co/WUovJJDHPj",5,11,2015-03-28 03:33:22
"Hatch opening on ISS in 5min - will start #oneyearinspace .Watch live on http://t.co/AUQwgsiPYg !",3,8,2015-03-28 03:10:51
"@mialicoley It was a fun conference at Joamie School!",1,1,2015-03-28 03:06:43
"RT @Space_Station: Watch @NASA TV now for live coverage of hatch opening as #YearInSpace crew joins Expedition 43 http://t.co/C7LVQGyw5P ht…",175,0,2015-03-28 03:00:59
"RT @industriecanada: La ministre Aglukkaq et @Astro_DavidS discutent de l’avenir du Canada dans l’espace avec des élèves à Iqaluit http://t…",1,0,2015-03-28 01:08:15
"RT @industrycanada: Min. Aglukkaq &amp; @Astro_DavidS discuss Canada’s future in space with students in Iqaluit http://t.co/tw6SN2PnnT",1,0,2015-03-28 01:08:15
"@NickMurray91 Great questions from the kids!",1,0,2015-03-28 01:03:19
"@blueznjazz @csa_asc So the road to nowhere actually leads somewhere ;)",0,0,2015-03-28 00:54:04
"RT @AstroTerry: #Soyuz popping through the clouds with Scott, Gennady, and Mikhail on their way to join us.  #Exp43 http://t.co/McYKufBeuI",705,0,2015-03-28 00:47:13
"RT @NASA: .@StationCDRKelly &amp; crew are now in orbit. Docking w/ @Space_Station at 9:36pm ET. #YearInSpace has begun! http://t.co/uBbTY4VE4N",1519,0,2015-03-28 00:46:05
"RT @NASA: .@StationCDRKelly's #YearInSpace will help on our #JourneyToMars, which could be 500+ days: http://t.co/UvEOnklOVn http://t.co/Cf…",787,0,2015-03-28 00:43:56
"RT @NASA: .@StationCDRKelly will see 10,944 sunrises &amp; sunsets on #YearinSpace. Launch is at 3:42pm ET! http://t.co/bWiABIRo3S http://t.co/…",1187,0,2015-03-28 00:43:28
