tweet,retweetsCount,favoritesCount,timestamp
"RT @BoeingDefense: #Boeing CST-100 Director of Crew &amp; Mission Ops + last @NASA shuttle flight commander @Astro_Ferg on @HEC_TV - http://t.c…",7,0,2015-04-09 23:25:44
"RT @Commercial_Crew: Interested in #LaunchAmerica progress? @BoeingDefense's @Astro_Ferg recently saw @ulalaunch rockets come together. htt…",15,0,2015-03-23 21:14:25
"IMAX Journey to Space. K2 productions and Mark Krenzien....awesome job! Patrick Stewart...excellent.  See it!",6,7,2015-03-22 20:38:15
"@bigunderscorec You made me laugh....and yes, it's a pocket door!",1,1,2015-03-04 04:47:56
"@Astro_Sandy Occupational hazard.",2,2,2015-03-04 04:38:06
"Ahhh....the dreaded 'pocket tweet'.  Thanks to Laura for saving me from further embarrassment.",4,9,2015-03-03 18:36:04
"Y8c Y8ct pjl fwz",6,6,2015-03-03 18:22:38
"the hk b b hc 8tkttx 3z DC to jnn89 w h73 hk g6g6 http://t.co/gnCXHrVxcZ",7,3,2015-03-03 18:22:20
"RT @SirPatStew: I narrated a film called Journey To Space. For those with the courage to travel to space, it would be marvelous. http://t.c…",583,0,2015-02-13 20:58:55
"RT @Commercial_Crew: New crew access tower groundbreaking ceremony Feb. 20 for @BoeingDefense's CST-100. http://t.co/fBfwko7QvG http://t.co…",78,0,2015-02-13 20:32:21
"52nd successful Atlas 5! Awesome launch last night! Look for for the first Atlas crewed launch in over 50 years....in 2017.",11,14,2015-01-22 01:47:36
