tweet,retweetsCount,favoritesCount,timestamp
"RT @elonmusk: Ascent successful. Dragon enroute to Space Station. Rocket landed on droneship, but too hard for survival.",8111,0,2015-04-14 20:50:05
"RT @Astro_DavidS: Launch!!! Go @spacex! http://t.co/S5ELtJvQhY",44,0,2015-04-14 20:24:14
"RT @Space_Station: Weather officer optimistic for 4:10pm ET @SpaceX #Dragon liftoff. Team polls 'GO' for launch. http://t.co/To77udpFre",85,0,2015-04-14 20:07:26
"Got my hands dirty with @letstalkscience and gr.6 students at Byron Northview. Fun! #Tomatosphere https://t.co/C702YmPJlS",16,23,2015-04-14 14:17:13
"Byron Northview students contemplate why I should take them to space! 'We could walk on Saturn's Rings together!' http://t.co/8r1C7U8ZSg",16,23,2015-04-14 13:09:52
"@CommandrNickel Interesting. What is the design goal?",1,2,2015-04-13 23:45:37
"@kleb79 I'm looking forward to it!",0,1,2015-04-13 23:41:26
"Watching @SpaceX launch. Hope they stick the landing! http://t.co/Wv9Xx6aGJv",12,20,2015-04-13 20:25:26
"2day @SpaceX launches 2 #ISS w/ tomato seeds 2 inspire youth. 17800 classes have participated. http://t.co/AflYpfOBME http://t.co/t9UFND7ZQo",18,34,2015-04-13 16:14:52
"Office 2day is #ISS simulator.Working w/ mission control 2 tackle emergencies. Ex. hole punched in #ISS by space junk http://t.co/X9SKq04zHp",20,47,2015-04-07 19:30:57
"RT @StationCDRKelly: #Australia. You are very beautiful. Thanks for being there to brighten our day. #YearInSpace http://t.co/0alQD01hY7",1687,0,2015-04-07 19:15:49
"Mission Control camera views that show curvature of Earth still incite a 'Wow' moment. Look forward to view in space! http://t.co/pKSg8Jf3aI",24,42,2015-04-02 20:21:42
"RT @Tungsten_Flight: . @Astro_Wakata w/ @Astro_Jeremy as CAPCOM talking to @StationCDRKelly @AstroTerry @AstroSamantha The I in ISS. http:/…",41,0,2015-04-02 20:07:37
"Great privilege speaking 2 Canada's future this morning! Video conf technology took me fm coast 2 coast with 5 schools fm Newfoundland to BC",10,22,2015-04-01 17:18:41
"RT @RobynThiessen: @astro_jeremy ask for help, learn from your mistakes and move on! #brilliant #sd36learn #leadership @MrsTsClass1 http://…",6,0,2015-04-01 17:15:50
"@Wfrahmanj Wow, I'm honoured! A little dedication, like you showed with your project, goes a long way in this world. Follow you dreams!",2,8,2015-03-30 20:48:16
"Stage is ready for us @TEDxKanata tonight! Excited to join in the conversation! http://t.co/nnGsDCEw6y",10,27,2015-03-26 20:07:25
"Loved speaking w/ @elginstreetps today! Inspiring to interact with budding scientists and engineers! Some great Canadian minds!",3,9,2015-03-26 18:20:45
"RT @TEDxKanata: Can’t wait for @Astro_Jeremy’s talk at #TEDxKanata about his experiences and current projects as a modern day explorer! #Dr…",12,0,2015-03-25 21:37:32
"The pleasure was mine @flyboy710. You will achieve great things with @AirCadetLeague and beyond! @cadetsca",4,18,2015-03-25 21:35:57
"RT @industrycanada: Min Moore &amp; @Astro_Jeremy will talk space exploration with Ottawa students http://t.co/dpJQdMqUUK http://t.co/WylupVOHI4",12,0,2015-03-25 21:30:57
"Merci aux élèves de l'École Montarville à Saint-Bruno pour le bel accueil! http://t.co/OEWme6pxQk",4,18,2015-03-24 12:59:22
"@CliffsideP_TDSB Love the picture! Enjoyed speaking with all of you today. Thanks!",3,5,2015-03-05 21:15:30
"Our great team enables @csa_asc 2 leverage space benefits! Great example in honour of #IWD2015 http://t.co/Z5PFJ1hS9H http://t.co/tpJuJE7YZg",4,13,2015-03-05 16:25:34
"RT @AstroTerry: Southern #aurora #SpaceVine.  We fly closer to them, and they look very different from the northern lights. https://t.co/Pi…",1658,0,2015-03-04 19:15:58
"RT @Astro_DavidS: Spacewalk going on right now outside @Space_Station ! Follow live on http://t.co/W6Z3QYnVVr",27,0,2015-03-01 15:27:42
"RT @Space_Station: .@AstroTerry routes cables on Port 3 Truss during #spacewalk as #ISS flies over desert in north Africa. http://t.co/OVNV…",110,0,2015-03-01 15:26:15
"RT @AstroTerry: http://t.co/ErjTLgCIrL",40498,0,2015-02-28 17:31:58
"RT @industrycanada: Congrats to @csa_asc’s new president Sylvain Laporte http://t.co/BGW4utzb0v #spacenews",9,0,2015-02-28 17:30:24
"You inspired so many of us @TheRealNimoy &amp; helped me imagine what was possible. Thank you, RIP. http://t.co/l6kd0q8SH6",91,164,2015-02-27 21:40:35
"RT @TheRealNimoy: A life is like a garden. Perfect moments can be had, but not preserved, except in memory.  LLAP",280997,0,2015-02-27 21:36:25
"@mtd065 It is a hill they call Mt Sharp!",0,0,2015-02-26 21:16:19
"@jameshrh they take selfie fm multiple angles then edit out camera arm. You can see camera is an add on in final photo.",0,0,2015-02-26 21:15:19
"Desolate but beautiful all the same. Curiosity sends selfie fm Mars. Someday it will be a human selfie fm Mars! http://t.co/hByzPjdAl7",77,101,2015-02-26 13:27:11
"Check out the view as #Canadarm2 gets a tune up from @AstroTerry on today's spacewalk. http://t.co/li3avWREBV",19,39,2015-02-25 17:35:52
"Live spacewalk. I learn a lot from observing. Would love step into the vacuum myself someday! http://t.co/ycMIpa7xCf http://t.co/efEPrJudst",33,54,2015-02-25 13:03:20
"RT @Space_Station: 'Cable guys' end #ISS spacewalk at 2:26pm ET. 2 more on Weds. &amp; Sun. to  setup future @Commercial_Crew adapters. http://…",185,0,2015-02-21 19:51:33
"RT @Space_Station: 2.5 hours into spacewalk @AstroTerry &amp; #AstroButch finish PMA2 port side cable attachments... http://t.co/zcrmFYuJDF htt…",171,0,2015-02-21 16:00:50
"Watch spacewalk going on right now. @Astro_Wheels guides #AstroButch &amp; @AstroTerry thru steps. http://t.co/ZBz18uPA7X http://t.co/GM2hgDr8K9",31,62,2015-02-21 15:38:44
"Bumped into this planetary rover walking back from a meeting. Gets my imagination running! What if.... http://t.co/gHtieIaEbR",29,45,2015-02-18 20:34:50
"@AmandaGMerriman Biggest challenge of Canadarm is keeping track of elbow/shoulder with limited camera views so u don't poke a hole in #ISS",9,8,2015-02-18 19:50:49
"@jazzie6262 It always starts with a little imagination!!  Great work future explorers!",4,4,2015-02-18 19:42:56
"RT @astro_kjell: L-98: Suited descent sim today. Wondering if I can trade in miles for more legroom? #upgrades http://t.co/1o6fUitkva",123,0,2015-02-18 19:37:59
"Slow &amp; Steady. Russian resupply spacecraft docking to #ISS right now. Watch at http://t.co/U3UXPI4VCd http://t.co/HmstoLouvr",10,32,2015-02-17 16:50:01
"Go @SpaceX.1st Canadarm will release Dragon for trip home 2:10 then Falcon9 launch 6:50pm ET. http://t.co/U3UXPI4VCd http://t.co/VWtq0n7S9Y",25,26,2015-02-10 18:04:13
"Operating Canadarm as part of mission control sim. Check out video display...cool how even sun glint is simulated. http://t.co/RriVFvZIcN",15,33,2015-02-02 18:54:51
"RT @NASAexplores: Today we honor the legacy of those who gave their lives to push the boundaries of space exploration. #NASARemembers http:…",171,0,2015-01-28 19:57:04
"Heartfelt thanks for ALL the Birthday wishes!! It was a great day &amp; all of you added to it. Thanks!",1,24,2015-01-28 01:56:48
"Canadarm technology leveraged to help surgeons heal our kids. (vid) https://t.co/2jWdgi4K0D #KidsArm @SickKidsNews http://t.co/no2K2tucum",54,65,2015-01-23 00:18:44
"Formation flying a core skill 4 fighter pilots. 410 Sqn Students honing skills off my wing 2 allow multiple... https://t.co/Nk3qWGwsrI",58,95,2015-01-22 17:37:47
"@theoddsociety pretty good considering I'm still alive &amp; I didn't damage the Chinook! Impressive machine!",1,0,2015-01-22 17:17:38
"RT @Chief_Astronaut: Awe inspiring view, an astronaut gets 1st hand! MT @AstroSamantha: Look from above into eye of cyclone #Bansi. http://…",78,0,2015-01-18 03:24:51
"Many thanks to 450 Sqn 4 amazing visit! Flying the mighty Chinook was a highlight 2nd only 2 spending eveni... https://t.co/8KuVHuSIJu",17,49,2015-01-17 21:13:00
