tweet,retweetsCount,favoritesCount,timestamp
"数字を早く書きとる訓練をしている際、日本語と英語・ロシア語の数字の数え方が違う事で、少し手間取ってしまう事があります。例えば、70と17はともに7の発音が先に来るので、7と書いてしまった後に17だったと分かると、百の位の数字と、十の位だと思って書いた7の間に強引に1を書く事に…",53,88,2015-04-14 21:35:27
"マニュアル操作での帰還とランデブーの訓練がありました。打上げの為の最終試験が近い事もあって、訓練にも熱が入ります。ロシア語の訓練は、重要単語の復習、数字の発音、書き取り等ミッションに直結した内容でした。数字は基本中の基本です！ミッション中は、重要な数字が沢山飛び交っています！",33,82,2015-04-14 21:20:21
"今回のロシア訓練初日は、コマンダーとのシミュレータ訓練でした。チェル飛行士は、来週から合流する予定です。私の担当する左席は、飛行機で言うと、副操縦士の様な役割なので、右席に座る飛行士よりも、ロシアでの訓練が長くなります。アサイン後2年半の訓練のうち約半分がロシアでの訓練です。",21,72,2015-04-13 22:36:07
"私の子供の頃の写真を少し紹介します。私には兄が居なかったので、農家のアルバイトに来ていた方々に遊んでもらったり、勉強をみてもらったりしました。彼等が理系だった事が、私が理系になるきっかけ、という事は飛行士になるきっかけでもあります。 http://t.co/xFh6I8nJfW",47,158,2015-04-12 20:07:32
"@aviastudent Это здорово! То мы сможем встретить скоро! Я жду!",0,1,2015-04-12 17:06:13
"@aviastudent Вы были там!? Я одевал обычную одежду, поэтому трудно заметить. У нас будет еще случай встречи в будущем!",0,1,2015-04-12 16:53:03
"@aviastudent С праздником! Я прилетел в Россию вчера, и сейчас в Звездном. Надеюсь, у Вас был хороший праздник сегодня.",3,1,2015-04-12 16:40:01
"ロシアの女の子の間では、カラフルなゴムバンドを使ってブレスレット等を編むのが流行っている様です。お友達に教わりながらやってみましたが、細かい作業で大変でした。結局、苦戦しているのを見ていたお友達から一つプレゼントしてもらいました！ http://t.co/s8mJZFZWIV",62,117,2015-04-12 16:27:00
"人類最初の宇宙飛行をお祝いする日でもあったので、二重におめでたい日でした。食事の際につけていたTVでも、有人宇宙開発の歴史を説明していました。なんと、私の画像もTVに(笑)！食事の後は、星の街での祝賀行事と訓練施設公開へ行きました！ http://t.co/QhWJAq3p8y",50,128,2015-04-12 16:11:56
"今日はПасхаと呼ばれる正教会の復活祭でした。小さなお友達の家に招待されて、一緒に食事をしました。装飾した卵をお互いが持って、卵と卵をぶつけて殻を割り、それを食べるんです。この卵もお友達の卵とぶつけて割ってから、一緒に食べました。 http://t.co/QP21IMG6yi",73,141,2015-04-12 15:36:11
"ふと思ったのですが、このアカウントは宇宙飛行士のアカウントですよね。その割には宇宙の話題が少ないような(苦笑)…宇宙ファンの皆さん、本当に申し訳ありません！宇宙飛行士をしている油井という人間のアカウントだと思って、我慢して下さい！普通の旦那、親、おじさんとしての私も知って下さい！",66,196,2015-04-11 19:47:16
"ロシアにいる時は、気持ちが落ち着きます。ドイツで英語が通じず、ガソリンスタンドで困っていると、恐い顔をした優しいおじさんが助けてくれました。それは嬉しいのですが、そもそも言葉がわからないと、助けて貰うのも大変です。ロシアでは、積極的に雑談も出来るので、気持ちにも余裕が出来ます。",25,85,2015-04-11 19:33:53
"ドイツの街の通りは清掃が行き届いていて綺麗でした。リサイクルも徹底していて、沢山の種類のゴミ箱があります。ちょっと日本に似ている気がしました。ペットボトルの蓋の一部が残らないデザインにも少し感動！細かい配慮の国ですね。 http://t.co/C6VIv9icA2",184,218,2015-04-11 08:42:31
"訓練後、教官との雑談でお酒の話になりました。「数年前に日本へ行ったんだけど、そこで飲んだウイスキーは最高だったな〜」最近まで妻と一緒に見ていた、あのドラマのウイスキーだったので、嬉しくなってしまいました。当然最終回は泣きましたよ。テレビや映画で泣くのは、我が家で最速・最多です。",51,103,2015-04-11 05:31:33
