tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA_Marshall: High-fives welcome @Astro_Maker at Carver Elementary in Montgomery on NASA Alabama Aerospace Day! #ALAeroWeek2015 http:/…",12,0,2015-04-11 01:54:45
"RT @NASA_LaunchFest: It's a school event so we're presenting a Team Spirit Award to the @USNaval_Academy @USNavy. @OrbitalATK @NASAPrize ht…",11,0,2015-04-11 01:53:55
"RT @Astro_Duffy: Great to be in Huntsville this week for #Studentlaunch - Student will receive awards at tonight's banquet. Congrats teams!",5,0,2015-04-11 00:23:22
"@SpaceCampBoss @SpaceCampUSA @Check_Six        Meeeee tooooooo Mike!",0,0,2015-04-11 00:19:43
"RT @OrbitalATK: We are excited to be the sole corporate sponsor of @NASA_LaunchFest - students are busily getting thru their LRRs http://t.…",12,0,2015-04-09 03:10:19
"Hello Montgomery!    Good to be in 'Bama for NASA Day!",1,5,2015-04-08 22:25:14
"RT @NASA_Johnson: .@Astro_Maker shows @TOADM ins and outs of spaceflight in the space vehicle mockup facility. Thanks for the visit! http:/…",30,0,2015-03-13 01:54:25
"@TheoryDean @TOADM great meeting you all today Dean!    You guys Rock!",1,3,2015-03-13 01:54:19
"RT @spacechelle: He's baaaacck! Always great to see Swani. He's here in DC on his Postflight PR tour &amp; here 4 NACA/NASA event http://t.co/y…",5,0,2015-03-04 03:22:09
"RT @NASA_Johnson: .@astro_tim and other leaders meet in the Texas State Capitol to share the 'Dawn of a New Era' for #SpaceDayTX #atx http:…",16,0,2015-03-04 03:19:17
"RT @richardbranson: Looking forward to speaking with future astronauts at evening of adventure with @virgingalactic in London. Join us: htt…",80,0,2015-03-04 03:19:05
"RT @amikokauderer: The Vulcan salute from space over @TheRealNimoy's birthplace. About salute: http://t.co/LXAt5FyiYQ RT:@AstroTerry: http:…",31,0,2015-03-01 00:57:03
"RT @FlightTestFact: Engineers and FTEs watch as a pilot flies the first motion simulator in 1956 @NASAArmstrong  #flighttest #photo http://…",6,0,2015-03-01 00:55:59
"RT @Space_Lectures: Prince William: 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/qKInebH5HW http://t.co/yTUT…",187,0,2015-02-28 00:13:50
"RT @Chief_Astronaut: All astronauts can channel their inner Spock when required. @TheRealNimoy we remember, you'll always be w/us. #Katra h…",175,0,2015-02-28 00:13:50
"RT @AstroIronMike: Sad to hear of Leonard Nimoy's passing. We will honor his memory by boldly exploring.  https://t.co/PPE7yi1bKr",177,0,2015-02-28 00:12:43
"RT @NASA_Astronauts: We will take the spirit and energy that #LeonardNimoy brought to #Spock with us as we continue to explore...Watch: htt…",243,0,2015-02-28 00:11:29
"RT @SpaceCampBoss: Had a chance 2 get a look at the new traveling exhibit @SpaceCenterHou - incl these 2 displays, 1 made of matchsticks ht…",2,0,2015-02-28 00:10:39
"Honored to fly in today's Remembrance Flyover at NASA JSC.  Thanks Bull and Animal for a great Lead! https://t.co/daQfFvR4ty",4,19,2015-01-30 00:25:20
