tweet,retweetsCount,favoritesCount,timestamp
".@paulfeig ....and I'll put in a good word at NASA for you for real space mission!",4,15,2015-04-14 20:44:35
".@paulfeig Keep me in mind when you cast ghostbusters!",4,24,2015-04-14 20:43:42
".@paulfeig @OtherSpace Paul - I am a big fan, good luck with the new show, and thanks for including me, I had a blast!! #blastoff",3,19,2015-04-14 20:41:40
".@nirenel @OtherSpace Expensive travel cost, good property prices, but not much atmosphere #blastoff",4,16,2015-04-14 20:38:43
".@annamac1204 @OtherSpace @paulfeig I took my astronaut snoopy toy, same one in the attached photo #BLASTOFF http://t.co/JVxyNITcxm",15,57,2015-04-14 20:37:12
".@paulfeig @OtherSpace I'd also call it Astro Mike, just kidding, I'd go with @paulfeig #BLASTOFF",0,4,2015-04-14 20:35:35
".@superdumb @OtherSpace @paulfeig I think most people love the space program and movies and tv shows like @OtherSpace perk their interest",1,11,2015-04-14 20:33:49
".@megliz @OtherSpace Yes!  It is required! Exercise bike, treadmill, and resistive exercise device #BLASTOFF",1,8,2015-04-14 20:32:18
"@OtherSpace @paulfeig My top 3 space movies: The Right Stuff, Apollo 13, and Gravity.",2,3,2015-04-14 20:29:26
".@mrshanlui @OtherSpace It would have to be @paulfeig #BLASTOFF",1,5,2015-04-14 20:28:26
".@mrshanlui @OtherSpace Pizza,just something science has not yet figured out: how to get pizza into space #BLASTOFF",7,15,2015-04-14 20:27:17
"@paulfeig @OtherSpace Looks great!  Where can I can one of those, would fit right in in NYC #BLASTOFF",1,1,2015-04-14 20:24:46
".@violincatherine @OtherSpace @paulfeig Probably not but I think that would yummy. I laughed at lots of stuff including the diet. #BLASTOFF",3,7,2015-04-14 20:23:10
".@paulfeig @OtherSpace glad I could be an inspiration to you! #BLASTOFF",3,10,2015-04-14 20:21:25
".@OtherSpace @paulfeig Very cool, I wish we had them on my missions #BLASTOFF",2,7,2015-04-14 20:19:59
".@paulfeig who did you base your @OtherSpace characters on?  Anyone I know? #blastoff",1,12,2015-04-14 20:18:32
".@OtherSpace @paulfeig 10 - Really bad, sometimes oxygen masks could be required. #blastoff",2,8,2015-04-14 20:16:11
".@paulfeig @cdulaney85 Its only a real mission if you have a mission patch and crew photo #BLASTOFF",3,11,2015-04-14 20:15:12
".@OtherSpace @paulfeig I think eating space food is great, not as good as @Mariobatali, but better than one would think #blastoff",6,13,2015-04-14 20:13:00
".@OtherSpace I was inspired at age 6 by the moon landings and then in college by the movie The Right Stuff. #BLASTOFF",13,28,2015-04-14 20:11:44
".@summer0001 @OtherSpace @paulfeig episode 4 but I wont tell you why you will have to watch it! #BLASTOFF",1,5,2015-04-14 20:09:21
".@paulfeig @OtherSpace No, do you think any of your characters in the show are mean astronauts?",2,5,2015-04-14 20:07:02
".@OtherSpace @paulfeig the way humans adapt to zero gravity so quickly.  Flying around, and learning how to live up there.",5,8,2015-04-14 20:05:03
"Please join us! https://t.co/Ul3RuEVn83",18,14,2015-04-14 20:01:27
"Check out @OtherSpace and join me and @paulfeig today at 4pm EST to talk about the new original series on @YahooScreen #BLASTOFF",13,17,2015-04-14 16:00:31
"RT @IntrepidMuseum: #OpeningDay at @CitiField for the @Mets! We partnered with the Mets &amp; @Astro_Mike to get an artifact for HUBBLE@25: htt…",3,0,2015-04-13 18:19:19
"SpaceX 'Go' for Dragon Launch, Rocket Landing Try on Monday http://t.co/awDl8cCTSr",18,30,2015-04-13 16:20:44
"From my interview Friday: Amazon founder plans to test suborbital spacecraft http://t.co/KyqZHoyhwu",5,6,2015-04-13 16:09:09
"Here’s a photo of me in space, in honor of #IntlSpaceDay #humanspaceflight! Enjoying the view after a busy day! http://t.co/ccUYTb46Ts",146,277,2015-04-12 16:03:16
"Happy International Day of #HumanSpaceFlight, honoring 54 yrs since Yuri Gagarin flew in space: https://t.co/sFWdBoYozs #IntlSpaceDay",57,78,2015-04-12 14:00:02
"Talking space (real &amp; fake) w/ @OtherSpace director @PaulFeig on 4/14. Hope you can join http://t.co/XRefeW3pfx http://t.co/4YS41ixN35",20,22,2015-04-10 16:30:12
"Two weeks until we celebrate #Hubble25. Here’s a photo of us fixing #Hubble back in 2009.  Checkout the sunrise! http://t.co/TLVoNzJ1PR",51,74,2015-04-10 15:48:10
"Rockets launching in 4K is out-of-this-world amazing http://t.co/e2dfHIb5fW via @mashable",16,29,2015-04-10 15:44:31
"Nice conversation about commercial Spaceflight with @BillHemmer http://t.co/5YR2WKU78U",5,19,2015-04-10 15:04:59
"Will be talking about this on foxnews at 10:50 EDT today: http://t.co/h5gyrdN4O6 via @Reuters",9,9,2015-04-10 12:10:30
"NASA chief scientist: Strong 'indications' of alien life may be seen by 2025 http://t.co/miR1YtcBqR via @fox59",23,28,2015-04-10 00:14:08
"Just toured the Columbia Egleston Scholars through the #Hubble25 @IntrepidMuseum",8,18,2015-04-09 20:27:51
"cool photo of my heroes, I want dress like them! https://t.co/Fi4bhqK2EZ",9,32,2015-04-09 20:16:55
"WATCH: A time-lapse of Saturday's total lunar eclipse It's almost as good as being there. http://t.co/xvhNHwjxqM",20,33,2015-04-09 20:11:00
"Will be spending the evening with some of the world's most promising future engineering leaders. Congratulations Columbia Egleston Scholars!",13,39,2015-04-08 13:32:15
"Me and my buddy Ed Rezac, thanks for getting me ready! https://t.co/T5LMUgWwO3",4,21,2015-04-08 13:30:01
"One great way to celebrate #Hubble25 is to visit the Hubble@25 exhibition at @IntrepidMuseum. I’m a co-curator! http://t.co/0nuakmsJ8v",26,28,2015-04-06 14:46:07
"This flag, which flew on STS-125, is on display in @IntrepidMuseum's #Hubble25 exhibition! http://t.co/kwZwUE3JGm http://t.co/qqbMozbhom",35,60,2015-04-03 14:09:08
"How ion thruster technology will power future NASA missions http://t.co/id5mogVxvX via @engadget",27,38,2015-04-02 21:00:12
"I can’t believe it’s already April and we’ll be celebrating the official #Hubble25 soon! What are you doing to celebrate?",11,38,2015-04-02 16:42:11
"A town in Texas just quit fossil fuels. Who's next?http://t.co/2t9B8cqwxx via @slate",26,31,2015-04-02 16:14:01
"RT @LeeBillings: Thank you to @Astro_Mike and the @IntrepidMuseum crew for hosting us this morning! Had a great time! http://t.co/aRelOKMkTt",6,0,2015-04-02 15:46:42
"Congratulations to the newly admitted @CUSEAS and @CC_Columbia students in Class of 2019! #roar2019",14,33,2015-03-31 19:16:18
"Want to hear scientists discuss top discoveries from #Hubble25? Come to @IntrepidMuseum's panel discussion on 4/30: http://t.co/K446O5pJd9",22,20,2015-03-30 16:41:08
"RT @NASA_Johnson: Rocket carrying @StationCDRKelly launches to the @Space_Station starting a #YearInSpace! https://t.co/iOvPKSFg6t",747,0,2015-03-28 17:22:38
"The Mars keeps on producing: BBC News - Curiosity Mars rover detects 'useful nitrogen' http://t.co/v6FSh6EJbv",14,20,2015-03-27 21:01:39
