tweet,retweetsCount,favoritesCount,timestamp
"Happy Cosmonautics Day! 1961 Gagarin 1st to space &amp; orbit Earth/1981 Young&amp;Crippen 1st Space Shuttle flight #Explore http://t.co/IJB6hYEwEC",38,34,2015-04-12 15:08:59
".“@AstroSamantha: Moonglint over the Mediterranean. Il riflesso della luna sul Mediterraneo. #HelloEarth http://t.co/1UfTTVathz”",10,13,2015-04-11 15:20:24
".“@cmschroed: From telescope tonight of @BenRSchroeder cc @Astro_Nicole @ChrisStott @RobWilder @pmarca @rcastleman http://t.co/qKhmJMjNFC'",0,4,2015-04-09 14:40:54
".“@Spaceport_Mag: America's 1st astronauts introduced 59 yrs ago today like this @NASA_Astronauts @NASA @NASAKennedy http://t.co/bcUqywmOH5”",17,14,2015-04-09 14:25:42
".“@onedrop: Great words from J.R.R. Tolkien http://t.co/W0tXBZO0Yi”",4,1,2015-04-09 14:21:50
".“@NASAedu: #comm_college student interested in #STEM careers @NASA? Apply #NCAS2015! Details: http://t.co/7jkQYqO7Ln http://t.co/8GpadSx5vR",2,1,2015-04-09 14:19:39
"The view on my TV - remembering the time when I was blessed to see this out my #ISS windows #EarthFromSpace http://t.co/01VZ9tzp3F",5,11,2015-04-09 14:16:52
"Happy Easter! #TheCross http://t.co/kwKrvJjhih",26,48,2015-04-05 13:36:17
".“@NASA: Want to be a @NASA intern? Now is the time to apply for Fall semester! Apply here: http://t.co/GG7KeDzyC7 http://t.co/4LHoeYz0bc”",6,7,2015-04-04 22:31:42
".“@ERAU_Alumni: #ERAU alums are space nuts. @PlanetaryRsrcs @SpaceAngels @NASA @Astro_Nicole http://t.co/ZUQw75SsQA http://t.co/lCYnGyUl65”",20,21,2015-04-04 02:31:53
"Good advice #LiveYourDreams http://t.co/JAxdBtazhH",6,10,2015-04-04 01:55:48
"Spectacular! #ISS #BlueMarble http://t.co/e2SLTnuWZ7",5,4,2015-04-03 18:26:22
"@ingallsimages rumor has it the blessings are still as exciting as this one ;). Great pic!",4,6,2015-04-02 15:00:29
"Love this pic! Courtesy of @ingallsimages - Russian Orthodox blessing of a Soyuz rocket (&amp; media) before launch http://t.co/ekhJrSnKaa",13,22,2015-04-02 14:52:55
"Great meeting you all! Good luck w/competition! “@FRC3556: @Astro_Nicole thank you so much for meeting w/us today! http://t.co/gkytAXEsZn”",3,10,2015-04-01 23:27:21
"@passport45051 plz direct message with info. Thanks",0,0,2015-04-01 22:03:57
"One small step... #TranquilityPark http://t.co/BN3VoqdMve",39,49,2015-03-29 20:12:09
";) @Space_Lectures: Sunday shout to our astronaut followers @Astro_Wheels @Astro_Clay @Astro_Nicole @astro_timpeake http://t.co/viudHCxLt9",30,29,2015-03-29 17:24:25
"What Has a Satellite Done For You Lately?  http://t.co/uKULog3uPk",3,2,2015-03-28 17:12:43
"0g = Awesome! “@sciencemuseummn: Space: An Out-of-Gravity Experience #MuseumWeek http://t.co/miodZH1VYo http://t.co/3ouWoHQZ1g”",6,14,2015-03-28 16:05:50
"On their way to ISS! @StationCDRKelly Gena &amp; Misha! #ISS1year http://t.co/28pjnmuiZB",54,95,2015-03-27 19:51:22
".“@TIME: Watch the trailer for TIME's unprecedented new series: A Year in Space http://t.co/FGBCCRq4uf #YearInSpace http://t.co/u4ejLvsm6K”",18,14,2015-03-27 13:55:52
".“@NASA: #NASA's Scott @StationCDRKelly with his #Exp43 crew heading for suit up and launch #YearInSpace #ISS http://t.co/dpRdqpO1I2”",5,10,2015-03-27 13:53:19
"Beautiful New Moon! “@AstroTerry: The first hours of the new moon. http://t.co/8DF6mdi4si”",38,46,2015-03-22 20:03:32
".“@ObservingSpace: Earth compared to all its #water and air http://t.co/5lWwPs4Eqm #WorldWaterDay http://t.co/5rGbm6MVZs”",119,76,2015-03-22 20:01:15
"20th Anniversary-landing of Valeri Polyakov from #LongestSingleSpaceMission to date (438 days on Mir) http://t.co/QSs4yGuJyo",98,110,2015-03-22 14:40:07
