tweet,retweetsCount,favoritesCount,timestamp
"#aiaadbf unofficially the top 3 team. 3-Ga Tech, 2-UC Irvine, 1-U of Ljubljana (Slovenia). Official results in 7 days http://t.co/cEayDNYRXC",7,11,2015-04-13 01:01:22
"#aiaadbf Teams from Austria and Slovenia sharing a picture http://t.co/HFmX78b6Xj",2,6,2015-04-13 00:25:01
"#aiaadbf Team Thai with happy faces after a great competition http://t.co/SvqmLCtO9z",6,10,2015-04-13 00:19:36
"#aiaadbf USC, Team Thai, Team Austria and La Sapienza posing together http://t.co/23CRC2s0a8",6,8,2015-04-13 00:18:58
"#aiaadbf Well that is it for Design, Build, Fly 2015.  Judges now have to do scoring. Congratulations to all teams!!!!",5,7,2015-04-13 00:05:41
"#aiaadbf Sakarya U up for mission 2. Some last minute adjustment. No joy.",1,1,2015-04-13 00:02:12
"#aiaadbf Tanta U attempting mission 1 again. Winds are strong down the runway. Two tries that are so close! No luck!",5,2,2015-04-12 23:58:34
"#aiaadbf Berkley is in the air for mission 1, 2 laps!",1,0,2015-04-12 23:55:05
"#aiaadbf U Cal Berkley sporting a flying wing on the runway for the first time to try mission 1. http://t.co/1DNRfFTz4P",2,4,2015-04-12 23:52:09
"#aiaadbf U of Cairo another brief lift and settle during take off. Out of luck! Can't get out of ground effect.",3,0,2015-04-12 23:50:45
"#aiaadbf U of Cario on the runway. Winds are up a bit.  Mission 1 attempt. In the air briefly. Have to try again - soft landing. Stay tuned",1,2,2015-04-12 23:48:31
"#aiaadbf Columbia U trying to get mission 2 off. Can't get off the ground,",1,0,2015-04-12 23:46:16
"#aiaadbf U of Cairo waiting on the flight line for mission 1. http://t.co/OSOR8HV4LX",3,5,2015-04-12 23:45:15
"#aiaadbf Kudos to U of Ky for sticking  with it and making a great effort!! Great job Team Kentucky!!",2,4,2015-04-12 23:42:38
"#aiaadbf U of Ky after a spectacularly dramatic take off followed shortly by departed flight and landing. http://t.co/zUIwUqny7T",2,9,2015-04-12 23:41:27
"#aiaadbf U of Ky before take off on an attempt of mission 1. http://t.co/sFbvW6pv72",1,5,2015-04-12 23:40:30
"#aiaadbf Uludag U setting up for mission 3 with 4 wiffle balls. They are in the air! http://t.co/YfAoHKInbt",4,5,2015-04-12 23:25:24
"#aiaadbf Air Devils in the air with 2 wiffle balls  for mission 3.",1,0,2015-04-12 23:20:19
"#aiaadbf U de San Buenaventura Colombia on the runway. Took off and unfortunately could not get stable and crashed. http://t.co/GTeKTGY4UG",2,7,2015-04-12 23:18:59
"#aiaadbf Az State Air Devils cleverly coordinating attire with the wiffle balls for mission 3 style points! http://t.co/cq41YzyWJk",1,6,2015-04-12 23:15:17
"#aiaadbf Beihang U with a spectacular crash in take off. Bummer!  Singapore up with mission 2. Busy day for them.",0,2,2015-04-12 23:11:16
"#aiaadbf Beihang U trying to best their score in mission 2.  They are in the top 10.",0,0,2015-04-12 23:09:48
"#aiaadbf Iowa State trying to get off the ground. Spinning a lot during the take off roll.",2,3,2015-04-12 23:08:07
"@iMo3ez They are in the cue. About 8 teams in front of them.",0,1,2015-04-12 23:04:48
"#aiaadbf UC San Diego in the air. Mission 2 attempt (had a bad landing on the last attempt). Yay! Perfect landing. Mission 2 complete",2,0,2015-04-12 23:02:28
"#aiaadbf Slovenia trying mission 3 with 2 wiffle balls. Embry-Riddle with 3 total.",1,1,2015-04-12 22:54:15
"#aiaadbf Embry-Riddle for mission 3 with 4 wiffle balls on the runway. In the air! http://t.co/nch3heyKBY",6,6,2015-04-12 22:46:48
"#aiaadbf Team Thai trying to get mission 2 off the ground. Got slightly off the runway but too long a take off roll. In the air!",2,1,2015-04-12 22:43:17
"#aiaadbf Team India skewed off the runway during takeoff and crashed. More repair in their future.",1,0,2015-04-12 22:40:25
"#aiaadbf Thanks to all the volunteers(AIAA members &amp; others) who make DBF a success every year. We appreciate your valuable time-great event",2,9,2015-04-12 22:38:25
