tweet,retweetsCount,favoritesCount,timestamp
"Gut immune system identified as a new and effective target in treating diabetes http://t.co/ksaQTtJhBG",7,16,2015-04-12 02:48:22
"腸を介した新しい糖尿病治療法の可能性ー腸の炎症を抑えたら、血糖値が下がり、インスリン抵抗性も改善した、という肥満マウスでの研究です。http://t.co/ksaQTtJhBG",32,38,2015-04-12 02:47:51
"息をのむ美しさー我々の地球“@StationCDRKelly: #Earth is breathtaking. #YearInSpace http://t.co/eZJD9RgNDU”",157,206,2015-04-12 01:55:32
"宇宙ステーションの食卓“@StationCDRKelly:Looks messy, but it's functional. Our #food table on the @space station. #YearInSpace http://t.co/GlVhRFG1q8”",87,103,2015-04-09 23:15:19
"宇宙で初めて3D印刷されたスパナ“@NASA: This is the first #3Dprinted item from @Space_Station: http://t.co/VxEf9tRHyB http://t.co/GzgDDV2tBb”",78,57,2015-04-09 22:59:55
"我々の地球“@AstroTerry: Earth http://t.co/LabA1RI0Gw”",116,177,2015-04-03 04:20:21
"桜並木。みなさまの地域の桜はいかがですか？“@BEAUTIFULPlCS: Tree lined trail. http://t.co/Ys3SwOCgfd”",95,140,2015-04-03 03:32:18
"本日3月28日19:30からNHK総合TV「桜満開 星は満天 記憶に残る宇宙絶景」に生出演します。よろしかったらご覧ください。http://t.co/F7p12GPDP2",85,67,2015-03-28 05:37:15
"国際宇宙ステーションの6人“@Space_Station:Exp 43 expands to 6 crew members w/ #YearInSpace duo&amp;G. Padalka. http://t.co/jGFQLLx0Ah http://t.co/JcChJkpd9D”",31,47,2015-03-28 05:24:24
"ソユーズ宇宙船無事ドッキング“@AstroTerry:Welcome aboard #Soyuz TMA-16M w/ Genna, Scott, and Misha- we just had a succesful docking http://t.co/toabnVarnE”",87,94,2015-03-28 02:39:27
"今朝のソユーズ宇宙船打上げ動画“@Space_Station: #Soyuz launch with the #YearInSpace crew. Here you go... https://t.co/tsdmlJo1iO”",31,41,2015-03-28 02:29:35
"日本時間今朝早くのソユーズ宇宙船打上“@Space_Station: @StationCDRKelly &amp; M. Kornienko begin #YearInSpace. G. Padalka returns September. http://t.co/CXWBEY3IEN”",56,71,2015-03-28 02:01:16
"国際宇宙ステーションに1年滞在するスコットとミハイルの打ち上げは日本時間3/28午前4:42予定。“@NASA_Johnson:  #YearInSpace begins.  http://t.co/n7ONd3GPyl http://t.co/5Aqs33VHeC”",66,54,2015-03-27 08:14:38
"国際宇宙ステーションに1年間滞在するクルーが搭乗予定のソユーズ宇宙船、ソユーズロケットが、バイコヌールの打ち上げ場所に移動。打ち上げは3/27予定。“@Chief_Astronaut: http://t.co/PeUi5zpPjg”",97,93,2015-03-25 13:31:59
"@astro_aggie My pleasure, Mike!",0,1,2015-03-22 22:20:02
"New 'MIND' diet linked to reduced risk of Alzheimer's, even for those who do not follow it precisely. http://t.co/BMDG9ByBvL",17,22,2015-03-22 02:36:49
"脳のために摂りすぎ注意は、赤身の肉、バター、マーガリン、チーズ、お菓子や甘い物、揚げ物、ファーストフードとのこと。これらを一切摂らないのではなく、あくまでバランスが大切かと。",127,195,2015-03-22 02:36:09
"脳の健康に良いのは、ブルーベリー、イチゴ、野菜、ナッツ、豆類、無精白の穀物、魚、鳥肉、オリーブ油、ワインとのこと。ただし、ワインの飲み過ぎにはご注意を。",156,251,2015-03-22 02:34:02
"地中海式食事と高血圧を防ぐ食事をミックスした新しいMINDという食事方式で、アルツハイマー病の危険性を減らせる可能性とのこと。たとえ厳密に従っていなくても。http://t.co/BMDG9ByBvL",64,96,2015-03-22 02:31:21
"日食時には月の影が地上にできます。それを宇宙から見るとこんな感じ。“@AstroSamantha: I think this is it: the umbra. #SolarEclipse http://t.co/8A5nWWTv7y”",171,178,2015-03-21 00:38:09
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 油井宇宙飛行士のISS長期滞在ミッションのポスターを作成しました http://t.co/DNgQtHS0yy",36,0,2015-03-13 14:47:44
"科学コミュニケーションがテーマです。3/18開催、参加無料。“@JAXA_jp: [ISS・きぼう広報・情報センター] 平成26年度 第2回 宇宙医学生物学研究ワークショップを開催します http://t.co/7HLh8Fzooi”",28,16,2015-03-10 22:47:12
"RT @JAXA_jp: [「はやぶさ2」特設サイト] 'L＋93' イメージで我慢 #hayabusa2 http://t.co/yI3Z4vPD1w",34,0,2015-03-06 10:31:09
"RT @JAXA_jp: [宇宙教育センター] APRSAF-22水ロケット大会（AWRE）派遣日本代表募集について http://t.co/hrbJrXzKdo",24,0,2015-03-06 10:30:10
"合掌“@Astro_Soichi: R.I.P. #LeonardNimoy who inspired us &amp; beamed us up to outer space. Long live, Mr. Spock. スタートレックのスポック役で有名なレナード・ニモイ氏死去。”",49,26,2015-02-28 01:14:51
"RT @hayabusa2_CP: ◎「はやぶさ2」の打ち上げから85日！  今週末放送予定の「はやぶさ２」特番のご案内です。  ◆日　時：3月1日（日）19:00～20:54 ◆放送局：BS-TBS ◆番組名：BS-TBS開局15周年特別企画... http://t.co/3…",118,0,2015-02-28 00:56:39
"Eat more fiber to boost weight loss, study suggests http://t.co/78Sdby1oSw",7,9,2015-02-25 07:17:49
"メタボな成人を対象に、1日30g以上の食物繊維摂取群で1年間に2.1kg体重減少、より厳しい条件が多く課される米国心臓病協会推薦の食事群で1年間に2.7kg体重減少との研究。食物繊維を多く摂るのは簡単で続けやすいダイエット法と。http://t.co/78Sdby1oSw",58,43,2015-02-25 07:17:28
"今日も茂木健一郎さんがホストをつとめられるドリームハートに出演させていただきます。1週間前の放送に続く後半は2月22日(日)22:30よりTOKYO FM系。よろしかったらお聞きください。http://t.co/ovDaZqhRpc",26,25,2015-02-22 06:39:00
"@kenichiromogi お疲れ様でした！",0,1,2015-02-22 06:29:00
"本日18-20時です。「宇宙滞在による自律神経・循環機能の変化と対策ーISSでの研究成果と、今後の挑戦ー」宇宙医学生物学研究ワークショップを2月20日(金)18-20時に東京で開催。参加無料。専門家向けですが、学生・一般の方もどうぞ。http://t.co/VZk2jO6rk4",22,24,2015-02-20 04:41:26
"宇宙から見た日の出。7秒くらいで出てきます。宇宙ステーションは90分で地球を一周するので、地上の約16倍の早回しを見ているよう。“@AstroTerry: Good morning!  #sunrise http://t.co/HtkKXK4Oop”",257,317,2015-02-16 22:51:02
"欧州の貨物船ATVが宇宙ステーションから離脱する様“@NASA:Incredible #SpaceVine timelapse of the ATV #ISSCargo vehicle leaving @Space_Station:https://t.co/lbVzv9r58o”",89,78,2015-02-14 21:26:27
"茂木健一郎さんがホストをつとめられるドリームハートに出演させていただきます。2月15日(日)22:30よりTOKYO FM系。よろしかったらお聞きください。http://t.co/585mGWVrSB http://t.co/ovDaZqhRpc",31,20,2015-02-13 04:57:17
"「宇宙滞在による自律神経・循環機能の変化と対策ーISSでの研究成果と、今後の挑戦ー」宇宙医学生物学研究ワークショップを2月20日(金)18-20時に東京で開催します。参加無料、要事前申込。専門家向けですが、学生・一般の方もどうぞ。http://t.co/O7QHw97JIx",38,25,2015-02-12 10:46:34
"RT @JAXA_jp: [ISS・きぼう広報・情報センター] 向井千秋宇宙飛行士が、仏レジオン・ドヌール勲章シュヴァリエを授賞、勲章授与式に出席 http://t.co/6beFoFDa6w",63,0,2015-02-09 09:22:43
"東京周辺の夜景“@AstroTerry: #Tokyo #Japan http://t.co/Uu97K3YQ3h”",178,163,2015-02-04 02:14:26
"2万光年かなたの酸素に富む超新星“@NASA: 20K light years away, a supernova w/ a lot of O2: http://t.co/j38Aq6YexQ #supernovasunday http://t.co/uXXyRoTI5K”",113,138,2015-02-02 06:21:51
"宇宙ステーションから見た夜景ー出窓から顔を出した自分にとって、地球が自分より上方に見える感覚です“@AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/BU7XqVGnHB”",263,357,2015-01-31 03:30:05
"Pluripotent stem cells used to generate hair growth http://t.co/7Vnh1SuDjQ",6,8,2015-01-31 03:15:23
