tweet,retweetsCount,favoritesCount,timestamp
"これ本物です! 宇宙ステーションまで行った  #ペンシルロケット 打ち上げから60周年 http://t.co/CNOHDkDsNW http://t.co/pl5AZJFful",318,300,2015-04-12 04:04:36
"RT @KafkaCity: ペンシルロケット６０年 2015年04月12日 - 読売新聞 http://t.co/gfmJ6Yb9th",32,0,2015-04-12 04:01:21
"#Palau island. 70 years since WWII. 戦後70年を迎えるパラオ。 http://t.co/IxDNziEDZE",315,279,2015-04-09 15:15:04
"#Leonov &amp; @Astro_Soichi возложения цветов к памятнику Главного конструктора Сергея Павловича Королёва. http://t.co/P1LIGVZxwi",103,122,2015-03-22 13:07:31
"Banc d'Arguin National Park, #Mauritania #WorldHeritage   #モーリタニア の世界遺産、バン・ダルガン国立公園 http://t.co/hjFIaFh9tf",99,113,2015-03-22 12:57:41
"#Alexeyleonov Ceremony live on #Google cultural academy. グーグル文化アカデミーにて船外活動50周年式典中継中。私も出演してます🎵 http://t.co/lISIK74R3M",30,49,2015-03-19 14:51:37
"#Alexeyleonov Ceremony poster. ちよっと可愛い？船外活動50周年式典ポスター http://t.co/ZCXTuo6xeX",116,176,2015-03-19 14:16:20
"#AlexeyLeonov said he had dinner with Gagarin &amp; Korolev Jan.1965. 50 years of #spacewalk http://t.co/WhypoUGken",28,36,2015-03-19 14:16:02
"#AlexeyLeonov in front of Korolev house. 50 years of spacewalk. http://t.co/EAEG3gJHk1",35,44,2015-03-19 14:15:45
"Selfie w/ legendary #tereshkova &amp; young    jedi astronaut Tak Onishi. テレシコワさん、大西さんと共に船外活動50周年式典にて。 http://t.co/1ybnNZU6jR",130,130,2015-03-18 20:10:13
"50 years ago TODAY, #AlexeyLeonov did 1st ever #spacewalk! Ceremony in star city. http://t.co/1O9U306uMm",138,130,2015-03-18 20:04:08
"RT @airspacemag: The first spacewalk, which happened 50 yrs ago today, in cosmonaut Alexei Leonov's own words. http://t.co/6kOiESdffh http:…",74,0,2015-03-18 19:49:19
"RT @NASA: Former cosmonaut Alexey Leonov relives highlights of the 1st #spacewalk 50 years ago: http://t.co/VbkLoJSG6J http://t.co/oXyqnBn4…",558,0,2015-03-18 19:49:10
"Happy #StPatricksDay #聖パトリック の日おめでとう。 http://t.co/s7lNWVF8co",158,144,2015-03-17 23:18:42
"Congrats! #Soyuz 40S has landed in Kazakhstan safely.  Well done, Butch, Sasha, and Elena.",51,88,2015-03-12 03:27:03
"RT @NASA: Poster theme for upcoming @Space_Station crew is from a galaxy far, far away: http://t.co/A1tspglKi5 #StarWars http://t.co/0IPnJD…",3299,0,2015-03-07 23:01:06
"Happy International #WomensDay 今日は　#国際女性デー http://t.co/H5kPuBcDfc",463,432,2015-03-07 22:59:28
"RT @chandraxray: Astronomy Fact Card #15! Learn more about #EileenCollins:  http://t.co/MX0djM2ODH #womeninscience #womenshistorymonth http…",78,0,2015-03-05 03:19:53
"Japanese dolls floating in #spacestation 無重力に浮かぶ #ひな人形　BGMはやはり A whole new world でしょうか。。。 http://t.co/UpLOBuEfdS",241,307,2015-03-03 14:59:10
"Doll's Festival in #Spacestation #ひな祭り を祝おう http://t.co/epZ6E2L0Fp",243,301,2015-03-03 14:48:13
"RT @KensingtonRoyal: 日本の皆様、さようなら！あたたかい歓迎をありがとうございました。素晴らしい訪日でした！ @UKinJapan #英王子訪日 http://t.co/CDc10aBdvW",2888,0,2015-03-01 12:44:38
"RT @KensingtonRoyal: Goodbye Japan! Thank you for having us - what an incredible visit! @UKinJapan #RoyalVisitJP http://t.co/ej4qDCMSyE",1376,0,2015-03-01 12:44:28
"Boston, MA, where @TheRealNimoy was born. #RIPLeonardNimoy ボストン周辺。 http://t.co/P5MJ7pviyp",108,145,2015-03-01 12:41:22
"Off #Fukushima Coast. 福島県沿岸地方。 http://t.co/mHNqp8QT2G",245,218,2015-02-28 12:09:58
"Frozen.　北海道の屈斜路湖 http://t.co/0YTeZHjSFE",279,268,2015-02-28 12:01:17
"@Astro_Soichi @astonmartin Andy Palmer &amp; #PrinceWilliam agreed that #innovationisGREAT #英王子訪日 鏡開き初体験でした。 http://t.co/RmhQH38EK2",230,191,2015-02-28 11:52:49
"#NHK　総合で　@Astro_Naoko　さん出演中。今日の　#マサカメ は宇宙特集。星出さん母校の　#茗溪学園　も出るらしい。",46,41,2015-02-28 09:18:23
"@Astro_Soichi presents space-flown crew patch to #Princewilliam in #Japan http://t.co/7TtK6UzQSC",121,165,2015-02-28 00:09:24
"#PrinceWilliam : 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/Ll8vlaanxi",74,87,2015-02-28 00:01:15
"RT @Space_Lectures: Prince William: 'I wanted to be an astronaut rather than king' | via @Telegraph http://t.co/qKInebH5HW http://t.co/yTUT…",187,0,2015-02-27 23:54:10
"R.I.P. #LeonardNimoy who inspired us &amp; beamed us up to outer space. Long live, Mr. Spock. スタートレックのスポック役で有名なレナード・ニモイ氏死去。",267,128,2015-02-27 23:10:00
"Watch #ISS over #Japan tonite 18:54PM. 今夜は直江津から筑波山にかけて日本直上通過！しかし天気予報が。18:54-18:58PM北西から南東に時速25000kmでフライバイ　http://t.co/F7ZFJEO5uV",111,69,2015-02-22 01:39:55
"RT @AstroTerry: My first ever spacewalk today- AWESOME!!! http://t.co/yYzQcasJ6L",2435,0,2015-02-22 01:32:25
"Happy 5th anniversary of STS-130 landing, &amp; congrats @AstroTerry for successful #spacewalk yesterday! http://t.co/MODpu5Fa3L",57,74,2015-02-22 01:31:20
"South-East corner of #SouthAfrica 視界３６０°のリアル地球儀 http://t.co/NDK9Ca2rfG",214,286,2015-02-21 14:23:48
"Looking over Indian Ocean. http://t.co/NfZrTqzIuE",312,412,2015-02-21 13:29:00
"Hello world. http://t.co/yKjx1AEvL4",631,1041,2015-02-21 13:27:05
"Love is an open door! Spacewalk started on space station. 扉開けて　船外活動始まる。 http://t.co/WE9eYFceVu",285,392,2015-02-21 13:21:24
"RT @NASA: #AstroButch &amp; @AstroTerry began today's 6.5-hr spacewalk at 7:45a ET/12:45 UTC. Watch: http://t.co/qrm0DzlVee #Exp42 http://t.co/…",491,0,2015-02-21 13:14:44
"So impressed - 3 million impressions in a month. #Analytics 三百万インプレッションって、どんだけ？ツイッターの統計解析サービスより。 http://t.co/kAWHsjo2OP",17,28,2015-02-20 12:50:00
"Winter wonderland, northern island. http://t.co/hoMiCdcPJ2",153,214,2015-02-20 11:45:46
"RT @haya2_jaxa: 2月20日14時（日本時間）現在の　はやぶさ２は…　太陽からの距離：1億6,166万km, 地球からの距離：3,170万km。太陽を中心にした位置関係は、図のとおりです。はやぶさ２は、地球の公転軌道に似た軌道を旅しています。（ＰＲ姉） http:…",385,0,2015-02-20 11:41:13
"Heavenly. http://t.co/3i4u0VwswT",553,947,2015-02-15 12:09:11
"Wishing happy #ValentinesDay for everyone - with or without gravity :-) ハートが詰まったパウンドケーキでお祝い http://t.co/A1hDKwotAL",94,200,2015-02-15 02:50:41
"Happy #Valentine 's Day! http://t.co/G7L0XMKY3X",610,739,2015-02-14 14:25:29
"The force will be with you, always. http://t.co/vt0BX6VGTQ 油井さん、NASA版　#スターウォーズ　トリビュートポスターに堂々出演！品切れ必至？　@Astro_Kimiya",72,78,2015-02-14 01:21:50
"Empyreal Mt. #Fuji stands up toward outer space.  宇宙に向かって立つ霊峰　#富士山 http://t.co/xexhzMLODI",1100,1498,2015-02-11 02:12:47
"Cold, cold winter weather. Europe. http://t.co/KX4ve7BWn4",91,139,2015-02-11 02:01:27
"space station pass over #tokyo 5:37 PM, Visible: 5 min",80,52,2015-02-07 05:19:53
"space station pass over #japan Wed Feb 04 6:36 -6:39 PM, Max Height: 66 degrees 日本上空を#ISS が今晩通過！でも天気予報はイマイチ？",106,76,2015-02-03 23:20:55
"Hello, #Arizona ! Whole world is watching #SuperBowlXLIX,  even from @Space_Station アリゾナ州フェニックス近郊 http://t.co/68Ry98uoj6",113,115,2015-02-01 16:13:56
"RT @ISS_Research: Trivia for your #SuperBowlXLIX @Patriots @Seahawks party. Q: How big is @Space_Station? A: http://t.co/SmQ744a1kX",312,0,2015-02-01 16:10:08
"#Israel , home of  Astronaut Ilan #Ramon. Legend continues 12 yrs after #Columbia accident. http://t.co/GRjGaImVmh http://t.co/Riec1WvRzq",69,98,2015-01-31 13:15:48
"RT @nasahqphoto: The mobile service tower is moved back. Launch of @NASASMAP is now no earlier than Sat. Jan. 31 at 9:20 am ET. http://t.co…",101,0,2015-01-30 04:49:20
"RT @DavidWeaver: .@NASA_Johnson Director Ellen Ochoa is leading team of American astronauts who are ready to #LaunchAmerica http://t.co/Pfw…",26,0,2015-01-26 17:59:58
"RT @Commercial_Crew: @AstroIronMike – “Astronauts have been instrumental in the design of the #LaunchAmerica systems from the get-go and lo…",64,0,2015-01-26 17:59:47
"RT @NASA_Johnson: .@AstroIronMike: There is no group that wants the success of @Commercial_Crew more than the @NASA_Astronauts. #LaunchAmer…",35,0,2015-01-26 17:59:11
"RT @NASA: Are you watching our @Commercial_Crew briefing on flying US crews in 2017? Live: http://t.co/KX5g7zxzYi  #askNASA http://t.co/d4k…",145,0,2015-01-26 17:35:15
"The Rocks in view; Sydney, #Australia. #錦織圭 がんばれ、オーストラリア。 http://t.co/fmD5KqDueL",336,331,2015-01-25 13:23:31
"#淡路島、播磨灘、神戸沖、大阪湾。#阪神淡路大震災 の震源地はこの写真のほぼ中央付近でした。改めて合掌。 http://t.co/r0DrZh08vl",622,419,2015-01-17 13:52:07
"#神戸 の埋め立て地を宇宙から俯瞰する。#阪神淡路大震災20年 20 years since #Kobe Mega quake today. http://t.co/FuKPRAnXxh",834,531,2015-01-17 04:53:26
"We remember #Kobe Mega quake in 1995. #神戸 #阪神淡路大震災20年 http://t.co/b8mrQ3qRLr",558,314,2015-01-17 01:32:37
