tweet,retweetsCount,favoritesCount,timestamp
"RT @Astro_Wakata: Big thanks to the great instructors of biomedical basics training in cell biology,microbiology &amp; ultrasound at JSC. http:…",33,0,2015-04-11 20:18:36
"RT@kpcuk: @Astro_TJ  #OTD #Apollo13 　｜ 　/ \ 　| ｜ . /▂ \ . |🇺🇸｜ . ▂▂| . |▒▒ | ./▂▂\ ｜▌▒ | ｜▌▒ | ｜　. ｜ ｜　. ｜ .|u|▌|｜ .|s ▌|｜ /a |▌| \ )◤/_\◥(",42,51,2015-04-11 16:36:56
"@JaneBoo3 Nope.  But would love to visit! :-)",0,0,2015-04-11 16:35:09
"SpaceHistorians:Today is the 45th anniversary of Apollo 13’s launch. Good info here:http://t.co/tvFW5DyK4c GREAT teamwork brought them back!",11,10,2015-04-11 16:33:24
"RT @ISS_Research: This @ISS_Research asks @NASA_Astronauts when they land, can they stand: https://t.co/3Ybpi05Qgg https://t.co/OXZ4QDQlEj …",13,0,2015-04-08 22:32:23
"RT @Space_Station: Sergei Krikalev holds record for 803 cumulative days in space. Gennady Padalka (left) will surpass him this June. http:/…",96,0,2015-03-28 03:08:07
"Watch the hatch opening to welcome friends @StationCDRKelly and former crewmate Misha Kornienko aboard #ISS at http://t.co/9fzacSNXwB",3,10,2015-03-28 01:43:30
"Scott @StationCDRKelly is safely arrived at ISS for his #YearInSpace. His Earth-bound desk cracked me up! http://t.co/IYii9m6rMv",42,35,2015-03-28 01:37:13
"Friend and fellow astronaut,Scott Kelly, @StationCDRKelly, is on his way. #YearInSpace Docking to be in a little less than 6 hours from now.",32,61,2015-03-27 19:44:46
"Space Historians: just fondly remembering... today is the anniversary of Leonard Nimoy’s birthday. http://t.co/r5qiCfMm8G",6,4,2015-03-26 13:47:46
"NASA’s Mars rover ‘Opportunity’ celebrates first ever Mars marathon! http://t.co/4zutttWhlb   And never broke a sweat!",4,12,2015-03-25 17:35:51
"Space Historians:Anniversary of STS-45 (Atlantis) launch,with ATLAS 1 payload.Our very own Charlie Bolden commanding: http://t.co/9ox8R1ZS4W",15,22,2015-03-25 00:08:17
"Space Historians: 50th anniversary of first crewed Gemini mission, with Grissom &amp; Young (1965) http://t.co/IvrJcWyFJe",3,6,2015-03-23 13:41:22
"Space Historians: read an article by friend, &amp; astronaut Frank Culbertson, “What’s in a Name?”, speaking of Mir:  http://t.co/jLd7FYPxrR",1,4,2015-03-22 14:54:12
"Space Historians: 20th anniversary of Valeri Polyakov’s landing from his 438 day record-setting mission http://t.co/KXopkXSEDO",1,4,2015-03-22 14:51:38
"Space Historians: 50th Anniversary -- last of the Ranger lunar probes (Ranger 9) launched 1965: http://t.co/D3dgdF8CWv",2,5,2015-03-21 21:55:01
"Space Historians: 50-year anniversary of the first Space Walk! Let’s remember &amp; honor Alexei!  http://t.co/l8MSssa9sa http://t.co/v5eiAwE7GI",9,9,2015-03-18 16:11:02
"Pi Day at POIC courtesy of Payload Ops Director Stephanie:  http://t.co/FiuXERB2f9",6,4,2015-03-14 17:47:55
"LOL! Brilliant!   RT @neiltyson: Get your Geek on. Time to fit all the digits of Pi into a single tweet:  Pi in base Pi = 10",3,6,2015-03-14 17:16:40
"I think it’s gonna be a while before his next tweet.... Just sayin’... RT @neiltyson: My next tweet will contain every single digit of Pi...",3,6,2015-03-14 17:15:48
"Science Historians: Happy Bday, Albert Einstein!Also,see about his Miracle Year (1905) &amp; the birth of Modern Physics: http://t.co/rLotCr0ENc",6,8,2015-03-14 17:13:58
"NASA invites you to vote for your favorite Hubble picture: http://t.co/LlDBCLJMpg ESA hosts their Ode to Hubble vote: http://t.co/LlDBCLJMpg",75,51,2015-03-06 06:32:52
"“Journey To Space” for those in the D.C. area,at the National Air &amp; Space Museum: http://t.co/OxDFz38uKc  Go visit,&amp; tell us what you think.",3,5,2015-03-05 09:47:20
"And, Happy BELATED birthdays to ESA’s Rosetta  http://t.co/eZ0xvSyBp6 , &amp; Pioneer 10 (first Jupiter fly-by) http://t.co/eZ0xvSyBp6",1,5,2015-03-03 20:15:39
"Space Historians:  Happy Birthday to Mariner 6 (Mars Flyby) http://t.co/xL93qHlZdX",2,3,2015-03-03 20:12:44
"Space Historians:   Happy Birthday to NACA!!!  http://t.co/fdweyxfSmz",2,5,2015-03-03 20:11:11
"@Astro_Chad Our cardiac health is well-understood;VERY unlikely to have an incident.But,we do have an AED on ISS, part of our med equipment.",0,1,2015-03-02 14:17:07
"Fellow astronaut &amp; friend,Terry Virts,took this pic on ISS as they passed over Boston,Leonard Nimoy’s birth place http://t.co/bUGFW2YKIw",27,37,2015-03-01 02:27:08
"Real-time ISS Ops continue, even when the Center is closed due to  weather! True Soldiers! http://t.co/s6ckwGwyja  http://t.co/1F7WS8hJMR",8,13,2015-02-26 13:33:45
"RT @NASA: We've got 3 upcoming spacewalks! Learn about them today at 2pm ET on NASA TV: http://t.co/TZKSZN8lbU Q? Use #askNASA http://t.co/…",711,0,2015-02-18 16:18:49
"Space Historians:  85 years ago today, Pluto was discovered by Clyde W. Tombaugh of the Lowell Observatory, Flagstaff Arizona.",10,9,2015-02-18 16:18:12
"@anamgren WHEW!!!   Thanks for letting me know.  AND, thanks on the kind words too.",0,2,2015-01-29 18:57:00
"@anamgren No no... it was sent in 2010, and received milliseconds later that same day.",0,2,2015-01-29 17:40:10
"@eleannoorrr Which ever engineering you love and enjoy!!!!",0,1,2015-01-29 17:38:56
"@emmanuelortiz86 You are very welcome!",0,1,2015-01-29 17:38:28
"RT @neiltyson: Not enough of us reflect on how modern civilization pivots on the discoveries of just a few intellectually restless people.",7630,0,2015-01-29 13:44:42
"RT @ShuttleCDRKelly: My brother @StationCDRKelly &amp; I talked to @CBSThisMorning about why @NASA is studying us. Watch it here: http://t.co/Z…",183,0,2015-01-22 17:24:51
"@emmanuelortiz86 You are most welcome!",0,1,2015-01-22 17:23:48
"RT @NASAhistory: #TBT @Astro_TJ sends 1st live tweet from space in 2010. What would you tweet from space? http://t.co/0IVKfXwLDe http://t.c…",27,0,2015-01-22 17:22:25
"Space Historians: Today is Buzz Aldrin’s birthday! http://t.co/8N91F7t9eN  Hope today is an OUT OF THIS WORLD day for him! Happy bday,Buzz!",7,8,2015-01-20 16:59:15
"RT @StarTalkRadio: Last for #MLKDay: Nichelle Nichols shares Dr. Martin Luther King’s impact on Gene Roddenberry &amp; Star Trek https://t.co/e…",20,0,2015-01-20 12:50:35
"RT @ISS_Research: Why do astronauts eat tortillas in space instead of bread? http://t.co/lJTHFysinQ",53,0,2015-01-20 12:49:56
"NASA has taken largest picture ever: http://t.co/Jko2h6woUa Watch, be amazed, be in wonder, be ever so humbled. It will rock your world!",15,18,2015-01-20 12:48:42
"Space Historians: 2006 -- Launch of New Horizons to Pluto http://t.co/lRieh6u51P",3,2,2015-01-20 12:40:07
"RT @NASA_Johnson: Identical twins, one on Earth and one in space. After a year, are they still…identical? We will find out. #ISS1Year http:…",195,0,2015-01-15 17:33:20
"The “1-year Crew”: NASA has two new briefings today.  Exciting stuff! One step closer to understanding Mars mission...http://t.co/81tC1KJWXh",3,4,2015-01-15 17:32:33
"SpaceHistorians: 2006 Stardust probe successfully returns comet &amp; interstellar dust samples to Earth http://t.co/UPR7Jq9V1f",6,6,2015-01-15 17:25:58
"SpaceHistorians: 1917-Treasury Comptroller announced that NACA was an independent agency!   And so it began... http://t.co/01Xdm81Cdt",5,3,2015-01-10 17:27:03
"RT @NASA: Missed launch of the @SpaceX #ISScargo mission or want to see it again? Watch it on @YouTube: http://t.co/ulOFF4KwGC http://t.co/…",1076,0,2015-01-10 17:16:26
"SpaceHistorians: in 1969 on this day, NASA announced the crew of Apollo 11 http://t.co/0OymUgIlmT",18,15,2015-01-09 17:59:03
"SpaceHistorians: 1994-Cosmonaut Valeri Polyakov launched on the (as yet) longest spaceflight. Guess how many days? http://t.co/E89XR2HdKF",3,2,2015-01-08 16:05:15
"H.G. Wells will be happy!!  Potential signs of ancient life in Mars rover photos: http://t.co/VsP9dAUG3y",7,10,2015-01-07 17:37:05
"SpaceHistorians: 1968 - launch of Surveyor 7, last in series, had most extensive instruments to analyze Lunar soil: http://t.co/FcyynMgAfO",4,4,2015-01-07 17:34:48
"SpaceHistorians:  In 1998, we launched Lunar Prospector to map Moon’s surface, look for polar ice, &amp; more:  http://t.co/LDyHX9L7wJ",3,5,2015-01-06 17:42:07
"@HBSastrowardoyo Not really. My training flow was wonderful. No regrets. I went Soyuz, because of the timing &amp; international agreements.",0,0,2015-01-05 23:24:23
"@dicreamio Thank you.  You too.",0,0,2015-01-05 23:18:18
"@Joseflor238 no. Time is not an absolute, by any means.",0,1,2015-01-05 14:40:32
"RT @NASA_Marshall: Scott Kelly &amp; Mikhail Kornienko to spend 1 yr in space to help learn how the body adapts: http://t.co/P2oofpbXhM http://…",25,0,2015-01-05 14:39:14
"Space historians: big day today in 1972, when President Nixon announced the approval of the Space Shuttle Program! http://t.co/E7UlY6ZO2y",8,6,2015-01-05 14:38:45
"@Favstar250 Thanks bunches!",0,0,2015-01-04 02:31:08
"RT @neiltyson: If interested, my four fave Twilight Zone Episodes: “The Invaders” “To Serve Man” “Monsters on Maple Street” &amp; “The Shelter”.",920,0,2015-01-01 01:38:34
"RT @neiltyson: Although clocks on the Prime Meridian keep “Universal Time”, I’m quite sure Aliens across the actual universe don’t care.",3,9,2015-01-01 01:37:38
"RT @NASA: #HappyNewYear from the @Space_Station! They did the math &amp; will celebrate #NYE2015 16 times: http://t.co/dZdK3Dy8tu http://t.co/5…",2061,0,2015-01-01 01:36:37
"RT @neiltyson: Although clocks on the Prime Meridian keep 'Universal Time', I’m quite sure Aliens across the actual universe don’t care.",3333,0,2015-01-01 01:33:24
"RT @BillMoyersHQ: #5 Top Post of ’14: “Eight Pseudoscientific Climate Claims Debunked by Real Scientists” http://t.co/dBtwptJ2ay",23,0,2015-01-01 01:31:47
"TIME Magazine published top 80 Most Inspirational pics of 2014. Friend, @astro_reid, has #2 in this wonderful pic... http://t.co/z87Na8GWsa",141,302,2014-12-31 22:41:28
"Super nice video out the #ISS windows by @Astro_Alex (Alex Gerst): http://t.co/HSCWo71F4E  Also here are some really nice space photos,too.",10,10,2014-12-28 13:43:35
