tweet,retweetsCount,favoritesCount,timestamp
"Big thanks to the great instructors of biomedical basics training in cell biology,microbiology &amp; ultrasound at JSC. http://t.co/VRmmAs3Y6L",33,72,2015-04-11 11:28:05
"NASAミッションコントロールセンターでのキャプコムの認定を受けました。こうのとり5号機のリード・キャプコムを担当させて戴く事になり、つくばやヒューストンの運用管制チームの皆さんと力を合わせてミッション成功に向け頑張りたいと思います。 http://t.co/e7XyEIsTZk",216,241,2015-04-09 23:25:34
"RT @Tungsten_Flight: . @Astro_Wakata w/ @Astro_Jeremy as CAPCOM talking to @StationCDRKelly @AstroTerry @AstroSamantha The I in ISS. http:/…",41,0,2015-04-02 20:24:35
"1st Orbit 2 Capcom shift.  Great to learn from Flight Director Greg Whitney and my mentor Marc Reagan. http://t.co/A9X5W5k5Mx",57,134,2015-04-02 03:46:55
"千葉市文化センターでの講演会では多くの方々に来場戴きありがとうございました。皆さんからの沢山の素晴らしい質問も嬉しかったです。宇宙への夢を拡げて戴くきっかけになれば幸いです。 5月から半年間のISS滞在に臨む油井宇宙飛行士も是非応援して下さい！",53,112,2015-03-21 11:28:22
"RT @Astro_Wheels: Поздравляю, Алексеи Архипович Леонов! 50 years ago today; the first #spacewalk; March 18, 1965 http://t.co/V1ftY2jROw htt…",261,0,2015-03-18 16:35:49
"RT @spaceedu_info: 若田宇宙飛行士がISS滞在中に行った実験などをもとに制作した教材動画　 宇宙飛行士と考える「快適な住まいと家族の役割」が公開されました。 http://t.co/r1e0fJVPbw 小学校５～６年家庭科「家庭生活と家族」・「家庭生活と仕事…",74,0,2015-03-18 14:56:56
"RT @TodaysSatellite: ★1995年の今日3/18 17:01、H-IIロケット3号機で気象衛星ひまわり5号とSFUが打ち上げられました。SFUは翌1996/1/13に若田宇宙飛行士によって回収され、現在は上野の国立科学博物館に所蔵されています。",46,0,2015-03-18 14:51:45
"Thank you @JFKLibrary for allowing me to join the fantastic panel discussion on innovation, inspiration, &amp; inclusion at Tokyo symposium!",32,55,2015-03-18 14:24:51
"Enjoyed participating in the Onizuka Space Science Day 2015 event   at @ECC_Online. Big thanks to all the volunteers who made it happen!",26,45,2015-03-08 00:29:05
"RT @Tungsten_Flight: First HTV5 flight specific sim. Fun to work with @Astro_Wakata on the ground for a change. @JAXA_jp @NASA_Johnson http…",57,0,2015-02-26 23:45:06
"Great to work as Capcom in the first joint HTV5 sim with @Tungsten_Flight &amp; the control teams in Houston and Tsukuba! http://t.co/ohuZGws9j7",74,116,2015-02-26 23:40:34
"RT @JAXA_jp: [ファン！ファン！JAXA！] [JAXA TV]【宇宙教育テレビ】宇宙飛行士と考える「放物線と直線運動の関係」 http://t.co/ixf0rQ0nC5",40,0,2015-02-18 05:19:33
"@PC0101 Thank YOU for giving us great suggestions and information for taking earth observation photos on the ISS!",2,6,2015-02-18 02:00:05
"Cool time-lapse video of thrusters firing during the departure of ATV-5 Georges Lemaître from the ISS on Saturday. https://t.co/a5wiJ73SZk",74,90,2015-02-18 00:14:14
"RT @nhk_space: ☆あした何の日☆２０１４年２月１０日、ＩＳＳ滞在中の若田光一宇宙飛行士が４Ｋ超高精細・超高感度カメラで、夜のアメリカの他、昼間のインド、南米、アフリカ大地溝帯を撮影。ＣＦ「若田飛行士がみた“宇宙絶景”」はＮＯＤでご覧いただけます。http://t.…",43,0,2015-02-09 04:45:43
"RT @astro_reid: #Maryland to #Maine at night. MT: “#AstroButch: '#sunrise touches #aurora. All we need now are angels singing.' https://t.c…",821,0,2015-02-07 19:22:30
"RT @JAXA_en: Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/z…",165,0,2015-02-06 07:16:59
"「きぼう」からブラジルの宇宙機関が開発した超小型衛星を放出。今回で「きぼう」からの超小型衛星放出は6回目（56基目）となりました。http://t.co/zGoMw6EqRb http://t.co/z317yEEveA",196,218,2015-02-06 06:25:31
"RT @NASA: Today #NASARemembers those who gave their lives to push the boundaries of human achievement: http://t.co/NxJcEfQzJ5 http://t.co/j…",7140,0,2015-01-28 20:57:44
"It was an honor to participate in the 2015 Astronaut Ellison Onizuka Science Day at UH Hilo.  Big thanks to all who supported the events!",30,60,2015-01-26 01:09:38
"RT @AstroTerry: Moon setting almost immediately after the sun, at just 3% illumination http://t.co/dSRzq5X2oJ",2987,0,2015-01-22 15:10:17
"週刊若田のISSツアー（全3編）です。ISSの中の様子をじっくりお楽しみ下さい。   前編:http://t.co/kQ6LWqQHde、中編:http://t.co/JFbCrLY642   、後編:http://t.co/a5L3LHcaTX",221,497,2015-01-19 18:36:43
"Space Navi@Kibo 星出宇宙飛行士との特別対談企画　第2夜です。: http://t.co/5o4c1JAiMO via @YouTube",93,145,2015-01-16 12:05:27
"ISS内での有毒なアンモニア漏れの恐れがあったためクルーはロシア区画に避難していましたが、誤報である事がわかりました。緊迫した一日でしたが無事で何よりです。https://t.co/UTRQGZ1ZkP",314,216,2015-01-14 23:22:14
"RT @Tungsten_Flight: “Earth is alive with energy! Massive lightning display across #Africa seen in this #SpaceVine” #AstroButch https://t.c…",149,0,2015-01-12 23:43:15
"@0space0 応援有難うございます。SFUの写真を拝見しますと、とても懐かしく感じます。",2,11,2015-01-12 02:37:11
"RT @NASA: The @Space_Station is easy to see if you know when to look up. See when it's flying over you: http://t.co/ALrzz92zUW http://t.co/…",1139,0,2015-01-12 00:09:18
"19 years ago today STS-72 launched on Endeavour. Vividly remember the incredible views &amp; acceleration during ascent. http://t.co/wWbeaZwYjP",254,490,2015-01-11 15:06:51
"「宇宙から見たオーロラ展2015」開催中です。入場無料。ISS滞在中に私が撮影したオーロラの写真も展示されています。http://t.co/Jdx1TFaWWr http://t.co/8bYSBXbSds",574,767,2015-01-09 18:54:26
"RT @NASA: Full moon setting as seen by @AstroTerry from the @Space_Station. http://t.co/oYSqLxJitL",3209,0,2015-01-08 04:46:54
"NASA T38練習機による操縦訓練を再開しています。今日はメキシコ湾上空の訓練空域で失速状態からのリカバリーやエンジン停止時などの対応について教官パイロットとレビューを行った後、夜間の操縦訓練を実施し、明朝は技量試験に臨みます。 http://t.co/r5Mo1frgAo",364,553,2015-01-08 04:43:23
"@Yano_Akiko 矢野さん、いつも有人宇宙活動を応援して下さり有難うございます。益々のご活躍をお祈りします！",5,18,2015-01-06 23:12:25
"Great to visit Steve Cole's farm in Alvin, TX. His tasty oranges were launched on #SpaceX-3 to us on ISS last April. http://t.co/xk7rjYnSJA",50,107,2015-01-06 23:04:24
"RT @NASA_Astronauts: '#Strangelights in desert as we approach West U.S. coast. Turns out to be #Ivanpah Solar Elec project' #AstroButch htt…",175,0,2015-01-01 23:48:11
"新年明けましておめでとうございます。今年はいよいよ＠Astro_Kimiya油井亀美也JAXA宇宙飛行士がISS長期滞在飛行に出発します。皆さん応援して下さいね。 http://t.co/1mnbxFFJ48",374,527,2015-01-01 17:35:30
"爽やかでとても魅力溢れるお話をなさる元メジャーリーガーの田口壮さんとNASAジョンソン宇宙センターで対談させて戴いた内容が、1/2(金)18:05のNHK総合の正月特番で放送されます。http://t.co/yd8GdmQz8W http://t.co/6GfrG5wRBy",261,290,2014-12-28 09:36:01
"RT @AstroTerry: Sunrise on Christmas morning- better than any present I could ask for!!!! http://t.co/RtzUSZc7Ns",3650,0,2014-12-25 23:39:33
"RT @NASAhistory: #Remembering Michael P. Anderson on his #birthday; perished on STS-107. This image of Earth was taken by the crew. http://…",158,0,2014-12-25 23:37:41
"RT @AstroTerry: #Florida and the #Bahamas from a new perspective http://t.co/tVyitz0vQR",1528,0,2014-12-21 22:42:05
"Google - Year in Search: 検索で振り返る 2014: http://t.co/sCIzAaFNjE via @YouTube 国際宇宙ステーションの長期滞在では多くの皆さんに本当にお世話になりありがとうございました。",77,96,2014-12-21 06:18:46
"1月3日放送予定のNHK「SWITCHインタビュー達人達」の収録で小説家の平野啓一郎さんと対談させて戴き光栄です。以前平野さん著「ドーン」を拝読し火星飛行に向け大きなチャレンジを感じました。http://t.co/zf1pAjmlOM http://t.co/IJYG3TsHhf",215,305,2014-12-16 20:58:23
