tweet,retweetsCount,favoritesCount,timestamp
"'Rocket Science' via @smartereveryday @StationCDRKelly &amp; @astro_reid MRT: HOW TO FLY A SPACESHIP TO THE SPACE STATION http://t.co/oDsdcO56t3",18,30,2015-03-24 14:24:54
"Happy #NationalPuppyDay to 'Lacee' &amp; 'Mo' - Thanks for running with me on the beach &amp; through fields of wildflowers. http://t.co/tp9ip2GVi8",19,65,2015-03-24 04:00:20
"Celebrating the power of imagination with the #MissionDiscovery team! @spacechelle @KYScience http://t.co/KwPHeuUdwr http://t.co/KuTtVmrzHF",16,27,2015-03-23 21:11:05
"From Maya Angelou on #WorldPoetryDay - To all that love liberty &amp; long for peace...'I Know Why the Caged Bird Sings' http://t.co/TLtysoc8O4",83,64,2015-03-21 17:07:13
"Poetry is all around us, often silent; until we recognize the beauty in simple things that we often take for granted. http://t.co/vJTM7aaHMX",358,439,2015-03-21 15:28:47
"'An amazing ride; my flight on #Canadarm2; foothold in the void' @csa_asc Poet Astronaut #WorldPoetryDay! #SpaceHaiku http://t.co/oeAlcPP6Q2",83,115,2015-03-21 14:47:56
"This is great, thank you! I am so excited to write and welcome Spring with #WorldPoetryDay2015! MRT: @lexcalibur100: http://t.co/cVlcuRUZyk",5,7,2015-03-21 02:56:41
"Thanks, Peter! @PC0101 Deb, my spacewalks were before the 'selfie craze'...but, I do have 'selfie envy' of Aki! @Karmadog_SRQ @theselfiefest",1,2,2015-03-21 02:22:20
"Thank you, Nate! RT: @AstroN8: #FF @Astro_Wheels Pilot. Poet. Friend. Need I say more? #AvGeek http://t.co/wp0wdXIkfj http://t.co/sgZssxffex",6,14,2015-03-21 02:10:58
"Thank you! Looking forward to sharing these memories with you soon! @Space_Lectures: #ff Special friend @Astro_Wheels http://t.co/EZ9LLPu68G",18,45,2015-03-21 00:55:46
"Thank you! @pittkethley @ProfDavidMorley @BloggingPompeii @vivomusique @inthetheatre @Londiniensis @MMFlint @wikileaksnews @sallyevanz1",1,1,2015-03-21 00:47:13
"RT @krmiller28: Please RT?? My son won a partial scholarship to SpaceCamp. He's looking for sponsors to help. http://t.co/fZEjQFRYFY Please…",29,0,2015-03-21 00:36:19
"RT @carlmilner: Partial Solar Eclipse over #Leeds #Yorkshire  #SolarEclipse #SolarEclipse2015 #iseefaces http://t.co/ippgtXuvgT",32,0,2015-03-20 15:01:42
"#TBT Final suit-up with pressure &amp; comm checks. Preparing to climb aboard the Space Shuttle Discovery - October 2007. http://t.co/0qLPoFaCwg",47,126,2015-03-19 16:31:48
"RT @airandspace: Explore 50 years of spacewalks on our website: http://t.co/0mqXmUHMKD #Spacewalk50 http://t.co/7oDdvsUoas",164,0,2015-03-18 15:28:38
"RT @Cmdr_Hadfield: 50 years ago today Alexei was the 1st of us to step into the void. A brave, fun, artistic, visionary man. Role model. ht…",823,0,2015-03-18 14:51:36
"Поздравляю, Алексеи Архипович Леонов! 50 years ago today; the first #spacewalk; March 18, 1965 http://t.co/V1ftY2jROw http://t.co/iLBYhKQNrP",261,323,2015-03-18 14:08:11
"RT @Wonderopolis: Did you miss last night's #WonderChat w/ @Astro_Flow? Here is the archive http://t.co/goaYNHIuYG LOTS of AWESOME question…",4,0,2015-03-18 12:21:25
"I'll be your wingman anytime, my Friend! @Astro_Flow Keep inspiring kids of all ages to imagine! To dream bigger &amp; reach higher! #wonderchat",6,22,2015-03-18 01:17:16
"The toilet/potty/loo on the #ISS is called the 'WHC' - Waste and Hygiene Compartment. @Astro_Flow @swedishgurl #Wonderchat",6,17,2015-03-18 00:59:09
"One of the hardest things to do in space is to learn to run on a treadmill, check this out - https://t.co/ClQZNy6OTn @Astro_Flow #Wonderchat",15,29,2015-03-18 00:43:56
"I am inspired by the vastness of the night sky...@Astro_Flow To imagine the incredible things that are waiting to be discovered! #Wonderchat",7,16,2015-03-18 00:34:34
"Checkout this video via @csa_asc &amp; @Cmdr_Hadfield to see how we sleep in space! https://t.co/vPBHCjakWa @swedishgurl @Astro_Flow #WonderChat",16,25,2015-03-18 00:27:48
"Excited to join you from Houston! RT: “@Astro_Flow: Working with people from around the world to help advance our civilization. #wonderchat”",1,10,2015-03-18 00:08:47
"RT @Astro_Flow: “@NCFL @Wonderopolis : Tonight 8/7p http://t.co/c7xHGs8WPR”. Join us  @Astro_Wheels  @Astro_Cady @astro_ron @Astro_Jeanette…",16,0,2015-03-17 20:42:19
"Ireland and UK bedazzled with green aurora - Happy St. Patrick's Day! 'May the rains fall soft upon your fields...' 🍀 http://t.co/6hNtmUWy06",286,340,2015-03-17 14:36:16
"@bayleej_baccus Now that's an offer we can't refuse! Welcome back to @GalvestonIsland! See you soon! cc: @KelleyApril http://t.co/GA1nlkKBB1",2,4,2015-03-16 17:04:14
"It's that time again...back into 'Inner Space' training and preparing to dance among the stars! #VitruvianSpaceman http://t.co/ouKeSbUVoU",21,59,2015-03-13 12:56:59
"Time to light up the night! MT @NASA: Watch @NASA_MMS launch: http://t.co/PoWXRe7uDv MMS blog: http://t.co/pz3VI1Nfpp http://t.co/onRPb7KmeX",21,27,2015-03-13 02:29:27
"RT @NASA: The countdown has begun for tonight's @NASA_MMS launch at 10:44pm ET. Follow the latest at: http://t.co/zFJ9mGAUgY http://t.co/Sz…",694,0,2015-03-12 22:03:32
"RT @NASA_LSP: As we head into the launch tonight, check out some details of @NASA_MMS in the press kit: http://t.co/8FqZJBvMtm http://t.co/…",53,0,2015-03-12 22:03:00
"What an honor! And, so well-deserved! Congratulations, Katie! @KatieMarshall__  Keep telling your story; keep singing your beautiful song!",2,3,2015-03-12 19:27:59
"RT @NASA: LIVE NOW: 2 hours chock full of @NASA_MMS info in a #NASASocial. Watch: http://t.co/TZKSZMQKkm  Q? Use #askNASA http://t.co/VpQbc…",305,0,2015-03-12 19:04:32
"RT @Astro_Mike: STS-109 landing, March 12, 2002.   Last time Space Shuttle Columbia would land successfully.  #OnThisDay http://t.co/EF2x9C…",67,0,2015-03-12 16:28:57
"Thank you, Bill! Amazing image...@ingallsimages Welcome home, Sasha, Elena, &amp; Butch! http://t.co/6DTsPP6RKy #askNASA http://t.co/hJhKi0cpKT",98,142,2015-03-12 11:26:53
"There's no place like home! @ingallsimages MRT: @nasahqphoto: #Soyuz landing photos: https://t.co/q3UCkfxwRg http://t.co/g9I66n9fz8 #askNASA",46,59,2015-03-12 11:05:22
"RT @Space_Station: .@Astro_Wheels likens his Soyuz ride to going over Niagara Falls in a barrel that's on fire: http://t.co/PJCnbY9RTl http…",74,0,2015-03-11 16:41:53
"Brushing your teeth in space - lesson from @csa_asc &amp; @Cmdr_Hadfield http://t.co/uynHJcHsBr @MrsWolffCreates http://t.co/1QbKmnhObw #askNASA",42,82,2015-03-11 16:40:03
"As requested, Eddie...the UK...@r9eds @NASA_Astronauts Thanks @CommanderMLA for teeing-up this image from @astro_reid http://t.co/lfyMoujPSl",19,36,2015-03-11 13:47:26
"RT @amikokauderer: #AstroButch and crew climb aboard this empty #Soyuz for Earth today! Catch return events on http://t.co/pnu64nkHlo http:…",23,0,2015-03-11 13:35:55
"RT @AlyssaNewcomb: Ever wonder what it's like to come home from space? @Astro_Wheels and @Astro_Clay told me about their experiences. http:…",9,0,2015-03-10 23:47:23
"A world of thanks, Alyssa! Wonderful memories of returning to Earth from space! Follow @AlyssaNewcomb and @NASA for Soyuz landing tomorrow!",4,5,2015-03-10 16:26:54
"Good morning, #Seattle! With leaders at @museumofflight Sharing stories on living and leading with courage &amp; passion! http://t.co/ybiEeVV5gn",41,80,2015-03-10 13:49:21
"RT @NASA: The key to unraveling Alzheimer's may not lie in the brain, but rather in space: http://t.co/4qCje1oVV2 [video] http://t.co/23Qbu…",1136,0,2015-03-10 13:15:15
"RT @ValaAfshar: “How wonderful it is that nobody need wait a single moment before starting to improve the world.” ― Anne Frank  #Internatio…",36,0,2015-03-08 21:24:47
"RT @Space_Station: #HappyInternationalWomensDay to our women living and working aboard the #ISS, Elena Serova and @AstroSamantha! http://t.…",1401,0,2015-03-08 21:12:08
"#BluePlanet Poetry: 'Once you have seen the morning light as magic, you will always see the morning light as magic.' http://t.co/nyFnHROujk",147,223,2015-03-08 00:09:55
"So excited to be joining you! @DRIVExchange Sharing stories from space &amp; lessons learned in leadership! See you soon! http://t.co/YsQDkutzfK",64,113,2015-03-07 16:13:34
"Thank you, Rachel! @MrsWolffCreates Also follow: @ESA_Rosetta @NASA_Dawn &amp; @NASANewHorizons for science, space travel &amp; adventure! #askNASA",1,5,2015-03-07 15:46:08
"Thank you, Katie! @KatieMarshall__: #FF 'Earth is a fragile oasis in a vast and empty sea.' 🌍 https://t.co/ylwa6jcjOt http://t.co/gvkyP75rGl",27,38,2015-03-07 15:37:13
"RT @crpokhrel: Everest &amp; Peaks, at sunset, from #ISS, 2014/11/01, 16:58:18 NST, 200-mm, #Exp41 @AstroDocScott @Astro_Wheels http://t.co/fDM…",34,0,2015-03-07 15:33:13
"#Flashback to 'Rock'Em Sock'Em Robots' MT: @crpokhrel: #STS120: @Astro_Wheels &amp; @AstroDocScott http://t.co/YPw2DQTac0 http://t.co/6QKGwB27b0",3,12,2015-03-07 15:30:21
"Thank you, Rachel! @MrsWolffCreates @KSzajner @DrStaubSTEM @Gregbagby @wkrakower @justintarte @bradmcurrie @ClssroomFreebie @theOCBlog",0,2,2015-03-07 15:21:47
"Beautiful art @DanielMcVey! MT @earthskyscience: Full Moon rising over Breckenridge, Colorado. http://t.co/2StxInTmS6 http://t.co/Nb6pcBYXYO",17,31,2015-03-07 15:17:32
