tweet,retweetsCount,favoritesCount,timestamp
"@ryberg Ha-ha, vet inte om det var feltryck eller feltänk:-) Men MegaMind ska det ju vara, även om MetaMind är bra också! Tack för det😊",0,0,2015-04-14 20:47:19
"TMs styrelse inspekterar MetaMind, nya Science center öppnar i september. Inredning färdig, nu ska 40+ stationer in http://t.co/568Ul1vRxG",0,0,2015-04-14 11:31:38
"RT @elonmusk: To land a rocket, Just Read the Instructions  http://t.co/FJAM72zNWo",723,0,2015-04-11 11:29:38
"Thnx @ESA_EAC, TrainingDiv &amp; head Rudiger Seine for AeroSpace KTH visit! I'll be back nxt yr w more students😊 http://t.co/OxRkQeqbAO",2,4,2015-04-10 18:34:17
"KTH students from Aerospace prog visit @Esa_EAC. Dima Tjurkin here lets some of them try to dock Soyuz to ISS http://t.co/Hw4qOOns9w",0,2,2015-04-10 13:56:58
"Aprilskämt, tyvärr. Men rätt ambitioner! Tänk om vi kunde ha rymdturistflygningar i Småland, eller annans stans snart http://t.co/ud59MkecgB",9,10,2015-04-01 16:27:58
"Juryarbete för Rymdpaviljongen.  Prisutdeln kl 12 idag i KTHB Vinnarförsl byggs till Astronautkonf, invigs 21/9 http://t.co/sowDwHgwSd",1,1,2015-04-01 08:19:52
"Seminar @KTH Tomorrow 1/4, 13:15 - 14:00  Forskare Patrik Sundblad Medical aspects of Human Space Exploration  http://t.co/s25WFo9AvH",2,1,2015-03-31 09:44:19
"KTH student, and interested in space projects? Apply to participate in building the student satellite MIST: http://t.co/fJhRC2eCFD",2,3,2015-03-25 12:34:14
"Have fun @SpaceUpCologne at European Astronaut Center today (&amp; yesterday)! I'll be skiing in Italy - higher up, but not really space:-)",12,20,2015-03-22 09:14:50
"Mike Lopez-Allegria honouring Leonov on behalf of Association of Space Explorers at the Cosmonatics Museum http://t.co/xxaWXMCoKx",0,3,2015-03-19 16:39:01
"Cool to watch 50yr old film fr EVA#1. Got a feel for the difficulties Leonov encountered http://t.co/WwiRZQ2q8k",15,26,2015-03-19 15:15:50
"Leonov is also an artist. This picture of the view from space he made is in the Korolov house http://t.co/ce7lYojJw9",4,7,2015-03-19 11:58:14
"Leonov interviewed in front of Sergei Korolov's house in Moscow. The 50-yr 1st EVA celebration continues today http://t.co/DCnIaVdlcE",6,15,2015-03-19 11:01:08
"Leonov giving his amazing story on how he barely survived the 1st ever space walk, in front of 50 yr old crew photo http://t.co/YiQVtsPlLB",11,8,2015-03-18 14:56:13
"Back in good old Star City, in front of Gagarin with Reinhold Ewald http://t.co/KGEDSC1FNA",2,10,2015-03-18 12:55:28
"Spectacular aurora when flew to Moscow in the night. Nice cosmic intro to the celeb of first-ever EVA by Leonov 50 yr ago today.",2,8,2015-03-18 10:39:01
"RT @lararnas: Astronaut @CFuglesang o @LR_stud ordf @IsakSkogstad: Stärk läraryrkets attraktivitet! #viärLR http://t.co/j1FcLljehl http://t…",8,0,2015-03-17 22:04:41
"Fr Borlänge med tusen skolelever o ett par hundra lärare drar det nu iväg till Stjärnstaden och ett 50-tal astros för fira Leonov 50 år EVA",0,6,2015-03-17 15:59:59
"Tack Landshövding Maria Norrfalk för trevlig lunch på Residenset i Falun. Nu tillbaka till Borlänge &amp; Teknikmässan http://t.co/pd9CnilTez",0,0,2015-03-17 12:20:26
"Vi behöver en svensk strategi för rymdturism http://t.co/zD9tDbNTzT",5,6,2015-03-13 11:20:49
"Lyckad uppskjutning av MMS i natt http://t.co/Qf25upJVFy  KTH-forskare deltar i exp't https://t.co/utYsTtuaPB. Några var på plats i FL.",0,2,2015-03-13 09:07:49
"#rymdforum dag 2 Anna Rathsman SSC Hur småsat's kan skickas upp fr Esrange. Sverige bör satsa på det, med Europastöd http://t.co/tXRkT65iXB",3,3,2015-03-10 08:48:27
"@Malin_2013 jodå, imorgon ska jag nämna ASE konferensen på #Rymdforum",1,3,2015-03-09 15:38:42
"Europa &amp; Sverige oproport't små i rymdsatsningar. Varför?? T.o.m. inom Europa ligger Sverige oprop lågt. #Rymdforum http://t.co/LxpyaTn189",9,5,2015-03-09 14:38:08
