tweet,retweetsCount,favoritesCount,timestamp
"Glad suit design didn't end here! MT @Caltech: @NASAJPL’s Allyn “Hap” Hazard’s ’60s spacesuit. http://t.co/eTPRw0Zv3U http://t.co/sOQZiedDQ1",17,33,2015-04-14 11:30:25
"Should be awesome sight! MT @SpaceX: Falcon 9 flyback plan after next launch. https://t.co/lSgoQuDQ8O #rocketlanding http://t.co/cCqvMk3kDM",11,16,2015-04-13 03:38:24
"Soon @Commercial_Crew will launch us again! MT @NASAhistory: #OTD '81, Columbia on 1st flight http://t.co/ArpsilfGeQ http://t.co/oHAKosFaxX",22,29,2015-04-12 14:59:39
"RT @BoeingDefense: #Boeing #CST100 will transport @NASA to + from ISS. Today: Splash test emergency water drop scenarios w/@NASA_Langley ht…",260,0,2015-04-12 14:55:26
"Very cool to see @NASAJPL make a difference for @forestservice: http://t.co/telFsiwtYI http://t.co/CwGdHz4pKH",12,14,2015-04-10 01:50:36
"Congrats to next generation of @NSF Fellows! MT @Caltech: Students &amp; alumni earn NSF Graduate Research Fellowships. http://t.co/17iFwd0a3Z",1,6,2015-04-08 18:48:59
"Explorers @NASA_Dawn &amp; @NASANewHorizons fuel debate: 'Pluto a Planet Again?' via @DiscoverMag http://t.co/c0yn28ok3g http://t.co/MzOUYmmTWW",15,25,2015-04-05 12:55:36
"Reminiscence of aurora, but much larger! @NASA_Hubble @ESA. MT @apod: Voorwerpjes in Space: http://t.co/AEXw1gM6fg http://t.co/ZlFnpmDp1p",9,14,2015-04-05 02:39:21
"Depth of these clouds is amazing! MT @AstroSamantha: Intriguing weather pattern. Wonder what meteorologists see here? http://t.co/In7FYlndNB",13,27,2015-04-05 02:29:20
"Epic shot from @NASAJPL @MarsRovers! MT @apod: Shadow of a Martian Robot: http://t.co/8MWiQb0Ell  http://t.co/w5rGMf7FUV",33,55,2015-03-29 06:56:22
"Target aligned, rate good, just before contact, watching 42S #Soyuz docking w/new prime crew at the Cosmonaut Hotel. http://t.co/G2o2WAk9C1",7,15,2015-03-28 01:49:27
"Low clouds made for awesome but short view of lift off! MT @Space_Station: #Soyuz launch. http://t.co/CCZcbXeZwN http://t.co/suTLUh08vl",114,163,2015-03-27 21:11:09
"End of my 1st #TripOfALifetime, seems like yesterday! MT @NASAhistory: #OTD in '08. Endeavour returns to @NASAKennedy http://t.co/80fRoq84mI",13,26,2015-03-27 03:54:11
"Beautiful morning in Baikonur for a spaceship roll-out. Gennady, Misha, &amp; @StationCDRKelly, your #Soyuz is waiting! http://t.co/bDsWi3wWvi",63,108,2015-03-25 07:03:24
"Congrats to @NASAJPL's @MarsRovers on Oppy's 11 yr, 2 month #Martain #marathon time: http://t.co/5XSp6uAcw1 http://t.co/4EcmFkLzM2",15,8,2015-03-24 23:08:01
"Endeavour departing #ISS 7 yrs ago today. Felt like I was watching a lost scene from #StarWars at the time... http://t.co/dsnyJLqsRu",82,91,2015-03-24 16:34:54
"Wonder what Martian marathon finish line looks like? MT @MarsRovers: Oppy's reformat a success http://t.co/s18GD0AABa http://t.co/hjTefpzmxY",12,18,2015-03-23 23:33:21
"The ones with Roy G. Biv are always my favorites. Awesome shot TV! RT @AstroTerry: The first hours of the new moon. http://t.co/f0v2o4pLu6",14,23,2015-03-23 11:01:21
"Krainiy airport, Baikonur KZ for #Soyuz launch. This one's different. #YearInSpace for Misha &amp; @StationCDRKelly. http://t.co/6yXdWLIcoK",22,43,2015-03-23 10:56:50
"RT @airandspace: Explore 50 years of spacewalks on our website: http://t.co/0mqXmUHMKD #Spacewalk50 http://t.co/7oDdvsUoas",164,0,2015-03-18 13:48:04
"#TodayWasAGoodDay @Foreman_Mike &amp; I caught up w/STS-123 CDR Dom; song from 7yrs ago still fit! http://t.co/c1GQWrV2wp http://t.co/9cOJydEIrR",16,37,2015-03-17 03:50:12
"My favorite of Sam's series, just enough reflected light to dazzle! MT @AstroSamantha: Good night from #space. http://t.co/7KXF4BJsId",12,22,2015-03-16 02:57:48
"Great to have #AstroButch home! MT @NASA_Astronauts: Butch Wilmore back in Houston after 167 days on @Space_Station. http://t.co/wps3JT9fua",10,27,2015-03-15 02:07:11
"Took ~85k digits to get to my #BDay, how many for yours? MT @Caltech: Steven Wolfram finds you your slice of #PiDay! http://t.co/REyucLDG98",5,13,2015-03-15 01:12:12
"7 yrs ago, Endeavour arrived at #ISS. That's me cleaning port window just fwd of the payload bay w/a yellow cloth. http://t.co/aeuwqbv0Uh",182,325,2015-03-14 01:18:51
"Ha! MT @DaveNavarro: Thats only cause @Chief_Astronaut isn’t here! RT @1000challenger: You are the most charming man on earth @DaveNavarro",2,4,2015-03-13 06:13:46
"RT @nasahqphoto: Photos from the #Exp42 landing are being posted! Keep checking back!  https://t.co/2ehqVbXqM7 #NASA #ISSCrew #ISS http://t…",232,0,2015-03-12 04:45:16
"This is when it hit me: just how many we counted on to get home. MT @NASAhistory: #NOW in 2008, Endeavour launches. http://t.co/BNPekOivuZ",31,45,2015-03-11 11:51:39
"RT @NASA: #HubbleMania 2015! Vote to decide which #Hubble images advance to the next round: http://t.co/WXOSUzkI52 #Hubble25 http://t.co/R4…",343,0,2015-03-11 02:28:07
"Another special treat, thanks Sam! MT @AstroSamantha: Terminator: day/night boundary, moves across Earth beneath us. http://t.co/tDuoQkT4Qz",11,24,2015-03-11 01:31:30
"Excellent mission #ISS CDR Wilmore, you've done @NASA &amp; @USNavy proud! MT @NASA_Astronauts: #AstroButch in #cupola. http://t.co/Z64mqHmLtw",57,109,2015-03-11 01:21:50
"Exciting day tomorrow for @NASA_Dawn &amp; @NASAJPL as they enter dwarf planet #Ceres orbit! http://t.co/FHVQFp5k5A http://t.co/gsiA2E53jS",38,32,2015-03-05 23:24:56
"Congrats @StationCDRKelly &amp; rest of #42S crew for completing exams! One more step on the road to #ISS1Year complete! http://t.co/6LJE7JNvZd",18,26,2015-03-05 16:59:43
"Amazingly it reaches 20km above the planet's surface... MT @apod: Dust Devil on Mars: http://t.co/9qNcgyWN6e http://t.co/dFkK5qRTpn",24,44,2015-03-04 02:55:35
"Great work to Butch @AstroTerry @AstroSamantha &amp; rest of team! MT @NASA: #spacewalks complete! http://t.co/9fCavFcQHn http://t.co/oNM4a51t9w",16,26,2015-03-01 20:02:48
"RT @esa: NOW: Watch live coverage of today's #ISS spacewalk with @AstroTerry &amp; #AstroButch on NASAtv http://t.co/Vc9uTzi1Rq http://t.co/vot…",89,0,2015-03-01 11:17:30
"The inspiration of Spock &amp; company: MT @caltechalumni: 1968 Caltech protest to prevent Star Trek cancellation.  #LLAP http://t.co/Vh8G5SG4i7",88,154,2015-02-27 22:10:26
"All astronauts can channel their inner Spock when required. @TheRealNimoy we remember, you'll always be w/us. #Katra http://t.co/Z5mS2TsNmt",175,300,2015-02-27 22:04:06
"Can't wait until a #Selfie on #Mars (like this one from @MarsCuriosity) includes humans! http://t.co/BQuUkaf2uQ http://t.co/YmYvHW1fbp",114,265,2015-02-25 00:37:44
"5 yrs ago today: Touched down at @NASAKennedy in Shuttle Endeavour for my 2nd time. She was an awesome ship! http://t.co/pJpBDdgSVV",47,102,2015-02-22 02:48:20
"Proud of #AstroButch &amp; @AstroTerry today! MT @Space_Station: 'Cable guys' end 1st #Exp42 spacewalk, more Wednesday! http://t.co/8taXhXQf2i'",18,29,2015-02-22 01:52:55
".@StationCDRKelly, now just 1 birthday before you're back home! #ISS1year MT @NASAhistory: #HappyBirthday Kelly bros! http://t.co/zOdorbMKVx",5,20,2015-02-22 01:47:06
"At @NASA, 'We didn't walk, we worked on the moon!' attributed to moonwalker John Young. #AstroButch &amp; @AstroTerry to will show us tomorrow!",3,8,2015-02-20 22:01:23
"Looking fwd to #AstroButch &amp; @AstroTerry heading out for a #Spacewalk (Spacework?) tomorrow! https://t.co/mgIHcOFQHC http://t.co/b9ZFV76qfF",9,13,2015-02-20 21:43:54
"RT @NASAhistory: #Now in 1962, John Glenn launches  in Friendship 7 to become 1st American to orbit Earth! http://t.co/gCa7Mb63P3 http://t.…",178,0,2015-02-20 21:29:46
"Well done Terry &amp; Doug! MT @Honeywell_Aero: 2 recieve @NASA_Astronauts' #SilverSnoopy award:  http://t.co/SSHf3jQ6qS http://t.co/VmwG2yN1GC'",4,8,2015-02-18 04:21:59
"Good Luck Scott, looking fwd to your launch next month! MT @StationCDRKelly: Goodbye #USA. See you in 2016! #ISS1Year http://t.co/79cuSbTr3B",18,34,2015-02-18 02:10:45
"W/@CommercialCrew  &amp; @NASA_Orion more than any time in my career ! MT @BessieElder: What are you building these days? http://t.co/rsjl0lJ82Z",15,16,2015-02-17 02:52:52
"Cool time-lapse of Pluto &amp; wobble caused by #Texas sized moon Charon! Via @NASANewHorizons: http://t.co/CCC5R5J4Ly http://t.co/ecBPEh6yQa",55,63,2015-02-16 18:44:17
"You can go about your business. Move along... MT @StationCDRKelly: These are not the droids you are looking for. http://t.co/cMiesGh9nn",11,14,2015-02-13 22:56:17
"How many Missourians knew the Spirit of St Louis impact crater was along @MarsRovers marathon? http://t.co/9HtQpGnZX9 http://t.co/YJDzpfKQAW",45,50,2015-02-13 03:41:43
".@NASA_Hubble finds a galactic cluster smiling back: http://t.co/NwtdhNsm1x http://t.co/zyPF9zniBX",36,42,2015-02-11 11:53:07
"Awesome these made it to the #Smithsonian! MT @airandspace: Armstrong's #Apollo11 'purse': http://t.co/99ESopkf4f http://t.co/3VJmwqN3rK",8,13,2015-02-11 03:13:09
"Great work @AstroSamantha, @AstroTerry, &amp; #AstroButch! MT @Space_Station: @SpaceX #Dragon headed for the Pacific: http://t.co/65oH1tkvQt",41,65,2015-02-10 23:43:06
"Congratulations to @Astro_Kate7, Kimbrough, Whitson, &amp; the rest of the new #Soyuz crewmembers! http://t.co/128T9iI0I3 http://t.co/S0sDcG9DoQ",15,17,2015-02-10 02:03:49
"Looking fwd to the view from out there! MT @NOAA: Will take ~110 days for #DSCOVR to reach L1. http://t.co/6h5zT2gWkl http://t.co/qd05fFKOi3",4,13,2015-02-09 02:41:07
"1st images from STS-130 showed discarded tank venting propellant. Found out I'd captured this rare treat post flight! http://t.co/dEwuqtFkyD",30,45,2015-02-09 02:05:26
"Our Earth's color palette is amazing! MT @NASA_Astronauts: “As far as the eye can see #Africa” #AstroButch http://t.co/PLmYk3WB45",30,30,2015-02-07 02:40:22
"RT @NASA: What's up for February? Planetary pairs grace the sky in time for Valentine’s Day: [video] http://t.co/VNWK8I2FXE http://t.co/J07…",1173,0,2015-02-07 02:36:22
"We've got a few more #Soyuz crews headed to #ISS that we'll be adding here soon: http://t.co/BVWdICmlKM",4,4,2015-02-07 02:28:23
"Mapping lakes of methane via sunglint, ingenious! MT @apod: Titan Seas Reflect Sunlight: http://t.co/O1o7WLwPts  http://t.co/okpuqxw5JX",17,16,2015-02-02 12:22:20
"Honored to carry on their legacy. MT @NASAhistory: #Remembering the crew of Space Shuttle Columbia STS-107 http://t.co/hsQxI1apfL",6,23,2015-02-02 00:39:11
"RT @nasahqphoto: The @ulalaunch Delta II rocket launches with @NASASMAP! #EarthRightNow See other photos: https://t.co/XMAZdejRRO http://t.…",524,0,2015-01-31 15:03:14
"So much captured in single shot, nice one Sam! MT @AstroSamantha: Good night from #space! Buona notte dallo spazio! http://t.co/jzd6WyTXWD",45,58,2015-01-31 04:28:47
"Seven astronauts flew in this year's tribute to honor our own. MT @SpaceCenterHou: Missing man formation over JSC. https://t.co/zh8XW7OJOF",12,21,2015-01-31 04:16:26
"RT @ShuttleAlmanac: In Memoriam - the crew of Apollo 1 January 27, 1967 #Apollo1 #Grissom #White #Chaffee #NASA http://t.co/1nc9mNwLD1",79,0,2015-01-27 13:55:42
"RT @NASAJPL: Radar images of today's #asteroid 2004 BL86 flyby reveal a moon: http://t.co/piecKRnTNc @AsteroidWatch http://t.co/bpaD9ePcfd",520,0,2015-01-27 02:14:57
".@StationCDRKelly joins #Exp43 in Mar. You can learn the rest of the future #ISS crews here: http://t.co/gHVBHr5JAJ http://t.co/ekF3VFgP9B",28,42,2015-01-25 03:30:49
"Motivating a generation! MT @NASAhistory: Voyager2 passed Uranus headed to Neptune #OTD 1986. http://t.co/4NneOTQiei http://t.co/UsnF99lA5M",23,29,2015-01-25 03:15:42
