tweet,retweetsCount,favoritesCount,timestamp
"Astronaut safety's critical for @Commercial_Crew so @BoeingDefense tests #CST100 @NASA_Langley http://t.co/mKBMs0ePof #LaunchAmerica",20,15,2015-04-14 17:54:40
"RT @thePRbunny: 2017- the year humans are launched into space from @NASAKennedy again! #NASASocial @Boeing @SpaceX @NASA",28,0,2015-04-13 15:53:40
"RT @NASAKennedy: .@Commercial_Crew program's Carol Scott talks about the upcoming partner milestones #ISS #Isscargo #NASASocial http://t.co…",11,0,2015-04-13 15:33:41
"RT @ChrisTuttle: Hearing abt @SpaceX &amp; @Boeing current + future plans, incl. manned commercial travel in 2017. #NASASocial http://t.co/FOYL…",16,0,2015-04-13 14:32:26
"RT @cwood: Commercial crew operations will increase the # of astronauts on station to 7 and double the amt of science that can be done. #NA…",15,0,2015-04-13 14:32:15
"RT @lhonoswebb: The international space station goes 9x faster that a bullet and is a national lab http://t.co/P98FdPKA8G",16,0,2015-04-13 14:32:02
"RT @Chief_Astronaut: Soon @Commercial_Crew will launch us again! MT @NASAhistory: #OTD '81, Columbia on 1st flight http://t.co/ArpsilfGeQ h…",22,0,2015-04-12 19:16:27
"RT @BoeingDefense: #TBT: #Boeing #CST100 2013 splash test in Nevada. We’ve come a long way + will go further: ISS @NASA @Commercial_Crew ht…",39,0,2015-04-10 00:04:43
"RT @NASA_Langley: Boeing #CST100 capsule made big splash today @NASA Langley's hydro impact basin, testing abort scenarios. http://t.co/lXH…",36,0,2015-04-10 00:04:25
"RT @BoeingDefense: #Boeing #CST100 will transport @NASA to + from ISS. Today: Splash test emergency water drop scenarios w/@NASA_Langley ht…",260,0,2015-04-09 18:21:33
"We light the candles on four years of @Commercial_Crew this week! http://t.co/uG6lqmpuP0 http://t.co/VzgDz1jggj",18,42,2015-04-07 18:34:07
"RT @SpaceX: Continued progress on Pad 39A and its hangar that will house Falcon 9 and Falcon Heavy at @NASAKennedy http://t.co/jqZGlDTRNa",317,0,2015-04-06 20:54:13
"@sdcolquhoun  - The @Commercial_Crew  logo was actually inspired by the @NASA_Astronauts symbol, not the @Angels. http://t.co/aCXAVMDUIK",0,0,2015-04-03 14:01:44
"Find out what famous NASA symbol inspired the look of the @Commercial_Crew logo: http://t.co/zWRed7lfZN http://t.co/PGMUpiKUAH",38,56,2015-04-03 11:17:50
"AstroViews: @AstroIronMike shares his excitement for @Commercial_Crew and @NASA_Orion. Watch the video http://t.co/LVs9C9BzBU #LaunchAmerica",25,21,2015-03-31 15:00:21
".@StationCDRKelly - Research is a big part of your #YearInSpace. What do you think we will study on future  @Commercial_Crew missions?",14,21,2015-03-29 17:47:44
"Commercial Crew will restore a fundamentally important capability to launch astronauts from right here in America in 2017. #LaunchAmerica",22,14,2015-03-27 20:48:30
"Godspeed @StationCDRKelly! @Commercial_Crew and our partners @BoeingDefense and @SpaceX are working to launch from the Space Coast.",45,64,2015-03-27 19:44:20
"We want to send humans to Mars. #YearInSpace and @Commercial_Crew will help us get there. [video] https://t.co/82JRhqkIQi #LaunchAmerica",15,9,2015-03-27 19:14:32
"RT @SpaceX: Godspeed @StationCDRKelly! T-2 weeks until #Dragon visits you with science &amp; supplies, T-2 years to @Commercial_Crew. http://t.…",178,0,2015-03-27 19:04:21
"Countdown to #LaunchAmerica! T-2 hours to #YearInSpace, T-2 weeks to @SpaceX CRS-6, T-2 years to @NASA @Commercial_Crew launches.",13,11,2015-03-27 17:48:33
"RT @BoeingDefense: During #YearinSpace, @StationCDRKelly will help reconfigure ISS in prep for International Docking Adaptor to arrive. htt…",36,0,2015-03-27 17:33:59
"RT @BoeingDefense: Safe travels, @StationCDRKelly! Busy + exciting #YearinSpace as long-planned ISS reconfiguration signals new era. http:/…",43,0,2015-03-27 17:33:56
"RT @BoeingDefense: International Docking Adaptor will allow #Boeing CST-100 to dock w/the US side of ISS. #YearinSpace @Commercial_Crew htt…",108,0,2015-03-27 15:13:46
"Watch SuperDraco engine test demonstrate @SpaceX pad abort test profile: https://t.co/NWGkHs5DpT. More:http://t.co/q14QE3DmU8 #LaunchAmerica",327,489,2015-03-25 01:10:02
"We recently added another milestone to @SNCspacesystems CCiCap agreement. Learn more, at http://t.co/CWY9vXIQ5E. http://t.co/48fY4ZNzH8",87,102,2015-03-24 14:25:00
"Interested in #LaunchAmerica progress? @BoeingDefense's @Astro_Ferg recently saw @ulalaunch rockets come together. http://t.co/gpjKmH8qoF",15,17,2015-03-23 19:29:39
"@Astro_Ferg of @BoeingDefense saw @ulalaunch where @Commercial_Crew rockets come together: http://t.co/gpjKmH8qoF http://t.co/cxQR8v5GIP",33,37,2015-03-20 19:46:13
"RT @ISS_CASIS: Launch of @Commercial_Crew = More space station science! NASA's #ISS Chief Scientist explains why this is big deal: http://t…",13,0,2015-03-13 17:15:05
"RT @NASA: #AstroButch returning home tonight spent 25+ hrs outside #ISS in part to prep for future @Commercial_Crew spacecraft http://t.co/…",668,0,2015-03-11 21:07:13
"Pad A's new look taking shape for @spaceX launches. http://t.co/RgUd1AWnPy http://t.co/pXr5MWEc54",80,76,2015-03-11 12:14:20
"Astronauts on the promise of Commercial Crew - http://t.co/xZkm1xWFR7 #LaunchAmerica http://t.co/sU0cbCnHS2",26,29,2015-03-10 18:55:49
"@BoeingDefense to Nat'l Space Club: We're working with high-altitude suit designer David Clark",1,1,2015-03-10 17:05:04
"SpaceX tells Nat'l Space Club: We both need to be here. The space program needs to have competitive providers to be successful.",16,10,2015-03-10 16:48:07
"Lisa Colloredo to Nat'l Space Club: It's a big job, it's difficult, it's never been done before. I can tell you, industry really stepped up.",3,2,2015-03-10 16:40:29
"Space offers a great view, but it's the science that opens our frontiers of discovery. More: http://t.co/jLzIYCgll8  https://t.co/0KEnN1jSfl",60,80,2015-03-10 13:24:20
"RT @NASA: The key to unraveling Alzheimer's may not lie in the brain, but rather in space: http://t.co/4qCje1oVV2 [video] http://t.co/23Qbu…",1137,0,2015-03-09 16:26:09
"RT @NASA: Astronauts finish third #spacewalk to prepare for @Commercial_Crew at 12:30p ET/17:30 UTC: http://t.co/IvKAhgxTx7 http://t.co/k9a…",465,0,2015-03-01 17:54:58
"RT @NASA: .@AstroTerry conducts inventory, puts #spacewalk tools away. He &amp; #AstroButch 1+ hr ahead: http://t.co/KX5g7yYnYG http://t.co/C1Y…",211,0,2015-03-01 16:55:06
"RT @Space_Station: Today's CAPCOM @Astro_Suni has performed 7 #spacewalks. 50 hours, 40 minutes total. Most by female @NASA_Astronauts http…",710,0,2015-03-01 16:40:28
"RT @NASA: #AstroButch &amp; @AstroTerry have completed all #spacewalk tasks. Now cleaning up to go back in http://t.co/KX5g7yYnYG http://t.co/l…",356,0,2015-03-01 16:40:19
"RT @NASA: #AstroButch &amp; @AstroTerry finish cable wiring on @Space_Station port side; move to starboard http://t.co/KX5g7yYnYG http://t.co/G…",337,0,2015-03-01 15:11:37
"RT @NASA: #spacewalk 'cable guys' @AstroTerry &amp; #AstroButch installing 400 feet of wire for antennas  http://t.co/KX5g7yYnYG http://t.co/3O…",287,0,2015-03-01 14:13:15
"RT @Space_Station: .@AstroTerry on Port 3 Truss getting ready to install antennas. #AstroButch on other side of #ISS on Starboard Truss htt…",107,0,2015-03-01 12:45:49
"RT @NASA: Today's #spacewalk adds antennas &amp; communications equipment to @Space_Station for @Commercial_Crew. Overview: https://t.co/QRoJQH…",161,0,2015-03-01 11:51:03
"RT @NASA: Our @AstroIronMike Fincke &amp; @ESA's @Astro_Luca Parmitano mark the passing of Leonard Nimoy. Watch: http://t.co/VvYnVQTioF #RIPLeo…",660,0,2015-02-27 22:45:41
"RT @NASAKennedy: Read Kennedy Director Bob Cabana's tribute to Leonard Nimoy http://t.co/t1uj7VBIug http://t.co/yH5uKx9Yvj",162,0,2015-02-27 21:24:25
"RT @NASAKennedy: An inspiration to countless. NASA mourns the passing of Leonard Nimoy. http://t.co/hTJZDSYyrg",109,0,2015-02-27 21:24:19
"Don't lose your place! Download a Commercial Crew bookmark from our blog: http://t.co/7OyOz3xWRc http://t.co/N8xjOSREzl",28,50,2015-02-27 18:45:27
"RT @NASAKennedy: Inside KSC! this week: new crew access tower construction and the 'Swarmies' test their skills http://t.co/uzDfz00ZMK http…",20,0,2015-02-27 16:56:52
"RT @NASA: #LaunchAmerica progress: SpaceX’s Dragon, 1 of America’s next gen crew spacecraft, is almost ready for a test flight http://t.co/…",593,0,2015-02-27 15:33:52
"RT @NASA: Multiple @Commercial_Crew providers reduces risk &amp; ensures safe, reliable missions to @Space_Station. http://t.co/TOUlBPe3Y7",242,0,2015-02-27 14:34:08
"RT @NASA: #LaunchAmerica progress: @BoeingDefense &amp; @ULALaunch broke ground on crew access tower: http://t.co/6ntPlEjWF2 http://t.co/7sAH5F…",256,0,2015-02-27 14:30:54
"RT @NASA: How will we #LaunchAmerica? @Commercial_Crew partners outline details:  http://t.co/7UfdvLM7y2 http://t.co/KrMKO9INGX",181,0,2015-02-27 14:25:36
"RT @NASA: .@Commercial_Crew = 1 more astronaut on @Space_Station + double @ISS_Research  http://t.co/8IiXCWvuY0 #LaunchAmerica http://t.co/…",199,0,2015-02-27 14:25:32
"RT @NASA: 150+ companies in 37 states working to get astronauts back into low-Earth orbit http://t.co/BzNWqIywOm #LaunchAmerica http://t.co…",329,0,2015-02-27 14:23:36
"Engineer Billy Stover is applying his expertise to Commercial Crew safety and local education. http://t.co/NHxiO9TWKN http://t.co/NAy8FW3IgN",10,25,2015-02-26 18:21:53
"RT @Space_Station: Spotlight on spacewalker @AstroTerry as he stares down the huge @CSA_ASC #Canadarm2 for grease job on end effector. http…",73,0,2015-02-25 17:33:25
"RT @Space_Station: .@AstroTerry gets face-to-face with @CSA_ASC #Canadarm2 end effector for hard-to-see lubrication job. http://t.co/aNizZh…",271,0,2015-02-25 16:26:43
"RT @NASA: Astronauts Wilmore &amp; @AstroTerry finished deploying 364 feet of cable for @Commercial_Crew.  http://t.co/KX5g7yYnYG http://t.co/J…",189,0,2015-02-25 13:37:40
"RT @Astro_Wheels: A 'virtual' look at today's #spacewalk MRT: @NASA: Preparing the @Space_Station for @Commercial_Crew: http://t.co/Zedwkok…",13,0,2015-02-25 12:00:23
"RT @NASA: Preview tomorrow's #spacewalk w/@AstroTerry &amp; #AstroButch to prep @Space_Station for @Commercial_Crew: http://t.co/OZNUUuuS8w #La…",151,0,2015-02-24 20:17:33
"RT @Space_Station: 'Cable guys' end #ISS spacewalk at 2:26pm ET. 2 more on Weds. &amp; Sun. to  setup future @Commercial_Crew adapters. http://…",185,0,2015-02-21 19:27:12
"Today spacewalkers @AstroTerry &amp; #AstroButch routed 340 feet of cable to prepare @Space_Station for @Commercial_Crew #LaunchAmerica",26,35,2015-02-21 19:09:01
"RT @Space_Station: Hard time connecting cables at home? Try it in a spacesuit w/gloves with Florida &amp; Bahamas ~250 miles beneath you. http:…",285,0,2015-02-21 17:07:52
"RT @Space_Station: Here's the @Commercial_Crew adapter &amp; future locations that @AstroTerry &amp; #AstroButch are getting the #ISS ready for. ht…",94,0,2015-02-21 15:58:51
"RT @NASA: Watcha doin?   Oh, just laying cable so @Commercial_Crew can dock to @Space_Station.  Watch: http://t.co/qrm0DzlVee http://t.co/0…",1074,0,2015-02-21 14:35:30
"RT @Space_Station: #AstroButch (left) w/@AstroTerry at forward end of #ISS rigging cables on Harmony's PMA2 for @Commercial_Crew ports. htt…",288,0,2015-02-21 13:41:26
"Spacewalk begins at 7:45 am EST. 'Cable guys' setting up #ISS for pair of future @Commercial_Crew adapters. #LaunchAmerica",6,4,2015-02-21 12:48:42
"RT @Space_Station: .@AstroSamantha gets ready to send @AstroTerry to the U.S. airlock with #AstroButch to begin today's spacewalk. http://t…",135,0,2015-02-21 12:12:52
"@Space_Station spacewalkers will rig cables for @Commercial_Crew adapters to be delivered soon. #LaunchAmerica http://t.co/u14Ir1c1IO",10,7,2015-02-21 12:02:59
"RT @NASA: Here's what today's spacewalkers will do to prepare @Space_Station for @Commercial_Crew: https://t.co/S9Mm40Q4pX #Exp42",188,0,2015-02-21 11:31:02
"Read about groundbreaking for new crew access tower at SLC-41 and what it means to spaceflight:http://t.co/CpjMbX0Kfl http://t.co/sgqdIZyofX",129,222,2015-02-20 22:38:37
"We have a terrific plan to build this tower with a dozen missions in between. - @Ulalaunch's Jim Sponnick",16,13,2015-02-20 20:19:55
"This is a historic pad and now it's going to launch even more valuable missions, with crews on board. @NASAKennedy's Bob Cabana",14,16,2015-02-20 20:18:43
"We're excited that (Atlas V) flight 73 will have a CST-100 on it. - @BoeingDefense's John Mulholland",16,17,2015-02-20 20:17:41
"Groundbreaking team preps SLC-41 for Commercial Crew Access Tower and human launches! http://t.co/4QeabfqKeb",43,46,2015-02-20 20:15:51
