tweet,retweetsCount,favoritesCount,timestamp
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference March 2015 http://t.co/GqfKTa9pYq",6,8,2015-04-10 01:06:05
"[release] Aurora Explosion on Jupiter caused by High-speed Rotation http://t.co/U2weRinNbQ http://t.co/LjjqMuhnXO",10,6,2015-04-07 03:16:06
"Video Update：Beyond the Sky and into Space JAXA 2014-2015 http://t.co/2JhVk0iZqP",13,6,2015-04-02 07:20:57
"[Special] DREAMS : Safe and efficient air traffic management system for a new era http://t.co/DdZKcRw68w",3,3,2015-04-01 08:10:05
"[Aeronautical Technology Directorate] [Video Library] Shaping Dreams for Future Skies http://t.co/Ouhga4Es1Q",3,3,2015-04-01 08:10:04
"Video Update: Shaping Dreams for Future Skies http://t.co/GU1GgLIXos",0,3,2015-04-01 02:47:41
"JAXA takes a fresh step as the National Research and Development Agency in April 2015. http://t.co/qYA9Vt5a0P",14,9,2015-04-01 00:58:59
"[Institute of Aeronautical Technology] [PR brochure] JAXA Aeronautics Magazine 'Flight Path' No.7/8 http://t.co/E5kE2UeZNX",2,7,2015-04-01 00:58:04
"[Special] Europe and Japan:Together to Mysterious Mercury Ulrich Reininghaus Project Manager, Mercury Exploration… http://t.co/wLj1OODfb4",9,8,2015-03-26 08:58:04
"[Gender Equality Office] Publication of Role Models 2015 for 'Women Pioneering the Future of Aerospace' from… http://t.co/DRn6Ggxada",6,8,2015-03-25 04:04:36
"[Gender Equality Office] Added FY2014 Survey Results http://t.co/SZlqsh7MkX",2,3,2015-03-25 04:04:35
"[Gender Equality Office] Outline of the FY2014 Progress Report was posted http://t.co/N2a33350ZA",4,4,2015-03-25 04:04:34
"[New Enterprise Promotion Center] Japan's Space Industry to showcase its technology at the 31st Space Symposium http://t.co/751DnNFmd0",1,4,2015-03-24 10:01:35
"[Satellites and Spacecraft] Building the Next-Generation Jet Engine Toshio Nishizawa Project Manager, aFJR Project… http://t.co/LT1oaExHa2",4,8,2015-03-23 08:45:08
"[Satellites and Spacecraft] The Mercury Magnetosphere Orbiter (MMO) was shown to the media http://t.co/51vrRnF9mf",8,8,2015-03-23 08:45:08
"RT @Astro_Kimiya: My name 'Kimiya' means 'Beautiful turtle' in Japanese. That's why a beautiful turtle on my JAXA mission patch. ;) http://…",209,0,2015-03-20 03:56:21
"[Satellites and Spacecraft] The Mercury Magnetosphere Orbiter (MMO) was shown to the media http://t.co/MO3lmKOTnp",5,3,2015-03-19 07:19:36
"[International Space Station (ISS) / Kibo Site] A communication event was held between Australian Air League and… http://t.co/zPWsodBess",3,2,2015-03-19 06:18:09
"[International Space Station (ISS) / Kibo Site] Astronaut Kimiya Yui ISS Expedition 44/45 http://t.co/BGtEWVKKZx",5,5,2015-03-18 09:39:17
"Do you want to know what the solar eclipse of 20 March 2015 will look like? #eclipse2015 https://t.co/uJmF0jJkiB",12,11,2015-03-17 09:39:24
"[Topics in Your Area] Do you want to know what the solar eclipse of 20 March 2015 will look like? #eclipse2015 http://t.co/AcJZPAgyX2",2,6,2015-03-17 09:10:06
"[Topics in Your Area] Sky-High Perspective Using JAXA's precision satellite technology to assess natural disasters http://t.co/PwwNABKA16",5,6,2015-03-16 00:53:04
"[Special] JAXA’s Satellites: Studying Life on Earth from the Sky http://t.co/OpxGs9wH1x",5,8,2015-03-13 08:19:04
"[Topics in Your Area] Sky-High Perspective Using JAXA's precision satellite technology to assess natural disasters http://t.co/iRmLHiAryn",4,4,2015-03-13 07:45:04
"Japan in Space - Rising to the Challenge -: https://t.co/WclkRcpSb1 via @YouTube",4,8,2015-03-13 00:23:19
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, January 2015 http://t.co/Pc66f2rVDb",3,8,2015-03-11 01:17:05
"[release] Hayabusa2 Moving to Cruising Phase while heading to Asteroid 1999 JU3 http://t.co/j8rHgzvoXm http://t.co/JmBMPtYN8Y",18,12,2015-03-06 06:32:34
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference February 2015 http://t.co/jGJailEL6V",4,6,2015-03-06 05:55:05
"[release] Mutual Cooperation Agreement between Japan Aerospace Exploration Agency and Japan… http://t.co/0AycuH7U5x http://t.co/LBZi1Icqhz",9,12,2015-02-19 03:33:28
"[International Space Station (ISS) / Kibo Site] ISS R&amp;D Conference 2015 (July 7-9, 2015, in Boston) http://t.co/sjsOkDKxD4",7,5,2015-02-18 06:11:05
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference January 2015 http://t.co/XYWQEZZtVQ",3,9,2015-02-10 08:23:50
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, December, 2014 http://t.co/dGLlcKuwwM",10,8,2015-02-06 06:44:05
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/mB0v9NMBaV http://t.co/6dBIofwAAJ",42,32,2015-02-06 05:58:04
"[release] Venus Climate Orbiter “AKATSUKI” Re-injection to Venus Orbit and Observation Plan http://t.co/pW36uI6Lt8 http://t.co/JJvIGoVjsU",25,15,2015-02-06 05:27:36
"[Aerospace Research and Development Directorate] Component catalog http://t.co/DcB2lTEyH2",5,5,2015-02-06 04:39:04
"[International Space Station (ISS) / Kibo Site] Brazilian AESP-14 CubeSat was deployed from Kibo http://t.co/wEpvoRmaXs",11,10,2015-02-06 02:05:17
"Congratulations! The Brazilian CubeSat was deployed from Kibo. We'll keep enhancing the cooperation with Brazil. http://t.co/zhzDwfYgY1",165,190,2015-02-05 13:45:46
