tweet,retweetsCount,favoritesCount,timestamp
"RT @NASAexplores: Show @NASA YOUR Earth! Celebrate Earth Day with us by showing us there’s #NoPlaceLikeHome http://t.co/qSaZgHsyw5 http://t…",15,0,2015-04-06 17:21:38
"RT @NASA_Technology: Available NOW on iTunes, the newest issue of our Technology Innovation e-zine! http://t.co/EGlPGpvXik #321TechOff http…",45,0,2015-04-02 21:00:30
"Thanks for posting!“@DrPhiltill: A good overview of the very cool @MorpheusLander project and how it kept costs low. http://t.co/D1rGvihztr”",6,8,2015-03-30 19:32:41
"HEY! @NASA_EDGE is nominated for Best Video Podcast in the 10th Annual Podcast Awards! Vote for them now! http://t.co/2shgifnfaN",5,9,2015-03-06 16:56:15
"RT @NASAexplores: Today we honor the legacy of those who gave their lives to push the boundaries of space exploration. #NASARemembers http:…",171,0,2015-01-28 16:15:07
"RT @NASA: DOWNLOAD our new #iOS 3DV app, previewing our #JourneyToMars! http://t.co/Gi9VHA4Ccd  #Android version is work. http://t.co/1I2KZ…",271,0,2015-01-27 18:09:56
"RT @NASA_NTL: NEW @NASA CHALLENGE! Can you design a handrail clamp assembly for the @Space_Station w/ @NASA3DPrinter?! http://t.co/u4asOxPG…",15,0,2015-01-20 17:58:51
"RT @SpaceDigest: 2014 Space Review in Cakes, Sweeties and Toys https://t.co/cPI9CwSZj0 @MorpheusLander @ATK @NASAKennedy @DigitalGlobe http…",5,0,2014-12-26 21:26:56
"RT @DiegoArgus: See CAI's post on the #ALHAT test aboard the @MorpheusLander @jmcarson3 @jayestes https://t.co/qiAwoiJMg0",2,0,2014-12-20 16:55:05
"RT @timmermansr: The 1954 Rolls Royce 'Flying Bedstead' must be the grandfather of @MorpheusLander! Similar in size, but manned! http://t.c…",6,0,2014-12-18 18:30:47
"Thank you ALHAT! “@OperationMars: @MorpheusLander Awesome.  I love that the lander selects it's own landing spot and lands itself.”",4,7,2014-12-17 16:37:29
"@TrevorMahlmann We typically always have interns working on Morpheus, but with tests winding down, not sure about this coming summer.",0,1,2014-12-17 15:54:44
"@astronomeara Great question for @jmcarson3 of ALHAT!",0,0,2014-12-17 15:53:28
"@Ottrocity Not exactly sure, but probably in the 120 - 130 db range.",0,0,2014-12-17 15:22:31
"@theglitzkrieg AKA #spitstorm",1,2,2014-12-17 15:10:55
"VIDEO! Watch official Morpheus video showing ALHAT scan, select, &amp; land the vehicle! AMAZING TECHNOLOGY! #321TechOff http://t.co/lj4NnZtFmM",84,54,2014-12-17 13:00:34
"RT @NASA: What's that in the sky? Our @MorpheusLander soaring 800 feet for test @NASAKennedy. Watch: http://t.co/0UlewKlVOi http://t.co/REq…",764,0,2014-12-16 21:14:20
"RT @KuantumwithaK: @MorpheusLander The best looking test platform in @NASA history I think. Can't wait to see what Morpheus and ALHAT leads…",3,0,2014-12-16 18:23:19
"RT @bonzack: 2 photographs I took collaged with other images posted by @MorpheusLander. Check out the dust cloud it kicked up! http://t.co/…",1,0,2014-12-16 18:23:02
"Memories of yesterday. Enjoy these photos from Free Flight 15... #JourneytoMars http://t.co/omlyDmAJwo",13,21,2014-12-16 17:25:38
"RT @NASAexplores: Garden robots &amp; collapsible 3D printers?! Congrats student teams completing the 2014 X-Hab Challenge. #Journeytomars http…",15,0,2014-12-16 17:22:46
"Never know!! ;) “@flatoday_jdean: Encore? Yesterday's @MorpheusLander flight might not have been last at KSC after all...stay tuned.”",7,5,2014-12-16 14:10:47
"Great Article! “@Florida_Today: NASA's @MorpheusLander completes successful final test at KSC http://t.co/4dcEPC3QKG http://t.co/GBhbeimpZF”",42,42,2014-12-16 12:58:01
