tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA_Johnson: We are waving!  https://t.co/Pfz7dW8DTb",21,0,2015-04-14 16:09:59
"@NASA_Johnson is looking for a Communications Specialist. Apply at @USAJOBS http://t.co/SRJPFPTFBg #NASAJobs #NASAPeople",2,3,2015-04-14 16:09:31
"Stay up to date on our current opportunities! What does NASA do!? http://t.co/c9fmWXmUyF #NASAJobs #NASAPeople http://t.co/yWGlKfov8X",3,5,2015-04-14 14:05:02
"RT @usnews: Interested in #STEM? Don't miss our #STEMParents chat tomorrow! http://t.co/PeGI0UIU4k http://t.co/kuNc6wjoKs",28,0,2015-04-14 13:59:57
"Rocket Launch in 10 Minutes! Watch at @NASA @SpaceX #Dragon  http://t.co/JLcddxV9nO",2,4,2015-04-13 20:26:10
"Watch @NASA TV for live coverage now of @SpaceX #Dragon launch at 4:33 pm ET (8:33 pm GMT)... http://t.co/JLcddxV9nO  #NASA #NASAPeople",0,2,2015-04-13 20:03:09
"RT @USAJOBS: We'll be posting registration information for our FREE VIRTUAL 'Writing Your Federal Resume' webinar on Monday! Don't miss it!",14,0,2015-04-13 14:18:10
"Are you familiar with @USAJOBS and how to apply to federal job opps? Visit http://t.co/4WrKrJ4Lsr to learn more! http://t.co/ozoS8mhdjO",4,4,2015-04-13 14:14:58
"#FF Follow NASA! @NASA @NASAedu @WomenNASA @NASAexplores @NASASocial !",0,1,2015-04-10 15:25:33
"RT @NASAedu: Are you a #comm_college student interested in #STEM careers @NASA? Apply 4 #NCAS2015! Details: http://t.co/NOipAH8Zpw http://t…",9,0,2015-04-09 16:18:50
"Thinking of #STEM and want to work at @NASA?! Check out our current opportunities http://t.co/TTb0bwy3z0 #NASAPeople http://t.co/t6H5KtEa05",4,7,2015-04-09 12:40:20
"RT @SingularityIs: '@sldewit: #Sketchnote: @nasa_roman on seeing culture from space #PICsummit @NASApeople @NASAGoddard http://t.co/SkBsEbJ…",3,0,2015-04-08 20:37:42
"@EllenStofan 'In our lifetime, we may very well finally answer whether we are alone in the  solar system and beyond' http://t.co/iK5m6GrixF",0,0,2015-04-08 15:56:49
"RT @NASA: This is one special delivery! It's the first #3Dprinted items from @Space_Station: http://t.co/l87IkelDNZ http://t.co/UdBvRnLPbj",679,0,2015-04-08 15:50:17
