tweet,retweetsCount,favoritesCount,timestamp
"RT @Space_Station: .@SpaceX #Dragon w/#YearInSpace @ISS_Research headed for Friday capture by @AstroSamantha... http://t.co/ugCaVV6Xg5 http…",108,0,2015-04-14 20:58:09
"RT @Space_Station: After rocketing to space, #Dragon unfurls solar arrays. Arrives @Space_Station Friday ~7am ET. http://t.co/T9bIlrqfLo ht…",186,0,2015-04-14 20:27:26
"RT @Space_Station: First stage separation of @SpaceX rocket carrying #Dragon, main engine cut off... http://t.co/Ue5FfwuXf4",263,0,2015-04-14 20:16:04
"RT @Space_Station: Liftoff of @SpaceX #Dragon carrying new science for #YearInSpace crew! http://t.co/gFjofTa1wT",264,0,2015-04-14 20:13:01
"RT @Space_Station: .@SpaceX #Falcon9 rocket on internal power, strongback retracted. #Dragon 'GO' for launch... http://t.co/ii1tlr64Fx",95,0,2015-04-14 20:09:51
"RT @Space_Station: Weather officer optimistic for 4:10pm ET @SpaceX #Dragon liftoff. Team polls 'GO' for launch. http://t.co/To77udpFre",85,0,2015-04-14 19:59:16
"RT @Space_Station: The @SpaceX #Dragon spacecraft sits inside the top of the Falcon 9 rocket at the launch pad in Florida. http://t.co/kGQj…",102,0,2015-04-14 19:26:37
"RT @Space_Station: .@SpaceX launch remains at 60% 'go' with concerns for anvil and cumulus clouds... http://t.co/mhO3Mx9m05 http://t.co/KAb…",62,0,2015-04-14 19:15:43
"RT @Space_Station: Watch @NASA TV now for live coverage of @SpaceX #Dragon launch set for 4:10pm ET (8:10 GMT)... http://t.co/C7LVQGyw5P ht…",72,0,2015-04-14 19:03:28
"RT @Space_Station: .@SpaceX preps for 2nd launch attempt. Crew studying long-term microgravity affects on life... http://t.co/h1UpVKKFQC ht…",150,0,2015-04-14 17:49:42
"RT @StationCDRKelly: Out of the #blue, good morning from @space_station! #YearInSpace http://t.co/rS4sDEoVHF",280,0,2015-04-14 15:43:21
"RT @StationCDRKelly: I can see my house (and @NASA_Johnson) from @Space_Station! #Houston #YearInSpace http://t.co/OFh1wihvit",415,0,2015-04-14 00:11:50
"RT @Astro_Cady: I'm @MIT with 90 high school girls who will soon turn TECH on its side, starting with @GAINSnetwork Girls in #STEM!! http:/…",31,0,2015-04-14 00:10:22
"RT @AstroKarenN: I was never able to get a good, cloudless view of Scandinavia when I was on ISS. This is great! #norwegianheritage https:/…",47,0,2015-04-14 00:10:06
