tweet,retweetsCount,favoritesCount,timestamp
"RT @NASAJPL: Celebrate #EarthDay with @NASA online + in person http://t.co/HXqPATZJaE #NoPlaceLikeHome #EarthRightNow http://t.co/9q80Frx6PR",171,0,2015-04-14 23:41:29
"RT @MetroDenverEDC: CO is home to 8 of the nation’s top aerospace pioneers, including: @LockheedMartin @ulalaunch @BallCorpHQ @Boeing @nort…",10,0,2015-04-14 23:20:03
"RT @NASA: Three months until humanity's first close up encounter w/ Pluto &amp; its moons: http://t.co/Bd1ep9dLjg @NASANewHorizons http://t.co/…",1343,0,2015-04-14 23:09:19
"Congrats @SpaceX and @NASA team on a successful launch!",47,120,2015-04-14 21:47:49
"RT @RickAmbroseSSC: Space fans keep stopping by to take photos with the @NASA_Orion #EFT1 panel. I snuck into this pic, too. #31SS http://t…",8,0,2015-04-14 21:46:52
"RT @MayaJRodriguez: At #SpaceSymposium, @LockheedMartin brought part of @NASA_Orion shield; another #Orion to be built. #Mars #9NEWS http:/…",30,0,2015-04-14 21:46:47
"@walker1244 Orion experienced temps of 4,000 degrees Fahrenheit during re-entry",0,0,2015-04-14 21:46:27
"@vinnycent09 it's from both",0,0,2015-04-14 19:04:19
"@#31SS #Orion's EFT1 spacecraft's back shell; protected upper portion of the crew module from intense heat on return http://t.co/9dyTUpUKio",22,26,2015-04-14 18:46:13
".@LockheedMartin's Larry Price shows #Orion hardware being built for EM1, our next flight, @NASAglenn http://t.co/RoIr2CgDwV",16,27,2015-04-14 15:30:45
"#Orion program manager Mark Geyer talks to a full room @NASAglenn http://t.co/XN6rbXxxMR",12,23,2015-04-14 15:17:05
"RT @NASAglenn: .@NASA_Orion's Mark Geyer presents Mission highlights today @NASAglenn. http://t.co/hkFpmNTePT",18,0,2015-04-14 15:11:17
"RT @SpaceRakes: So proud to be part of @NASA_Orion &amp; @LockheedMartin team accepting the Morrow Award for #EFT1 public outreach #31ss http:/…",14,0,2015-04-14 15:08:20
"RT @ulalaunch: Congratulations to the #Orion team for winning the Douglas S. Morrow Public Outreach award  #31SS @NASA_Orion @LockheedMarti…",13,0,2015-04-14 13:26:15
"Good morning Cleveland. #Orion team is at @NASAglenn to celebrate successful first flight! http://t.co/ZVgGCcsOMm",19,39,2015-04-14 12:54:42
"RT @SpaceflightIns: .@NASA_Orion will be assembled in the O&amp;C over the next year for #EM1 Three years will be here before we know it for 1s…",24,0,2015-04-13 16:46:22
"RT @NASA_Langley: Coming Wed., April 15, noon ET - @NASCAR @JimmieJohnson &amp; @NASA expert on aerodynamics - race cars vs Mars landing. http:…",29,0,2015-04-13 16:32:25
"RT @LockheedMartin: VIDEO: It's time to go further. The next space age starts now…  #SpaceSymposium http://t.co/cDDt1eKjDM http://t.co/eRFd…",95,0,2015-04-13 16:27:04
"RT @boucher_timothy: I have 3d printed the future of space flight!!! Check it out! @NASA_SLS @NASA @NASA_Orion http://t.co/zfA14mu6nu",26,0,2015-04-12 05:16:30
"RT @spacecitychick: The @NASA_Orion team meets at the crew module on display @SpaceCenterHou after the #JourneyToSpace screening. http://t.…",25,0,2015-04-12 05:14:31
"RT @NASA: All weekend, we’re celebrating 25 years of @NASA_Hubble on our @NASA Instagram: http://t.co/s3ME54anPZ #Hubble25 http://t.co/8QIf…",3274,0,2015-04-11 19:20:20
".@MrKilpatrickTHS @SpaceCampCur8r Circles are areas where Avcoat was drilled and plugged during initial construction",9,11,2015-04-10 23:07:25
"RT @SpaceCampCur8r: @MrKilpatrickTHS @NASA_Orion Did better than they thought, lots of margin! Contrast between char &amp; not is striking. htt…",27,0,2015-04-10 23:06:15
"RT @SpaceCampCur8r: More of @NASA_Orion's heat shield. You can see the char layer. Metal disk in background is interface with booster. http…",65,0,2015-04-10 23:06:08
"RT @SpaceCampCur8r: The EFT-1 @NASA_Orion heat shield. @NASA_Marshall machining it for samples to see how it performed! Then on to Ames! ht…",38,0,2015-04-10 23:06:06
