tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: And liftoff of @SpaceX's mission to @Space_Station stocked w/ 4,300 lbs of #ISScargo. Watch: http://t.co/KX5g7yYnYG http://t.co/p…",1334,0,2015-04-14 20:16:38
".@NASANewHorizons Spacecraft Nears Historic July 14 Encounter with #Pluto: http://t.co/nc0E9dEZWX http://t.co/mFOJuMl1Lg",6,16,2015-04-14 20:15:39
"RT @NASA: It's launch day! @SpaceX #Dragon is set to liftoff at 4:10pm ET. Weather is now 60% 'go.' http://t.co/JXXZTcAevD http://t.co/B5fC…",835,0,2015-04-14 18:16:54
"RT @NASA: Synthetic muscles that could be used in robots will launch to @Space_Station today. Details: http://t.co/nOayuabU7k http://t.co/V…",597,0,2015-04-14 18:16:31
"Massive Tank for #SLS Advanced Booster Concept Moves to Mississippi for Testing: http://t.co/oL2ectLNCC @Dynetics http://t.co/YQuGET9yjT",15,16,2015-04-14 16:26:00
"NASA @MarsRovers Weather Data Bolster Case for Brine: http://t.co/yiMfZblM5I http://t.co/Gm6ruuHlzT",5,10,2015-04-14 14:59:54
"5 Cool Projects that Prove #NASA is Moving Into the Future: http://t.co/bReJdwl26N",5,9,2015-04-14 14:48:29
"From @SpaceflightIns: Work platform for #SLS delivered to @NASAKennedy: http://t.co/zovo0VgaRI",0,3,2015-04-14 14:43:14
"RT @NASA: Next @SpaceX #ISScargo launch opportunity is Tuesday at 4:10pm ET. Weather is 50% 'go.' More: http://t.co/JXXZTcAevD http://t.co/…",459,0,2015-04-14 14:18:59
"RT @NASA: Saturn seethes with epic storms every 30 years. Why? New study explains: http://t.co/NXzt251nLh @CassiniSaturn http://t.co/J5iLFM…",928,0,2015-04-14 14:18:55
"We are excited to be a part of @RoverChallenge this weekend! http://t.co/kutK4F6Sf8 http://t.co/IEg1hgLnsi",4,5,2015-04-13 16:26:56
"These little fans get excited as they push the red button to launch a rocket! #studentlaunch #mavchallenge http://t.co/0GZRw95MtO",7,7,2015-04-11 16:33:04
"We love watching these rockets fly on this beautiful day! #StudentLaunch @OrbitalATK http://t.co/0XKmifrACR",6,25,2015-04-11 15:39:21
"RT @BoosterBud: Been a perfect day for rocket launches at Bragg Farms for @NASA_LaunchFest #StudentLaunch http://t.co/8hzc3FQtzB",13,0,2015-04-11 15:21:57
"RT @NASA_Marshall: A big crowd has gathered to watch @NASA_LaunchFest - #NASAMarshall's Emmett Given took this great photo! @OrbitalATK htt…",23,0,2015-04-11 15:14:07
"RT @NASAPrize: First #StudentLaunch rocket is off! Tune in http://t.co/zfy6Xj10yx #whoosh #MAVprize http://t.co/k1n9kc4jbF",11,0,2015-04-11 14:34:35
"RT @NASA_LaunchFest: Good Morning! We are getting ready for today's student launch - stay with us today as we bring you the latest from Bra…",7,0,2015-04-11 12:50:21
"@AlphaEpic11 We have lots of experience with the booster separation motors from 135 shuttle launches and testing/analysis to back that up.",2,1,2015-04-10 20:54:00
