tweet,retweetsCount,favoritesCount,timestamp
"Что это за место и где оно находится? #МКС (What/where is this Place? #ISS) #BlueDot http://t.co/n0u8KKoiTW http://t.co/6gkNTlZEdc",18,34,2015-04-14 23:29:13
"#Мост Рион-Андирион #Греция #МКС (Rio–Antirrio #Bridge #Greece #ISS) #BlueDot http://t.co/dB6oDE5lk3 http://t.co/evYVrEGL8M",34,42,2015-04-13 23:35:14
"Облака #МКС (Clouds #ISS) #BlueDot http://t.co/8TKrazgkGs http://t.co/uVqiW8BS4B",36,57,2015-04-13 00:07:53
"RT @fka_roscosmos: Возложение цветов к мемориалам С.П.Королёва и Ю.А.Гагарина у Кремлевской стены в знак вечной памяти и благодарности http…",65,0,2015-04-12 17:14:57
"RT @AntonAstrey: Поздравляем всех землян с Днём космонавтики: http://t.co/ujrD6NaD1W // Congratulations on Cosmonautics Day! http://t.co/Sa…",151,0,2015-04-12 17:14:29
"RT @fka_roscosmos: 12.04.1961г. сбылась самая дерзкая мечта человечества. 108 минут полета Ю.Гагарина изменили мир! С Днём космонавтики!htt…",346,0,2015-04-12 17:12:48
"Поздравляю всех с Днём Космонавтики! (Cosmonautics Day, April 12) http://t.co/NrPZHe3tRZ http://t.co/VeeqO7qiWU",72,64,2015-04-12 12:14:12
"Эгейское море #МКС (Aegean Sea #ISS) #BlueDot http://t.co/5j88rYuyc3 http://t.co/0UEsvsFGG0",78,87,2015-04-11 00:41:00
"RT @saidpvo: Космонавт Олег Артемьев на презентации книги Золотой век космонавтики @OlegMKS http://t.co/4vERB0UMqo",3,0,2015-04-10 20:16:55
"RT @saidpvo: Презентация книги Золотой век космонавтики @OlegMKS http://t.co/vrmgWQdbFp",5,0,2015-04-10 20:16:50
"#Пролив #Тиран #Египет #МКС (#Straits of #Tiran #Egypt #ISS) #BlueDot http://t.co/zeVFSDFiNi http://t.co/SdwsfUcUj0",18,34,2015-04-09 22:06:57
"Пролив Ла-Манш #МКС (English Channel #ISS) #BlueDot http://t.co/zl7xWu9zrZ",6,8,2015-04-08 23:28:46
"Над Землёй... #МКС (Over the #Earth...  #ISS) #BlueDot http://t.co/tujgIR1fQY http://t.co/6bmeyRlvsQ",62,59,2015-04-07 23:21:35
"#Пустыня в #Иран #МКС (#Desert in #Iran #ISS) #BlueDot http://t.co/NwKrYzIxHc http://t.co/xxOt5tTyIt",26,30,2015-04-06 22:47:19
"#Египет #озеро Вади аль-Райан #МКС (#Egypt: Wadi El Rayan #Lake #ISS) #BlueDot http://t.co/DZBdrX2xmU http://t.co/QfosdRFQB7",28,34,2015-04-06 13:48:15
"RT @AntonAstrey: Сделал новую запись в блоге: http://t.co/9UMzhOXdue // My new post in 'The ISS Mailbox' blog: http://t.co/HxAjDwv9h3 http:…",58,0,2015-04-06 13:23:55
"#Города #Россия #Магнитогорск #МКС (#Cities in #Russia #Magnitigorsk #ISS) #BlueDot http://t.co/tgRUZfmUYa http://t.co/FpmLNp6waZ",18,33,2015-04-03 12:20:27
"#Города мира #Оклахома-Сити #США #МКС (#Cities of the World #Oklahoma City #USA #ISS) #BlueDot http://t.co/N2UBxYwFBV http://t.co/VaDgq9Sn9i",13,37,2015-04-02 23:56:51
"Полярное сияние над Южным Полюсом #МКС (#Aurora over the South Pole #ISS) #BlueDot http://t.co/V2A3zgNc0l http://t.co/U02OzJ00pI",47,50,2015-04-01 22:56:07
"Чистка зубов на #МКС (Tooth Brushing in #Space #ISS) http://t.co/dHDOQl9I1b http://t.co/RRIMy3QI9h",24,36,2015-03-31 22:46:15
"RT @AstroTerry: A clear moonlit Mediterranean turns into an impressive #thunderstorm over Turkey. https://t.co/S5BeysqJUg",950,0,2015-03-31 18:34:56
"#Города #Россия – #Невинномысск #МКС (#Cities in #Russia – #Nevinnomyssk #ISS) #BlueDot http://t.co/vn7JzpJGs7 http://t.co/9zp1uoNoe8",16,40,2015-03-31 00:12:10
"RT @AstroTerry: Amazing amount of power in these central African thunderstorms. https://t.co/RKDVe1wWev",1009,0,2015-03-30 08:52:25
"#Самолёт над голубым #океан #МКС (The #Plane over the blue #Ocean #ISS) #BlueDot http://t.co/o5mjfCUSed http://t.co/LqvFJdBAXB",34,37,2015-03-29 23:15:43
"#Остров #Гуам, южная часть #МКС (Southern Portion of #island of #Guam #ISS) #BlueDot http://t.co/ktxzs5GPE2 http://t.co/NTbYhklZNm",24,47,2015-03-28 21:37:18
"@Krasivayakniga пришел Ваш запрос, дали добро, как с Вами связаться? оставьте тут ваши координаты.",0,0,2015-03-28 20:43:44
"RT @rianru: Экипаж корабля «Союз ТМА-16М» после стыковки с МКС перешёл на станцию http://t.co/lSpZgDND1X http://t.co/tDpTeZ0uVP",82,0,2015-03-28 09:38:48
"RT @Space_Station: Expedition 43 expands to 6 crew members with #YearInSpace duo &amp; G. Padalka... http://t.co/VSiNBfLpi5 http://t.co/4mriQj2…",307,0,2015-03-28 09:35:25
"RT @riascience: Роскосмос и НАСА договорились о продлении срока жизни МКС до 2024 года и о совместной работе по марсианской миссии: http://…",33,0,2015-03-28 09:34:55
"RT @ShuttleAlmanac: VIDEO - #SoyuzTMA16M to the #ISS &amp; Soyuz #VS11 #Galileo http://t.co/lg9eNreGeT or here http://t.co/zYJbbqcp7y http://t.…",23,0,2015-03-27 22:37:13
"Города мира #Зебрюгге #Бельгия #МКС (#Cities of the #World #Zeebrugge #Belgium #ISS) #BlueDot http://t.co/PBTYZ72PjH http://t.co/wdauZYYMlo",17,35,2015-03-27 22:32:49
"Корабли и #океан... #МКС (Ships in the #Ocean... #ISS) #BlueDot http://t.co/gHv0HSBlAf http://t.co/3Qxipu82Iz",41,42,2015-03-26 21:10:29
"RT @GazetaRu_Sci: Космонавт о полете Сары Брайтман на МКС: приятная девушка прилетит #наука http://t.co/fCh36p6sV4",13,0,2015-03-26 17:38:09
"@aalushnikov @chainyofficial оставьте тут какие-нибудь свои координаты",0,2,2015-03-26 14:42:52
"RT @RT_russian: Предстартовая пресс-конференция экипажа корабля «Союз ТМА-16М» — ПРЯМАЯ ТРАНСЛЯЦИЯ http://t.co/4fGVqxQEfq http://t.co/h9GA4…",36,0,2015-03-26 12:56:25
