tweet,retweetsCount,favoritesCount,timestamp
"Can't wait to learn more about Keith's journey! Guaranteed to be an inspiring evening. https://t.co/rv4273Ga8o",0,0,2015-04-14 17:07:28
"Purchased this @UCalgary PUSH Art Exhibition. Do you believe in the communicative power of art?http://t.co/rla5TGuyoG http://t.co/sdoFqIsJYk",0,1,2015-04-10 22:37:07
"Did you know @UCalgaryLibrary is home to a Visualization Studio that features a 34.5 million pixel display wall? http://t.co/KVRmsbF3x2",7,1,2015-04-08 19:35:58
"Get connected! #LectureofaLifetime is the perfect opportunity to network with 350+ academic and community leaders. http://t.co/QRux9slw7q",7,1,2015-04-02 16:58:20
"@Astro_Clay Those qualities apply to all of the Group 17 Astronauts. Who said Penguins can't fly!?",0,0,2015-04-01 20:00:20
"@Astro_Clay Ha! You are too kind, Astro Clay. Roger and I both wear eyeglasses. He sculled a boat to a gold medal while wearing them.",0,0,2015-04-01 19:06:28
"Last week I finally got to meet one of my Canadian Olympic heroes –  Roger Jackson! Guess what we have in common? http://t.co/vveO3frszB",1,0,2015-04-01 15:10:03
"Free on April 16? Join me for an inspirational evening with @UCalgary_Arts professor Keith Dobson http://t.co/QRux9slw7q #LectureofaLifetime",6,1,2015-03-31 16:11:39
"Amazing time @UCalgary Teaching Awards last night. So proud of our outstanding faculty and staff! http://t.co/EiQQn6vWDx",0,2,2015-03-25 17:50:42
"Thrilled Keith Dobson is delivering 2015 Lecture of a Lifetime. Will be an inspiring evening you won't want to miss! http://t.co/QRux9slw7q",5,0,2015-03-23 15:46:45
"RT @UCalgary: University partners with city in first-of-its-kind wastewater research facility @cityofcalgary http://t.co/lBbhb2gh2X http://…",6,0,2015-03-18 16:58:33
"RT @UCalgary: University partners with city in first-of-its-kind wastewater research facility. http://t.co/mlObBxWuy3",10,0,2015-03-17 19:20:29
"RT @UCalgary: Getting ready for the #ACWAyyc launch. Big day for #UCalgary and @cityofcalgary #abpse #WaterIs #CanH2O http://t.co/8SVnXOUyoh",6,0,2015-03-17 19:01:50
"RT @UCalgary: Last chance to apply to join the University of Calgary Senate. Deadline today! http://t.co/68m5m2Uk15",4,0,2015-03-16 16:32:13
"Proud of @UCalgary? Enjoy getting involved in the community? We're looking for senators like you. Apply before Mar 16 http://t.co/nGpVyVvbdZ",7,3,2015-03-13 19:42:37
"Want to be part of an amazing club that brings together community, business &amp; academic leaders? Find out more http://t.co/QQ1RVuFUBp",1,1,2015-03-12 22:33:48
"@HolyFamilyRD thanks for thinking of me. Is there a direct line my office can contact for more information?",0,0,2015-03-11 18:22:56
"Interested in what I've been up to lately as @UCalgary chancellor? Check out the latest posts on my blog. http://t.co/vveO3frszB",8,3,2015-03-11 16:36:06
"RT @catherinejclark: It's s snowy day in beautiful #Calgary &amp; about to do the 1st interview of new #Astronaut series for @CPAC_TV w the rem…",3,0,2015-03-09 22:15:42
