tweet,retweetsCount,favoritesCount,timestamp
"RT @rad_buddha: The silhouette of @RobertaBondar photographing Dinosaur Provincial Park @CanadianBadland #mybadlands http://t.co/mrkts6YBhZ",4,0,2015-04-01 01:44:07
"RT @FirstCanadianPl: Dr. @RobertaBondar - Canada’s First Woman in Space returns to the @FirstCanadianPl Gallery with #SavannahSurvivors htt…",4,0,2015-04-01 01:42:35
"RT @IUCN: Pollinating birds &amp; mammals declining - more species moving towards extinction than away from http://t.co/xTwfMllCU5 http://t.co/…",110,0,2015-03-15 20:27:56
"Spring is here #birders check out @Rbondarfdn  http://t.co/43bJd5SmxG  Gotta love love bird observation and photography",0,1,2015-03-15 20:26:21
"Thank you #Spock forever in @imax Destiny in Space bringing depth to inner and outer space You Will live long",5,5,2015-02-27 22:03:08
"Whooping Crane Festival Wrap Up http://t.co/VE5MpxL9F2",2,1,2015-02-26 21:55:27
"RT @RBondarFdn: Richard Zaidan @ParksCanada, #DrBondar @RBondarFdn, Wade Harrell, Whooping Crane Recovery Coord, Aransas NWR http://t.co/a1…",3,0,2015-02-24 15:05:50
"RT @RBondarFdn: . @RBondarFdn our President continues promoting #WhoopingCrane education http://t.co/KIvHKpIH5D",5,0,2015-02-24 15:05:32
"RT @RBondarFdn: . @RBondarFdn we see the camies are working! #WhoopingCranes are getting closer… http://t.co/daR1WIP91q",4,0,2015-02-24 15:05:23
"RT @RBondarFdn: The #BondarChallenge ! http://t.co/TZFMCx0qaL http://t.co/BwoNZGhDoY",1,0,2015-02-24 15:05:03
"RT @RBondarFdn: Fond memories of master #toy #educator Alfred Carlton Gilbert #inventions! http://t.co/qcJ2SeFNUb http://t.co/HHgTdk2hjV",1,0,2015-02-20 04:16:55
"RT @RBondarFdn: . @RBondarFdn we ask “Where’s Robirda?” http://t.co/64DOBQj4uD",2,0,2015-02-20 04:11:50
"RT @RBondarFdn: Main Wall @ArtAlgoma “Dreams &amp; Realities” – images by #Bondar &amp; #Sabiston – Now Open! http://t.co/CjnMiZijtP",5,0,2015-02-16 03:01:53
"RT @RBondarFdn: Mayor Provenzano @CitySSM greets Dr Bondar @RobertaBondar at “Dreams &amp; Realities” Opener @ArtAlgoma http://t.co/gMI2v33aIg",7,0,2015-02-16 03:01:46
"RT @RBondarFdn: What a #lesson! From Hobbyist to #Entomologist – the passionate Dru Drury! http://t.co/7o9NVkJ731 http://t.co/ihOlOSXg5i",1,0,2015-02-04 22:27:11
"@RobertaBondar @RBondarFdn send thanks to my fellow Earthlings for the good wishes on the anniversary of STS 42 liftoff",5,4,2015-01-23 02:59:40
"RT @doctorg007: On This Day in 1992: Dr. @RobertaBondar becomes the first Canadian woman and the first neurologist in space. #askdrg http:/…",9,0,2015-01-23 02:47:46
"RT @SimonOstler: On This Day in 1992: Dr. @RobertaBondar becomes the first Canadian woman and the first neurologist in space. http://t.co/5…",80,0,2015-01-22 14:07:25
"Lift Off anniversary. A remarkable pioneering adventure that inspires my Earth photography Check out http://t.co/rn8t2pM85E",16,8,2015-01-22 14:03:35
"RT @RBondarFdn: Endless #Frisbee inspirations + the #Avrocar! http://t.co/juBat0Wmqw What’s yours? http://t.co/uqLK4YHHL1",1,0,2015-01-20 21:34:08
"RT @RBondarFdn: After an amazing three months the Buhler Gallery St. Boniface General Hospital the Travelling Exhibition and... http://t.co…",1,0,2015-01-20 21:33:46
".... .- .--. .--. -.-- / -. . .-- / -.-- . .- .-. If you can't read this check out why @RBondarFdn http://t.co/RDVdH4QAFf",2,0,2015-01-07 02:46:37
"@AstroNutRayB Back to you All and to All a Good Night The best in 2015",0,0,2014-12-19 19:23:39
