tweet,retweetsCount,favoritesCount,timestamp
"Can't make today's press briefing? Follow @newhorizons2015 or the countdown to #Pluto on New Horizon’s website: http://t.co/c4Y4GVGymx",9,14,2015-04-14 17:43:04
"@NASA New Horizons spacecraft is on its way to #Pluto. WATCH press briefing now http://t.co/5OHR3HwgEE # http://t.co/o7Ly7Wldrl",0,2,2015-04-14 17:41:31
"The TRMM Rainfall Mission Comes to an End after 17 Years  #NASA http://t.co/B3gRzlFixh",1,4,2015-04-13 12:16:51
"RT @NASA: All weekend, we’re celebrating 25 years of @NASA_Hubble on our @NASA Instagram: http://t.co/s3ME54anPZ #Hubble25 http://t.co/8QIf…",3276,0,2015-04-12 17:13:46
"Just about to start a panel on basic science research at the American Physical Society with Norm Augustine http://t.co/drT7OsVFKk",1,12,2015-04-11 17:39:50
"95 days until New Horizons reaches #Pluto but today we are talking about it on Google Hangout #WeTheGeeks https://t.co/g7NneGTI3D",36,39,2015-04-09 16:35:18
"@NASASMAP should be spinning up today to full speed to measure global soil moisture. http://t.co/bBMPQSAvDc",2,5,2015-03-26 13:32:15
"Perfect verse for the #JWST hearing. On the wall of the House Science subcommittee room. #NASASocial http://t.co/T3V1IfmaG4",28,38,2015-03-24 13:48:56
"At 1000am EDT I am testifying before Congress on the status of #JWST  the observatory that will unravel the mysteries of the Universe",17,18,2015-03-24 13:10:03
"@astro_reid and @sciastro at #sxsw #NASASXSW #ISS and @NASA_Hubble together http://t.co/STVVNOHLAN",14,24,2015-03-16 00:34:40
"Strange exploration of plumes on #Enceladus usually done by the #Cassini spacecraft at Saturn.   #SXSW #NASA http://t.co/y6TdbRQF6r",16,23,2015-03-15 20:51:46
"@NASASolve booth at #SXSW future solvers helping to hunt for asteroids. #nasa http://t.co/e4bKNEbMGA",1,7,2015-03-15 20:42:13
"RT @astraughnomer: T-2 hours til #Hubble25 panel w/ @SciAstro @JasonKalirai @albertoconti JWMarriott Salon 2 5pm, come see us! #NASASXSW ht…",29,0,2015-03-15 20:40:41
"Talking with reporter Kurt Wagner of @Recode at #SXSW http://t.co/5jO8q0de3G",5,10,2015-03-15 19:45:35
"Speaking tonight at @sxsw about #Hubble and #jwst 5pm #NASASXSW",33,46,2015-03-15 18:23:11
"I know it's an irrational reason to celebrate but HAPPY PI DAY!",56,79,2015-03-14 20:16:06
"JPL | News | Let It Go! SMAP Almost Ready to Map Frozen Soil http://t.co/aQJQJcNTsz",4,2,2015-03-14 17:02:10
"#Hubble discovery of an ocean on #Ganymede is breaking records in public interest.  Why not? everyone is interested in: Are we alone?",17,14,2015-03-13 19:44:28
"RT @NASAKennedy: Main engine cutoff as planned for Centaur stage. @NASA_MMS enters coast phase of 58 minutes, 58 seconds before second burn…",132,0,2015-03-13 02:59:06
"RT @NASA_LSP: Main Engine Cutoff (MECO) of the 1st Centaur Burn has occurred. 1 burn down, 1 to go! #Atlas5 #MMS #MagRecon",10,0,2015-03-13 02:58:31
"In second stage on the Centaur heading to orbit for @NASA_MMS",2,7,2015-03-13 02:49:51
"Liftoff of the #AtlasV carrying the 4 #NASA_MMS spacecraft to study magnetic reconnection. Go MMS!",5,7,2015-03-13 02:44:26
"Go for @NASA_MMS launch T-4 min. Go #MMS GO #ALTLAS. http://t.co/BDQj4eZx44",4,5,2015-03-13 02:40:20
"In the planned T-30min hold for @NASA_MMS launch",5,4,2015-03-13 02:12:27
"Watch @NASA_MMS launch live (- speed of light delay) on #nasatv http://t.co/L2ljL3Cn3W",2,9,2015-03-13 01:45:41
"Every rocket launch is exciting but this one is really Electric, or more accurately Magnetic @NASA_MMS T-1 hour to launch.",2,5,2015-03-13 01:43:04
"RT @NASA: Just what is @NASA_MMS and what is it studying? This video covers the basics: http://t.co/CDrcMzp1LX #MagRecon http://t.co/qRBvDT…",339,0,2015-03-13 01:40:37
"Frank Cepollina of #HST fame receiving the #Sagan award from the American Astronautical Society #NASA http://t.co/DDNMUhsKxu",0,1,2015-03-11 17:51:10
"It's a new #Dawn for #Ceres as we enter orbit around the first dwarf planet humanity has visited.  #Dawn_Ceres http://t.co/kvRcP1rQ7m",33,23,2015-03-06 14:07:46
"RT @NASA_Dawn: Downlink has begun! We're analyzing the signal to confirm that the spacecraft is healthy and in orbit at #Ceres http://t.co/…",1366,0,2015-03-06 14:04:57
