tweet,retweetsCount,favoritesCount,timestamp
"Congrats @SpaceX and @NASA team on a successful launch! Watched with my crewmates aboard #ISS. #YearInSpace http://t.co/kVeCevGCjQ",570,1233,2015-04-14 21:10:36
"#Tajikistan heights casting shadows. #YearInSpace http://t.co/2NIRIshEJP",185,443,2015-04-14 17:55:29
"Out of the #blue, good morning from @space_station! #YearInSpace http://t.co/rS4sDEoVHF",280,690,2015-04-14 13:36:06
"I can see my house (and @NASA_Johnson) from @Space_Station! #Houston #YearInSpace http://t.co/OFh1wihvit",415,889,2015-04-14 00:05:15
"This #butterfly caught my eye while flying high above the #gulfofmexico. #YearInSpace http://t.co/uvfjybUAtp",953,1593,2015-04-13 16:56:11
"Not sure what is going on on this beach in #Mexico but it's a striking image. #YearInSpace http://t.co/RUQwMk7F2R",372,713,2015-04-12 22:27:42
"Putting around Earth @ 17,500MPH and tried to get pic of #AugustaNational on #MastersSunday from #ISS but too cloudy. http://t.co/jEFa357UKA",246,516,2015-04-12 22:07:02
"Honored to celebrate the anniversaries of the 1st human in space &amp; 1st #spaceshuttle mission while aboard #ISS today. http://t.co/sQhfpWhwYO",737,1167,2015-04-12 19:20:25
".@CmdrNinja 800mm with a 1.4 magnifier so 1120 effectively.",27,92,2015-04-12 11:02:39
"#Mumbai. Good afternoon from the #ISS. I hope to visit you someday. #YearInSpace http://t.co/yeqwWZa3bJ",656,661,2015-04-12 10:55:06
"Just flew over #NYC. One of my favorite places on Earth and yes, we have a very big lens. #YearInSpace http://t.co/fZfwqSR9R4",1787,2662,2015-04-11 23:30:09
"#Earth is breathtaking. #YearInSpace http://t.co/1Uhw9K6xFu",4057,6250,2015-04-11 21:21:17
"Hopefully this is pollen or algae and not something man made. #YearInSpace http://t.co/FRCUOCWBPS",254,495,2015-04-10 22:46:39
"#Riodejaneiro You seem to have much to offer. Need to see up close someday. #YearInSpace http://t.co/YG1h1tLhUT",159,379,2015-04-10 17:54:42
".@OfficialJLD @FallonTonight @jimmyfallon No HBO or #Veep yet. Have ever #Seinfeld episode though, but bet you're tired of hearing that.",33,116,2015-04-10 15:57:32
".@OfficialJLD @FallonTonight @jimmyfallon Julia, yes, people look so tiny you can't see them. Continents still pretty large.",39,144,2015-04-10 13:06:54
".@FallonTonight @OfficialJLD I can hear u. I also read lips better than @JimmyFallon Doing great! Ask again Oct. I'll be here #YearInSpace",138,489,2015-04-09 23:48:04
"Madagascar drains its red mud into the Indian Ocean. #YearInSpace http://t.co/LM6ZT7ZNt2",238,534,2015-04-09 20:59:41
"#Himalayas. What icy veins you have. #YearInSpace http://t.co/C94vLDu3jy",624,1043,2015-04-08 21:11:42
".@FallonTonight @jimmyfallon Good thing @amikokauderer can't text me on #ISS. I left my phone on Earth. #YearInSpace http://t.co/4FlXSkz0Kr",582,1284,2015-04-08 18:21:30
"Looks messy, but it's functional. Our #food table on the @space station. What's for breakfast? #YearInSpace http://t.co/sfXhkkdK12",442,714,2015-04-08 13:37:23
"#Patagonia never disappoints. #YearInSpace http://t.co/i5oiQqEabK",463,810,2015-04-07 18:21:14
"#Papua. Very dramatic features and jellyfish tentacles. #YearInSpace http://t.co/zCdrSQqNae",222,473,2015-04-07 13:48:27
"Morning @space_station with my coffee and news from Earth with @KHOU News Houston and @KHOULily Lily Jang. http://t.co/vsmqu0kK9k",191,525,2015-04-07 10:22:17
"@AstroTerry and I celebrating #OpeningDay and the #Astros and #Orioles being tied for 1st place! #MLB. #YearInSpace http://t.co/DAzBFUEkQ7",154,352,2015-04-06 16:20:59
"@Chinkohh Yes. That is what I am doing. Thanks for your question.",1,27,2015-04-06 08:38:11
"#Australia. You are very beautiful. Thanks for being there to brighten our day. #YearInSpace http://t.co/0alQD01hY7",1687,3016,2015-04-06 06:57:40
"The #EasterBunny came to visit! #HappyEaster from #ISS. #YearInSpace http://t.co/5wcz0xnopZ",2713,4326,2015-04-05 17:10:48
"Good morning #LosAngeles. Enjoyed the #SpotTheStation photos. Thanks! Here's our perspective.#YearInSpace http://t.co/6chcQzzaHd",525,954,2015-04-05 15:31:35
"Good morning Southern #Florida from the #ISS. #YearInSpace http://t.co/iYBgDtpQqV",812,1389,2015-04-05 12:21:17
"Enjoying Saturday evening dinner with @AstroTerry on the #ISS http://t.co/eg1pVmuTO9",656,1608,2015-04-04 22:33:17
"Good morning #Texas from the #ISS. Looks like #Houston and #Austin have some #weather headed your way. #YearInSpace http://t.co/boDVsCY9vX",3279,4621,2015-04-04 13:12:06
"#FlashbackFriday Got my 1st EMT training at 16. Emergency medical training on #ISS keeps me 35 years proficient. http://t.co/kllHWMMf5i",134,486,2015-04-03 19:45:39
"#ISS emergency medical training. One thing you don’t mind your crew mates being better than you at. #yearinspace http://t.co/PU6rUFjAMc",181,432,2015-04-03 18:09:46
"Great talk w @NASA's Charlie Bolden, @WhiteHouse John Holdren &amp; my brother @Shuttle CDRKelly on #yearinspace #science http://t.co/Usv7WdTC9x",110,230,2015-03-31 18:13:36
"RT @NASA: Long distance call on #YearInSpace w/ @StationCDRKelly on @Space_Station. Watch at 2:45pm ET: http://t.co/KX5g7yYnYG http://t.co/…",579,0,2015-03-30 18:35:25
"RT @FLOTUS: We have liftoff! @StationCDRKelly just launched for the @Space_Station on his #YearInSpace. Good luck, Captain. http://t.co/bNS…",1591,0,2015-03-30 14:14:50
".@FLOTUS Thank you. Made it! Moving into crew quarters on @space_station to begin my #yearinspace. http://t.co/jhoj7ltaV6",558,1283,2015-03-30 14:14:23
