tweet,retweetsCount,favoritesCount,timestamp
"Le panneau de contrôle de la centrifugeuse: qui veut appuyer sur 'Gmax'? / Centrifuge ctl panel. Don't press Gmax! http://t.co/m78E7vjuXy",11,21,2015-04-14 14:44:05
"@basketusa si les Spurs cartonnent en cette fin de saison, c'est qu'ils appliquent les méthodes de la NASA! http://t.co/oS02r9oOzW",23,10,2015-04-14 10:20:33
"RT @SPACEdotcom: IceMole Drill Built to Explore Saturn's Icy Moon Enceladus Passes Glacier Test http://t.co/gapvbrpzw4 http://t.co/0v575IlN…",84,0,2015-04-12 18:57:02
"Il y a 54 ans aujourd'hui, Gagarine décollait pour le 1er vol spatial! Aujourd'hui l'aventure continue, avec vous! http://t.co/q6mcu1cYoS",26,23,2015-04-12 12:03:07
"Happy #GagarinDay everyone! 54 years ago, an amazing adventure started. 2day I need u to keep it going: do your part! http://t.co/Xa5HFzqiTL",111,85,2015-04-12 11:59:14
"@Speedy_Geee Nice! I love it",0,0,2015-04-10 13:42:30
"Learned the hard way today in the gym that knowing where you towel is can be paramount #DontPanic CC @AstroSamantha http://t.co/hnMvDlsdHa",16,49,2015-04-10 13:42:06
"Hard workout today; I forgot my towel, here's what Andre (fitness expert) came up with! #Shenanigans09 #FitForSpace http://t.co/utqMyrDxkB",17,33,2015-04-10 13:28:12
"It was my pleasure to do extra sets for you, after my normal workout was over ;) #FitForSpace https://t.co/1WTjnva6Md",2,12,2015-04-10 10:53:32
"RT @sebvuagnat: La rencontre @Thom_astro / @tonyparker, ce soir dans le #19.45 de @m6info ! @karelleternier @NASA_Astronauts @esa http://t.…",6,0,2015-04-09 15:27:22
"Science fiction? not quite: @ESAcleanspace is working on technologies to capture derelict satellites with a net! http://t.co/41lnHSJjMs",6,13,2015-04-09 10:28:00
".@Jana24696339 @LiNa8294 Find a friend who lives in Europe to submit it for you!",1,2,2015-04-08 13:27:16
".@astrojetgirl That's a great idea!",1,3,2015-04-08 13:25:44
".@frazsazsa @esa No, preferably no 'ISS' in the name. And ideally a name that exists or is similar in both languages",2,3,2015-04-08 13:23:23
"Not having much imagination, I need all the help I can get to #NameThatMission! (and a new haircut too :)) https://t.co/FCIbQsvDLZ CC @esa",23,34,2015-04-08 12:52:30
"Plus que quelques jours pour trouver un nom de mission qui m'accompagnera dans l'espace! https://t.co/2soilrJUhz CC @CNES @ESA_fr",14,14,2015-04-08 12:50:12
"In true french tradition, I offer to contribute a rocket to your lego space program @Astro_Andreas @CERuge @LEGOIdeas http://t.co/srwZbNewVK",17,50,2015-04-07 15:28:56
"Si vous l'aviez manquée: quelques photos de la visite de @theborisdiaw et @tonyparker  à @NASA_Johnson (MT) http://t.co/Cw4XFVHhuL",23,23,2015-04-07 07:27:51
"RT @vr_doug: Visitors @tonyparker @theborisdiaw under VRLab's helmet, training like an  Astronaut! Go @spursfeed ! @NASA_Johnson http://t.c…",37,0,2015-04-04 16:49:59
"RT @ESA_Italia: Nome cercasi.. per la missione di @Thom_astro   RT @esa: Wanted: a mission name - INFO  http://t.co/IA3YSqYNYW http://t.co/…",2,0,2015-04-04 16:48:51
"RT @ESA_nl: De missie van ESA-astronaut @Thom_astro heeft nog geen naam. Heb jij een goed idee? Dien 'm in http://t.co/QxTGFEc0C5 http://t.…",11,0,2015-04-04 16:48:31
"MT @karelleternier Il aime le basket, ils sont fans d'espace. Thomas Pesquet, Tony Parker, Boris Diaw, la rencontre! http://t.co/ySYixWDisl",27,34,2015-04-04 11:21:11
"Voilà une idée pour ce début de weekend: m'aider à trouver un nom de mission avec @ESA_fr @CNES http://t.co/Xa5HFzqiTL #France #espace",15,5,2015-04-04 10:02:24
"Rainy Easter weekend? Here's some good recreation: find a name for my mission!! http://t.co/Xa5HFzqiTL",12,8,2015-04-04 09:59:06
"Wanted: a mission name for me! MT @esa Deadline for proposals 15 April. Details: http://t.co/Xa5HFz8Hvb http://t.co/YzZxyrgi3q”",91,125,2015-04-03 16:04:12
"Comment s'appellera ma mission ? Faites votre proposition @ESA d'ici le 15/04 MT @CNES http://t.co/FSbE2WxXVg http://t.co/K66f5mIKW1”",19,22,2015-04-03 16:03:23
".@theborisdiaw @NASA Come back soon, Boris!",2,4,2015-04-03 02:01:49
"RT @CNES: Vous êtes médecin ? Postulez d'ici ce soir @esa pour passer un an à Concordia #Antarctique  http://t.co/skToNLZzk7 http://t.co/Gk…",35,0,2015-04-01 16:24:13
"RT @NASA_Astronauts: @Thom_Astro &amp; @Astro_Stephanie try out different #SpaceFood combos at the JSC Food Lab http://t.co/3KOWH7x6Uk",38,0,2015-03-30 23:23:40
"Out in space, they just maneuvered rotating parts of the biggest spaceship ever built, to dock small spacecraft whose crew will stay 1 year!",18,25,2015-03-28 01:05:10
"FF pour @StationCDRKelly, qui vient de décoller pour un an dans l'espace!",12,11,2015-03-27 20:38:34
