tweet,retweetsCount,favoritesCount,timestamp
"RT @industriecanada: La députée Bateman observe le Canada de l’espace avec des étudiants de @balmoralhall  #Winnipeg http://t.co/N6JssVh3Dw",1,0,2015-04-14 22:46:12
"TT @Astro_DavidS: Le #Dragon de @SpaceX en route vers l'#ISS! Je serai capcom pour la capture ce vendredi 7h HE! http://t.co/rsebwDkIhd",0,2,2015-04-14 21:13:30
"Décollage! http://t.co/CVr1TzvBW5",3,2,2015-04-14 20:14:16
"RT @centresciences: Pour ceux qui souhaitent voir le lancement de #SpaceX​ en direct: http://t.co/VgdiiTLVnU",2,0,2015-04-14 20:11:47
"RT @pioneer_astro: #Falcon9 : décollage dans deux minutes ! Direct : http://t.co/A3OYn8gWnq #Dragon #ISS #JustReadTheInstructions",2,0,2015-04-14 20:10:00
"600 000 graines @Tomatosphere s'envolent vers l'#ISS auj. et passeront 5 sem. dans le ventre de #Dragon @ISS_Research http://t.co/piZ0j0QCgN",1,1,2015-04-14 20:03:44
"Décollage de #Dragon à 16h10 HAE. La météo étant incertaine, on estime à 60 % la probabilité de lancement. En direct http://t.co/IvxlS2xa9X",0,0,2015-04-14 19:05:47
"RT @metromontreal: La comète 67P n’est pas magnétisée, démontre l’atterrisseur Philae http://t.co/oQt2h90cs0 http://t.co/JmAO4XmH8w",6,0,2015-04-14 19:02:05
"Perspective. Construire le Système solaire à l'échelle avec @LetsTalkScience et les élèves de l'école Lucas à #ldnont http://t.co/VgUbHqaHSE",1,1,2015-04-14 18:41:26
"Recette comète: eau, terre, vinaigre, ammoniac, glace sèche! @Astro_Jeremy fait de la science avec @LetsTalkScience! http://t.co/dSQKeWuYB0",0,1,2015-04-14 18:39:32
"Super chapeau, continue de viser haut explorateur! TT @kleb79: Mon fils était très excité de rencontrer un astronaute http://t.co/Yjcrx29Eoz",0,1,2015-04-14 18:37:08
"RT @pilotedebrousse: @asc_csa tant d'espoir de croire en notre force intérieure qui nous mène aussi loin que le partage +égal avec tous dan…",1,0,2015-04-14 18:27:00
"Quel accueil! TT @rchisholm22 L'accueil de FDK à l'astronaute Jeremy Hansen à l'école Byron Northview ce matin. http://t.co/vM3dVYxX1K",0,0,2015-04-14 17:34:24
"TT @rchisholm22 Merci astronaute Jeremy Hansen pour ce matin merveilleux! #inspirant #tvdsb http://t.co/BDOaNoZLFT",0,0,2015-04-14 17:29:31
"Les élèves de Byron Northview ont travaillé très fort pour transformer leur école en 'village' spatial! #ldnont http://t.co/XyQqd2xTsR",1,0,2015-04-14 17:06:47
"Pour conclure sa 'Semaine spatiale', l'école Byron Northview tiendra une fête des étoiles avec @rasc ce soir. http://t.co/ityMioc8Uc",0,0,2015-04-14 17:01:14
"Tellement de questions! Tant de curiosité! #ExplorateursEnDevenir http://t.co/Ydmbzd0X5Z",0,1,2015-04-14 15:29:48
"TT @LetsTalkScience Question des élèves à @Astro_Jeremy: 'Seras-tu nerveux à l'idée d'aller dans l'espace?' http://t.co/efsxhnacaG",0,0,2015-04-14 15:28:48
