tweet,retweetsCount,favoritesCount,timestamp
"I can almost see hometown of my ancestors, too!! “@AstroKarenN #norwegianheritage https://t.co/rAcl4uq8ih”",4,3,2015-04-14 06:02:44
"RT @AstroKarenN: I was never able to get a good, cloudless view of Scandinavia when I was on ISS. This is great! #norwegianheritage https:/…",47,0,2015-04-14 06:01:40
"RT @CommanderMLA: #DidYouKnow More than two-thirds of current &amp; former astros have been involved with scouting (including ME, but i only ma…",8,0,2015-04-14 05:58:21
"@EddieMcClintock - When I finished today's workout, WH13 was kaput! Fortunately Judge Gail is coming to my rescue to continue story!",0,0,2015-04-14 05:53:30
"“@gstandish: @astro_aggie hey Mike?  Can you see me now?” Yes - welcome back!",1,0,2015-04-14 05:48:43
"RT @NASA: Early Saturday: Full moon should turn celestial red during a total lunar #eclipse2015. More: http://t.co/rdXaSKo2FC http://t.co/N…",2390,0,2015-04-04 04:01:03
"@OANationalChief That's a 1-of-a-kind photo!",0,3,2015-04-03 03:54:43
"This was fun day! Physics! “@spaceguy87 Since we are talking about reboosts, I have to share my favorite ISS videos. http://t.co/7obXTRsRoY”",9,14,2015-04-03 03:38:43
"Fun stuff! “@sciencemuseummn: What's your favorite space movie? See what Astronaut Mike Fossum has to say. https://t.co/ITBugKKypH”",15,33,2015-04-01 03:54:09
"@lzayn_1D I'm not an expert on Big Bang Theory, so can't comment on recent theoretical twist. Lots of theories to ponder.",0,1,2015-03-29 21:04:54
"@Cosmic_Carol Also takes time to carefully check the hatch seals to make sure there are no leaks. (Frustrating to wait so long!)",2,2,2015-03-28 19:33:32
"@NTD212 That was a quote from Leonardo da Vinci.",0,1,2015-03-28 19:16:49
"For once u have tasted flight you will walk the earth w/ your eyes turned skywards, for there you have been &amp; there you will long to return.",39,48,2015-03-28 19:16:06
"RT @AstroSamantha: Was 'hugging' docking cone on our side at docking. Cool to feel them knocking at the door! Hatch opening in few min http…",533,0,2015-03-28 06:22:31
"Oh wow!! “@AstroTerry: #Soyuz popping through the clouds with Scott, Gennady, and Mikhail on way to join us.  #Exp43 http://t.co/VqBuWEzVEu”",10,30,2015-03-28 03:49:43
"The crew is now greeting the family and friends they waved goodbye to just a short time ago! http://t.co/kjltipP6Eb",12,28,2015-03-28 03:42:28
"@StationCDRKelly and his crewmates just came through the hatch!! http://t.co/QDy8tl5M3J",7,11,2015-03-28 03:38:14
