tweet,retweetsCount,favoritesCount,timestamp
"@irisvdb Mars is een lege woestijn. Wel eerst uitgebreid zoeken naar leven voor we er onze eigen microben laten vallen.",0,0,2015-04-14 13:51:24
"RT @Hoogvliegers: @astro_andre Veel foto's en het verslag staan nu online -   https://t.co/EiV8cWCPZq http://t.co/5uNpTrZRSJ",27,0,2015-04-13 20:40:07
"RT @bleeftink: #Top: @UTwente, UMC Groningen, Siemens, Radboudumc en mkb werken samen aan medische beeldtechnologie: http://t.co/DJKH16pDch…",10,0,2015-04-13 20:23:04
"RT @NL_Space: Delicate space hardware of @tropomi prepared for @NL_Space booth at @HollandHighTech pavilion at @hannover_messe http://t.co/…",5,0,2015-04-13 20:16:55
"RT @ISS_Research: Fluid physics @iss_research helps @astro_Pettit invent a zero-g coffee cup. Amazing video from @Space_Station: https://t.…",26,0,2015-04-13 19:53:40
"RT @jarimakinen: It's Yuri's Day, 54 years since first human in space. So, here's a movie for tonight: https://t.co/YKA0dLMfr6",47,0,2015-04-12 16:57:41
"RT @InekeDezentje: Live opening Hannover Messe, straks Dr Merkel,Verheug me op deze week NL wederom op wereldtoneel met recordinzending  ht…",12,0,2015-04-12 16:57:18
"12 April 1961. Yuri Gagarin first human to orbit the Earth. Today international space day. http://t.co/D5bP2UoZ36",211,67,2015-04-12 16:56:03
"@Faqtman als je me volgt stuur ik DM",0,0,2015-04-11 22:40:12
"Klaar voor Theatercollege in @Kennemertheater Beverwijk. http://t.co/0k59gnDBfJ",7,7,2015-04-11 17:57:43
"Mooie @Hoogvliegers dag Lelystad. Politie,brandweer,ambulance, luchtmacht,heli's,trucks,clown, simulator,vliegen,etc en vele blije kinderen",20,12,2015-04-11 17:53:45
"RT @SpacePagenieuws: Vandaag, 45 jaar geleden, startte de Apollo 13 missie naar de Maan http://t.co/0VgqCIGUJ1 http://t.co/xoKtXjZsFq",36,0,2015-04-11 08:44:08
"200yrs ago the greatest vulcanic eruption in history. Tambora on the Indonesian island Sumbawa. http://t.co/x4gfhPzTEP",24,17,2015-04-11 08:40:13
"200jr geleden grootste uitbarsting mensenheugenis. Tambora op Soembawa. Hier mijn foto vanuit ISS #schaduwvantambora http://t.co/W7A2YE3zfb",25,23,2015-04-11 08:36:49
"RT @FabulousVoyage: @TEYLERS Iets voor jullie: #schaduwvantambora grootste natuurramp in Nl Indië, impact op wereld en #wetenschap 1815 htt…",10,0,2015-04-11 08:21:16
"RT @Faqtman: Erg blij: goed stuk over #schaduwvantambora in KnowHow. Complimenten @NickKivits http://t.co/8RFajCIcDw http://t.co/nG7sfO4iYC",9,0,2015-04-11 08:21:03
"RT @mvanimmerzeel: Prachtige introductie @nieuwsshow door #miekevanderweij van #schaduwvantambora blijft mooi beeld @astro_andre http://t.c…",7,0,2015-04-11 08:17:30
"RT @nieuwsshow: en ging op zoek naar ooggetuigen en naar de wereldwijde gevolgen van de uitbarsting voor zijn boek 'De schaduw van Tambora'…",6,0,2015-04-11 08:17:25
"RT @nieuwsshow: De grootste uitbarsting sinds mensenheugenis maar vrijwel onbekend. Journalist Philip Droge stuitte op het verhaal 1/2",4,0,2015-04-11 08:17:22
"RT @nieuwsshow: De Schaduw van Tambora, de grootste vulkaanuitbarsting sinds mensenheugenis  http://t.co/s0JJM3gSL2  #nieuwsshow http://t.c…",7,0,2015-04-11 08:16:46
"RT @eddy_terstall: “@arjanvandermeij: @eddy_terstall Hoe jammer het ook is (vond hem ook nog op Einstein lijken), het is hoax: http://t.co/…",2,0,2015-04-11 08:09:04
"RT @volkskrant: Tekenaar Peter van Straaten is net 80 geworden: 'Els zegt dat ik doof word. Ik ben een wrak' http://t.co/qv9HW2x8wH http://…",53,0,2015-04-11 08:01:19
"RT @ams_forvisitors: #Nemo - The #Amsterdam #museum with the best rooftop view! @NEMOamsterdam http://t.co/SIPNRtipYj",11,0,2015-04-11 08:00:01
"RT @ArtPicsChannel: Portrait of Adele Bloch-Bauer, 1907 ~ Gustav Klimt http://t.co/T2lg8yFNX2",240,0,2015-04-11 07:51:41
"RT @sterrenkunde: Nieuws: Uitdijing heelal versnelt mogelijk minder hard  http://t.co/HxymIjzoIW http://t.co/CxJ0w9TFuE",22,0,2015-04-11 07:43:37
"@AnnMusicLove Kijk voor de plaatsen waar ik een Theatercollege geef op http://t.co/Mga9wHMK2m",0,0,2015-04-11 07:38:41
"RT @Techniekpact: Vandaag 260 leerlingen omgeving Groningen bij @Techniekpact  Collegetour met @astro_andre en @sanderkoenen #selfie http:/…",14,0,2015-04-10 17:52:21
"RT @RUGScholieren: De foto's (van @reyerboxem) van de Kinderuniversiteit met @astro_andre zijn te bewonderen via: http://t.co/HYOaSf83Bx ht…",8,0,2015-04-10 17:51:44
"RT @wegisdezon: Raketgeweld in de Academietuin onder toeziend oog van @astro_andre en raketspecialist Erwin @RUGScholieren http://t.co/46KU…",6,0,2015-04-10 10:36:41
"RT @RUGScholieren: Vandaag een editie van de kinderuniversiteit met @astro_andre http://t.co/kKppE2enPW",6,0,2015-04-10 07:57:27
"RT @Erica_Wortel: Na meeting nu vanuit Enschede op weg naar Groningen. Morgen weer knallen met #techniekpact collegetour met @astro_andre e…",6,0,2015-04-09 17:05:34
"RT @HistoryTime_: Born 9 April 1336 -Tamerlane (Timur), Central Asian, Turkic conqueror and founder of the Timurid Dynasty (d. 1405). http:…",28,0,2015-04-09 09:36:19
"RT @MarcCornelissen: me, @Philipderoo and Kimnik are slowly getting into the rythm of the expedition follow us on @coldfactsorg http://t.co…",7,0,2015-04-09 09:35:19
"RT @MarcCornelissen: Happy being back on the ice! @Philipderoo @coldfactsorg  https://t.co/diE10JsczP",3,0,2015-04-09 09:35:11
"RT @TheMarsSociety: There's still time to find a 'Yuri's Night' event in your town/area for April 12th! https://t.co/ROGongvNcv http://t.co…",17,0,2015-04-09 09:25:27
"RT @CNNOpinion: On April 9, 150 years ago, Grant &amp; Lee turned away from war at #appomattox @profdbrinkley http://t.co/x55P1eKjQb http://t.c…",337,0,2015-04-09 09:23:01
"RT @esascience: Got ya! RT @JUICEmission: Meet Europe's solar system fleet! Can you spot me? http://t.co/4MKE0OBK15 Download: http://t.co/m…",73,0,2015-04-09 09:13:44
"@phi48 @evateuling En Mariet Hofstee was er gisteren ook. http://t.co/Ae1jGlpDHE",0,1,2015-04-09 09:02:40
"Kleine reunie met Mariet Hofstee in Groningen na Theatercollege. @NVR_Ruimtevaart http://t.co/cZl7j1uz8G",3,5,2015-04-08 22:26:45
"RT @Space_Station: 1st items 3D printed in space are returned to Earth and unboxed at @NASA_Marshall. Watch: http://t.co/tAVAUglMo3 http://…",168,0,2015-04-08 18:00:29
"RT @NL_Space: Companies @NL_Space steaming up for @hannover_messe with a variety of space tech and satellite applications in @HollandHighTe…",9,0,2015-04-08 17:59:53
"Kuiper, Kuipers en Kuiper voorafgaande aan Theatercollege in Groningen vanavond.  @Stadsschouwburg @KNMI http://t.co/y6nZ5HocyA",8,9,2015-04-08 17:55:34
"@Ellen1605 @hetpark Jazeker. Veel jeugd.",0,0,2015-04-08 17:52:46
"RT @DTW2015: Zaterdag 18 april organiseren @PhilipsNL &amp; @ASMLcompany Girlsday @Evoluon #thinktomorrow https://t.co/gQ45Ks79UF http://t.co/b…",43,0,2015-04-08 14:23:02
"RT @NobelPrize: Superconductivity discovered on 8 April 1911 @UniLeiden by Dutch physicist Heike Kamerlingh Onnes #NobelPrize http://t.co/0…",62,0,2015-04-08 14:20:25
"RT @universetoday: '13 MORE Things That Saved Apollo 13' http://t.co/XM3hgameqU http://t.co/ELwZ8StCfk",21,0,2015-04-08 14:17:24
"RT @NASAhistory: Jerry Ross becomes 1st person to make 7 space flights, launching on STS-110 #today in 2002 http://t.co/xT1uyJExcQ",37,0,2015-04-08 14:11:18
"19:20 NPO2 @dekennisvannu @omroepntr over Gezichtsherkenning   @UvA_Amsterdam @SpinozaCentre @marechaussee @Unimaas @NewScotlandYard #dkvn",10,7,2015-04-08 13:39:37
