tweet,retweetsCount,favoritesCount,timestamp
"18 minutes to launch! Godspeed @StationCDRKelly! #1YearMission #ISS",17,46,2015-03-27 19:24:56
"RT @Interior: Stargazing is out of this world @ArchesNPS. Photo: Manish Mamtani #Utah #milkyway http://t.co/xnw4bHHQ0r",469,0,2015-03-27 03:26:18
"Thanks for supporting our run today @Kam_Bahrami! Go Robo! @NASA_Johnson @Astro_Kimiya",0,7,2015-03-26 23:07:22
"Handover conference w/ @Astro_Kimiya @AstroTerry @AstroSamantha Great chat about #LifeInSpace http://t.co/gQptEgeccA",129,309,2015-03-22 02:54:13
"RT @spacechelle: We've got some students at #MissionDiscovery KY channeling the astro class 09! @Astro_Kate7 @astro_reid @astro_kjell http:…",6,0,2015-03-22 02:34:05
"Thanks @Astro_Flow! @NCFL @Wonderopolis Books can take us to amazing places!",14,28,2015-03-21 23:16:28
"@AMirrorBrightly @StationCDRKelly has a great team of researchers working his #yearinspace science! @ISS_Research",0,4,2015-03-18 21:53:25
"@5Boyer Say #abigthankyou to everyone that helped me get there! Family, friends #teachers, mentors, trainers and instructors. #teameffort",4,6,2015-03-18 21:49:31
"@bonesthebird We are conducting research on bone loss, muscle wasting and immune dysfunction.  I hope our research helps patients on Earth!",1,2,2015-03-18 21:46:50
"@Nashenas88 I've wanted to become an astronaut for as long as I can remember.#DreamComeTrue",1,2,2015-03-18 21:44:49
"@Zina1967 We hope to do some great research, capture several cargo vehicles and leave the station in better shape for the next crew.",1,5,2015-03-18 21:44:15
"@ThWrex @astro_kjell @Astro_Kimiya @StationCDRKelly keep following us!",0,1,2015-03-18 21:40:32
"@catpotatoemily Getting to share the experience with others - and inspire them to pursue their dreams too!",2,3,2015-03-18 21:39:35
"@GregoryBlake11 Look at the #earth and post amazing photos on #twitter!",0,2,2015-03-18 21:38:47
"@CoryGreezy muscle wasting, bone mineral loss, immune system dysfuntion. We have great countermeasures (#exercise) to keep us healthy!",1,5,2015-03-18 21:37:48
"My path to space was paved with books - so there is a book on our #ISS #Exp45 patch. Happy #WorldBookDay! http://t.co/UmchtcpzCt",118,206,2015-03-05 20:23:27
"RT @StationCDRKelly: Last time I see @astro_kjell until he comes through the hatch on ISS. Can't wait to introduce him to space! http://t.c…",82,0,2015-02-27 20:25:31
"http://t.co/AbFJcIeZqF interview! I tried hard not to nerd out. Thanks for the fun chat @dan_brooks! #fandom #ISS http://t.co/Hk6Ig6wKEN",23,57,2015-02-23 18:53:49
"L-98: Suited descent sim today. Wondering if I can trade in miles for more legroom? #upgrades http://t.co/1o6fUitkva",123,204,2015-02-17 21:18:57
"@tweetsoutloud The dark side clouds everything...",3,10,2015-02-13 22:52:54
"RT @vr_doug: @astro_kjell &amp; @Astro_Kimiya Exp 44/45 working like a team during EVA/Robotic's integrated training-! @NASA_Johnson http://t.c…",28,0,2015-02-04 13:00:29
"RT @NicoleAtNASA: Fun day at the NBL! And a surprise photo op w/ @astro_kjell getting ready for his spacewalk training session. http://t.co…",12,0,2015-02-04 13:00:02
"Turns out we don't put our pants on like everyone else.  We have to sit down and we need help. Thanks @Astro_Kimiya! http://t.co/YxIJwKRxaX",28,53,2015-01-29 03:54:05
"@tweetsoutloud DUDE! HOW CRAZY IS THAT? Only 140 days to go - I GOTTA PACK!",3,29,2015-01-06 20:15:14
