tweet,retweetsCount,favoritesCount,timestamp
"Giovani + libri = cultura in evoluzione, evoluzione della cultura. Grazie a voi! https://t.co/PUfssocj99",21,34,2015-04-14 10:47:43
"RT @Space_Station: After @SpaceX launches to @Space_Station at 4:33pm ET today, first stage of Falcon 9 rocket will attempt a landing. http…",275,0,2015-04-13 20:31:32
"RT @CD_Zafferana: @astro_luca i giovani sognatori di Zafferana Etnea ti salutano e ti ringraziano http://t.co/dIigtrSgru",7,0,2015-04-13 16:46:19
"Ragazzi, con i vostri primi passi nello spazio siete già una #squadra pronta a #volare nel futuro! @ESA_Italia @ASI_spazio @ItalianAirForce",26,38,2015-04-13 16:04:48
"@Alessandraschi6 about as big as a briefcase.",0,2,2015-04-13 15:31:32
"RT @ItalianAirForce: #Oro e #Argento per le #Farfalle Azzurre nella #Coppa del Mondo di #GinnasticaRitmica di #Pesaro http://t.co/7X3LjdluR4",40,0,2015-04-13 11:04:43
"RT @AmbasciataUSA: Grazie @AstroSamantha e @astro_luca  per il vostro supporto ai ragazzi di #SpaceAppsRome! Ecco i vincitori http://t.co/G…",20,0,2015-04-12 21:10:15
"@camurriusa ha!",0,2,2015-04-12 21:08:38
"@AstroLinda99 'tentare' non costa nulla. Io ti consiglio invece di 'fare'. #Joda",1,3,2015-04-12 21:06:47
"@angelitakiz eh sì... ;)",0,3,2015-04-12 21:03:59
"RT @camurriusa: Cos'è la #Sfida per @astro_luca  Ovvero come dare alla competizione il valore più alto e nobile :)  #SpaceAppsRome http://t…",2,0,2015-04-11 15:08:42
"@Nunziellabiv posso dire che non lo conosco ancora? :)",1,1,2015-04-11 15:06:19
"@Max_Bellisario ha! :$ &lt;- My face",1,2,2015-04-11 15:05:17
"RT @AppberryStudio: @astro_luca #LucaParmitano al #NASASpaceAppsChallenge http://t.co/pbKbhb8Sby",4,0,2015-04-11 15:04:23
"RT @angelitakiz: @astro_luca Aprile 1915,un mese speciale nell'anno del Centenario AFS.Con il tuo bellissimo videomessaggio di auguri: http…",3,0,2015-04-11 15:04:12
"@verde_linfa ho vissuto lì per due mesi...",0,3,2015-04-11 15:03:26
"@Fiorello @RudyZerbi @Agenzia_Ansa ma per poterseli strappare bisogna prima averli! #confuso",9,30,2015-04-11 15:00:21
"RT @esa: Live at 16:45 #AmbPhillips opens #SpaceAppsRome with @astro_luca linked from Houston.  Watch http://t.co/hWNeHDXiiS https://t.co/y…",16,0,2015-04-10 14:28:56
"@kikkiar ha! Beato quel Palmisano...",1,4,2015-04-09 20:07:48
"RT @JennyOnConsole: #tbt to my first time ever on console during my internship, 2013 during @astro_luca 's 1st EVA!! #breathtaking #NASA ht…",18,0,2015-04-09 20:07:06
"@camurriusa ha!",0,2,2015-04-09 20:06:51
"RT @SpaceAppsRome: #SpaceAppsRome è per chi sa mettersi in gioco e affrontare nuove sfide. Parola di @astro_luca! http://t.co/2FYFeZr05i ht…",13,0,2015-04-08 16:24:44
"RT @AmbasciataUSA: #SpaceAppsRome è per chi sa mettersi in gioco e affrontare nuove sfide. Parola di @astro_luca! http://t.co/bVckg35WDC ht…",4,0,2015-04-08 16:24:37
"@Nunziellabiv niente. Stoico. :)",0,2,2015-04-08 10:28:34
"@ldcoppola @SocietyOfficiel basta contattare l'ESA :)",0,0,2015-04-07 15:30:15
"@SusannaBettin buonqualsiasimomento a te!",0,1,2015-04-07 15:29:26
"RT @Astro_Andreas: What the Interact Centaur rover will look like, that I'll control from space. Built by @ESATelerobotics and @tudelft htt…",102,0,2015-04-06 17:24:15
"RT @Gabry_3lla: Questi libri insegnano, divertono, fanno #volare e regalano emozioni. Grazie @astro_luca @astro_paolo #UmbertoGuidoni http:…",18,0,2015-04-05 12:03:56
"@AstroSamantha @AstroTerry to me, both of you are!",11,74,2015-04-05 11:58:41
"@angelitakiz per riposarsi ci sarà sempre tempo dopo. Molto dopo :)",0,2,2015-04-04 19:07:40
"RT @vr_doug: Visitors @tonyparker @theborisdiaw under VRLab's helmet, training like an  Astronaut! Go @spursfeed ! @NASA_Johnson http://t.c…",37,0,2015-04-04 19:04:43
"@pennililla vive ancora!",0,0,2015-04-03 23:49:17
"RT @Thom_astro: Wanted: a mission name for me! MT @esa Deadline for proposals 15 April. Details: http://t.co/Xa5HFz8Hvb http://t.co/YzZxyrg…",91,0,2015-04-03 23:40:41
"@_SugarMama_ contattare l'Esa o l'ASI",0,1,2015-04-02 18:44:39
"RT @NASAedu: Want to be a #NASAIntern? Now is the time to apply for the Fall session! Details: http://t.co/u3nDbvf3hV http://t.co/lSwHvvkIkN",34,0,2015-04-02 18:41:16
"@angelitakiz ha!",0,1,2015-04-02 13:13:14
"RT @BBCAmos: It's been a long road, but the ExoMars orbiter and demo lander now look like the real deal http://t.co/XLBC3rdD9H http://t.co/…",77,0,2015-04-02 13:12:45
"Nel giorno in cui tutti noi prestiamo attenzione all'autismo, non dimentichiamo che è anche l'occasione per celebrare la diversità.",68,91,2015-04-02 11:51:25
"RT @AstroTerry: More views of the eye- this was about 12 hours ago at sunrise, local time. Unbelievable. #Maysak http://t.co/9Z6obnSVjh",4264,0,2015-04-01 19:34:49
"@Nunziellabiv ci sono in programma 10 giorni di attività in giro per l'Italia, nord, centro e sud. Ma bisogna chiedere all'ESA!",4,5,2015-04-01 12:00:13
"@angelitakiz pesce d'Aprile?",0,2,2015-04-01 11:59:10
"RT @PresidentRowe: Thank you @astro_luca for giving my son's class a behind the scenes tour of the ISS mock up. http://t.co/r529b88Zir",11,0,2015-04-01 11:58:31
"@angelitakiz ?",0,2,2015-04-01 11:57:25
"@AstroDolce @frazsazsa @Ma_Te_No @TeoBrex @Isabellina26 @camurriusa @annamazzoleni @alexZalex_ @gloriagraizzaro @Maryanne77S @AstroLinda99:)",2,11,2015-03-31 13:09:14
"RT @patrizia1369: @astro_luca # Il mondo all'h dei sogni#  spettacolo portato in scena a giug14 tratto dalla tua lettera per le figlie. htt…",3,0,2015-03-31 13:08:30
"@camurriusa ha!",0,3,2015-03-31 00:41:12
"@angelitakiz ne sono lusingato",0,2,2015-03-31 00:39:44
"@camurriusa troppi capelli :)",0,2,2015-03-31 00:36:46
"@camurriusa :)",0,2,2015-03-31 00:36:30
"@giaroun nessun problema.",1,3,2015-03-29 18:59:10
"@Cmdr_Hadfield I still have to send you my song. Title: 'the man I am'. Subtitle: 'I ain't Chris Hadfield'.",10,54,2015-03-29 18:58:00
"RT @Cmdr_Hadfield: I'm on Inspector Gadget! How cool is that! I wonder what character traits they gave me ... http://t.co/GmgFV8yU7S",421,0,2015-03-29 18:53:39
"RT @Coninews: Le Farfalle azzurre hanno vinto la prova di Coppa del Mondo! Un Trionfo! #ginnastica #ritmica http://t.co/vi1Y56yuty http://t…",207,0,2015-03-29 11:17:36
"RT @AstroSamantha: (IT) Auguri @ItalianAirForce #LaTuaSquadraCheVola da 92 anni verso il futuro. http://t.co/c5wmg0FcAe",229,0,2015-03-29 11:15:03
"RT @AstroSamantha: Greetings to @ItalianAirForce, 'your flying team', celebrating 92 years. http://t.co/btOvyk1wAK",157,0,2015-03-29 11:14:40
"@kikkiar neanche il segreto di Batman ha resistito così a lungo!",1,2,2015-03-29 02:56:00
"RT @ItalianAirForce: Speciale 92° anniversario della costituzione dell'AM (28 marzo 1923 - 28 marzo 2015) #latuasquadrachevola http://t.co/…",23,0,2015-03-28 13:59:22
"La nostra @ItalianAirForce oggi compie 92 anni - ma non è mai stata così giovane! Tanti auguri a tutti noi uomini e donne AM!!",42,82,2015-03-28 13:58:17
"@angelitakiz :)",0,2,2015-03-28 13:56:38
"RT @AstroTerry: #Soyuz popping through the clouds with Scott, Gennady, and Mikhail on their way to join us.  #Exp43 http://t.co/McYKufBeuI",704,0,2015-03-28 00:52:01
"@dolcestrega09 @frazsazsa :)",1,2,2015-03-27 21:46:51
"RT @vencut2: 'An endless depth of black &amp; forever' great @BBCRadio4 prog on spacewalks feat @Cmdr_Hayfield @astro_luca @Astro_Suni http://t…",1,0,2015-03-27 21:46:12
"RT @Space_Station: #Soyuz launches at 3:42pm ET. @StationCDRKelly &amp; M. Kornienko and begin #YearInSpace. G. Padalka returns September. http…",588,0,2015-03-27 21:32:04
"I love space humour :) “@SarcasticRover: This comic isn't about me, and yet, I still like it: http://t.co/LWOPYo4cqw http://t.co/GIW1vovO5R”",46,86,2015-03-27 21:31:28
"@AstroDolce @Isabellina26 @frazsazsa @camurriusa @Ma_Te_No @TeoBrex @gloriagraizzaro @Maryanne77S @annamazzoleni @alexZalex_ ha!",1,9,2015-03-27 15:03:06
"@giaroun non credo che sia una fonte ufficiale.",0,1,2015-03-27 15:01:32
"@camurriusa ha!",0,2,2015-03-27 14:04:37
"@Legiaonar direi proprio di sì! A entrambe le domande.",0,4,2015-03-27 14:04:09
"RT @AstroKarenN: Imagine this view every day for a year! Crew launches tomorrow 3:42pm edt for 1 yr in space. http://t.co/rQISBsHrnp http:/…",1098,0,2015-03-27 14:00:57
"RT @ESAcleanspace: Friday is time for cebrating the great news we got this week for dvping technologies for #spacedebris mitigation http://…",32,0,2015-03-27 11:51:31
"@Mike_Tweeted :)",0,0,2015-03-26 11:46:13
"RT @AstroDocScott: @vr_doug @astro_luca @AstroIllini @astro_ricky @AstroIronMike I sure miss playing in the VR lab sandbox! http://t.co/23H…",7,0,2015-03-26 11:45:54
"@Kety_Sicily sempre qui. Basta chiamare.",1,2,2015-03-26 11:45:29
"@Astro_Andreas @ESA_EAC medieval torture. No doubts.",1,9,2015-03-26 11:41:43
"RT @ASI_spazio: Si avvicina il lancio per il nuovo terzetto di astronauti che andrà sulla ISS. Scott Kelly, Mikhail Kornienko e... http://t…",11,0,2015-03-26 11:40:43
"RT @seisiciliano: #Sicilia's got talent 😍♥ E che talenti...! 🔝😃 http://t.co/gALpbgq05d",120,0,2015-03-26 11:40:11
"RT @foxdragonfilms: “@Sci_Phile: .@astro_luca shows us how to wash a bald head in space http://t.co/GOw935b2rg” new favorite video EVER",11,0,2015-03-25 23:24:25
"@frazsazsa te lo potrei dire solo se anch'io fossi partito per un anno",0,0,2015-03-25 22:45:59
"RT @ComensoliMauro: @astro_luca fantastico il tuo libro Volare e con un messaggio in bottiglia grazie per avermi fatto Sognare, @AstroSaman…",3,0,2015-03-25 22:44:17
"@leandro095 :)",0,1,2015-03-25 22:43:56
"RT @ColegioRetamar: El astronauta @astro_luca envía una imagen y felicitación recordando a nuestros alumnos desde la @esa. Gracias Luca. ht…",11,0,2015-03-25 22:42:55
"@angelitakiz Magari. C'è la fai in 140 caratteri? :)",0,2,2015-03-25 11:42:18
"RT @Cmdr_Hadfield: Today Space Oddity went over 25 million views. To everyone who helped make it - huge thanks. http://t.co/mzD85hm68e",498,0,2015-03-25 00:12:32
"@VoicesFromL5 @AstronautAbby @ToysInTheDryer all the time. It's not different at all.",2,2,2015-03-24 15:55:28
"@esa #spacerobotics great memories of fantastic, young, creative minds. Engines of ingenuity. http://t.co/hBatQROsGG",29,53,2015-03-24 15:05:45
"@camurriusa eh sì, direi che lo pretendo! :)",0,2,2015-03-24 11:48:43
"@AstronautAbby @VoicesFromL5 @ToysInTheDryer yes, it was lower. As was the heartbeat.",0,3,2015-03-24 11:38:29
"@9c8188062a744bc ciao!",0,1,2015-03-24 00:19:02
"@Nunziellabiv volentieri :)",0,1,2015-03-24 00:18:31
"@Astro_Melissa @AstronautAbby I have not heard about it yet...",0,3,2015-03-24 00:13:10
"RT @Astro_Nicole: .“@ObservingSpace: Earth compared to all its #water and air http://t.co/5lWwPs4Eqm #WorldWaterDay http://t.co/5rGbm6MVZs”",119,0,2015-03-24 00:07:49
"@angelitakiz 1 piano di scale, fatto 3 volte, più vari giri per le stanze... oggi record sui 50m.",0,3,2015-03-22 18:28:41
"@MaratonadiRoma @sandrogozi contate su di me :)",3,7,2015-03-22 18:27:21
"@sandrogozi @MaratonadiRoma complimenti!",0,0,2015-03-22 17:37:33
"@alessab65 a te!",0,0,2015-03-22 12:00:14
"@Isabellina26 @t_aucone lo guardavo a bordo mentre correvo sul T2",1,6,2015-03-22 11:59:16
"@katkil :)",0,0,2015-03-22 11:56:52
"RT @Max_Bellisario: @astro_luca hai visto cosa hai combinato? Rimpatriata del #LucaTweetup a Roma con cena 'spaziale' http://t.co/cglMk75fse",4,0,2015-03-21 22:06:35
":') MT “@camurriusa: Oggi non è solo il #WorldPoetryDay . E' pure il WorldDayDownSyndrome. Guarda e sorridi :)  https://t.co/r2d5r9RXry”",34,31,2015-03-21 22:06:12
"@Nunziellabiv sí, sì e sì :)",0,1,2015-03-21 22:01:16
"@Cmdr_Hadfield a phelfie?",3,35,2015-03-21 21:56:44
"RT @troydeselms: '@Way_Things_Work: The Way ISS (International Space Station ) Was Constructed !! http://t.co/iMANVMqCgy' @AstroSamantha",410,0,2015-03-21 21:54:55
"RT @neiltyson: Cool.  The Moon, Sun, International Space Station, &amp; Earth, all lined up.  via @ObservingSpace http://t.co/S0N4emt0Pn",5689,0,2015-03-21 14:34:48
"@Rainmaker1973 @TeoBrex @AstroSamantha io sono pronto!",2,6,2015-03-20 21:37:05
"@Nunziellabiv :)",0,2,2015-03-20 21:36:32
"RT @davidshukmanbbc: Fabulous shot from Stargazing Live plane above Faroe Islands #eclipse2015 http://t.co/0OLoe3qCAf",1690,0,2015-03-20 13:50:30
