tweet,retweetsCount,favoritesCount,timestamp
"@momado_50 Everything is under control (and if not it doesn't matter...)",0,1,2015-03-26 15:49:29
"@astro_pi project: UK schools send your code in space COOL!!!!   http://t.co/nNqVJYrr6D #AstroPi http://t.co/r7EqbCjs0G",32,6,2015-03-26 15:48:26
"RT @Museoscienza Scienza ('virtute e canoscenza'), ispirazione per la vita! #MuseumWeek  #inspirationMW @ESA_Italia http://t.co/AmNSjvoJTT",11,18,2015-03-26 15:39:35
"@SkyTG24 @AstroSamantha @ESA_Italia @ASI_Spazio @ItalianAirForce   Grazie a voi. Alla prossima!  #SkyTG24Astro http://t.co/CKVYSvVA2v",23,47,2015-03-18 20:48:31
".@SkyTG24 Probabilmente l’anima. Ma la scienza fa passi da gigante e le fantasie di oggi potranno essere le realta' di domani! #SkyTG24Astro",18,34,2015-03-18 20:45:45
"@camurriusa Mi manca sempre la 'passeggiata spaziale' (tante volte promessa e mai realizzata)... Ma c'e' tempo nel futuro! #SkyTG24Astro",2,9,2015-03-18 20:43:42
"@SkyTG24 Tra l'altro molti prima di me avevano fotografato l'Italia. Forse io ci ho messo un po' piu' di passione e amore.. #SkyTG24Astro",9,21,2015-03-18 20:41:00
".@SkyTG24 Uno solo: essere nello spazio. Da li' e' impossibile non condividere la fragilita'/bellezza mozzafiato della Terra #SkyTG24Astro",16,33,2015-03-18 20:38:26
"@Gianluka1701 @AstroSamantha @astro_luca Sarebbe ancora piu' bello e fossimo in una navicella Europea. Lavoriamoci! #SkyTG24Astro",2,6,2015-03-18 20:36:09
".@SkyTG24 Dalle img in diretta dalla Luna. Sognavo di fare testacoda col rover e guardare la polvere ricadere immediatamente! #SkyTG24Astro",14,37,2015-03-18 20:33:30
"@mengonishine Non sono mai state rose e fiori, e ci sono stati momenti bui. Ma ho sempre creduto (saputo) di potercela fare #SkyTG24Astro",2,5,2015-03-18 20:32:07
"@FlavioSchiavone No, che io sappia. #SkyTG24Astro",0,1,2015-03-18 20:28:56
".@SkyTG24 Per adesso non esiste e credo non ne faro' una. Ma sentiro' il parere dei miei figli quando saranno piu' grandi! #SkyTG24Astro",7,16,2015-03-18 20:27:14
"@Gianluka1701 Ogni giorno e' una missione.... La prossima sara' domain! #SkyTG24Astro",0,3,2015-03-18 20:26:09
"@FlavioSchiavone Io no ne ho mai visti. Ma questo non dice niente sul fatto che non esistano altre forme di vita nell'universo #SkyTG24Astro",0,2,2015-03-18 20:23:35
"@FrancescoHe @AstroSamantha Potrebbe arrivare a 300C, ma ci sono sia 'coperte' isolanti che sistemi attivi di controllo temp. #SkyTG24Astro",0,1,2015-03-18 20:21:40
"@publidipa Si, ne approfitto che da qui (ESA/Colonia) internet e' sostanzialmente piu' veloce che dall'ISS... #SkyTG24Astro",0,3,2015-03-18 20:18:13
".@SkyTG24 Con internet focalizzavo le notizie importanti che poi cercavo di approfondire nei miei scarsi contatti terrestri  #SkyTG24Astro",6,15,2015-03-18 20:15:32
"@kiara8121 No. Ci sono state delle frizioni che pero' abbiamo annullato parlandoci chiaramente e francamente. SkyTG24Astro",0,2,2015-03-18 20:14:34
".@Luxyo42 @AstroSamantha Personalmente penso che tutto quello che ci fa andare avanti in modo etico ed efficace sia da considerare/fare.",7,19,2015-03-18 20:12:20
"@Flavio984 Grazie Flavio. Fatti vedere la prossima volta! SkyTG24Astro",1,1,2015-03-18 20:09:37
"@ginevra885 Qualche volta, come sorprendersi quando le cose ti cadono di mano perche' non le stai tenedo... SkyTG24Astro",1,2,2015-03-18 20:08:52
"@CiroCZ3 Veramente bello ma direi una bugia se non dicessi che ci sono almeno 100 altri posti ugualmente belli. W la Terra! SkyTG24Astro",1,2,2015-03-18 20:07:55
"@Berklam6 Non cosi' facili da vedere: le finestre sono rivolte a terra, e' buio per soli 20-30 min, con la ISS che continua a girare!",0,1,2015-03-18 20:05:06
"@AstroEnzo @kiara8121 A dir la verita' e' stato un incidente frontale tra un TIR e un'utilitaria. Come si fa a non ricordarlo? #SkyTG24Astro",1,5,2015-03-18 20:02:16
"@publidipa Vedremo... e' tutta una questione di tempo! #SkyTG24Astro",0,2,2015-03-18 20:01:32
"@GloriaAllevi Prendi il futuro per le corna e portalo dove vuoi tu. Segui le tue passioni senza demordere. #SkyTG24Astro",1,1,2015-03-18 20:00:29
".@SkyTG24 A dire il vero lo sognavo gia' da prima. E i sogni sono continuati!  #SkyTG24Astro",14,27,2015-03-18 19:58:46
"@kiara8121 Ognuno risponde diversamnete. a me ci sono volute 24ore per ricamminare (ma come uno zombie per 3 giorni...) #SkyTG24Astro",0,0,2015-03-18 19:56:25
"@AlbertoCordara @SkyTG24 Circa 8 cm, per fortuna senza mal di schiena... #SkyTG24Astro",0,2,2015-03-18 19:54:47
"@camurriusa Il fatto che la cosa gli fa brillare gli occhi con genuina curiosita' ed interesse. Per loro tutto e' possibile!#SkyTG24Astro",2,5,2015-03-18 19:53:50
".@SkyTG24 Alterazioni  muscolari/scheletriche/percettive/visive tornate nella norma... ma il sorriso extraterrestre è rimasto! #SkyTG24Astro",16,35,2015-03-18 19:51:42
