tweet,retweetsCount,favoritesCount,timestamp
"RT @elonmusk: Looks like Falcon landed fine, but excess lateral velocity caused it to tip over post landing http://t.co/eJWzN6KSJa",8063,0,2015-04-14 21:52:35
"@StationCDRKelly good to see there are still two SSCs in Node1. That might be the best mod I made to the ISS.",6,44,2015-04-07 14:20:20
"@madrasnerd sometimes it was tough. Luckily I had 165 days to enjoy it.",0,8,2015-04-06 12:37:51
"Concur buddy, and this is a great video... “@Monty_Hoops: @astro_reid: Can't believe you got to live this. Amazing. http://t.co/TdRmTjkl5x”",69,108,2015-04-04 12:55:08
"@Dags42D good catch... Thanks!",1,6,2015-04-02 20:32:22
"The dark area is our Moon's shadow on #Earth during a solar #eclipse. #SpaceVine by @astro_Pettit. https://t.co/hZSD3qmDcT",468,578,2015-04-02 17:03:58
"@OlesyaIvanchina Sorry to see there is still snow on the ground! ;)",0,3,2015-04-02 02:14:13
"@janeavrils fishing boats apparently. Green flood lights used to bring fish/squid to the surface and into nets.",0,4,2015-04-01 19:15:24
"Too fun not to MT: “@Cmdr_Hadfield: 1st contact with alien life??? Why 187.5? http://t.co/Nildg8Notm http://t.co/QpCidXmPge”",87,135,2015-04-01 13:34:02
"For those I met @SXSW looking for my briefing slides, they are finally uploaded here: https://t.co/WR3PyFYgQL",30,73,2015-03-31 21:10:05
"Who can possibly resist this bird wearing a blue top hat and sipping away on a warm spring evening in #Houston https://t.co/j96gkUtwAm",52,199,2015-03-31 01:34:11
"@roach definitely let us know when that goes live. In the meantime I guess I'll be watching @tracedominguez #fridgeview on #Periscope",1,6,2015-03-31 00:40:10
"@PC0101 @BlueEnigma @AstroTerry one of the watches is an actiwatch. Monitors activity- not sure what else but @ISS_Research knows!",1,13,2015-03-30 20:43:03
"@BlueEnigma one of them is a regular watch. One is an actiwatch. Not sure what all it monitors. We all wear them from time to time.",1,10,2015-03-30 20:41:01
"@allunbobroberts we now have Nikon D4 cameras.",2,3,2015-03-30 00:21:23
"@NASA_Caley @StationCDRKelly @NASA @periscopeco @jbulava @johnheywood @ciszek I was thinking of how to do that. Going to be tough...",3,5,2015-03-29 12:58:13
"@PierAsselin this particular photo was a 3 second exposure. I had the camera mounted on a bogen arm. Stars are a touch blurred because of it",1,3,2015-03-28 13:43:10
"@PierAsselin Oh, you can argue with me. It is healthy and welcome discussion! Details of photo+camera settings here: https://t.co/fFWB5QD7JQ",2,23,2015-03-28 13:11:41
"@BlueEnigma nope. Germ free living",1,2,2015-03-28 12:23:56
"@marsrader not a composite. I took this photo. Long exposure, but 100% unedited.",44,130,2015-03-28 03:15:59
"@icelady2910 @Astro_Alex depends what you mean by 'harder.' Landing is physically more demanding in my opinion. Launch is harder emotionally",6,12,2015-03-28 02:18:20
"Got to say a quick 'hi' to @GabbyGiffords just before @StationCDRKelly headed to spend a #YearInSpace http://t.co/6I3VsWrpy1",69,266,2015-03-27 23:25:15
"@deokon @smartereveryday @StationCDRKelly very benign. Just a tiny push from the engine gently settling you back in your seat.",0,7,2015-03-27 22:25:54
"@smartereveryday @StationCDRKelly correct! Their first three burns are complete. Burn 4 (2nd booster 'cleanup' burn) is 37 minutes away.",6,32,2015-03-27 22:13:27
"RT @NPR: While you wait for @StationCDRKelly's launch, check out @nprviz app w @astro_reid's #ISS pix http://t.co/ZEskF0HgJ6 #NASASocial #Y…",25,0,2015-03-27 18:28:08
"Been about 3 years since I last sat in #MissionControl. Thick with mystique. 1hr55min until launch #YearInSpace http://t.co/Of0A0lQtgy",116,333,2015-03-27 17:48:33
"#FF @StationCDRKelly #YearInSpace and future crew mates @astro_kjell @Astro_Kimiya @Astro_Andreas @SarahBrightman @astro_timpeake @astro_tim",30,82,2015-03-27 13:43:27
"RT @ISS_Research: It begins today!  #YearInSpace.  3:42pm ET.  http://t.co/sPaL5RxB8X http://t.co/7Z3qiPxRXf",335,0,2015-03-27 13:34:45
"@Astro_Jeremy @TEDxKanata have fun Jeremy. Can't wait to hear about it. Wish we were there!",2,14,2015-03-26 20:32:08
"@derosajoe51 lets not split hairs just yet. I think it will be a bit under 360 but time will tell.",0,4,2015-03-26 20:28:25
"@Ben_W_Smith not as of yesterday, but he is a smart man so I'm guessing it will be set tonight...",0,4,2015-03-26 19:44:56
"I love the sign @StationCDRKelly left on his desk. Says it all. He launches tomorrow at 3:42pm Eastern US time. http://t.co/67gCqU0woX",325,601,2015-03-26 19:02:46
"@jaccovanschaik you're right. Each posigrade burn adds energy but by apogee your orbital velocity is lower.",0,1,2015-03-25 00:00:47
"@davesaad Don't worry Dave, I learned a lot about docking a Soyuz working with @smartereveryday and I had just lived through the real thing!",1,15,2015-03-24 22:06:47
"@MysteryAlice @smartereveryday it takes us about 6 hours from launch to docking.",0,3,2015-03-24 18:57:19
"@hey_ysoserious @smartereveryday the big thing this year will be @StationCDRKelly in space and comparing data to his twin @ShuttleCDRKelly",2,5,2015-03-24 17:22:31
"@theowl84 @smartereveryday an early off-axis burn tilts our orbit a tiny bit so we don't hit ISS if things break. Gets removed on final burn",0,5,2015-03-24 13:54:44
"RT @smartereveryday: HOW TO FLY A SPACESHIP TO THE SPACE STATION.   Commander Scott Kelly is about to leave earth, yet he took... http://t.…",237,0,2015-03-24 13:08:33
"@roach @apod @Astro_Ron yes! @astro_Pettit also made a beautiful timelapse video I just saw @sxsw",1,4,2015-03-18 20:20:34
"@maytaldahan you definitely could, but someone would need to carry it from Earth to us. No one got sick at all during our 6 months.",0,1,2015-03-18 20:17:51
"@chad_vfa41 it might be a while!",0,1,2015-03-17 23:39:47
"First attempt at painting. I might have a new hobby. http://t.co/T2JBfOvp4v",63,629,2015-03-17 20:53:00
"@roach @Astro_Ron SMITHERS!",0,3,2015-03-17 01:49:17
"@roach @Astro_Ron email sent!",0,4,2015-03-17 01:47:18
"@Astro_Ron bummer!  I just left this morning. Have fun Ron!",0,4,2015-03-17 01:25:31
"@tylerw @yembrick absolutely. I'll tweet once it is up.",0,0,2015-03-16 18:00:02
"A chance @NASA_Astronauts encounter @SXSW with @NASA_Hubble #spacewalking guru @SciAstro http://t.co/5HFuYAr43i",66,223,2015-03-15 23:35:36
"@kaitlynsoares thanks Kaitlyn, good to meet you too!",2,2,2015-03-15 19:54:40
"That voice was so familiar...I turned around and it was the one and only @Busyphilipps25 waiting to talk @SXSW !! http://t.co/Opo0Dk4H2i",33,196,2015-03-15 19:11:41
"@AstroTerry got it right!  Woohoo!!",4,55,2015-03-15 14:55:28
"@fmbutt now the pressure is on!",2,6,2015-03-15 14:54:06
"If you're @sxsw swing by the #NASASocial Sunday afternoon. Or enjoy a fun talk during the day. Schedule here: http://t.co/br3PehgzpO",47,87,2015-03-14 20:56:59
"A little nursery rhyme that I would sing during college @rpi to help me fall asleep: edx dy dx, edxdy, sine cosine tangent Pi, 3.14159",140,327,2015-03-14 15:44:15
"@emersongreg great talking to you Greg. Swing by the Marriott on Sunday at 12:30!",2,3,2015-03-13 21:30:16
"@AnthonyQuintano there is a NASA social on Sunday at 5. Swing by if you can.",1,3,2015-03-13 13:59:06
"Heading west for #SXSW to talk #space http://t.co/qwojC6EImn",53,213,2015-03-13 12:38:32
"RT @AstroKatie: Earth is a bit of a weirdo, wearing its ocean on the OUTSIDE. http://t.co/9Dm2tk2FA8 Nice post by @elakdawalla http://t.co/…",1190,0,2015-03-13 11:14:55
"Water everywhere! MT “@NASA: Ganymede has an ocean, possibility of life:  http://t.co/sJ7ePUM6ic @NASA_Hubble http://t.co/aylOtTpTxD”",251,353,2015-03-13 01:04:35
"@bushofficial - great to meet you as you floated through the US Lab!",1,2,2015-03-13 01:01:16
