tweet,retweetsCount,favoritesCount,timestamp
"RT @RAWAstro: @astro_tim hi, could you please RT our new website http://t.co/85zu4W6DfT Many Thanks",1,0,2015-04-13 17:12:22
"@TheAntmagic @RAWAstro that would be awesome -- thanks, Anthony!",1,1,2015-04-12 20:35:47
"https://t.co/bZI3IPTCt5 #cosmonauticsDay",3,3,2015-04-12 20:04:34
"Happy Cosmonautics Day!  More photos published as “Open House and Cosmonautics Day” on @storehousehq http://t.co/v0DnG7A9Os",2,6,2015-04-12 19:46:32
"Amazing photo of Typhoon Maysak from last week.  https://t.co/xdXFg2FQ5s",3,7,2015-04-09 18:40:45
"RT @AstroSamantha: Happy Easter from #space. Buona Pasqua dallo spazio. http://t.co/bnvUBPFVBi",2875,0,2015-04-05 16:59:47
"Met an American hero, @MarcusLuttrell and the funniest guy on TV, @anthonyanderson at the @JohnnyMacFund benefit. http://t.co/FPpZ9VL0Ps",4,8,2015-04-03 06:12:47
"RT @nytimesscience: The Soyuz Spacecraft—The Soyuz Spacecraft, by @13pt http://t.co/ZeFiPhrTa9 http://t.co/BOdnRCEIPJ",61,0,2015-03-28 04:05:13
"RT @nytimesscience: Watch the International Space Station launch with us! Streaming video and trivia starting now  http://t.co/aGpgbagLRp h…",174,0,2015-03-27 19:06:36
"Checking out my pressurized space suit with my training team. http://t.co/ckA06NSLH6",74,171,2015-03-27 02:43:43
"Had the honor of dropping the puck at the Preds vs. Sabres game on Saturday night -- awesome experience! http://t.co/rZ1l8lbZc7",6,16,2015-03-23 02:47:19
"Returned #Pekka Rinne's @PredsNHL jersey yesterday, which flew in space.  Great guy, great game -- go Preds! http://t.co/8Sh9rpmAAG",6,11,2015-03-23 02:30:01
"Check out these photos from one of my trips to Star City last winter:   http://t.co/K7H3XzHuKf",8,17,2014-12-30 03:21:52
