tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: Miss today's @SpaceX #Falcon9 launch? Want to see it again? Watch now. #Dragon set to arrive at @Space_Station Fri. https://t.co/…",1195,0,2015-04-14 21:20:41
"More #Principia mission patches on their way! ps &amp; thanks for opening my eyes to the amazing world of Physics MrG :) https://t.co/94jgAUjRot",5,10,2015-04-14 16:45:13
"@ChiHighBoys @spacegovuk @TKATAcademies Great to see guys - did you know a CHSB school badge will be joining me in space!!",2,3,2015-04-14 16:37:10
"@GBS_Physics I'll leave @spacegovuk to see if we can stretch to 10 - not sure how many are left in the tin ;)",0,1,2015-04-14 16:33:07
"Got to love Germany's unrestricted autobahns at 5.30am-what a way to start the day :) such a shame hire car was Ford Focus and not an Aston",18,85,2015-04-14 05:19:29
"@lets_boldly_go off to Cologne tomorrow...it's a busy week of training ahead with @esa prior to heading to Star City next week...sorry!",0,1,2015-04-13 19:32:11
"RT @camurriusa: @astro_timpeake  Beautiful and very full of details this article that talks about you and the Mission 'Principia' :) http:/…",8,0,2015-04-13 16:02:11
"Great to be in Munich meeting the awesome @esa Col-CC team who will support mission #Principia. Got to chat to @AstroSamantha on #ISS too :)",5,13,2015-04-13 16:01:30
"@dallascampbell @BBC_Future It most certainly does :)",4,3,2015-04-13 15:55:03
"@spacebanbury @spacegovuk @AspirationsAT Great to see SSB...looks like a mission patch will be on its way to you guys!",4,1,2015-04-13 15:52:05
"@spaceappslondon @SpaceKate I'll put it in the diary!",1,4,2015-04-13 08:08:18
"Congratulations guys! @SpaceKate @Steve_Upton https://t.co/HAsD332krJ",3,9,2015-04-12 19:46:07
"Special #CosmonauticsDay wishes to those off the planet today! @AstroSamantha @@AstroTerry @StationCDRKelly Gennady, Misha @AntonAstrey",42,58,2015-04-12 18:30:42
"RT @InnovateMySchl: Soaring pupil imaginations into space http://t.co/ynUUjGrMfc by @kulvinderj #STEM #edchat #educhat feat. @astro_timpeake",3,0,2015-04-12 18:20:07
"RT @StationCDRKelly: Just flew over #NYC. One of my favorite places on Earth and yes, we have a very big lens. #YearInSpace http://t.co/fZf…",1785,0,2015-04-12 04:11:16
".@SpaceKate I'm taking part in @ESA Energy exp researching this-it's a great question &amp; vital for long space flight http://t.co/5vuNPyPn2z",6,15,2015-04-12 04:05:18
"RT @staceysadams: @Raleigh_ alumni @astro_timpeake shares his thoughts about #susdev http://t.co/E8FcIhXu1n @angelajhanji @pattyohayer @mar…",4,0,2015-04-09 23:15:49
"RT @MolymeMolyneux: 40 of the @UKSpaceAcademy including Professor Richard Holdaway out to watch ISS pass! @astro_timpeake please retweet! h…",8,0,2015-04-09 23:09:54
"@SpaceKate @ESA_History @Astro_Andreas @Thom_astro @astrojetgirl please don't...you'll start him going off again about William the Conqueror",0,6,2015-04-09 13:50:00
"@astrojetgirl @Thom_astro @esa give us a chance Helen...I might go bald naturally by the time it gets to launch day ;)",0,4,2015-04-09 13:44:56
