tweet,retweetsCount,favoritesCount,timestamp
"Well done, @SpaceX ! https://t.co/MeVxdJxlwB",18,27,2015-04-14 20:35:33
"RT @elonmusk: Ascent successful. Dragon enroute to Space Station. Rocket landed on droneship, but too hard for survival.",8101,0,2015-04-14 20:34:15
"RT @NASA: The @SpaceX #Falcon9 main engine cut off. #Dragon is heading to @Space_Station. Keep watching: http://t.co/KX5g7yYnYG http://t.co…",527,0,2015-04-14 20:17:38
"Beautiful! https://t.co/ZvSuHu7cG5",24,34,2015-04-14 20:14:27
"Liftoff https://t.co/iUFK7mw6MT http://t.co/KePYG4d3Di",25,37,2015-04-14 20:13:06
"X marks the spot: tonight's @SpaceX launch will try to land its #Falcon9 rocket once #Dragon is enroute to #ISS http://t.co/S8FUfGTrFW",53,37,2015-04-14 19:45:14
"22:10 CEST https://t.co/Cgfa599g6g",8,15,2015-04-14 17:35:09
"Image of the week: investigating the root cause of plant growth as they search for gravity http://t.co/Y7t5KXkXQ2 http://t.co/bOnkFAzU1d",20,21,2015-04-14 13:05:14
"RT @esa: Replay of today's media briefing at #EGU15 on @ESA_Rosetta results so far http://t.co/d7RuhobiJf",27,0,2015-04-14 11:47:39
"And here are the experts who determine orbits #pdc2015 https://t.co/KJQz9Lpk5n  https://t.co/gmnQW3bmHF",8,8,2015-04-14 11:34:38
"One #pdc2015 topic: the future Asteroid Impact Mission #AIM Here's how we stay in touch with craft deep in space https://t.co/QXwOr1CgQe",7,7,2015-04-14 11:32:06
"RT @EuroGeosciences: Sorry for web stream issues during the @ESA_Rosetta press conference: the video will be online at http://t.co/qkZc5JnJ…",22,0,2015-04-14 11:27:14
"RT @ESA_Rosetta: Latest update on @philae2014 at #EGU2015: work continues to best identify final #CometLanding site on #67P; Philae still i…",62,0,2015-04-14 10:33:39
"RT @ESA_Rosetta: Lander team say we may have to wait few more weeks before @philae2014 can wake up; don’t want to miss it, so I’m already l…",115,0,2015-04-14 10:33:31
"RT @esa: Media briefing at #EGU15 in progress http://t.co/eBR0LGoXEV https://t.co/7Apbk0Adxb",12,0,2015-04-14 10:11:59
"@X2Eliah Sounds OK now. thanks for mentioning.",0,0,2015-04-14 10:11:46
"@Cornerdevil Sounds OK now. Thanks for mentioning.",0,0,2015-04-14 10:11:32
"Wow! So flying these things deep in space pays off after all! https://t.co/PmGWbMKNuO",14,13,2015-04-14 10:08:20
"Webcast of today's presentations from Planetary Defense Conf #pdc2015 now live http://t.co/TEnl4eqEQY",15,12,2015-04-14 07:47:37
"There are 5 issues we need to address to prevent asteroid impacts - all being addressed at #pdc2015  https://t.co/KZ3tvFj5dV",7,6,2015-04-13 19:05:34
"21:30 CEST start https://t.co/P1TeoMRb3N",9,6,2015-04-13 19:03:04
"From ESA's Detlef Koschny: 1st day of #pdc2015 is almost over. Great so far! Follow live http://t.co/A6kCFuz5Mn http://t.co/4V79N2Cq8U",6,11,2015-04-13 15:36:00
"Win a trip to where we work! https://t.co/KHr0RO0B2G",5,7,2015-04-13 13:52:15
"#Pacman eating our solar system? #SpaceInvader art arrives @esaoperations. #space2iss http://t.co/cyEYnCO5Zu http://t.co/ACJHoMJS9i",23,35,2015-04-13 13:19:31
"#pdc2015 Hypothetical #Asteroid Impact Scenario http://t.co/g4OoMf5PXd How we might respond to a real impact threat http://t.co/63CHP0lMe9",89,71,2015-04-13 10:18:13
"RT @ESA_Rosetta: RT @esascience: Tomorrow, 14 April 12:00CEST: Latest results from @ESA_Rosetta presented at #EGU15. Follow live via http:/…",50,0,2015-04-13 09:52:45
"RT @mggtTaylor: Come and find out about @ESA_Rosetta @esascience at #EGU2015 with @claudiascosmos and me http://t.co/iazrNyZCeZ",23,0,2015-04-13 09:52:34
"@TheCavac will pass this to the tech guys",0,0,2015-04-13 08:09:21
"Starting shortly! 09:00CEST 2015 IAA Planetary Defense Conf live from ESA/ESRIN #pdc2015 http://t.co/wjfgyilInN http://t.co/HFNNW5IvfY",7,12,2015-04-13 06:55:01
"... and you've seen #FirstOrbit, the Movie, right? #YurisNight #ICYMI https://t.co/nmriodmpxa",8,12,2015-04-13 06:24:37
"#ICYMI Yesterday's #YurisNight greeting from @AstroSamantha on board the #ISS https://t.co/hS5NH0MR0O",8,6,2015-04-13 06:23:36
"Watch starting 09:00CEST today: 2015 IAA Planetary Defense Conf live from ESA/ESRIN #pdc2015 http://t.co/TEnl4eqEQY http://t.co/COmmo8rtjR",7,10,2015-04-13 06:18:38
"#YurisNight greetings from space! Thank you @AstroSamantha  https://t.co/WwMrHoLHx7",18,22,2015-04-12 19:52:25
"RT @astro_timpeake: Special #CosmonauticsDay wishes to those off the planet today! @AstroSamantha @@AstroTerry @StationCDRKelly Gennady, Mi…",42,0,2015-04-12 19:39:05
"RT @wilselwood: Big thanks to everyone @spaceappslondon this weekend. Congratulations to @SpaceKate and @Steve_Upton on winning again.",5,0,2015-04-12 19:29:36
"RT @kpcuk: @esaoperations ;) #YurisNight  .　. ´ CCCP `.  　/　 . - ー - .\ .-|　 (◖▔≠▔≠▒ |' \ ．\﹅ .＿.- / |. -'ー : : ̲̅_̲̅_̲̅ .̲̅'|´ _ |　　\　　（Ｖ　…",17,0,2015-04-12 19:26:56
"RT @jarimakinen: It's Yuri's Day, 54 years since first human in space. So, here's a movie for tonight: https://t.co/YKA0dLMfr6",47,0,2015-04-12 19:26:46
"RT @esa: #yurisnight RT @astro_andre: 12 April 1961. Yuri Gagarin first human to orbit Earth. Today international space day http://t.co/6Ou…",655,0,2015-04-12 19:26:21
"After 3 days of hacking &amp; coding for #spaceapps, what now? #YurisNight party of course! https://t.co/HurmnRE5qh http://t.co/IlLPyJXWB2",62,58,2015-04-12 15:41:08
"RT @Thom_astro: Happy #GagarinDay everyone! 54 years ago, an amazing adventure started. 2day I need u to keep it going: do your part! http:…",111,0,2015-04-12 15:37:43
"Live webcast from Planetary Defence Conf #pdc2015 13-17 Apr http://t.co/ByodpURfcD Schedule: http://t.co/rEZQC659aS http://t.co/xSHFayK8IH",30,35,2015-04-12 14:00:00
"Looks like something for @ESATelerobotics  https://t.co/DPz6X1nPHV",8,4,2015-04-12 07:27:02
"RT @NASA_Dawn: Not yet, @AndrewLabmonkey, data today, images sometime next week, just a sliver of #Ceres.. Moving to the #sunnyside! http:/…",51,0,2015-04-10 18:38:47
"In Italy on 15 Apr? Join Mat Kaplan &amp; the team from @PlanRad at a fabulous public event all abt #asteroids #pdc2015 http://t.co/jrlwWM7gLU",14,8,2015-04-10 18:38:33
"#FF Thanks for the RTs this week! @universe2691 @SpaceHolgar @AmyAmylou1993 @josdelijster @mikelatsmac #PDC2015 #antarctica",4,7,2015-04-10 14:02:59
"Impressive is an understatement! #lightning from space https://t.co/oHe3XEOhvN",5,6,2015-04-10 13:59:05
"#PDC2015 media event speakers incl top #asteroid folks from @esa, @nasa, #SecureWorldFoundation &amp; Axiom #neo http://t.co/wTuBd8Zdx1",1,2,2015-04-10 13:50:00
"Live webcast from Planetary Defence Conf #pdc2015 13-17 Apr http://t.co/A6kCFuz5Mn Schedule: http://t.co/9Ph4JQL9qJ http://t.co/QuwBu7IdVk",11,10,2015-04-10 13:29:23
"Which #SpaceAppChallenge will you tackle this weekend? They are all over the world: https://t.co/4aCEbao9d9 http://t.co/Xc0S8rb3Hy",22,12,2015-04-10 12:49:05
"This week #Bulgaria also signed a cooperation agreement with @esa http://t.co/Hyp582HWC1 https://t.co/XpDSh7OtzK",14,12,2015-04-10 11:00:51
"And for media/press wishing to join the full #PDC2015 week, register via https://t.co/ff3Y1Ls06r World's top #asteroid people in one room!",5,10,2015-04-10 08:46:18
"Media/press invited to briefing 16 Apr at Planetary Defence Conf #PDC2015 ESRIN http://t.co/g0sl5vQQZ3 http://t.co/hVkSei96cK",15,11,2015-04-10 08:44:35
"Hard work pays off! https://t.co/IbmW9xMn2z",12,18,2015-04-10 08:38:05
"RT @Astro_Andreas: Astro trainer Elisabeth @ESA_EAC teaches me all about endothelial cells for @ISS_Research in this vlog https://t.co/dfhF…",31,0,2015-04-09 15:36:40
"RT @esa: #SpaceInvader at ESOC!  A rather special Solar System for @ESAoperations https://t.co/ibUGd7se4x http://t.co/lv33GehewF",187,0,2015-04-09 14:49:15
"Remote #Antarctica outpost, 1670 km from South Pole talks with astronaut in space https://t.co/VF2tmVfbrd",13,18,2015-04-09 08:09:59
"Serene RT @AstroSamantha An #aurora in the distance and the Space Station bathed in moonlight. #CalmBeauty http://t.co/PCmyWHQ4TL",34,31,2015-04-08 16:20:18
"Reaching great heights: @esa's @Thom_astro with basketball stars @tonyparker &amp; @theborisdiaw http://t.co/ouhmzedn3c http://t.co/k5VVoL4Zng",9,15,2015-04-08 14:12:00
"Spring cleaning on #ISS. Even astronauts cannot escape it... https://t.co/9aPsu8kBjt",11,16,2015-04-08 12:26:32
"So de we! RT @AstroSamantha: I find it fascinating to look at the details of our solar panels. #OurOutpostInSpace http://t.co/EPHKoE2ZOI",21,27,2015-04-07 15:13:27
"RT @Bethahealey: Happy Easter from Dome C! @esa @esaoperations @ItaliAntartide http://t.co/nPWbug5thO",23,0,2015-04-05 05:57:52
"We finally wrapped up the #ATV5 prizes. Thanks for your patience and pictures. http://t.co/nCmRuFDlOk http://t.co/fwwYqpea1V",29,36,2015-04-03 15:07:02
"The #ATV5 spacecraft programme in numbers. An excellent #infographic from @CNES http://t.co/CXULw0SM1O http://t.co/YiFOHSXggl",43,37,2015-04-03 14:13:09
"@NeilRodrigues1 good suggestion, please submit all mission names via this page: http://t.co/AkBmtoYcyp",0,1,2015-04-03 14:10:34
"@Gastonsfriend great suggestions, enter them in the form here: http://t.co/AkBmtoYcyp",0,1,2015-04-03 13:23:01
