tweet,retweetsCount,favoritesCount,timestamp
"Грузовой космический корабль «Прогресс М-27М» отправлен на заправочную станцию: http://t.co/ODySjiUYxU http://t.co/F2ysTX5Loz",24,16,2015-04-14 16:05:04
"Заседание коллегии Роскосмоса: рассмотрены итоги работы в 2014г. и утверждены планы на 2015г. http://t.co/gGaOYSlftt http://t.co/62HUACdd4X",8,3,2015-04-14 11:44:55
"Завершены летные испытания космического аппарата  'Метеор-М' №2: http://t.co/uz50X6LQoJ http://t.co/N3hFTMhVGo",22,11,2015-04-13 14:25:12
"Возложение цветов к мемориалам С.П.Королёва и Ю.А.Гагарина у Кремлевской стены в знак вечной памяти и благодарности http://t.co/m4oXj6iv6g",65,44,2015-04-12 14:25:20
"12.04.1961г. сбылась самая дерзкая мечта человечества. 108 минут полета Ю.Гагарина изменили мир! С Днём космонавтики!https://t.co/IAtIXIHkf4",346,150,2015-04-12 01:50:31
"На космодроме Байконур идет подготовка к предстоящему пуску ракеты-носителя «Союз-2.1а»: http://t.co/oRWYPl3BEn http://t.co/z31Y7Mj8ix",38,22,2015-04-10 11:13:32
"Участники 41/42-й экспедиции МКС вновь встретились в Звёздном городке: http://t.co/sWmR7xNbRZ http://t.co/ivptWQkkcd",22,21,2015-04-09 17:45:07
"РОСКОСМОС, Росатом, и Билайн помогут поздравить ветеранов ВОВ с Днем Победы из космоса. http://t.co/bSYExocNmf http://t.co/dnWTrdjVxx",15,6,2015-04-09 12:14:55
"Грузовой корабль «Прогресс М-27М» доставит Знамя Победы на Международную космическую станцию: http://t.co/rVTd4PEsoW http://t.co/WyuAACvImI",41,19,2015-04-09 07:01:05
"Два разгонных блока «Фрегат» готовятся к отправке во Французскую Гвиану: http://t.co/nftSW7S1jL http://t.co/qExxvNqRTa",15,4,2015-04-08 16:46:34
"На Байконуре продолжаются работы с мексиканским спутником связи MexSat-1: http://t.co/3eAxNlLIEF http://t.co/ltENvJ4K3P",30,13,2015-04-06 15:43:20
"На Байконуре начались работы по подготовке к пуску ракеты-носителя «Протон-М» с мексиканским спутником связи MexSat-1:http://t.co/CSvtumixFI",21,8,2015-04-03 16:43:00
"Школьники – победители конкурсов Роскосмоса посетили космодром Байконур и увидели старт пилотируемого корабля: http://t.co/LcQGjciaH8",19,12,2015-04-02 08:22:44
"RT @AntonAstrey: Супертайфун 'Майсак', бушующий в Тихом океане // Super Typhoon Maysak swirling in the Pacific Ocean http://t.co/HsOT5gVlz8",207,0,2015-04-01 14:45:02
"Роскосмос стал участником 33-й сессии Межагентского координационного комитета по космическому мусору: http://t.co/J53z5KHUpK",8,4,2015-03-31 14:22:47
"Экипаж «Союз ТМА-16М» впервые использовал планшетный компьютер в ходе полета: http://t.co/N1BU3GP0Ob http://t.co/jWkits8kEE",38,23,2015-03-30 12:09:16
"Российский телекоммуникационный спутник «Экспресс-АМ7» достиг геостационарной орбиты: http://t.co/wNdqCBXOyg http://t.co/uuE4tK78wH",30,15,2015-03-28 17:27:39
"Переходные люки открыты! Экипаж МКС-43/44 в полном составе! http://t.co/DXNpG02uFb",70,45,2015-03-28 03:54:43
"Космические аппараты «Галилео FOC» М2 выведены на расчетную орбиту: http://t.co/izxjbB3zoz http://t.co/OmuFeaVbIt",20,13,2015-03-28 02:52:47
"Пилотируемый корабль «Союз ТМА-16М» успешно пристыковался к МКС: http://t.co/mCUfPSKL2S http://t.co/M8T0CBJ5Pl",66,42,2015-03-28 01:40:03
"Из Гвианского космического центра состоялся пуск российской ракеты-носителя «Союз-СТ-Б»: http://t.co/xm3uuJilRg http://t.co/IOkrAkFq71",29,22,2015-03-27 21:57:05
"Состоялся запуск пилотируемого корабля «Союз ТМА-16М»: http://t.co/vPXZbXxssr http://t.co/OAQEOqAtrc",106,44,2015-03-27 19:52:26
"Ключ на старт.  Прямая трансляция: http://t.co/he0lQThGCE http://t.co/vJAvIbpLUS",39,24,2015-03-27 19:37:38
"Экипаж корабля закрыл гермошлемы. Готовность к пуску 5 минут.  Прямая трансляция: http://t.co/he0lQThGCE http://t.co/A39j4j6myQ",46,19,2015-03-27 19:34:08
"Новый экипаж МКС в пилотируемом корабле «Союз ТМА-16М». Прямая трансляция: http://t.co/he0lQTzi1e http://t.co/syyMdi36Iw",42,27,2015-03-27 18:17:00
"Экипаж поднялся в космический корабль «Союз ТМА-16М». Трансляция с космодрома Байконур: http://t.co/he0lQTzi1e http://t.co/eKKtF9brjx",58,27,2015-03-27 17:18:56
"За заключительными операциями по подготовке к пуску и стартом следите на нашем сайте: http://t.co/he0lQTzi1e http://t.co/VbwLX3JWyi",35,23,2015-03-27 16:55:01
"Госкомиссия приняла решение о готовности РКН «Союз-ФГ» с ТПК «Союз ТМА-16М» к заправке компонентами топлива и пуску: http://t.co/cR6zkRVGL1",11,7,2015-03-27 14:46:33
"Предстартовая пресс-конференция экипажей «Союз ТМА-16М»: http://t.co/8sjiGsHK1c http://t.co/lpLxHa3ari",43,15,2015-03-26 17:22:43
"Государственная комиссия утвердила экипажи транспортного пилотируемого корабля «Союз ТМА-16М»: http://t.co/4W8etC2xnm http://t.co/b0o99N0eY8",45,25,2015-03-26 11:36:08
"Продолжается работа над проектом «Миллиметрон»: http://t.co/DgYmmQiQxB http://t.co/XhzS7r7mi8",39,15,2015-03-25 13:35:50
"Пилотируемый космический корабль «Союз ТМА-16М» доставлен на стартовый комплекс: http://t.co/pfvLYDBPjU http://t.co/WMQVgyqoBf",66,38,2015-03-25 09:39:18
"Завершена общая сборка ракеты-носителя «Союз-ФГ» с космическим кораблём «Союз ТМА-16М»: http://t.co/zO2ux7sesC http://t.co/vitQcwuIhU",37,14,2015-03-24 14:48:02
"Андрей Калиновский возглавил ГКНПЦ им. М.В. Хруничева: http://t.co/jTx4MrnxSP http://t.co/HWhA3yb7Bv",9,1,2015-03-24 14:00:38
"Экипажи «Союз ТМА-16М» провели контрольный осмотр корабля: http://t.co/G5BZAYCfXm http://t.co/RO24EtqYTM",29,19,2015-03-23 11:53:47
"Экипажи «Союза ТМА-16М» провели открытую тренировку: http://t.co/bkVifrxd1q http://t.co/Tijd1C8amx",13,9,2015-03-22 14:43:16
"50 лет главному «космическому» Министерству СССР – Министерству общего машиностроения: http://t.co/TXmRG3CiP9 https://t.co/w3O8xejbTj",25,12,2015-03-20 17:49:47
"RT @RT_russian: Космонавт Антон Шкаплеров рассказал RT о жизни на МКС (ВИДЕО) http://t.co/9fADt85KWR http://t.co/nHvaLg4tna",59,0,2015-03-20 11:50:07
"В 10:18 мск телекоммуникационный спутник «Экспресс-АМ7» выведен на целевую орбиту: http://t.co/rYMvJB6fhK http://t.co/oJP6KxccmU",29,9,2015-03-19 07:28:26
"19 марта в 02:45 мск состоялась корректировка орбиты Международной космической станции: http://t.co/9lKPmxdIOO http://t.co/9aV0LTmvSb",25,13,2015-03-19 06:42:14
"Ракета-носитель «Протон-М» с КА «Экспресс-АМ7» стартовала с космодрома Байконур: http://t.co/gUAB3kHlqh http://t.co/gKl9fa6Oqg",57,29,2015-03-18 22:10:20
"Госкомиссия приняла решение о заправке РКН «Протон-М» компонентами топлива: http://t.co/2rqw1lHYE8 http://t.co/6Pa3VGWfvs",25,12,2015-03-18 15:15:00
"50 лет первому шагу человека во Вселенную: http://t.co/ZBO9DEh742 http://t.co/gxI8a6fttN",137,96,2015-03-18 07:33:43
"Космический корабль «Союз ТМА-16М» доставлен в МИК: http://t.co/bQf8edB2hN http://t.co/nxhwvsavO8",21,6,2015-03-17 14:31:34
"Началась подготовка «Гагаринского старта» к пилотируемому пуску: http://t.co/FOXZQHsz0d",11,5,2015-03-16 14:43:10
"Первая тренировка участников Годовой экспедиции на Байконуре: http://t.co/ILe2lh0PhS http://t.co/sDqRyaooP4",10,8,2015-03-16 14:23:30
"Космический аппарат «Экспресс-АМ7»доставлен на стартовую площадку.Запуск запланирован 19 марта http://t.co/h5ICpahVII http://t.co/MBH0S962f3",54,21,2015-03-15 18:13:01
"Космонавты Елена Серова и Александр Самокутяев ответили на вопросы журналистов: http://t.co/qSkLYPRHLv http://t.co/XrQmhPd9be",40,23,2015-03-14 14:08:36
"Основной и дублирующий экипажи «Годовой экспедиции» отправились на Байконур: http://t.co/YM6kkORYEL http://t.co/VrHjnvhYRq",34,16,2015-03-14 14:05:59
"Игорь Комаров возглавил комитет Союза машиностроителей Российской Федерации: http://t.co/ULDcrCRucl http://t.co/w7lBvnU2i3",8,2,2015-03-13 12:44:29
"Космический аппарат 'Экспресс-АМ7' вывезен на технологическую заправочную площадку: http://t.co/rZM6noa8jc http://t.co/pERzOOMQbb",24,12,2015-03-13 11:31:12
"Школьники осуществили первую «посадку на Марс»в рамках Всероссийской недели высоких технологий:http://t.co/xE0xg6DlfC http://t.co/kKuHzaZYAk",11,9,2015-03-12 14:40:14
"Экипаж МКС-41/42 благополучно вернулся на Землю: http://t.co/NscUenB42S http://t.co/LzEIoWZ4qf",120,60,2015-03-12 02:30:02
"Транспортный пилотируемый корабль «Союз ТМА-14М» штатно отстыковался от МКС: http://t.co/wtZQPgmKF8 http://t.co/udGnsMunhY",36,21,2015-03-11 22:45:20
"Переходные люки между ТПК «Союз ТМА-14М» и МКС закрыты. Расстыковка запланирована в 1:44 мск. http://t.co/dpJrDSgffI",25,20,2015-03-11 19:48:54
"В конце мая 2015 года состоится Всероссийская молодежная научно-практическая Конференция «Космодром «Восточный»: http://t.co/Abb7YP3phA",11,4,2015-03-11 15:03:42
"Экипаж МКС-41/42 готовится к возвращению на Землю: http://t.co/z3B0rtAz7Q http://t.co/eBREdGIJBB",29,22,2015-03-11 08:40:41
