tweet,retweetsCount,favoritesCount,timestamp
"Good friends @Astro_Tim and Brit @Astro_TimPeake will join @StationCDRKelly on #ISS in Nov. #UnionJack @NickFaldo006 http://t.co/wnYqvqDfRb",5,11,2015-04-14 14:51:59
"ULA unveils its future with the Vulcan rocket family | Spaceflight Now http://t.co/RtBrGVrrS2",3,0,2015-04-14 13:54:54
"Great picture of @NASA_JSC taken from #ISS by @StationCDRKelly #yearinspace http://t.co/OhaVsr1OSO",8,9,2015-04-14 00:15:35
"From Shuttle to Hubble: An Interview with Dr. Story Musgrave http://t.co/6hNg5en8Er via @americaspace",6,7,2015-04-13 16:10:13
"Dawn of an Era: Remembering Shuttle Columbia's Maiden Launch http://t.co/ktLPrmnW6z via @americaspace",5,6,2015-04-13 13:14:10
"SpaceX Approaches 50-Percent Complete on NASA Contract as CRS-6 Dragon Prepares for Monday Launch http://t.co/DmAurike58 via @americaspace",1,7,2015-04-12 12:42:06
"Third Time's the Charm? SpaceX Rocket-Landing Pad Sets Sail for Monday Booster Landing Attempt http://t.co/MNp38GvfdR via @americaspace",0,5,2015-04-11 18:33:48
"@NickFaldo006 @GolfChannel Go Tiger! Go Ernie! #Masters2015",0,0,2015-04-10 15:34:19
"What makes a Dragon: a quick guide to the SpaceX capsule -  http://t.co/wVqIsNzmwD",3,5,2015-04-09 15:19:02
"RT @NASA: Want to #SpotTheStation flying over your house? Get alerts when @Space_Station  flies over: http://t.co/FVuxxaGBXI http://t.co/jJ…",1048,0,2015-04-04 19:56:51
"Clear Lake rocket company wins major NASA contract - News - Houston Community Newspapers http://t.co/2Wial31pUd via @ScoopHouston",3,6,2015-04-04 16:45:09
"Stunning Views of Earth From Space http://t.co/MrjytGA2Ub",8,7,2015-04-03 15:03:35
"Pushing the Boundaries of Propelling Deep Space Missions | NASA http://t.co/HXp7tWHZUl",3,5,2015-03-31 16:04:19
"Godspeed Scott! @StationCDRKelly launching to #ISS today for #YearInSpace. Follow along at http://t.co/aKMR1ZhV0q",7,7,2015-03-27 16:48:55
"Proud to have @TheRealBuzz Aldrin following me! I need to up my game! #Apollo11 #GreatAmerican We stand on shoulders of giants! 🚀",9,18,2015-03-27 00:27:26
"Coming home from #STS-123 7 years ago today with @Chief_Astronaut, @Astro_Box et al. Nice landing #AstroDom! http://t.co/en0Ok7V5c5",15,27,2015-03-26 14:12:32
