tweet,retweetsCount,favoritesCount,timestamp
"@ESA_CAVES Thank you! But... What is the reason of congrats? :)",0,0,2015-03-30 15:37:26
"Удачи! Увидимся через год! #oneyearmission Good luck! See you in one year! http://t.co/HInyziSzRY",6,8,2015-03-14 06:05:13
"Добро пожаловать домой! Welcome home! http://t.co/b4WqcX76ST",6,10,2015-03-12 15:31:19
"Дом, в котором Гагарин родился и рос. /// The house where Gagarin was born and grew up. http://t.co/QL7aCOq2iX",38,32,2015-03-09 11:17:36
"Встреча с ветеранами и празднование 55-летия отряда. 55 anniversary of cosmonaut team. Celebrating with veterans. http://t.co/EitB1oDtic",3,4,2015-03-09 05:00:02
"@LiNa8294 Happy New Year! I have one, Gagarin ;) the other one I haven't seen. Thank you!",0,1,2015-01-08 12:01:11
"@LiNa8294 cool!",0,1,2014-12-31 13:55:16
"@ESA_CAVES January 11 :) long long holidays!",0,2,2014-12-25 21:38:39
"@ESA_CAVES Merry Christmas! Good luck, be Happy! http://t.co/O54QGRYZh2",0,3,2014-12-25 20:31:40
"@AndreyEfremovN @VRSoloviev точно, главное не перепутать!",0,0,2014-12-23 16:10:49
"Первый пуск РКН #Ангара-А5 тяжелого класса. First lounch pf new Russian havy rocket #Angara-A5. http://t.co/WKG2ipOAWF",1,4,2014-12-23 15:02:55
