tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroSamantha: A new meteorological phenomenon? The Soyuz effect? :-) / (IT) Un nuovo fenomeno meteorologico? l'effetto Soyuz ? :-) htt…",686,0,2014-12-18 03:42:54
"RT @NASAhistory: #Today in 1992,the  Galileo probe takes this photo of the Earth-Moon system http://t.co/FR6lJZd8nr http://t.co/fmsumHv57Q",278,0,2014-12-18 03:42:28
"RT @AstroTerry: #goodmorning west coast of #Mexico with sunglint on the Pacific http://t.co/Ta3svpVoBh",391,0,2014-12-18 03:42:21
"RT @astro_Pettit: Here is my Twitter background collage;  I have had some requests to tweet this http://t.co/vsYimkOXXg",42,0,2014-12-18 03:42:17
"RT @AstroSamantha: Can't get over my fascination with #clouds. How about these over South America? #Futura42 http://t.co/EMjeKwNJAn",246,0,2014-12-18 03:41:53
"RT @AntonAstrey: Северная часть острова #Мадагаскар, #город #Анциранана //  #Antsiranana, the Northern part of #Madagascar http://t.co/t4My…",66,0,2014-12-18 03:41:42
"RT @Astro_Satoshi: 火星のオリンポス山、高さ約25kmでエベレスト山の約3倍“@BEAUTIFULPlCS: Mt. Olympus, #Mars. http://t.co/aJTnbFh6Vh”",286,0,2014-12-18 03:41:16
"RT @Astro_Alex: The fertile green of the #Nile banks almost looks black from space. #BlueDot archives https://t.co/3GsP8nR9pi http://t.co/k…",89,0,2014-12-18 03:41:11
"RT @AstroSamantha: L+22: Had my first HAM radio contact with 2 italian schools: great questions and so much fun! https://t.co/cxNlxg8wpn ht…",264,0,2014-12-18 03:41:01
"RT @AstroSamantha: Who says that it rains all the time in #England? We've been having amazing clear views from up here! #HelloEarth http://…",1070,0,2014-12-18 03:40:52
"RT @AstroSamantha: I hope you guys and girls in #London were smiling last night, because you were on camera! http://t.co/KOGOjXyUgj",564,0,2014-12-18 03:40:44
"RT @JAXA_jp: 日本人初の国際宇宙ステーション船長に就任した若田光一、NASA宇宙環境模擬訓練で船長に任命された星出彰彦。国際的な現場でリーダーを経験した2人の宇宙飛行士による、オトナのための特別対談が実現。本音トークの一夜をお楽しみください。 http://t.co…",67,0,2014-12-18 03:40:20
"RT @Astro_Kimiya: 4時間程かけて実験の為のデータ取得を行いました。飛行前・中・後の脳の働きについて調べる実験です。脳のMRIを取りながら、様々なタスクを実施する時間もありましたよ。私自身も実験の結果にとても興味があります。私の身体を使って様々な実験を行い、皆様…",27,0,2014-12-18 03:40:13
"RT @JAXA_jp: [「はやぶさ2」特設サイト] はやぶさ2カウントアップレポート　“L＋（エルプラス）” 始動 #hayabusa2 http://t.co/IO6Xi8YlBq",47,0,2014-12-18 03:40:07
"RT @AstroTerry: #Sunset on #ISS http://t.co/CI2iAF9ZFz",1773,0,2014-12-18 03:39:47
"RT @Astro_Wakata: NASA Johnson Space Center 2014 Highlights: http://t.co/FL387PAHoz via @YouTube 2014 has been an exciting year!",55,0,2014-12-18 03:39:30
"RT @NASA_EO: Italy at Night http://t.co/O91IPxzI6I #NASA http://t.co/edomFulUEg",3868,0,2014-12-18 03:39:11
"RT @AstroSamantha: L+20 L+21: Logbook. The @Space_Station is starting to feel like my home... https://t.co/3pSv8OgVio http://t.co/QM6MSb6o17",276,0,2014-12-18 03:39:02
"RT @AstroSamantha: We like to joke that we did surgery on the EVA suit last week with #AstroButch. We even had to wear gloves! http://t.co/…",107,0,2014-12-18 03:38:27
"RT @JAXA_en: [International Space Station (ISS) / Kibo Site] 'Pride' Tracing Japan's manned space activities http://t.co/3Y0tbT0jDa",7,0,2014-12-18 03:38:16
"RT @AstroSamantha: Caught brushing my teeth. This is my hygiene corner: almost like home, except that water comes in pouches ;-) http://t.c…",240,0,2014-12-18 03:38:07
