tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroTerry: Awesome shepherd's pie for dinner- last home cooked meal, last shower, etc.  I'm going to miss these things! http://t.co/MS…",176,0,2014-11-23 13:32:02
"RT @AstroSamantha: And here's the little hatch up close. @AstroTerry, @AntonAstrey and I before our final check. #Futura42 http://t.co/buqa…",91,0,2014-11-20 02:12:44
"RT @AstroTerry: .@AstroSamantha and @AntonAstrey and I in our #Soyuz - next time we are here will be launch day- 2100 GMT on 23 Nov http://…",67,0,2014-11-20 02:12:08
"RT @OlegMKS: Города мира - #Сантос #Бразилия #МКС (Cities of the World - #Santos #Brazil #ISS) #BlueDot http://t.co/UQTFTuGWzk http://t.co/…",47,0,2014-11-20 02:09:43
"RT @AstroTerry: Mostly a free day today. When you're leaving earth in a week, what's important and what's not becomes more clear! http://t.…",246,0,2014-11-16 15:13:36
"RT @Astro_Alex: Look closely, you see a very high &amp; faint band of a polar mesospheric cloud on this photo. https://t.co/yWAOI6mmnR http://t…",258,0,2014-11-16 15:13:27
"RT @AstroSamantha: Our awesome backups @astro_kjell, @Astro_Kimiya &amp; Oleg went on traditional visit of Baikonur monuments &amp; museum today ht…",55,0,2014-11-16 15:13:04
"RT @AstroSamantha: Brings back memories of when we went as backups last May. Here's photo album: https://t.co/Z0zXL05xol #WarmerWeather htt…",51,0,2014-11-16 15:12:26
"RT @AstroSamantha: Although a bit rigid, those #spacesuits were up for some fun during #MeetYourSpaceship day. #Futura42 http://t.co/wxQMyF…",187,0,2014-11-16 15:12:00
"RT @AstroTerry: Something every astronaut does before launch- Soyuz or Shuttle, it doesn't matter- autograph thousands of pictures http://t…",46,0,2014-11-16 15:11:14
"RT @AstroTerry: Nice panorama of the 'Cosmonaut Alley' where every person who has launched from Baikonur plants a tree http://t.co/1N3Q2oAk…",204,0,2014-11-14 21:36:36
"RT @AstroTerry: This guy will be flying with me and @AntonAstrey and @AstroSamantha in 9 days and 1.5 hours on #Soyuz TMA-15M http://t.co/k…",227,0,2014-11-14 21:34:48
"RT @AstroTerry: Another selfie from the tilt table of me and @AstroSamantha - getting used to fluid shift to the head http://t.co/CbpaNGsMf0",73,0,2014-11-14 21:34:34
"RT @fka_roscosmos: Новая запись Елены Серовой в блоге 'Почтовый ящик МКС': http://t.co/PmaX31f9eD http://t.co/jCxhbBV3ly",80,0,2014-11-14 21:28:48
"RT @AstroTerry: Preparing to go into our spacecraft for our first 'fit check'- with @AntonAstrey and @AstroSamantha http://t.co/Bkwag6GauE",44,0,2014-11-12 14:17:07
"RT @AstroSamantha: L-18: Logbook. Looking back at the #Soyuz exams last week! https://t.co/HR2Aodan5P #Futura42 #SamLogbook http://t.co/reN…",80,0,2014-11-06 16:38:42
"RT @AstroTerry: Sitting before the board for #soyuz exam today - it was no problem with @AstroSamantha and @AntonAstrey on my crew! http://…",52,0,2014-10-27 15:19:51
"RT @AstroTerry: 1 month to launch!  And our last Soyuz training sim today too... http://t.co/basKC5Xq9O",75,0,2014-10-25 08:47:32
"RT @AstroSamantha: Last #Soyuz sim done. Next wk exam &amp; next time we'll climb into our own spaceship. Btw, it will be even more cramped! ht…",126,0,2014-10-25 08:46:06
"RT @AstroSamantha: And now with @AntonAstrey &amp; @AstroTerry back in the #Sokol suit for last training sim before final exam! #Futura42 http:…",96,0,2014-10-24 09:54:12
"RT @astro_reid: Lake Erie was attempting to draw Cape Cod shapes in its eddies near Long Point Provincial Park #Ontario #Canada http://t.co…",458,0,2014-10-24 04:36:17
"RT @astro_reid: Clouds almost perfectly bisected #Houston this afternoon. http://t.co/PdL80RBpbH",321,0,2014-10-24 04:35:11
"RT @lionelferra: one can finally understand crew rotation &amp; numbering w/ the brochure http://t.co/6iPQzMI5Nl @AstroSamantha #futura42 http:…",34,0,2014-10-24 04:34:11
"RT @esa: Final day! Suggest a name for @ESA_Rosetta's @Philae2014 landing site #NameJ http://t.co/lcYvDzqzSc http://t.co/ocxLmqQLK8",66,0,2014-10-23 09:36:49
"RT @crazy_kutas: Осень и зима встретились в Колорадо, США. http://t.co/S0FyrTCo2v",312,0,2014-10-19 18:08:32
"RT @OlegMKS: Краски Земли. #Остров Жуан-ди-Нова #МКС (Earth Paints - Juan de Nova #Island #ISS) http://t.co/gM2o86M6u7 http://t.co/zqf4p45Q…",72,0,2014-10-19 18:00:31
"RT @AstroSamantha: Smaller arm, so it spins faster for same number of Gs. Cabin seems to oscillate a lot more when the spinning stops. http…",34,0,2014-10-17 11:02:31
"RT @AstroSamantha: Btw, this is the big sister, 18-m #centrifuge, now in maintenance. More pics in this album: https://t.co/MvUQNEn3fw http…",21,0,2014-10-17 11:02:23
"RT @izvestia_ru: Россияне с легкостью переносят западные санкции http://t.co/vd0gXVfXU3 http://t.co/bGNzXP6l3l",73,0,2014-10-16 10:04:45
"RT @OlegMKS: #Крым #Красноперекопск Перекопский перешеек (#Crimea #Krasnoperekopsk Isthmus of #Perekop #ISS http://t.co/55tMjhzsp1 http://t…",49,0,2014-10-16 07:59:26
"RT @ObservingSpace: Auroral corona over Norway http://t.co/oPwisjf9Ig #apod #aurora #northernlights #norway http://t.co/R59KKBU367",129,0,2014-10-14 09:33:23
"RT @spacetihon: Самолёт-лаборатория ИЛ-76. Тренировки на невесомость. Flying laboratory for Zero-G training! http://t.co/XKiSPnuFCq",13,0,2014-10-14 09:32:05
"RT @spasmunkey: Did you see this pic of @BlueAngels that Rick Shelton took over the @GGBridge? #FleetWeekSF http://t.co/F8BGPv4RqF",33,0,2014-10-14 09:31:37
"RT @OlegMKS: Города России — Город-герой #Волгоград #МКС (Cities in #Russia – #Volgograd #ISS) #BlueDot http://t.co/oQ22JWQRCb http://t.co/…",35,0,2014-10-14 09:29:02
"RT @AstroTerry: Happy Columbus Day.  Here's to future centuries of exploration.... http://t.co/NvLJlblQuj",16,0,2014-10-14 09:26:26
"RT @Astro_Alex: Awe inspiring: #aurora fleeing from an imminent #sunrise that is already reflecting in our cargo ship's solar panels. http:…",224,0,2014-10-13 05:58:28
"RT @OlegMKS: #МКС над океаном (#ISS over the #Ocean) @BlueDot http://t.co/pC6zJdMddo http://t.co/tLlpIXay6B",38,0,2014-10-12 08:50:54
"RT @AstroSamantha: (IT) #DiarioDiBordo L-43 RT @amoroso: Farsi un’ecografia.. con un bel po’ di aiuto! http://t.co/0LrQ6u1f5P #futura42 htt…",16,0,2014-10-12 08:50:42
"RT @AstroSamantha: Happy Sunday from Star City! And remember, whatever happens, #Exp42 says: #DontPanic ! cc: @AstroTerry, @AntonAstrey htt…",36,0,2014-10-12 08:50:30
"RT @AstroSamantha: Ha, ha! Good old @SpaceHumor !  '@datachick: Still awesome. @astrosamantha  http://t.co/yDVycUduGp http://t.co/aXh6jtv9p…",49,0,2014-10-12 08:50:16
"RT @Astro_Alex: The road from #Moscow to St. Petersburg. #BlueDot http://t.co/VVPZMVSAXs",734,0,2014-10-12 08:50:00
"RT @OlegMKS: Открытое пламя при микрогравитации на #МКС (Strange Flames on the #ISS) http://t.co/vXs1alWAk5",26,0,2014-10-12 08:49:44
"RT @AstroSamantha: L-43: Logbook. Doing ultrasound on myself... with a lot of guidance! https://t.co/xGtV2GGc49 #Futura42 #SamLogbook http:…",33,0,2014-10-12 08:49:23
"RT @OlegMKS: October 10. A solemn meeting of the #ISS-39/40 Crew Members (more photos in blog) http://t.co/SwDzn0sj5Q http://t.co/YDhp9VHnwk",16,0,2014-10-12 08:48:53
"RT @OlegMKS: 10 окт. Торжественная встреча экипажа 39/40-й длительной экспедиции на #МКС (ещё фото в блоге) http://t.co/SwDzn0sj5Q http://t…",12,0,2014-10-12 08:48:45
"RT @lionelferra: quick reminder @AstroTerry , next time (in 44 days 6 hours) in that bus, it’s you again. But on the front row. http://t.co…",7,0,2014-10-12 08:46:00
"RT @jnmatthew: Buttons and switches to manually shutdown the Shuttle engines or manually separate the boosters or tank. #scarystuff http://…",18,0,2014-10-12 08:45:18
"RT @jnmatthew: A Buran simulator as I saw it in Star City in 2005. It was gone the next year. I don't know where it went. http://t.co/MUs30…",3,0,2014-10-12 08:45:03
"RT @AstroSamantha: Didn't get to #ISS in our simulator session today with @AntonAstrey. #Soyuz leaking after launch - emergency descent! ht…",24,0,2014-10-10 15:42:21
"RT @NBCNightlyNews: BREAKING: MORE: Thomas Eric Duncan, first person diagnosed with Ebola in U.S., has died http://t.co/FvT4GT1ekV http://t…",177,0,2014-10-08 17:12:31
"RT @Astro_Alex: Hello there! / Hallo! #spacewalk #EVA27 http://t.co/fiXUhz2gdN",423,0,2014-10-08 13:36:40
"RT @OlegMKS: Открыта аккредитация на торжественную встречу экипажа МКС-39/40 10 октября 2014 г. подр. - http://t.co/HmGHIjslNg http://t.co/…",12,0,2014-10-08 13:35:37
"RT @Astro_Alex: Learning to fly. #EVA27 #selfie http://t.co/LmoYKLaIJt",949,0,2014-10-08 13:34:45
"RT @Skye_Schwartz: End of the 1st spacewalk &amp; 2 more to come (planned) for October. 1 US and 1 Russian. Until then more science and more re…",2,0,2014-10-08 04:19:08
"RT @AstroSamantha: Good luck Alex! #EVA27 starts in a few hours. #shenanigansrock RT @ESA_de: Großer Tag für @Astro_Alex! http://t.co/sVB2A…",37,0,2014-10-08 04:10:12
"RT @VGChiefTrainer: This is the second SpaceShipTwo under construction in our hangar. All composite and all amazing! http://t.co/f7FTbd0I3S",3,0,2014-10-07 05:35:12
"RT @Astro_Alex: Outpost. #BlueDot http://t.co/6GPTIMpjX4",602,0,2014-10-07 05:33:14
"RT @astro_reid: Unbelievable #EarthArt over the desert of #Australia http://t.co/n6bqaSDY4P",751,0,2014-10-07 05:29:35
"RT @OlegMKS: Облачная Роза #МКС (Cloudy Rose #ISS) #BlueDot http://t.co/uTzBm8hlnH http://t.co/SEx3fP0kse",61,0,2014-10-07 05:29:22
"RT @astro_reid: #sunset from #ISS - a keen eye will find the hidden #Dragon arriving. https://t.co/gSqVoHanWV",755,0,2014-10-07 05:29:14
"RT @SpaceKate: Also, SPACE CHEESE! Freeze dried cheese designed for space. Crunchy, but surprisingly tasty. #IAC2014 http://t.co/Q9PrnlQuwt",7,0,2014-10-07 05:28:29
"RT @AstroTerry: Happy 80th birthday to my stepdad, Jack Coulson! http://t.co/1qkZAzD381",19,0,2014-10-02 04:35:48
