tweet,retweetsCount,favoritesCount,timestamp
"RT @AstronautAbby: RT @NASAKennedy: 1st pic by @nasahqphoto of @NASA_Orion &amp; ULA #DeltaIV at sunrise.  #KSCcoverpic http://t.co/OnziT9UjYc",14,0,2014-12-11 16:08:22
"RT @Astro_Cady: .@Astro2fish @astro_rex @smileypool: We're just 3 on a team of many, but everyone on the planet took a step forward when #o…",8,0,2014-12-07 15:07:18
"RT @Astro_Nicole: In Awe! @NASA: Earth as seen from #Orion during flight out to a peak altitude of 3,600 miles away from the planet. http:/…",125,0,2014-12-06 21:21:17
"RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/10o0bqob3o",1853,0,2014-12-05 15:06:49
"RT @Pitt_anchor: “@NASA_Astronauts: Fischer with Houston's ABC affiliate talking #Orion #EFT1 #AstroAp http://t.co/RLJknxQDAu” congrats @As…",3,0,2014-12-03 22:36:39
"RT @AstronautAbby: My first astro picture for my #OrionAdventure with @astro_rex and @Astro2fish --&gt; thx guys! #Orion #EFT1 http://t.co/q0O…",17,0,2014-12-03 14:16:17
"RT @Astro_Wheels: Taking that 'first step' on the journey of a lifetime...join us! #JourneyToMars #Orion #EFT1 http://t.co/y7f9E49UVD http:…",75,0,2014-12-03 13:15:01
"RT @SPACEdotcom: Orion Test Flight - Liftoff To Splashdown Elaborately Explained | Video http://t.co/LX0g3CqnQM http://t.co/GUqqNer6Oi",80,0,2014-12-03 13:12:55
"RT @MIT_alumni: Do you know your @MIT astronauts? Our infographic w/ @Astro-Cady, @Astro2fish, @TheRealBuzz http://t.co/jrusNaRCGV http://t…",8,0,2014-11-19 02:04:54
"RT @vr_doug: Teaching some SAFER flying to @usairforce test pilots -! @Astro2fish http://t.co/hh21iEzynX",3,0,2014-11-19 02:01:18
"RT @vr_doug: Edwards @usairforce Test-Pilots training EVA like an Astronaut. Houston - we don't have a problem - ! @Astro2fish http://t.co/…",6,0,2014-11-19 02:01:12
"RT @Astro_Ron: RT @virgingalactic A memorial fund has been set up for Mike Alsbury: http://t.co/tNyjznB70D",13,0,2014-11-07 03:08:24
"RT @NASA_Astronauts: #Airmen and @NASA_Astronauts @AstroTerry, @Astro_Cady, @Astro2fish wish the @usairforce a happy 67th bday! #AFBday htt…",46,0,2014-09-19 00:09:05
"RT @jason_mraz: It was an honor to sing for the #Exp40 astronauts living aboard the #ISS during our visit to @NASA_Johnson! http://t.co/XOD…",178,0,2014-09-14 17:44:12
"RT @MileHighReport: ISS astronaut rocking the @johnelway jersey on @nflnetwork, I like your style. http://t.co/RUNGLHzTIO",47,0,2014-05-09 03:32:20
"RT @vr_doug: @Astro2fish performing ISS EVA/Robotics procedure development, 'virtually in 3D'! http://t.co/wr7ZWqjbRd",3,0,2014-02-22 04:54:01
"RT @ESA_CAVES: Blessed by light #NotTheUsualSight #speleo http://t.co/rllzWy6ntp",6,0,2014-01-23 02:40:34
"RT @ESA_CAVES: Vatnajokull Glacier Cave, Iceland (photo Einar Runar Sigurdson) http://t.co/awHFvqxcES http://t.co/cSwnkRZV59",111,0,2014-01-23 02:21:16
