tweet,retweetsCount,favoritesCount,timestamp
"Astronaut candidates A. McClain and J. Cassada take gravitational field measurements - earth science training in NM http://t.co/STbIDgaTQ6",13,16,Wed Nov 05 12:00:05 +0000 2014
"Drew Morgan sketches his geologic map during earth science training in the Rio Grande gorge, New Mexico http://t.co/Pij6P9cZ9N",8,8,Wed Nov 05 11:55:44 +0000 2014
"Josh Cassada examines a rock specimen during earth science training in Rio Grande Gorge, New Mexico http://t.co/FHGtQjjDV0",6,4,Wed Nov 05 11:55:10 +0000 2014
"The Astronaut Candidate class of 2013 during earth science training in the Rio Grande Gorge, New Mexico http://t.co/SRBbC3RoEj",17,17,Wed Nov 05 11:54:27 +0000 2014
"RT @csregan: I've got to say that meeting the @AstroClass2013 has been a highlight! These people are going to do amazing things.",5,0,Wed Aug 06 19:31:51 +0000 2014
"Ascan Christina M. Hammock inside the Soyuz Descent Module where the three crew members sit for launch and re-entry. http://t.co/LOSrx1nfnh",24,26,Mon Jul 28 11:20:45 +0000 2014
"Ascan Tyler N. (Nick) Hague inside the Soyuz receiving briefings on the systems &amp; all phases of flight operations. http://t.co/jsaJrexqhc",20,22,Mon Jul 28 11:18:41 +0000 2014
"Ascans inide the Soyuz for the first time!  Tyler N. (Nick) Hague, above him is the hatch to the Orbital Module. http://t.co/V8pv5kUAKr",11,16,Mon Jul 28 11:15:03 +0000 2014
"Drew Morgan practices replacing a multiplexer/demultiplexer, space station computer. http://t.co/lHkRgPZHM7",6,6,Fri Jul 11 15:40:47 +0000 2014
"Drew Morgan and @VicGlover get hands-on training to remove and replace a space station audio terminal unit. http://t.co/W3vUbc0FEP",2,9,Fri Jul 11 15:40:07 +0000 2014
".@AstroClass2013 Josh &amp; Victor learn ab #EarthScience at Lunar &amp; Planetary Institute http://t.co/M7L8pWmS2X  http://t.co/Ztw1khrcNg",2,3,Fri Jun 13 16:41:03 +0000 2014
"@AstroClass2013 @VicGlover studies basalt rocks from Arizona's San Francisco Volcanic Field  #GeologyRocks http://t.co/WpBzaVzTl7",12,16,Sun Jun 08 00:35:17 +0000 2014
"RT @AstroAnnimal: I love @AstroClass2013!! I got helicopter cookies for my birthday this morning! http://t.co/oEjVUuGbFZ",13,0,Fri Jun 06 19:48:21 +0000 2014
".@AstroClass2013 Drew &amp; Victor inspect clay models of strata layers --  Real #RockScience #GeologyRocks   http://t.co/JWZXOuHHOk",1,2,Wed Jun 04 14:50:18 +0000 2014
".@AstroClass2013 Drew &amp; Victor use clay models to visualize geological formations -- Real #RockScience  http://t.co/zRIZnTY6fY",2,2,Wed Jun 04 14:32:23 +0000 2014
"AstroClass2013.@AstroClass2013 .@AstroAnnimal &amp; Christina peek out #ISS cupola &amp; @NASA_Johnson trainers look on  http://t.co/lxl4YxG5fB",7,4,Wed Jun 04 01:22:39 +0000 2014
".@AstroClass2013 Anne &amp; Christina continue learning about #ISS operations @NASA_Johnson  http://t.co/w50H663dDd",6,6,Tue Jun 03 19:29:50 +0000 2014
".@AstroClass2013 @AstroAnnimal removes fingerprints from ISS hatch during ETHOS sim http://t.co/fiHvjSmck9  http://t.co/D8FxK1e2jo",4,3,Mon Jun 02 23:22:22 +0000 2014
".@AstroClass2013 Drew &amp; Anne work thru ISS ETHOS &amp; REGEN procedures (aka housekeeping) http://t.co/85GwC3J576   http://t.co/w2vKqFvGV1",4,1,Mon Jun 02 22:48:15 +0000 2014
".@AstroClass2013 Nick and .@JAXA_en Norishige discuss T-38 flight plans http://t.co/viQuJl0AZ2",4,10,Wed May 21 15:06:58 +0000 2014
".@AstroClass2013 Christina &amp; Victor work on ISS REGEN Life Supt Sys  just like Exp 40 http://t.co/pPlzYz20kb   http://t.co/U0Xkg3PpBh",2,2,Tue May 20 16:00:20 +0000 2014
"RT @AstroDuke: First suited run in the NBL. What a cool experience. http://t.co/MWKT4YF2B5",28,0,Mon May 19 22:06:03 +0000 2014
"RT @AstroDuke: @AstroClass2013 http://t.co/x0ZUqVcL27",9,0,Mon May 19 22:05:52 +0000 2014
"RT @Astro_Maker: ISS Maintenance Training at #Maker's Garage with Astronauts Christina Hammock and Drew Morgan! http://t.co/kDV3ZVyHtj",13,0,Sat May 10 19:33:29 +0000 2014
".@AstroClass2013 Christina &amp; Victor debrief their ISS Hatch &amp; Rack training scenarios   http://t.co/qp5YOi10p9",3,3,Thu May 08 20:36:20 +0000 2014
".@AstroClass2013 Nicole finishes T-38 preflight walkaround check prior to takeoff from Ellington Field   http://t.co/RHEwa60P8U",9,12,Thu May 08 20:17:20 +0000 2014
".@AstroClass2013 Nicole &amp; Norishige .@JAXA_en are ready to fly over Houston for a T-38 training flt   http://t.co/f6WhuKfVCw",62,88,Thu May 08 19:19:30 +0000 2014
".@AstroClass2013 Nicole &amp; .@JAXA_jp astronaut Norishige Kanai discuss T-38 flight profile bf takeoff    . http://t.co/91MTpdwTl8",25,35,Thu May 08 18:37:47 +0000 2014
".@AstroClass2013 Victor gets instruction on ISS Hatch &amp; Rack operation http://t.co/Tfr8I4Jmik http://t.co/NWtitcPk57",15,13,Thu May 08 16:04:34 +0000 2014
".@AstroClass2013 Victor &amp; Christina arrive .@AUStinAirport after today's T-38 flight. http://t.co/BUni1W3wM1   http://t.co/5Zzuc5cJgd",21,26,Mon Apr 28 15:21:18 +0000 2014
".@AstroSerena visits @FOX59 to talk about Destination Station #Indianapolis. http://t.co/805asxKLGH #DSIndy http://t.co/vR9r5YH8eT",4,2,Sat Apr 26 12:47:16 +0000 2014
"Half of Ascans are well into #ISS systems classes. Lots of schematics, diagrams. Drew traces systems design. http://t.co/gvn8o70SoF",22,40,Fri Apr 25 21:43:12 +0000 2014
".@AstroClass2013 Anne runs #MoonbaseSim. Testing Space Flight Resource Mgt .@NASA term for team problem solving http://t.co/mCRymwXky5",2,3,Tue Apr 22 15:05:11 +0000 2014
".@AstroClass2013 Josh &amp; Jessica are lowered into the NBL, prepping for missions like this http://t.co/3PMXZE4LeW  http://t.co/PenQSgY5GI",10,5,Tue Apr 15 19:32:25 +0000 2014
"RT @Astro_Wheels: They grow up so fast, don't they? ;-)  First run in 'Inner Space' for Josh; @astro_reid dropped by to wish him well. http…",20,0,Tue Apr 15 18:26:28 +0000 2014
"@AstroClass2013 Nick gets to #LiveInAVideoGame, thx to #VirtualRealityLab and @vr_doug http://t.co/ARrbQEQpFi  http://t.co/njSkEOpOTt",2,3,Sat Apr 12 13:34:20 +0000 2014
"@AstroClass2013 Christina &amp; Nick get chance to put T2 thru the paces. http://t.co/L9YImTuIRE #WorkingOutInSpace!  http://t.co/9wOGyIonlg",7,7,Wed Apr 09 18:17:25 +0000 2014
"@AstroClass2013 Christina learns how to keep fit aboard the ISS with ARED. http://t.co/sZxMDV4QZ7  http://t.co/agF84xAvLl",2,3,Wed Apr 09 16:15:32 +0000 2014
"RT @NASAKennedy: Did you read about the @AstroClass2013 visit to KSC in our new #SpaceportMag? Full article at:http://t.co/oLieHM2yLS http:…",14,0,Tue Apr 08 14:47:43 +0000 2014
"@AstroClass2013 enjoy meal testing http://t.co/l6RbfVGDEr &amp; learn how space mission food is prepared @NASA_Johnson  http://t.co/cL0Tp1vgxE",6,6,Tue Apr 08 13:23:41 +0000 2014
"@AstroClass2013 try meal combos for the first time in the Space Food Sys Lab. http://t.co/FD5DwRcXV5     http://t.co/3636pnhmNL",15,15,Tue Apr 08 03:39:01 +0000 2014
"RT @StationCDRKelly: T-362 Spaceflight has made me a perpetual student, but also a teacher. Sharing my experience aboard #ISS w @AstroClass…",27,0,Mon Mar 31 20:54:36 +0000 2014
"RT @AstroAnnimal: Enjoying #LiveFromSpace with @AstroClass2013 classmates Josh and Andrew on @NatGeoChannel with @soledadobrien http://t.co…",3,0,Sat Mar 15 02:40:40 +0000 2014
"RT @NASA: Tonight, we're sharing #LiveFromSpace #ISS images &amp; info during @NatGeoChannel's broadcast.  http://t.co/Od3AdulCVx http://t.co/H…",813,0,Sat Mar 15 01:23:09 +0000 2014
"RT @VicGlover: On vacation and talking, tweeting, and watching a show about work. I love my job (and so do my kids). @NASA @AstroClass2013 …",4,0,Sat Mar 15 01:22:33 +0000 2014
"Join @AstroClass2013 and watch #LiveFromSpace at 8pm ET hosted by @soledadobrien and @Astro_Mike on @NatGeoChannel",4,2,Fri Mar 14 16:46:10 +0000 2014
"RT @NASAKennedy: Astronaut Candidate Andrew Morgan reflects on all the missions that have been launched from the Launch Control Center http…",38,0,Mon Mar 03 20:39:54 +0000 2014
