tweet,retweetsCount,favoritesCount,timestamp
"RT @Figure1: Thanks @CatherineZahn @AstroDaveMD @SteiniBrown @ShirleeSharkey @Leslee_KGH @Petervencap for including Figure 1. http://t.co/8…",2,0,2014-12-20 15:46:57
"RT @OakvilleTrustee: Five business lessons from an astronaut @AstroDaveMD http://t.co/LCzM0MlmUc",1,0,2014-12-20 15:36:20
"RT @Merimack1: Five business lessons from an astronaut @AstroDaveMD: Emphasizing the role of culture in peak performing teams. http://t.co/…",3,0,2014-12-19 17:53:45
"RT @AnnHarveyHope: “@gcouros: Five business lessons from an astronaut http://t.co/xWFv52faJu” Great article from @AstroDaveMD  Thought prov…",1,0,2014-12-16 13:36:15
"RT @closet_ginger: Was just watching the news about the Orion launch, and shout out to another awesome Canadian astronaut, @AstroDaveMD #CD…",1,0,2014-12-05 21:21:24
"RT @weday: 'We all have a responsibility to take care of our planet for future generations.' -@AstroDaveMD",8,0,2014-11-28 23:16:13
"RT @weday: @AstroDaveMD WE think so too :) Thank you so much for joining us today! #inspiring",1,0,2014-11-28 18:25:50
"RT @derilatimer: Awesome Day 2 @pcmacec with @AstroDaveMD @NSB_Speakers #pcmacic...onward to Day 3! #neuroleadership #positivityspeaking",3,0,2014-11-26 19:02:02
"RT @ARLANGroup: U go gir! RT @derilatimer Awesome Day 2 @pcmacec w/ @AstroDaveMD @NSB_Speakers #pcmacic...onward Day 3! #neuroleadership #p…",1,0,2014-11-26 19:01:52
"RT @444RENT: In 2 days. 8K students #Halifax #WeDayAtlantic @MiaFarrow @AstroDaveMD @kwekumandela @kardinaloffish @RicardoHoyos2 http://t.c…",1,0,2014-11-26 19:00:24
"RT @PCMACEC: 'You create the opportunity for people to share ideas, you are changing nations and our world' @AstroDaveMD about #eventprofs …",2,0,2014-11-24 15:45:56
"RT @eventsense: When ideas become reality, it can change the world forever. @AstroDaveMD #pcmacic",1,0,2014-11-24 15:45:49
"RT @PCMACEC: Followers have the ability to let leaders know when something is wrong. #Empower your team @AstroDaveMD #pcmacic #eventprofs",1,0,2014-11-24 15:45:06
"RT @PCMACEC: 'Positive deviance, allows us to achieve things we have never done before'  @AstroDaveMD #pcmacic",2,0,2014-11-24 15:44:47
"RT @PCMACEC: 'Don't be too impressed about this astronaut thing, I just applied to a newspaper ad' @AstroDaveMD #pcmacic",1,0,2014-11-24 15:43:59
"RT @eventsense: We have our ears and eyes wide open ready for the inspirational @AstroDaveMD to take the stage at the #pcmacic",2,0,2014-11-24 15:43:32
"RT @PCMACEC: Room is filling up as we wait for  @AstroDaveMD to take the stage #pcmacic http://t.co/1L8OrPQzeH",2,0,2014-11-24 15:43:24
"RT @NSB_Speakers: All set for @AstroDaveMD to share his incredible story w/ #PCMACIC delegates. Learn more: http://t.co/q9dljGWuVo http://t…",4,0,2014-11-24 15:43:17
"RT @AbigailCTV: Did you know Canadian astronaut @AstroDaveMD worked at two of our local hospitals? @nicolelampa speaks with him on @CTVKitc…",3,0,2014-11-23 22:25:05
"RT @ShuttleAlmanac: @AstroDaveMD Thirsk, Williams, Hansen, Garneau, MacLean, Tryggvason, Saint Jacques - I got to meet Canada's first 6 in …",1,0,2014-11-21 01:30:52
"RT @nmpanek: As a girl dreaming of riding rockets, it is remarkable to meet your own heroes. @AstroDaveMD #WeDay #courage http://t.co/hUkcX…",7,0,2014-11-21 01:30:46
"RT @WelshConfed: The #NHSWales Awards have been launched for 2015. Find out how to enter and showcase your amazing work here - http://t.co/…",3,0,2014-11-20 13:14:24
"RT @MohamedofShaban: @AstroDaveMD @MarcGarneau @RobertaBondar Congratulations on your Gold medal awards!!",1,0,2014-11-20 11:02:55
"RT @ShuttleAlmanac: @Sannsibble @AstroDaveMD he has never retweeted me, congrats.",2,0,2014-11-20 11:02:28
"RT @RCGS_SGRC: We're so excited to welcome EIGHT Cdn astronauts to our Annual Fellow's Dinner at @avspacemuseum tonight! #GeoWeek http://t.…",19,0,2014-11-19 17:11:29
"RT @Sannsibble: - @AstroDaveMD Happy 25th @csa_asc - Thanks for sharing - Have a wonderful day (*_*) Best",1,0,2014-11-19 17:11:17
"RT @1000LivesPlus: Take a look back at our series with @AstroDaveMD on 'Operating in High Risk Environments' &amp; read the white paper: http:/…",4,0,2014-11-12 22:53:20
"RT @MaleehaCTV: WATCH: Record-setting #astronaut, aquanaut and a doctor. Here's my interview with @AstroDaveMD: http://t.co/Q2awpCg9Z4",1,0,2014-11-11 04:45:30
"RT @MaleehaCTV: Tune in at 6:43 a.m. to @CTVMorningStoon to catch my interview with @AstroDaveMD -- a doctor, record-holding astronaut and …",3,0,2014-11-11 04:45:27
"RT @MCraigGlobal: .@AstroDaveMD - born in #yxe, he is a doctor &amp; holds the record for most space walks by a Canadian. #yxe @weday #sask htt…",5,0,2014-11-07 19:21:20
"RT @krmayer27: @weday @AstroDaveMD I wrote an article on Paying Good Forward. Read/share? http://t.co/5D5ci2A8UV",1,0,2014-11-07 19:20:56
"RT @weday: 'It's really important to believe in yourself, to have a dream and persist!' - @AstroDaveMD",7,0,2014-11-07 19:20:25
"RT @amanda_s_wilson: Had an awesome time at #wedayalberta yesterday.  So inspired by @SilkenLaumann @AstroDaveMD &amp; other amazing speakers! …",3,0,2014-11-06 20:58:15
"RT @krista_mclean: Just met my first astronaut! @AstroDaveMD #WeDay http://t.co/mgao4qsGUG",3,0,2014-11-03 21:22:08
