tweet,retweetsCount,favoritesCount,timestamp
"RT @Chief_Astronaut: Did you know? 14 yrs ago today, crew arrived &amp; began our continuous human presence on #ISS: http://t.co/oIybvH0zgX htt…",189,0,2014-11-02 15:45:42
"RT @Astro_Wheels: Our hearts go out to the @virgingalactic team and our dear friends in Mojave.  Those margins are so razor thin and so ter…",106,0,2014-10-31 22:04:03
"RT @RheaSeddon: Hope you'll join me as we 'tune in' to the MAKERS series on PBS 2morrow eve 8pm CST. Yours truly is part of the Women In Sp…",12,0,2014-10-14 00:32:43
"RT @neiltyson: I wonder how much talent has evaporated from the world, for lack of ambition to drive it.",7358,0,2014-10-04 17:16:58
"RT @HumanoidHistory: Astronaut Karen Nyberg at work in the Harmony node of the International #Space Station #onthisday in 2013. @NASA http:…",17,0,2014-10-01 18:35:14
"RT @nasahqphoto: The #Exp41 #ISSCrew waves farewell as they prepare to board the #Soyuz rocket to launch https://t.co/BPDDWT9TgJ http://t.c…",401,0,2014-09-25 19:17:24
"RT @Chief_Astronaut: Update: now tonight at 1:52 am EDT. MT @AstroKarenN: Up late? Launch of #SpaceX4 to #ISS. http://t.co/TGrqLD3LJB http:…",20,0,2014-09-20 22:40:41
"RT @Astro_Alex: One thing is clear from up here: everything is connected to everything else on that planet. #BlueDot #Edouard http://t.co/D…",702,0,2014-09-17 11:59:42
"RT @astro_reid: Wow.  #Hurricane Edouard churns in the #Atlantic http://t.co/brN87fl9jt",1240,0,2014-09-16 18:04:53
"RT @victomato: #NASA astronaut @AstroKarenN was the first person to Pin from space! Check out her Pins - http://t.co/9zncPCym9i http://t.co…",32,0,2014-09-03 23:38:21
"RT @QuiltFestival: This past weekend, an amazing team of volunteers led by our very own Vicki Mangum and NASA's Stacey… http://t.co/gw8Wky3…",4,0,2014-08-25 16:56:20
"RT @Chief_Astronaut: Congratulations to the @NASAJPL @MarsRovers team on Opportunity's off-world driving record! http://t.co/TeApj9TNCw htt…",78,0,2014-07-29 01:46:46
"RT @astro_reid: Have a great weekend.  Trinidad and Tobago in the evening sun. http://t.co/zfa89kkJ7C",578,0,2014-06-07 00:56:50
"RT @astro_reid: Come outside and try to #spotthestation during #Exp40.  Put your location in {brackets} so we can map it!",128,0,2014-06-04 13:13:13
"RT @Chief_Astronaut: L-2hrs, @Msuraev @astro_reid + @Astro_Alex at the #Soyuz pad! http://t.co/TELbwKJYYI",71,0,2014-05-28 17:33:32
"RT @TexasExes: A look inside the otherworldly career of @NASA astronaut Karen Nyberg. @AstroKarenN @utaustin #interactive @texasexes http:/…",25,0,2014-05-07 14:51:11
"RT @AirSpaceMN: Don't miss the #GoBoldly Expo with #Astronauts @AstroKarenN @TheRealBuzz &amp; @JackSchmitt17 on April 26th! #AvGeek http://t.c…",14,0,2014-04-02 16:29:09
"RT @BernettaReese: Blog: @NASA Welcomes Kids to Meet Astronaut @AstroKarenN for @NASASocial! http://t.co/0VFkvitXV6  #NASASocial",8,0,2014-04-02 16:28:33
"RT @ArmedwScience: The future is taking shape in space!  @AstroKarenN 's story is one you have to SEE [VIDEO] @NASA_Astronauts http://t.co/…",11,0,2014-03-28 17:26:27
"RT “@FragileOasis: Why spend money in space when we have problems on Earth? @Astro_Ron's @unreasonable view http://t.co/2SmGDTOkpI”",15,36,2014-03-05 17:42:41
