tweet,retweetsCount,favoritesCount,timestamp
"Inspiring video with JFK's 'We Choose to go to the Moon' speech.   http://t.co/wsHyeGhxKT",60,75,Mon Oct 27 13:49:44 +0000 2014
"Here is a flyover starting at the Alps north of Italy and then we pass south covering the whole Italian Peninsula  https://t.co/aXGuWEZIOY",46,70,Fri Oct 24 02:03:46 +0000 2014
"Here we are explaining the suits and equipment the night before our Dec 2013 space walk.   https://t.co/UrcqfRV4O0",23,31,Wed Oct 22 21:20:16 +0000 2014
"The Nile river and its delta, the Red Sea and a close up of the Suez canal on a beautiful sunny day.  https://t.co/RhZaUK0DbU",36,52,Wed Oct 22 01:52:32 +0000 2014
"We captured, with the robotic arm, this Identified Flying object as it approached the Space Station!  https://t.co/1junuqT7z1",77,106,Mon Oct 20 00:35:51 +0000 2014
"A follow up to the Caribbean with some great Bahama shots.  Beautiful! https://t.co/Lmc3jHi2zZ",42,60,Tue Oct 14 01:00:32 +0000 2014
"Here is a peak of the most beautiful views from Station.  Bahamas, Turks &amp; Caicos, Dominican Republic, Puerto Rico. https://t.co/LDmfFGzHCh",28,55,Sat Oct 11 17:57:53 +0000 2014
"Expedition 38 Earth observation video highlights.  See what some of the world's cities look like from space! https://t.co/vLyJujuPcd",47,74,Wed Oct 08 18:17:18 +0000 2014
"Thanks to @astro_reid &amp; @Astro_Alex for putting away the failed pump that @AstroIllini and I removed in Dec.",22,47,Tue Oct 07 14:09:56 +0000 2014
"@astro_reid &amp; @Astro_Alex are depressing the airlock, will be starting space walk. I am following in mission control.",23,35,Tue Oct 07 12:18:58 +0000 2014
"Body restraint tether(BRT) is like an arm/hand. Here on my left holding device with the circle as I move around ISS. http://t.co/vWOsG9fN2k",55,99,Mon Oct 06 23:23:28 +0000 2014
"@KevinOConnorTOH @TomSilvaTOH Guys, On station we have every tool imaginable &amp; many you cannot imagine. Great job on the #whatisit",3,12,Mon Oct 06 23:16:26 +0000 2014
"New Ask This Old House episode with a segment from Space Station.  Check it out! @AskTOH @ThisOldHouse  http://t.co/6Et0PBabaq",13,22,Mon Oct 06 23:11:00 +0000 2014
"On my way back to houston after a wild reentry.  In Maine right now.",70,295,Wed May 14 22:32:42 +0000 2014
"Folks, my last tweet from space. Stay tuned for post flight fun. Check out @astro_reid and @Astro_Alex for some great space tweets soon!",185,383,Tue May 13 13:22:04 +0000 2014
"Congratulations to the 2014 UCONN School of Engineering graduates from the  International Space Station.",132,296,Sat May 10 14:15:06 +0000 2014
"My ride home sails over Italy. We will be using it Tuesday night! http://t.co/RAxrVyN0eY",528,635,Fri May 09 14:28:42 +0000 2014
"Check out live high def views live from station - http://t.co/mdVSUl9OWL - Here is the HDEV box with the cameras http://t.co/K1BO8eDD32",201,218,Wed May 07 16:41:29 +0000 2014
"This was my first time to see Denmark so clearly.  This picture looks like a map! http://t.co/LkW64WYLBY",359,559,Mon Apr 28 20:49:23 +0000 2014
"Space is dark and dangerous. Here we are exiting airlock. Helmet lights work well at short distances http://t.co/WatyTizl4Q",392,534,Sat Apr 26 22:54:33 +0000 2014
"An 'EVA Selfie' of me.  Notice the Earth reflected in my visor. http://t.co/ABjOWakyzF",879,953,Fri Apr 25 13:12:19 +0000 2014
"Europe to the right, Africa to the left and the Med in the middle. http://t.co/bEbMZgOJRW",255,370,Thu Apr 24 19:59:01 +0000 2014
"Island off of Central America makes some interesting cloud formations http://t.co/jEXayWr4x3",216,368,Thu Apr 24 19:22:16 +0000 2014
"An EVA selfie.  The space suit makes it very difficult to get a good selfie.  I tried several today. http://t.co/GvMEOj3ewu",4917,4144,Wed Apr 23 19:22:48 +0000 2014
"In front of the Japanese modules on today's EVA. Not a selfie. http://t.co/uOYNMGsuSv",824,1022,Wed Apr 23 19:21:31 +0000 2014
"A picture of the Space X Dragon from our EVA today. http://t.co/02GurmvpCB",350,480,Wed Apr 23 19:11:54 +0000 2014
"Mountains of Kamchatka http://t.co/eRI6CVxMSY",222,338,Sun Apr 20 21:38:27 +0000 2014
"@gregors69 When you see ISS fly over it is because you are in shadow and we are in the sunlight. So we cannot see you since you are in dark",8,24,Fri Apr 18 22:37:14 +0000 2014
"@ddburkey Thanks, The students did great.",1,6,Fri Apr 18 22:34:23 +0000 2014
