tweet,retweetsCount,favoritesCount,timestamp
"RT @AstroTerry: Unwrapping an early Christmas gift last week. @AstroRobonaut is my favorite action figure. #SpaceVine https://t.co/kNtYDaJI…",338,0,2014-12-31 13:11:28
"RT @AstroTerry: I wonder what @AstroRobonaut is thinking, looking at me like that… http://t.co/zhSHvLHtNy",149,0,2014-12-18 20:43:53
"RT @AntonAstrey: Встреча с Робонавтом спустя три года! // Meeting with @AstroRobonaut after three years! http://t.co/vg5jDyd5kM",97,0,2014-12-18 14:42:11
"RT @AMSISS: AMS reached 58,000,000,000 measured events today.",18,0,2014-12-12 04:54:26
"RT @mtnorambuena: @AstroRobonaut I'm watching you! (?) http://t.co/wK4jZ1HqAS",9,0,2014-12-12 00:47:48
"RT @PumpsAndPipes: Join the Pumps and Pipes webcast #pnp8 #nasa #Exxon #houston #houstonmethodist http://t.co/NcHNleoVwM",4,0,2014-12-08 19:46:15
"RT @Space_Station: #AstroButch and @AstroRobonaut are speaking at Pumps &amp; Pipes today. Watch the webcast: http://t.co/ctfjufTxeL #pnp8 http…",28,0,2014-12-08 17:58:51
"RT @NASA: #Orion has initiated its return to Earth and completed a 10-second engine burn.   Watch: http://t.co/6XtjOi1yJo http://t.co/x3Le1…",1884,0,2014-12-05 16:09:04
"RT @NASA: A perfect second stage burn, pushing #Orion toward an altitude of about 3,630 miles. Watch live coverage: http://t.co/6XtjOi1yJo",528,0,2014-12-05 14:14:56
"RT @NASA_Johnson: Tomorrow will be a 'Trial by Fire'. @NASA's newest spacecraft, #Orion, will launch into space for the first time. https:/…",116,0,2014-12-04 05:02:02
"RT @elakdawalla: Updated my #Hayabusa2 prelaunch post with links to live webcasts http://t.co/b9DinTHT3V (links via @PlanetaryRsrcs)",22,0,2014-12-02 22:54:33
"RT @AstroTerry: a great way to celebrate my birthday, with this awesome crew http://t.co/MalA4UK93Y",305,0,2014-12-02 02:21:27
"RT @AstroTerry: I can't believe it's only been 3 days- seems like 3 months @AntonAstrey @AstroSamantha http://t.co/Xpl6L7mBXQ",177,0,2014-11-28 03:35:49
"RT @AstroSamantha: Amazing being in #space, better than anything I ever imagined. Saw my 1st sunrise from the Cupola today! #HelloEarth htt…",3346,0,2014-11-25 01:24:52
"RT @esaoperations: The #Soyuz spacecraft is now 2 km from #ISS. Watch live: http://t.co/XWvNUTGDGO #Futura42 http://t.co/4Dk2JsojJ5",66,0,2014-11-24 02:27:31
"RT @NASA: #Soyuz safely in orbit, next stop #ISS at 9:53 p.m. EST",766,0,2014-11-24 01:33:08
"RT @AgataClevenger: Hi @AstroRobonaut why the long face? http://t.co/n4clGUlcY0",13,0,2014-11-23 05:16:31
"RT @astro_tim: One year from today, Yuri Malenchenko, Tim Peake, and I will launch out of Baikonur, Kazakhstan, as part of Expeditions 46 a…",36,0,2014-11-21 04:54:15
"RT @NASA: Follow the next astronauts to launch to @Space_Station on Nov. 23: @AstroTerry @AntonAstrey @AstroSamantha #FF http://t.co/JzUWka…",518,0,2014-11-16 02:52:02
"RT @NASA: What happened This Week @NASA? Orion moved to launch pad, landing on a comet &amp; more! [video] http://t.co/qjtMVNU9h9 http://t.co/4…",242,0,2014-11-16 02:51:51
"RT @Philae2014: I confirm that my @RosettaSD2 went all the way DOWN and UP again!! First comet drilling is a fact! :) http://t.co/eE3xL8CGk0",2193,0,2014-11-15 01:40:01
"RT @AstroTerry: Nice panorama of the 'Cosmonaut Alley' where every person who has launched from Baikonur plants a tree http://t.co/1N3Q2oAk…",204,0,2014-11-15 01:28:58
"RT @SarcasticPhilae: @AstroRobonaut quick, gimme your legs...? #BeYourBFF #Please?",7,0,2014-11-15 01:22:59
"RT @AstroSamantha: Can tell it's a new #spacesuit from the spotless white! Leak check occurs in generic seat &amp; seat liner. #Futura42 http:/…",121,0,2014-11-15 00:49:39
"RT @esaoperations: The @Philae2014 Lander has switched to stand by due to low power. All instruments off. Comm link still active #cometland…",912,0,2014-11-15 00:38:56
"RT @Philae2014: Back to work! I’m now drilling into the surface of #67P… I’ll give you updates as soon as I can! #CometLanding",2358,0,2014-11-14 15:36:26
"RT @NASA_Astronauts: The upgraded Robonaut and I are doing Tai Bo together. http://t.co/hqZRvReNCp",140,0,2014-09-11 11:02:44
"RT @astro_reid: I couldn’t say no to a #selfie with @AstroRobonaut http://t.co/FPqqmTqqtC",254,0,2014-08-12 15:22:19
"RT @ben__bradley: I, for one, welcome our new @AstroRobonaut ovelords.",6,0,2014-07-26 19:45:34
"RT @NASASocial: .@NASA and @GM collaborated on @AstroRobonaut, a humanoid robot on space station. #SDCC #SDCCRobots #ISS http://t.co/6S2v62…",64,0,2014-07-26 19:01:15
"RT @GM: For more on the collaboration between @NASA and @GM on @AstroRobonaut: http://t.co/7YRJWDnWYV #SDCC #SDCCrobots #ISS",10,0,2014-07-26 19:00:56
"RT @NASA: This week on #ISS: #spacewalk, #Dragon launch, T-cells &amp; @AstroRobonaut legs: http://t.co/SEbh1iP1Q5 Ask us a question with #spac…",90,0,2014-04-25 20:05:18
"RT @NASAKennedy: Did you hear that the #ISS crew caught a #DRAGON over the weekend?! Don't believe us, see for yourself http://t.co/71pkCRj…",58,0,2014-04-21 13:19:28
"RT @NASAKennedy: SpaceX-3 launch video: http://t.co/hkNdORMsXA",86,0,2014-04-18 20:47:48
"RT @NASA: Legs for @AstroRobonaut launch aboard @SpaceX #Dragon to #ISS @ 3:25p ET today: http://t.co/J3UolX6W5q   http://t.co/CLjshajQFC",136,0,2014-04-18 20:43:11
"RT @NASA: .@SpaceX launch scrubbed today due to #Falcon 9 first stage helium leak. Next opportunity is Friday at 3:25pm ET.   http://t.co/1…",423,0,2014-04-14 20:04:20
"RT @IsUniverse: @NASAKennedy @ExploreSpaceKSC we were there hanging out with @AstroRobonaut #kscrobotrally http://t.co/hh9D15ZscC",8,0,2014-03-19 13:00:47
"RT @asketchyfish: Do your feet have lights, a camera, a 3D analyser, and a gripper? Apparently you’re not @AstroRobonaut. #NASASocial",6,0,2014-03-16 17:46:30
"RT @AstroRM: A selfie with Robonaut during the #LiveFromSpace show http://t.co/fCXZHiUkva",582,0,2014-03-15 02:18:35
"RT @SpaceX: CRS-3 now targeted to lift off on 3/30. F9 and Dragon healthy, addl. time needed to close out remaining open items before launc…",170,0,2014-03-14 18:25:42
"RT @DaiZ8686: @AstroRobonaut 　I went to The United States for the first time. I met with your brother!!!! http://t.co/ORKEw4FhDM",3,0,2014-03-13 12:42:35
"RT @EvilEyeMonster: @AstroRobonaut Listening to your team talk about you on WTKS 104.1 in Orlando, FL right now.",1,0,2014-03-13 12:42:31
"RT @timelady32318: @AstroRobonaut I'm here with your bro! http://t.co/sfdUhl77Ww",5,0,2014-03-13 09:36:56
"RT @kitt_n_kaboodle: @AstroRobonaut lieutenant Dan, you got new legs!!!",3,0,2014-03-05 22:01:56
"RT @gbwiles: Hey look it is @AstroRobonaut 's lost cousin at Johnson Space Center #LivingInSpace. http://t.co/HqKTX2Tjgb",5,0,2014-03-05 16:35:43
"RT @NASAhistory: #Now in 2011 - STS-133 Discovery lifts off carrying @AstroRobonaut, marking the orbiter's final flight to orbit. http://t.…",67,0,2014-02-24 22:02:08
"RT @adeforre15: Air and Space museum and found the Robonaut @AstroRobonaut http://t.co/yJJzKThmsy",4,0,2014-02-24 15:31:40
"RT @Nate_the_Robot: As promised, @AstroRobonaut, here's the outcome of our pick up game on Mars: http://t.co/kDWLwP4h8K",4,0,2014-02-11 14:58:56
"RT @JohnRSports: @astrorobonaut 1 says hi. http://t.co/L7XkQm2HZz",12,0,2014-02-11 14:56:55
"RT @BigBadEd: @AstroRobonaut congratulations on your Grammy win",5,0,2014-01-27 15:28:51
"RT @SPACEdotcom: NASA's Humanoid Robonaut 2 Waltz Both Elegant and Creepy (Video) http://t.co/UgrytE0hYB",22,0,2014-01-27 15:24:50
"RT @AstroTerry: A few short pictures and videos of training with @AstroRobonaut  today. http://t.co/YeNXCNoCnn",67,0,2014-01-09 21:42:20
"RT @AstroTerry: @AstroRobonaut doesn't talk much.  But at least he doesn't complain! http://t.co/TnYbtuubTR",16,0,2014-01-09 21:42:12
