tweet,retweetsCount,favoritesCount,timestamp
"RT @DaveAtCOGS: Resource for teachers: the context for 250+ pics by @AstroSamantha &amp; crewmates, mapped http://t.co/9wU70uzh2u http://t.co/0…",163,0,2014-12-30 00:31:30
"RT @Space_Station: 3,575 hours of @ISS_Research were conducted on #ISS this year. More on #SpaceToGround: http://t.co/qivptdQf9E [vid] http…",253,0,2014-12-27 15:47:47
"RT @ESA_Rosetta: Merry Christmas from #67P, 527 million km from Earth! http://t.co/NhUJAzi7Aq",1880,0,2014-12-25 10:05:04
"RT @AstroTerry: 4 weeks ago today @astrosamantha @antonastrey and I rode this into space. New Zealand in background here http://t.co/qu93LL…",406,0,2014-12-23 10:17:42
"RT @dailycosmos: Carl Sagan.   November 9, 1934 - December 20, 1996.  'Somewhere, something incredible is waiting to be known.' http://t.co…",808,0,2014-12-20 22:10:24
"RT @RikyUnreal: #ISS #timelapse while crossing #europe (and #Italy) by night (Dec.12) cc @AstroSamantha @disinformatico  #moonlight https:/…",311,0,2014-12-19 16:23:23
"RT @Avamposto42: Scienza a #ZeroG: come 'imitare' gli effetti della microgravità per gli studi sul metabolismo. http://t.co/Ub3zsAGbbe http…",45,0,2014-12-19 16:04:49
"RT @Outpost_42: Liftoff of Lunar Module Challenger during the Apollo 17 mission...landed #42 years ago! #OTD https://t.co/EfBtTA6yCb",45,0,2014-12-19 09:41:43
"RT @NASA_EO: Italy at Night http://t.co/O91IPxzI6I #NASA http://t.co/edomFulUEg",3868,0,2014-12-15 16:15:32
"RT @AstroTerry: Celebrating our Astronaut Office Christmas party via video with #astrobutch and @AstroSamantha http://t.co/s5QYqXfEOX",685,0,2014-12-13 13:57:05
"RT @Space_Station: #AstroButch w/@AstroSamantha trained Fri to capture @SpaceX #Dragon when it arrives at #ISS... http://t.co/KwE8VHPjWb ht…",241,0,2014-12-13 02:20:28
"RT @ISS_Research: #Frozen #Olaf in space! MT “@AntonAstrey: With Zero-G Indicator #Olaf in the #Cupola module http://t.co/Kcz5b6y0fE”",371,0,2014-12-09 14:05:05
"RT @DaveAtCOGS: Map of #ISS pics by @AstroSamantha @AntonAstrey &amp; @AstroTerry here http://t.co/9wU70uzh2u ; many w/ hi-res http://t.co/9V9h…",132,0,2014-12-08 14:40:23
"RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/zv85lJsPG7",266,504,2014-12-05 14:35:46
"RT @Outpost_42: The astronaut daily schedule? #DontPanic,all the details straight from Col-CC: http://t.co/fYtxgojvhc http://t.co/Kmm6qXsdlD",194,389,2014-11-29 07:53:27
"RT @AstroTerry: I can't believe it's only been 3 days- seems like 3 months @AntonAstrey @AstroSamantha http://t.co/rIW0jKS5gd",312,793,2014-11-28 08:47:39
"RT @AstroTerry: This is a pretty good view before breakfast in the morning http://t.co/tVtRBMYBYd",857,1479,2014-11-27 10:33:15
"RT @AstroTerry: First “Space Selfie” of the mission.  With #AstroButch and @AstroSamantha http://t.co/6ksLTKxkq6",1172,0,2014-11-25 11:27:17
"RT @Astro_Sandy: Visited with @AstroSamantha today to wish her a 'Bon voyage' to ISS. She is ready to go and we'll see her on orbit shortly.",54,0,2014-11-22 13:36:45
"RT @NatureNews: Philae had just 64hrs to collect data, but has already changed our understanding of comets http://t.co/MCrEa3bn46 http://t.…",249,0,2014-11-19 13:13:07
"RT @esa: Elsewhere in space ... @astrosamantha making final preparations for launch to #ISS later this week #exp42 https://t.co/vxxZzu12vc",38,62,2014-11-17 18:06:20
"RT @elakdawalla: Looks like I get to do the 'I told you so' dance :) Philae spotted in post-landing Navcam images http://t.co/LTG35YiD0y",141,0,2014-11-16 16:58:44
"RT @FragileOasis: Everything is moving through the Universe, including all 7 billion crewmates on #SpaceshipEarth http://t.co/DTg0fyVuhB",102,0,2014-11-15 12:11:24
"RT @ItalianAirForce: 'Exp.42/43 Traditional Ceremonies in #Russia'.#AMintoSpace with @AstroSamantha @esa @ASI_spazio #Futura42.@NASA http:/…",18,0,2014-11-13 16:50:19
"RT @AstroTerry: Preparing to go into our spacecraft for our first 'fit check'- with @AntonAstrey and @AstroSamantha http://t.co/Bkwag6GauE",44,0,2014-11-12 14:14:53
"RT @giorgialupi: ...a friend asked me to draw the cover for a little book she'll take on a trip... http://t.co/OIgdrP0EiF that friend is @A…",10,0,2014-11-05 18:17:36
"RT @esa: @AstroSamantha talks about life as an astronaut and her #ISS mission, set for launch on 23 Nov #Futura42 http://t.co/eSYLCZmwGm",34,51,2014-11-05 15:01:39
"RT @AstroTerry: Final robotic training with @AstroSamantha and our instructor @IsaacMensah2 - practicing cargo ship grappling http://t.co/5…",49,0,2014-11-05 15:01:14
"RT @Chief_Astronaut: Did you know? 14 yrs ago today, crew arrived &amp; began our continuous human presence on #ISS: http://t.co/oIybvH0zgX htt…",189,0,2014-11-02 18:01:43
"RT @ESA_History: #ISS marks 14 yrs of continuous occupancy 2 Nov. But who was 1st European to visit ISS? @AstroSamantha @Astro_Alex http://…",29,0,2014-11-01 14:22:52
"RT @esaoperations: Image of the week: The #Futura42 is near for @AstroSamantha and #Exp42 http://t.co/OVEdKbfFHj http://t.co/p6yORGBZJc",54,0,2014-10-28 19:19:29
"RT @SpaceflightNow: #OTD in 1961, the first Saturn rocket blasted off from Cape Canaveral to begin a series of Apollo test flights. http://…",105,0,2014-10-27 09:11:50
"RT @universetoday: SpaceX Dragon Departs Space Station after Delivering Slew of Science  http://t.co/aklbSf7A1m http://t.co/F1k2AnPnHD",47,0,2014-10-25 17:19:25
"RT @esaoperations: @AstroSamantha &amp; Anton in Star City. Hit link for more pics: http://t.co/RxJfiCQLeW #Futura #Exp42 http://t.co/55oBJEdTbE",37,73,2014-10-25 15:12:11
"RT @ISS_Research: Plasma crystals in space that can speed wound healing, kill bacteria, and fight #cancer? Yes. http://t.co/61dlZPkwSb http…",166,0,2014-10-23 18:30:08
"RT @Avamposto42: Consigli per le giovani donne?Ciò  che dico a tutti...Scopritelo su #ScarpeRosa @AstroSamantha http://t.co/lUMk4WDfDb http…",26,0,2014-10-23 15:58:23
"RT @lionelferra: one can finally understand crew rotation &amp; numbering w/ the brochure http://t.co/6iPQzMI5Nl @AstroSamantha #futura42 http:…",34,0,2014-10-23 14:41:11
"RT @astro_reid: Our little #Dragon watches over a nice #sunrise from #ISS http://t.co/oiAzCd2NHc",609,0,2014-10-21 17:25:03
"RT @esa: New pics in our image gallery:  @AstroSamantha's preparations for her #ISS mission #Futura42  http://t.co/LhrN6HwIk8 http://t.co/Y…",70,0,2014-10-21 15:30:31
"RT @Avamposto42: Qui qualcuno ci ha messo lo zampino...voi che dite?Inizia la sfida a ZeroG...anzi,a #53ZeroG!  http://t.co/GzbCfy6lyx http…",27,0,2014-10-17 09:28:47
"RT @AstroKarenN: Congrats @astro_luca, 11 months from living in space to IronMan completion!!  #IMKona #TeamAstro",24,0,2014-10-12 12:37:54
"RT @Astro_Alex: Outpost. #BlueDot http://t.co/6GPTIMpjX4",602,0,2014-10-12 08:51:55
"RT @AntonAstrey: EVA exam training on the 'Vykhod-2' sim with Oleg Kononenko http://t.co/Rl92adotNw",28,0,2014-10-12 08:50:40
"RT @AstroKarenN: Congrats to Chris Cassidy on a great #IMKona finish!! #TeamAstro http://t.co/VolBlDqcL4",12,0,2014-10-12 06:59:20
