tweet,retweetsCount,favoritesCount,timestamp
"Liftoff! http://t.co/A3GgTnO25Q",1,11,Sat Jun 07 18:13:38 +0000 2014
"Ready to launch! http://t.co/rfIEN5FthW",0,2,Sat Jun 07 17:51:06 +0000 2014
"Getting ready to launch rockets! http://t.co/lYVb8cVXZc",2,8,Sat Jun 07 17:47:36 +0000 2014
"About to talk with #SCtweetup!",2,4,Sat Jun 07 15:34:45 +0000 2014
"Had a great talk with the kids, Parents and NASA Interns from Marshall! http://t.co/CI2juZYGtv",1,4,Sat Jun 07 15:28:32 +0000 2014
"Spending time with kids at Space Camp in the Multi-Axis Trainer! http://t.co/ecwo6MJfet",1,2,Sat Jun 07 15:07:20 +0000 2014
"@krye43 @riley_library @RileyKids Had a blast with all the kids! They are an absolute inspiration...",1,1,Fri May 02 17:42:37 +0000 2014
"Playing air hockey with Evan! http://t.co/cVinwy0Rg8",3,13,Mon Apr 28 17:49:22 +0000 2014
"Building Flat Astronauts with the kids at Riley Children's Hospital! http://t.co/Njuab2bn4I",36,57,Mon Apr 28 17:48:27 +0000 2014
"@FOX59 glad you found the gifts...enjoy!",0,1,Sun Apr 27 13:52:34 +0000 2014
"Great time at the Health Expo today talking about staying healthy in space...awesome questions from the audience!",14,13,Sat Apr 26 22:35:44 +0000 2014
"Thanks @FOX59 for the interview-left some hidden NASA gifts in your studio-try and find them! #dsindy http://t.co/k6o93UCxYL",9,10,Sat Apr 26 13:56:05 +0000 2014
"Just landed in Indianapolis -- getting ready for Destination Station tomorrow -- World Health and Trade Expo!",16,13,Fri Apr 25 18:07:59 +0000 2014
"ISS-a gr8 partnership between multiple countries that is continuously striving to improve the lives of humans thru ground breaking research",9,5,Sat Mar 15 02:37:07 +0000 2014
"Shout out to Dr. Joe Schmid -- awesome NASA Flight Doc!",4,4,Sat Mar 15 01:27:29 +0000 2014
"Great question Eli!",2,1,Sat Mar 15 01:17:48 +0000 2014
"Beautiful view of Houston!",2,1,Sat Mar 15 00:59:02 +0000 2014
"Watching Nat Geo Live From Space with good friends and good pizza!",19,40,Sat Mar 15 00:21:44 +0000 2014
"Getting ready for The Nat Geo special tonight!",1,2,Fri Mar 14 19:57:26 +0000 2014
