tweet,retweetsCount,favoritesCount,timestamp
"A #4K timelapse showing our planet in motion, from my favourite Earth images during the #BlueDot mission. #UltraHD http://t.co/QNDhQLw3fc",665,802,Thu Dec 25 13:27:03 +0000 2014
"I wish all of you a merry Christmas! It was a wild year for me, thanks for joining me on this fascinating journey! http://t.co/mEbPikpbOZ",186,752,Wed Dec 24 15:52:19 +0000 2014
"Wünsche euch allen fröhliche Weihnachten! War ein wildes Jahr für mich, vielen Dank, dass ihr mit dabei wart! http://t.co/7A5BvANyZj",110,556,Wed Dec 24 15:49:57 +0000 2014
"Glad you share my love for clouds! MT @AstroSamantha: Can't get over my fascination with #clouds. #Futura42 http://t.co/CXSShZEO4Z",122,359,Mon Dec 22 09:20:58 +0000 2014
"RT @DLR_de: Welcome back @Astro_Alex - das Einspieler-Video von der Veranstaltung in der @bundeskunsthall: https://t.co/KLRKtGq11w (FW) #Bo…",43,0,Sat Dec 20 18:27:42 +0000 2014
"And one of these volcanoes lives right in the middle of Germany! @HdAnchiano",19,68,Sat Dec 20 18:23:00 +0000 2014
"Die Sterne blinken wild für ein paar Sekunden beim auf- und untergehen durch die Erdatmosphäre, am Firmament stehen sie still. @S_Kleindiek",18,99,Sat Dec 20 18:20:42 +0000 2014
"RT @earthskyscience: Moon rising, star falling over Myrtle Beach, South Carolina, by Matthew Trudeau Photography. http://t.co/IZCsljX7Cw",270,0,Sat Dec 20 18:09:00 +0000 2014
"RT @fka_roscosmos: We are glad to announce, that from today an English version of a web site is available in a test-mode by the link http:/…",155,0,Sat Dec 20 18:06:35 +0000 2014
"RT @DLR_next: Wiedereintritt aus Sicht der Astronauten http://t.co/uMIOOD8eev Spektakuläres #Orion-Video",58,0,Sat Dec 20 18:03:48 +0000 2014
"Wildfires in South America. #BlueDot archives https://t.co/QEVtN7VQnE http://t.co/3uMYisLK0D",62,221,Wed Dec 17 23:23:02 +0000 2014
"Erdbeobachtung von der #ISS aus: Feuer sind aus dem Weltraum sehr gut zu sehen. (Südamerika) https://t.co/QEVtN7VQnE http://t.co/pVduC0QXCQ",59,184,Wed Dec 17 23:21:49 +0000 2014
"I always had a great time in #SanFrancisco at the #AGU conferences! #AGU14 http://t.co/ZDLcSS7PIX http://t.co/J7kg8k0LD6",141,309,Tue Dec 16 22:22:12 +0000 2014
"Ich hatte immer eine gute Zeit bei den #AGU-Konferenzen in #SanFrancisco! #AGU14 https://t.co/323B5zXQR7 http://t.co/atW5dBSmtq",43,150,Tue Dec 16 22:17:07 +0000 2014
"The fertile green of the #Nile banks almost looks black from space. #BlueDot archives https://t.co/3GsP8nR9pi http://t.co/kgM3KPh41u",89,233,Tue Dec 16 12:43:40 +0000 2014
"Off to Houston for first time after landing. @astro_reid &amp; I will give more blood for @ISS_Research, hope they will leave us some.",66,262,Sat Dec 13 07:47:14 +0000 2014
