tweet,retweetsCount,favoritesCount,timestamp
"Final countdown has started!",21,11,Fri Dec 05 12:01:43 +0000 2014
"A photo taken 15 min prior to planned launch time of EFT-1. Nice gathering of former shuttle crew mates and trainer. http://t.co/SkAc6EXFi8",26,25,Thu Dec 04 15:35:39 +0000 2014
"RT @spacechelle: It's a STS-134 crew reunion here at the #Orion #EFT1 launch! @Astro_Box @ShuttleCDRKelly http://t.co/oBDzmBiAG2",25,0,Thu Dec 04 12:52:42 +0000 2014
"On hold again with 3:43 left on the clock. 'Not a show stopper' was announced. http://t.co/ckn9m5bpn0",11,7,Thu Dec 04 12:16:53 +0000 2014
"Roberto Vittori and Cady Coleman posing at EFT-1 launch. Launch time has now been slipped to 7:17 am EST. http://t.co/bgLfPY8jxK",11,18,Thu Dec 04 12:09:50 +0000 2014
"RT @Astro_Cady: .@Astro_Box -- there is something special about launching from KSC &amp; something awesome about a new spaceship.  Go #Orion!",7,0,Thu Dec 04 03:38:42 +0000 2014
"Excitement in the humid night air here in Cape Canaveral S of EFT-1 launch pad. I've run into Don Pettit, Pam Melroy &amp; Jeanette Epps already",4,13,Thu Dec 04 02:39:03 +0000 2014
"Never know who you'll meet on an airplane. Had a very interesting conversation with Hall of Famer @davewinfieldhof . http://t.co/NQYWFL9olO",2,10,Mon Dec 01 02:50:43 +0000 2014
"At the Museum of Flight in Seattle last week. A group of former astronauts posing with UW student Taylor 'TV' Vance. http://t.co/ucvl0Z902S",3,10,Mon Dec 01 02:47:06 +0000 2014
"Congrats to @esa and the entire international team supporting the @ESA_Rosetta mission! Timed perfectly during #SciWk2014 here in Ireland.",9,13,Thu Nov 13 10:28:34 +0000 2014
"RT @BBCBreaking: 'Philae is talking to us... We are on the comet' - Esa confirms Rosetta #cometlanding achieved http://t.co/SKHIcOkjKP http…",5036,0,Thu Nov 13 10:18:14 +0000 2014
"Interesting &amp; fun radio interview with @_RyanTubridy in Dublin. It's #SciWk2014 in Ireland. Listen to @Tubridy2FM! http://t.co/zvE7HZIoCX",4,6,Thu Nov 13 10:15:44 +0000 2014
"RT @NASA_Langley: Reminded again of what all test pilots face while trying to make life better for all of us. Our thoughts are with our #sp…",32,0,Sat Nov 01 21:52:51 +0000 2014
"RT @NASA: Russian #ISScargo ship will orbit Earth 4x on way to 9:09amET docking. Watch from 8:30am ET at http://t.co/5zlXroPSMN http://t.co…",370,0,Wed Oct 29 12:05:28 +0000 2014
"RT @NASA: If you missed the news conference following the @OrbitalSciences launch mishap, you can watch it here now: http://t.co/rieJhmNF5G",397,0,Wed Oct 29 12:04:36 +0000 2014
"RT @Space_Station: 'Today's launch attempt will not deter us from our work...to launch cargo from American shores.' Full NASA statement htt…",59,0,Wed Oct 29 12:04:21 +0000 2014
"Although this image is magnified, the crystals are easily seen with the naked eye. Some are over 6 mm³ in volume. http://t.co/xKo3ONYoRH",0,4,Tue Oct 28 21:31:12 +0000 2014
"Dr Ng's ISS research results from SpaceX 4 return last Saturday are extraordinary!  Extremely large protein crystals! http://t.co/ThmAIpB2Ll",3,3,Tue Oct 28 20:58:17 +0000 2014
"Dr. Joseph Ng, from the University of Alabama at Huntsville, is a very excited ISS researcher supported by CASIS!! http://t.co/PLWYBLzaBu",1,4,Tue Oct 28 20:54:08 +0000 2014
"Buckhorn Exchange in Denver. Eclectic atmosphere w R &amp; D reps from various industries discussing ISS research &amp; tech. http://t.co/qBnP56SOmi",2,2,Thu Oct 16 17:14:31 +0000 2014
"Group photo of reps from Teledyne Brown, NASA, &amp; CASIS. MUSES EO platform is behind Gen Abrahamson (3rd from right). http://t.co/ABYHmSeRMk",1,5,Thu Sep 18 21:58:00 +0000 2014
"Congrats to commercial crew winners: Boeing and Space X!!! Looking forward to launching astronauts from US soil to the #ISS in a few years!",9,3,Tue Sep 16 20:41:43 +0000 2014
"#ARK2 is loaded w #ISS research! Check out this video that highlights CASIS-sponsored research set to launch to #ISS: http://t.co/a2AjCEGyg1",3,3,Mon Sep 15 22:36:08 +0000 2014
"I'm very proud of our CASIS team &amp; partnership with @cobragolf on sending commercial research to the #ISS. Go #ARK2! http://t.co/JWw4oGNFg9",1,3,Mon Sep 15 22:34:42 +0000 2014
"Great to see the #Exp40 crew landed safely last night. #Exp40 supported important @ISS_Research. Great job Swanny, Alexander, and @OlegMKS!!",6,7,Thu Sep 11 15:18:42 +0000 2014
"Who was flying jet when you guys took this photo? 'I'll be your wingman anytime, Mikey!' @foreman_mike @Astro_Wheels http://t.co/LL8DcEni1n",8,11,Tue Sep 02 23:11:30 +0000 2014
"RT @ISS_CASIS: Thanks Josh! RT @JoshLevs: @ISS_CASIS Happy Bday!",5,0,Tue Sep 02 14:22:46 +0000 2014
"Nice afternoon w Cobra Puma Golf team and Curtis Thompson @bombsquad_lsu in San Diego. He's a great golfer &amp; coach! http://t.co/trM3vzHuYr",3,8,Wed Aug 27 21:53:12 +0000 2014
